Citing Journal Data: Cognitive Processing,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,3134,64,165,176,193,162,179,181,173,171,124,1546
2, ,ALL OTHERS (889),889,31,43,36,50,45,28,42,35,48,43,488
3,7.972,PSYCHOL REV,62,0,2,1,0,0,1,0,2,1,0,55
4,2.457,MEM COGNITION,59,1,1,4,1,1,1,4,3,4,3,36
5,3.358,J EXP PSYCHOL HUMAN,55,0,2,5,1,3,1,0,2,5,0,36
6,3.479,COGNITION,53,4,1,1,3,6,2,9,1,2,2,22
7,3.302,NEUROPSYCHOLOGIA,53,0,5,1,5,0,9,2,2,6,1,22
8,21.965,TRENDS COGN SCI,52,2,2,0,2,5,8,0,6,2,2,23
9, ,NEUROIMAGE,51,1,4,6,3,5,4,3,4,8,2,11
10,4.940,PSYCHOL SCI,50,1,3,0,0,4,7,2,4,5,2,22
11,14.756,PSYCHOL BULL,40,0,0,4,1,5,1,0,2,2,0,25
12, ,SCIENCE,38,0,1,0,1,1,0,1,1,1,1,31
13,3.369,PSYCHON B REV,37,1,1,2,3,2,4,3,5,1,1,14
14,5.031,J PERS SOC PSYCHOL,36,0,1,0,0,0,1,2,2,0,0,30
15,5.929,J EXP PSYCHOL GEN,35,0,3,3,1,2,3,1,1,0,0,21
16,4.085,J COGNITIVE NEUROSCI,32,0,1,2,3,2,2,4,2,1,4,11
17,4.237,J MEM LANG,31,0,1,0,2,2,1,3,1,0,1,20
18,2.862,J EXP PSYCHOL LEARN,30,0,1,2,1,1,3,1,2,1,0,18
19,5.064,COGNITIVE PSYCHOL,29,0,0,0,1,0,0,0,1,1,1,25
20,2.248,ACTA PSYCHOL,27,1,3,2,2,2,3,5,2,2,0,5
21,2.446,COGNITIVE SCI,27,0,0,1,1,4,3,1,1,3,1,12
22, ,CORTEX,27,1,1,3,3,0,0,7,1,4,0,7
23,1.388,COGN PROCESS,25,1,4,5,5,1,1,5,1,2,0,0
24,20.771,BEHAV BRAIN SCI,24,0,1,0,1,0,0,2,0,0,1,19
25, ,P NATL ACAD SCI USA,22,1,0,2,0,2,3,1,4,1,1,7
26, ,PLOS ONE,22,3,5,6,3,2,2,1,0,0,0,0
27, ,PERCEPT PSYCHOPHYS,21,0,0,0,0,0,0,1,0,0,0,20
28,2.127,Q J EXP PSYCHOL,21,0,1,1,1,5,0,2,1,4,0,6
