Citing Journal Data: COMPUTERS ,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,11988,92,724,960,925,980,935,847,685,657,541,4642
2, ,ALL OTHERS (3568),3568,20,205,297,260,268,243,204,220,207,148,1496
3,2.556,COMPUT EDUC,953,34,138,151,136,137,108,116,44,17,13,59
4,2.694,COMPUT HUM BEHAV,249,5,29,30,35,31,22,22,15,5,17,38
5,3.518,J EDUC PSYCHOL,158,0,11,7,5,5,7,6,4,8,3,102
6,1.318,BRIT J EDUC TECHNOL,127,0,14,18,8,17,17,17,7,6,5,18
7,3.585,LEARN INSTR,126,1,13,6,15,18,11,6,8,10,3,35
8,1.360,J COMPUT ASSIST LEAR,120,0,9,8,10,21,9,9,10,6,11,27
9,3.611,EDUC PSYCHOL-US,105,0,2,1,8,4,2,6,5,8,11,58
10,1.420,ETR&D-EDUC TECH RES,97,0,9,14,4,15,5,8,5,1,11,25
11,3.897,REV EDUC RES,91,0,1,0,6,1,8,7,10,8,1,49
12,1.018,EDUC TECHNOL SOC,90,2,7,15,3,10,17,8,7,2,7,12
13,2.565,EDUC PSYCHOL REV,81,0,1,3,3,7,6,6,14,7,3,31
14,0.670,J EDUC COMPUT RES,74,0,8,4,8,2,7,3,5,2,3,32
15,1.426,INSTR SCI,70,1,7,7,5,13,3,4,3,2,7,18
16,5.311,MIS QUART,70,0,0,0,0,0,0,2,1,3,7,57
17,2.463,INTERNET HIGH EDUC,69,0,7,11,11,7,2,6,1,2,6,16
18,3.162,J RES SCI TEACH,60,0,1,4,5,2,0,1,4,5,3,35
19,0.648,AUSTRALAS J EDUC TEC,57,0,5,14,11,9,7,5,2,2,1,1
20, ,LECT NOTES COMPUT SC,57,1,3,6,5,5,8,8,3,6,1,11
21,1.214,J SCI EDUC TECHNOL,53,0,6,8,2,6,9,5,7,3,1,6
22,14.756,PSYCHOL BULL,53,0,0,1,3,1,0,0,1,0,0,47
23,1.841,INT J COMP-SUPP COLL,50,0,4,3,10,7,2,6,7,11,0,0
24,1.132,INT J SCI EDUC,50,0,2,3,2,3,5,5,2,1,3,24
25,2.312,J LEARN SCI,46,0,1,0,3,0,1,3,1,2,7,28
