Citing Journal Data: COMPUTERS IN HUMAN BEHAVIOR,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,33539,321,1597,2507,2720,2609,2344,2261,2093,1664,1425,13998
2, ,ALL OTHERS (7194),7194,83,412,601,646,566,543,473,430,349,339,2752
3,2.694,COMPUT HUM BEHAV,1934,106,285,284,299,273,188,133,109,31,17,209
4, ,CYBERPSYCHOL BEHAV,591,0,3,0,1,0,131,80,90,45,44,197
5,5.031,J PERS SOC PSYCHOL,496,2,0,1,13,10,5,13,5,7,4,436
6,2.556,COMPUT EDUC,483,15,44,70,69,83,61,65,26,11,7,32
7,5.311,MIS QUART,465,1,5,16,17,16,16,11,26,30,45,282
8,3.117,J COMPUT-MEDIAT COMM,435,4,6,34,16,13,58,68,132,45,13,46
9,2.182,CYBERPSYCH BEH SOC N,297,3,50,76,110,57,1,0,0,0,0,0
10,2.493,COMMUN RES,262,1,6,8,21,11,19,14,0,16,4,162
11,1.865,INFORM MANAGE-AMSTER,249,0,14,15,24,10,13,40,20,19,16,78
12,14.756,PSYCHOL BULL,240,1,0,0,4,15,2,3,8,3,1,203
13,2.436,INFORM SYST RES,205,0,2,7,6,6,10,8,6,9,12,139
14,3.160,J COMMUN,195,4,2,27,19,16,13,3,9,18,13,71
15,3.125,J CONSUM RES,179,0,2,3,2,3,3,5,7,3,8,143
16,1.293,INT J HUM-COMPUT ST,174,0,1,14,6,19,8,12,17,19,14,64
17,1.905,HUM COMMUN RES,171,1,1,1,9,15,10,14,16,9,3,92
18,4.799,J APPL PSYCHOL,165,0,0,2,2,3,6,4,9,5,6,128
19,3.518,J EDUC PSYCHOL,162,0,5,0,4,1,3,6,6,4,3,130
20,2.007,NEW MEDIA SOC,162,2,8,15,43,13,25,14,9,6,8,19
21,3.585,LEARN INSTR,143,2,11,11,18,33,7,6,16,9,2,28
22,1.951,PERS INDIV DIFFER,143,2,8,28,19,4,5,5,5,4,7,56
23, ,LECT NOTES COMPUT SC,135,1,4,9,9,13,20,14,15,25,5,20
24,1.352,J BROADCAST ELECTRON,132,1,4,15,2,2,5,5,1,7,4,86
25,2.909,PERS SOC PSYCHOL B,132,0,1,1,4,4,7,19,3,4,5,84
26,2.062,J MANAGE INFORM SYST,128,0,1,6,9,2,12,12,6,8,11,61
27,6.100,AM PSYCHOL,122,0,2,1,1,2,1,0,3,0,1,111
28,3.938,J MARKETING,120,0,1,1,0,5,6,3,3,9,6,86
29,2.256,J MARKETING RES,117,1,0,3,3,5,0,0,0,3,0,102
30, ,**NON-TRADITIONAL**,114,0,0,0,0,0,0,0,0,0,0,114
31, ,COMMUN ACM,114,0,1,0,6,4,7,3,6,7,7,73
32,2.482,MANAGE SCI,112,0,1,0,1,0,2,2,0,8,3,95
33,1.480,J BUS RES,111,0,4,11,3,7,14,5,3,10,10,44
34, ,DECIS SUPPORT SYST,108,0,8,11,10,9,20,10,7,18,2,13
35,4.940,PSYCHOL SCI,106,0,2,11,2,20,4,5,9,4,7,42
36,2.201,ORGAN BEHAV HUM DEC,95,0,0,0,2,2,1,0,3,3,0,84
37,7.972,PSYCHOL REV,92,0,0,0,0,0,0,1,2,1,1,87
38, ,PRESENCE-TELEOP VIRT,91,0,0,3,2,2,2,3,3,23,3,50
39,1.318,BRIT J EDUC TECHNOL,89,2,0,25,6,15,8,7,11,3,5,7
40,0.891,BEHAV INFORM TECHNOL,88,1,7,10,8,11,4,3,4,12,1,27
41,3.612,J ADOLESCENT HEALTH,86,0,11,9,8,6,7,0,37,0,2,6
42,1.100,MEDIA PSYCHOL,84,1,2,9,2,6,12,6,22,1,4,19
43,3.775,ORGAN SCI,82,0,0,1,2,0,0,1,1,3,3,71
44,3.611,EDUC PSYCHOL-US,81,0,5,0,1,5,1,3,2,6,7,51
45,21.810,ANNU REV PSYCHOL,79,0,2,3,3,0,2,0,5,4,2,58
46,2.565,EDUC PSYCHOL REV,78,0,1,1,4,9,4,5,13,3,10,28
47,7.475,ACAD MANAGE REV,77,0,0,0,0,0,2,1,1,0,4,69
48,2.285,J EXP SOC PSYCHOL,75,0,5,2,3,2,7,3,2,4,2,45
49,1.080,PSYCHOL MARKET,75,0,1,0,3,7,4,12,6,1,8,33
50,1.185,J APPL DEV PSYCHOL,73,0,1,3,0,5,20,33,1,0,1,9
51,1.242,J ADVERTISING,72,0,0,1,3,2,3,1,5,3,9,45
52,1.360,J COMPUT ASSIST LEAR,71,0,2,3,3,10,5,8,7,1,11,21
53,4.176,STRUCT EQU MODELING,71,0,0,1,0,1,2,0,1,1,0,65
54,1.754,J RETAILING,70,0,0,5,6,1,0,4,3,0,2,49
55,1.160,J SOC PERS RELAT,70,0,3,4,1,10,4,3,4,1,2,38
56, ,SCIENCE,70,0,1,2,1,8,8,2,6,1,4,37
57,6.448,ACAD MANAGE J,69,0,0,2,2,2,1,1,1,2,3,55
58,0.790,J APPL SOC PSYCHOL,68,0,1,6,1,3,0,2,4,3,1,47
59,1.018,EDUC TECHNOL SOC,67,1,3,9,11,7,13,8,4,3,3,5
60,3.818,J ACAD MARKET SCI,67,0,0,1,0,3,0,6,1,1,6,49
61,2.463,INTERNET HIGH EDUC,65,1,5,15,8,17,4,4,3,0,2,6
62,1.957,J ADOLESCENCE,65,0,2,12,4,1,6,4,3,1,0,32
63,1.529,J SOC ISSUES,64,0,0,0,0,0,1,0,3,0,0,60
64,4.141,DEV PSYCHOL,63,2,0,10,3,1,2,9,14,5,1,16
65,1.846,J AM SOC INF SCI TEC,63,0,0,2,1,8,9,11,5,6,3,18
66, ,MULTIVAR DATA AN,62,0,0,0,0,9,2,0,0,15,1,35
67,1.735,SEX ROLES,62,0,0,2,3,5,6,3,9,2,3,29
68,1.321,APPL COGNITIVE PSYCH,61,1,0,3,6,4,0,8,14,1,7,17
69,1.676,INFORM COMMUN SOC,61,1,4,4,7,4,6,18,2,2,6,7
70,2.563,J ADVERTISING RES,61,0,0,4,2,2,1,2,11,0,1,38
71,1.347,DECISION SCI,60,0,0,2,3,2,2,17,2,5,0,27
72,0.670,J EDUC COMPUT RES,60,0,5,4,6,4,3,3,3,3,9,20
73,1.420,ETR&D-EDUC TECH RES,58,0,7,4,5,6,1,6,6,2,8,13
74,2.773,J INTERACT MARK,58,0,1,8,3,2,6,2,9,1,4,22
75,2.213,EUR J INFORM SYST,55,2,1,9,4,3,4,5,6,5,3,13
76,3.545,AM J SOCIOL,54,0,0,0,1,0,0,0,2,0,1,50
77,1.364,SOC SCI COMPUT REV,54,0,4,5,4,9,4,1,3,0,4,20
78,2.264,J RES PERS,53,0,0,2,2,4,0,4,1,7,1,32
79,3.897,REV EDUC RES,53,0,0,1,0,1,5,3,2,2,1,38
80,1.766,AM BEHAV SCI,52,0,2,0,1,10,3,2,3,0,1,30
81,1.268,INTERACT COMPUT,52,0,1,6,3,10,2,4,5,5,2,14
82, ,PEDIATRICS,52,0,4,11,11,4,4,5,4,2,0,7
83,0.833,COMMUN MONOGR,51,0,2,1,1,3,12,0,3,0,1,28
84,1.661,INTERNET RES,51,0,0,3,6,2,6,7,2,6,5,14
85,2.928,BEHAV RES METHODS,49,1,1,2,3,0,3,14,3,0,1,21
86,0.992,INT J MENT HEALTH AD,49,1,7,10,3,4,6,6,0,11,0,1
87, ,P SIGCHI C HUM FACT,49,0,3,2,9,2,3,1,3,7,2,17
88,1.712,EUR J SOC PSYCHOL,48,0,0,2,1,1,0,0,3,2,2,37
89,2.862,J EXP PSYCHOL LEARN,48,0,0,0,0,2,2,0,0,2,1,41
90,2.589,ARCH SEX BEHAV,47,0,7,8,10,3,2,2,2,0,4,9
91,1.929,CONTEMP EDUC PSYCHOL,47,0,2,0,5,1,1,5,3,2,2,26
92,0.850,INT J HUM-COMPUT INT,47,1,0,4,2,11,3,5,3,2,4,12
93,2.777,J YOUTH ADOLESCENCE,47,0,12,0,3,7,2,4,0,2,0,17
94,1.774,J ASSOC INF SYST,46,0,0,3,1,2,5,2,21,1,2,9
95,4.490,PERS PSYCHOL,46,0,0,0,2,1,1,2,1,2,2,35
96,1.775,PUBLIC OPIN QUART,45,0,0,0,2,1,2,3,1,1,0,35
97,0.797,J MASS COMMUN Q,44,0,3,0,1,0,4,1,2,3,0,30
98,3.229,J PERS,44,0,1,0,2,1,1,2,1,5,1,30
99,1.837,J PERS ASSESS,44,0,0,1,1,0,2,1,3,2,0,34
100, ,ADV CONSUM RES,42,0,0,0,0,0,3,1,1,0,1,36
101,6.071,J MANAGE,42,0,0,5,1,4,1,0,2,0,3,26
102,1.667,COMMUN THEOR,41,0,0,0,3,6,5,0,1,0,5,21
103,1.872,INT J ELECTRON COMM,41,0,1,3,5,2,3,3,4,2,0,18
104,1.550,INT J INFORM MANAGE,41,1,5,3,8,1,3,2,2,1,1,14
105, ,J MED INTERNET RES,41,1,5,5,9,6,5,3,2,2,2,1
106,3.333,ADMIN SCI QUART,40,0,0,1,0,1,0,1,0,0,0,37
107, ,COMMUNICATIONS ASS I,40,0,0,0,0,6,4,2,1,4,9,14
108,6.692,PERS SOC PSYCHOL REV,40,0,0,1,1,0,2,0,5,4,2,25
109, ,PSYCHOMETRIC THEOR,40,0,0,0,0,0,0,0,0,0,0,40
110,1.482,ELECTRON COMMER R A,39,0,2,3,5,12,4,9,0,2,1,1
111,0.560,PSYCHOL REP,39,0,1,7,0,1,2,1,0,1,0,26
112,1.163,BUS HORIZONS,38,0,0,0,10,19,2,1,1,0,0,5
113,2.290,J GAMBL STUD,38,0,6,2,3,5,4,3,1,0,1,13
114, ,EXPERT SYST APPL,37,1,5,5,10,5,6,2,1,0,2,0
115,0.753,MASS COMMUN SOC,37,0,2,3,4,2,1,2,0,3,0,20
116, ,BELIEF ATTITUDE INTE,36,0,0,0,0,0,0,0,0,0,0,36
117,4.525,J INF TECHNOL,36,0,0,4,2,8,7,1,1,4,1,8
118,0.882,J MEDIA PSYCHOL-GER,36,0,0,1,2,13,4,16,0,0,0,0
119,1.694,HUM FACTORS,35,0,1,2,3,0,1,3,1,1,2,21
120, ,J COMPUT INFORM SYST,35,0,0,6,0,3,12,1,1,4,4,4
121,1.020,J LANG SOC PSYCHOL,35,0,4,5,0,10,0,0,2,0,6,8
122,2.695,J SEX RES,35,0,2,1,2,3,1,2,1,2,3,18
123, ,PLOS ONE,35,0,16,9,6,2,0,2,0,0,0,0
124, ,USING MULTIVAR S,35,0,1,1,0,0,0,0,19,0,1,13
125, ,1 MONDAY,34,0,0,1,3,8,3,2,3,8,1,5
126,5.678,CURR DIR PSYCHOL SCI,34,0,2,2,2,1,5,0,2,4,4,12
127,1.297,HEALTH COMMUN,34,0,1,5,2,1,3,2,3,4,3,10
128,2.398,HUM RELAT,34,0,0,1,1,1,0,2,1,0,1,27
129,2.554,TOURISM MANAGE,34,0,0,4,3,7,1,6,5,1,2,5
130,4.061,CHILD DEV,33,0,0,0,1,2,0,1,3,0,1,25
131,1.426,INSTR SCI,33,0,1,0,4,10,2,2,0,0,2,12
132,1.586,J KNOWL MANAG,33,0,3,2,0,3,2,3,0,2,3,15
133,5.318,ADV EXP SOC PSYCHOL,32,0,0,0,0,2,0,1,0,2,0,27
134,5.279,J CONSULT CLIN PSYCH,32,0,0,2,1,0,1,1,1,0,0,26
135,2.243,J CONSUM PSYCHOL,32,0,1,1,2,4,1,0,0,1,2,20
136,2.692,J STRATEGIC INF SYST,32,0,0,1,2,1,0,3,0,0,4,21
137,2.751,PSYCHOL ASSESSMENT,32,0,1,1,1,2,1,0,0,1,0,25
138,0.366,SOC BEHAV PERSONAL,32,0,2,0,3,3,1,5,3,2,2,11
139,1.120,TELEMAT INFORM,32,2,4,4,0,2,1,3,0,1,2,13
140, ,DIFFUSION INNOVATION,31,0,0,0,0,1,0,0,0,0,0,30
141,2.475,J COUNS PSYCHOL,31,0,0,0,2,1,0,1,2,3,2,20
142,2.588,J VOCAT BEHAV,31,0,1,3,1,1,2,0,1,2,3,17
143,0.656,PUBLIC RELAT REV,31,0,1,2,7,5,5,0,3,1,1,6
144,4.390,AM SOCIOL REV,30,0,0,2,1,0,1,1,0,0,0,25
145, ,CAMBRIDGE HDB MULTIM,30,1,0,0,0,0,0,0,0,0,29,0
146, ,HUM-COMPUT INTERACT,30,0,0,3,2,3,0,0,2,2,0,18
147,1.766,INFORM SYST J,30,1,2,0,1,7,7,4,0,1,1,6
148, ,INT J KNOWLEDGE SOC,30,0,0,13,10,7,0,0,0,0,0,0
149,1.617,J HEALTH COMMUN,30,0,4,2,7,1,2,2,3,1,3,5
150, ,PROCD SOC BEHV,30,0,1,11,5,10,3,0,0,0,0,0
151, ,SIMULATION GAMING,30,0,3,3,2,3,1,0,0,1,4,13
152,1.154,EDUC PSYCHOL MEAS,29,0,0,0,0,3,0,0,3,3,0,20
153, ,INT J ENG EDUC,29,0,2,13,5,2,1,1,1,0,2,2
154,1.744,MOTIV EMOTION,29,0,1,0,0,1,0,1,2,12,1,11
155, ,P NATL ACAD SCI USA,29,1,4,1,2,3,4,1,0,1,1,11
156,7.338,PSYCHOL METHODS,29,0,1,2,1,0,0,0,2,0,0,23
157,4.829,ADDICTION,28,0,6,2,1,7,1,0,0,0,2,9
158,0.390,GAMES CULT,28,0,0,1,3,6,5,3,1,9,0,0
159, ,LEA COMMUN SER,28,0,0,0,0,0,0,0,1,16,1,10
160,4.376,OMEGA-INT J MANAGE S,28,0,0,1,1,0,0,1,5,0,1,19
161,1.323,INTERACT LEARN ENVIR,27,1,1,4,3,8,2,3,0,2,0,3
162, ,LECT NOTES ARTIF INT,27,0,0,0,4,2,5,5,3,2,0,6
163, ,NATURE,27,0,0,4,1,2,0,1,0,2,1,16
164,0.918,ONLINE INFORM REV,27,0,3,4,3,5,7,2,2,1,0,0
165,0.981,POLIT COMMUN,27,0,0,0,3,0,4,2,1,1,0,16
166,1.085,PSYCHOMETRIKA,27,0,0,0,1,1,0,0,2,0,0,23
167,2.890,SOC SCI MED,27,0,0,3,3,1,0,0,4,3,2,11
168,4.080,ANNU REV SOCIOL,26,0,0,0,0,0,0,0,0,0,0,26
169,1.575,INT J RES MARK,26,0,0,0,2,0,0,0,1,2,1,20
170,5.929,J EXP PSYCHOL GEN,26,0,0,0,1,0,0,0,1,1,0,23
171,2.457,MEM COGNITION,26,0,1,0,0,1,0,1,0,1,1,21
172,6.459,J CHILD PSYCHOL PSYC,25,0,0,0,0,2,0,10,0,0,0,13
173,1.860,MARKET SCI,25,0,0,2,2,0,5,0,1,1,0,14
174,2.199,PATIENT EDUC COUNS,25,0,2,1,3,3,3,3,4,3,1,2
175,9.546,PERSPECT PSYCHOL SCI,25,0,2,11,7,1,2,2,0,0,0,0
176,1.156,REV GEN PSYCHOL,25,0,0,0,0,14,0,0,0,0,1,10
177,2.275,AGGRESSIVE BEHAV,24,0,0,1,1,3,1,1,1,2,1,13
178,0.648,AUSTRALAS J EDUC TEC,24,0,2,3,4,3,2,2,0,2,1,5
179,1.913,BRIT J SOC PSYCHOL,24,0,0,3,0,1,0,0,0,2,1,17
180, ,CHI2010 P 28 ANN,24,0,0,0,0,24,0,0,0,0,0,0
181,0.586,DATA BASE ADV INF SY,24,0,0,0,0,1,3,0,3,1,1,15
182,1.574,HARVARD BUS REV,24,0,1,0,0,0,2,3,1,1,0,16
183,1.048,INFORM SOC,24,0,1,2,1,2,0,3,0,0,3,12
184, ,J RETAILING CONSUMER,24,0,2,3,3,1,4,2,2,2,1,4
185,1.708,METACOGN LEARN,24,0,2,3,2,1,6,2,5,3,0,0
186,2.477,MULTIVAR BEHAV RES,24,0,0,0,0,0,0,0,0,1,0,23
187,1.366,PERS RELATIONSHIP,24,0,2,1,0,1,1,1,2,1,1,14
188,2.000,COGNITION INSTRUCT,23,0,0,0,0,0,0,1,0,0,1,21
189,1.103,IEEE T ENG MANAGE,23,0,0,1,1,3,2,0,3,2,4,7
190,1.229,J ELECTRON COMMER RE,23,0,0,5,2,1,1,5,5,0,2,2
191, ,J INTERACTIVE ADVERT,23,0,0,2,3,4,0,3,0,3,0,8
192,3.038,J ORGAN BEHAV,23,0,1,0,1,0,0,2,0,4,1,14
193,3.341,STRATEGIC MANAGE J,23,0,0,0,0,0,1,2,1,0,0,19
194,2.157,AM EDUC RES J,22,0,0,1,1,0,0,3,0,0,2,15
195,2.446,COGNITIVE SCI,22,1,0,0,0,1,0,0,0,1,0,19
196, ,COMMUN RES RE,22,1,1,2,1,3,0,1,1,1,2,9
197,1.841,INT J COMP-SUPP COLL,22,0,1,0,2,2,4,6,3,4,0,0
198,1.929,J CROSS CULT PSYCHOL,22,0,4,2,0,0,1,0,2,0,0,13
199,0.840,J EDUC RES,22,0,1,1,0,0,0,0,0,4,0,16
200, ,NEW YORK TIMES,22,0,2,3,6,3,2,3,1,2,0,0
201, ,PRINCIPLES PRACTICE,22,0,0,0,5,2,0,0,0,0,11,4
202, ,THESIS,22,0,5,2,1,0,3,2,1,1,1,6
203,2.248,ACTA PSYCHOL,21,0,1,4,1,0,0,5,0,1,1,8
204, ,COMMUN QUART,21,0,1,3,2,1,1,0,0,1,1,11
205,1.333,INT J FORECASTING,21,0,5,0,1,1,1,0,2,3,2,6
206,2.312,J LEARN SCI,21,1,0,0,0,2,0,2,2,1,4,9
207,1.773,J PSYCHOL,21,0,1,0,0,2,1,0,0,1,1,15
208, ,JOURNALISM QUART,21,0,0,0,0,0,0,0,0,0,0,21
209, ,ARCH PEDIAT ADOL MED,20,0,0,4,2,4,5,0,1,3,0,1
210,0.942,DEVIANT BEHAV,20,0,4,1,1,1,1,8,0,0,1,3
211,1.214,GROUP DYN-THEOR RES,20,1,0,0,1,0,0,0,1,0,0,17
212,0.700,INT J MOB COMMUN,20,0,0,5,5,3,2,3,0,1,0,1
213, ,INTERNET ADDICTION H,20,0,0,0,18,2,0,0,0,0,0,0
214,5.153,J ABNORM PSYCHOL,20,0,0,0,0,0,1,0,0,0,0,19
215,1.836,J EXP PSYCHOL-APPL,20,0,0,2,2,0,1,1,0,1,2,11
216,1.158,J INF SCI,20,1,0,1,2,0,4,1,7,2,0,2
217,0.455,J ORGAN END USER COM,20,0,0,2,1,5,2,2,0,4,0,4
218,2.646,PSYCHOL AGING,20,0,0,1,1,1,1,3,0,3,0,10
219,21.965,TRENDS COGN SCI,20,0,0,0,1,1,0,1,1,1,1,14
220,1.430,ADDICT RES THEORY,19,0,1,3,1,1,0,0,8,0,1,4
221,1.326,J BUS ETHICS,19,0,2,0,0,3,2,0,1,1,2,8
222,1.406,SOC PSYCHOL QUART,19,0,0,0,1,2,0,1,0,0,0,15
223,12.295,AM J PSYCHIAT,18,0,0,1,0,0,0,8,2,0,2,5
224,2.685,ANN TOURISM RES,18,0,0,0,0,0,1,1,1,3,2,10
225, ,CHI 2008 26 ANN CHI,18,0,0,0,0,0,0,18,0,0,0,0
226, ,CYBERPSYCHOLOGY J PS,18,0,2,3,1,4,6,1,0,0,1,0
227,2.527,EDUC RESEARCHER,18,0,1,0,2,0,1,0,0,1,0,13
228,0.384,INNOV EDUC TEACH INT,18,0,1,1,1,4,1,0,3,0,1,6
229,1.288,INT GAMBL STUD,18,0,0,3,7,1,0,3,0,2,1,1
230,1.656,J AM COLL HEALTH,18,0,0,0,1,0,1,2,0,1,4,9
231, ,J CONSUM MARK,18,0,0,1,2,1,1,1,2,2,3,5
232,1.621,LEARN INDIVID DIFFER,18,0,1,4,2,3,3,3,1,0,1,0
233,0.759,LEARN MEDIA TECHNOL,18,0,1,1,2,1,9,1,1,2,0,0
234, ,MULTIMEDIA LEARN,18,0,0,0,0,0,9,0,0,0,0,9
235, ,MULTIPLE REGRESSION,18,0,0,0,0,0,0,0,0,0,0,18
236,4.148,ORGAN RES METHODS,18,0,0,0,1,4,1,0,2,3,1,6
237, ,PEW INTERNET AM LIFE,18,0,2,1,8,3,1,1,1,0,0,1
238,3.369,PSYCHON B REV,18,0,1,1,1,1,1,1,2,1,1,8
239,2.986,PSYCHOPHYSIOLOGY,18,0,0,0,1,1,0,0,0,2,1,13
240,1.562,RES ORGAN BEHAV,18,0,0,0,0,0,0,0,0,0,0,18
241, ,TURK ONLINE J EDUC T,18,0,1,2,8,3,2,0,0,1,1,0
242,2.764,ADDICT BEHAV,17,2,1,0,1,1,0,0,1,1,0,10
243, ,B SCI TECHNOL SOC,17,0,1,0,0,10,0,5,0,0,0,1
244, ,BMC PUBLIC HEALTH,17,0,1,0,8,4,0,3,1,0,0,0
245,2.000,BRIT J EDUC PSYCHOL,17,0,0,0,1,0,1,0,2,2,1,10
246, ,CHINESE J CLIN PSYCH,17,0,0,0,1,0,4,3,3,6,0,0
247,5.064,COGNITIVE PSYCHOL,17,0,0,0,0,0,0,0,0,0,1,16
248, ,COMMUN EDUC,17,0,2,2,0,1,0,0,4,2,0,6
249,1.556,ERGONOMICS,17,0,1,0,0,0,0,4,2,1,0,9
250,1.006,EUR J MARKETING,17,0,0,3,0,1,0,1,3,1,0,8
251, ,EUR REV SOCIAL,17,0,0,0,0,0,0,0,0,0,0,17
252, ,IND MANAGE DATA SYST,17,0,0,0,0,3,3,3,1,2,1,4
253, ,INFORM EDUC,17,0,5,9,0,1,0,0,0,0,1,1
254,0.784,INFORM TECHNOL PEOPL,17,0,3,2,2,0,1,1,1,1,1,5
255, ,INT J MAN MACH STUD,17,0,0,0,0,0,0,0,0,0,0,17
256,3.383,J AFFECT DISORDERS,17,0,0,3,0,1,0,2,0,0,0,11
257,3.162,J RES SCI TEACH,17,0,0,2,1,0,0,0,2,2,0,10
258, ,MEDIA EFFECTS ADV TH,17,0,0,0,0,0,3,1,0,0,0,13
259,0.546,PERCEPT MOTOR SKILL,17,0,0,0,1,0,0,0,1,0,0,15
260,1.057,SCAND J PSYCHOL,17,0,1,3,0,0,1,6,0,0,0,6
261,0.794,SMALL GR RES,17,1,1,0,1,1,0,0,0,3,1,9
262, ,SOC FDN THOUGHT A,17,0,0,0,0,0,0,0,0,0,0,17
263, ,TECH REP,17,1,0,3,1,0,3,2,2,0,0,5
264, ,ADOLESCENCE,16,0,0,0,0,0,2,1,4,0,1,8
265, ,CHI2009 P 27 ANN,16,0,0,0,0,0,16,0,0,0,0,0
266,1.105,CHILD YOUTH SERV REV,16,0,4,6,3,1,2,0,0,0,0,0
267,3.439,EUR PSYCHIAT,16,0,0,8,0,3,0,4,1,0,0,0
268,1.265,INFORM PROCESS MANAG,16,0,1,3,0,1,1,1,2,3,0,4
269,1.094,INT J ADVERT,16,0,1,0,6,0,4,2,1,0,0,2
270,1.058,INT J INTERCULT REL,16,0,0,1,1,0,2,1,2,0,2,7
271,3.358,J EXP PSYCHOL HUMAN,16,0,0,0,0,0,0,0,0,2,1,13
272,1.667,J OCCUP ORGAN PSYCH,16,0,0,1,0,1,2,0,1,1,4,6
273,1.214,J SCI EDUC TECHNOL,16,0,4,2,1,1,0,2,3,0,1,2
274,0.981,J SOC PSYCHOL,16,0,0,0,1,1,0,0,0,3,0,11
275,2.442,J TRAVEL RES,16,0,0,1,1,1,1,0,2,2,2,6
276,3.302,NEUROPSYCHOLOGIA,16,0,0,2,1,0,1,4,0,1,0,7
277, ,PERCEPT PSYCHOPHYS,16,0,0,0,0,0,0,0,0,0,0,16
278,1.395,SOC INDIC RES,16,0,1,2,4,1,1,0,0,0,0,7
279,2.000,SOC NETWORKS,16,1,0,2,0,1,0,3,0,0,1,8
280,2.561,SOC PSYCHOL PERS SCI,16,1,4,6,4,1,0,0,0,0,0,0
281, ,STAT POWER ANAL BEHA,16,0,0,0,0,0,0,0,0,0,0,16
282, ,ACM T COMPUT-HUM INT,15,0,0,0,0,1,0,2,0,4,3,5
283, ,AM J DISTANCE ED,15,0,0,0,0,0,0,0,1,0,1,13
