Citing Journal Data: CORTEX,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,13318,163,633,906,896,861,797,742,768,693,694,6165
2, ,ALL OTHERS (1396),1396,27,56,70,67,54,56,70,55,42,57,842
3,6.357,NEUROIMAGE,733,8,26,64,75,57,51,54,55,63,66,214
4,3.302,NEUROPSYCHOLOGIA,551,1,25,36,44,49,43,30,36,36,18,233
5,9.196,BRAIN,510,6,15,37,17,45,38,20,32,21,29,250
6,5.128,CORTEX,418,42,69,81,16,28,7,28,18,4,10,115
7,6.344,J NEUROSCI,380,1,21,31,41,31,38,23,26,31,33,104
8,4.085,J COGNITIVE NEUROSCI,284,2,8,27,34,27,19,14,25,19,17,92
9,8.665,CEREB CORTEX,280,1,18,23,21,28,21,29,31,22,20,66
10,9.674,P NATL ACAD SCI USA,272,1,11,16,12,20,23,23,20,20,18,108
11,15.054,NEURON,208,1,5,15,17,19,18,8,14,14,16,81
12,8.185,NEUROLOGY,206,0,1,3,10,10,5,9,3,11,12,142
13,33.611,SCIENCE,195,0,1,2,2,1,8,9,13,12,19,128
14,5.969,HUM BRAIN MAPP,182,6,18,19,23,4,25,8,10,8,14,47
15,16.095,NAT NEUROSCI,173,0,2,4,18,1,16,13,9,10,16,84
16,3.215,BRAIN LANG,165,3,13,9,11,8,7,6,8,8,9,83
17,21.965,TRENDS COGN SCI,160,1,5,15,22,13,6,5,6,7,17,63
18,31.427,NAT REV NEUROSCI,132,1,8,8,10,16,9,10,22,9,9,30
19,6.807,J NEUROL NEUROSUR PS,128,0,5,7,7,8,4,3,2,3,10,79
20,2.036,EXP BRAIN RES,124,1,6,7,9,17,11,3,5,4,8,53
21,3.234,PLOS ONE,119,3,16,29,35,9,15,6,5,1,0,0
22,2.887,J NEUROPHYSIOL,111,0,3,8,4,6,11,7,13,6,8,45
23,41.456,NATURE,110,0,2,2,1,4,2,3,1,4,8,83
24, ,COGNITION,103,0,3,4,2,7,4,13,1,4,1,64
25,2.073,COGN NEUROPSYCHOL,99,0,0,0,2,6,4,10,9,6,4,58
26,1.520,NEUROREPORT,99,0,0,0,1,3,7,4,2,2,8,72
27,3.181,EUR J NEUROSCI,81,0,2,5,2,7,3,9,5,10,9,29
28,7.972,PSYCHOL REV,79,0,0,1,0,2,1,1,4,1,1,68
29,9.571,CURR BIOL,78,0,2,5,9,13,10,6,11,9,0,13
30,3.269,NEUROPSYCHOLOGY,74,1,3,3,4,5,9,1,2,9,7,30
31,2.862,J EXP PSYCHOL LEARN,73,0,0,4,4,3,0,2,4,1,6,49
32,2.843,BRAIN RES,71,0,2,3,4,6,4,4,11,18,1,18
33,3.626,FRONT HUM NEUROSCI,70,1,33,15,7,8,2,3,1,0,0,0
