Citing Journal Data: JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,6642,35,324,434,387,372,370,429,345,265,224,3457
2, ,ALL OTHERS (806),806,9,30,46,40,41,37,25,33,21,20,504
3,2.862,J EXP PSYCHOL LEARN,595,5,31,39,37,39,43,30,21,22,20,308
4,7.972,PSYCHOL REV,368,0,14,10,6,12,20,24,21,10,13,238
5,2.457,MEM COGNITION,323,2,14,18,19,20,7,16,25,16,16,170
6,4.237,J MEM LANG,275,2,21,16,12,14,15,35,7,12,7,134
7,3.369,PSYCHON B REV,265,0,21,19,23,19,11,27,21,18,22,84
8,3.358,J EXP PSYCHOL HUMAN,200,1,17,8,14,2,11,14,11,10,6,106
9,5.929,J EXP PSYCHOL GEN,177,2,7,6,7,4,6,7,9,8,2,119
10,5.064,COGNITIVE PSYCHOL,150,0,6,5,2,12,6,12,6,4,2,95
11,3.479,COGNITION,147,0,12,9,7,8,9,21,8,1,7,65
12,4.940,PSYCHOL SCI,142,1,6,7,6,21,12,14,12,14,5,44
13,14.756,PSYCHOL BULL,116,2,7,3,5,15,4,5,7,6,1,61
14,2.127,Q J EXP PSYCHOL,108,0,10,8,8,10,24,9,10,4,0,25
15,21.965,TRENDS COGN SCI,84,0,2,5,7,6,7,5,8,5,1,38
16, ,J VERB LEARN VERB BE,75,0,0,0,0,0,0,0,0,0,0,75
17, ,Q J EXP PSYCHOL-A,62,0,0,0,0,0,0,0,0,0,1,61
18, ,J EXP PSYCHOL,61,0,0,0,0,0,0,0,0,0,0,61
19,2.248,ACTA PSYCHOL,60,0,6,6,6,9,4,4,0,1,0,24
20,2.928,BEHAV RES METHODS,59,1,0,5,3,2,4,1,15,4,4,20
21,2.863,PSYCHOL RES-PSYCH FO,58,0,3,4,3,0,4,9,10,4,1,20
22,3.302,NEUROPSYCHOLOGIA,54,0,1,5,12,5,10,2,4,1,0,14
23,2.646,PSYCHOL AGING,53,0,1,5,2,3,5,5,2,6,0,24
24,4.085,J COGNITIVE NEUROSCI,52,0,2,2,7,5,5,5,2,3,4,17
25,1.688,MEMORY,46,2,4,11,0,4,2,3,1,2,2,15
26,2.964,PSYCHOL LEARN MOTIV,45,0,3,4,2,5,2,3,0,1,0,25
27,2.446,COGNITIVE SCI,44,0,2,2,6,1,2,2,3,2,3,21
28, ,PERCEPT PSYCHOPHYS,44,0,0,0,0,0,0,1,2,2,2,37
29, ,SCIENCE,44,0,0,2,2,4,0,6,2,3,0,25
30,2.134,LANG COGNITIVE PROC,42,0,8,5,1,2,4,5,2,1,1,13
31,20.771,BEHAV BRAIN SCI,40,0,0,3,0,0,4,0,4,0,0,29
32, ,J NEUROSCI,38,0,1,4,9,6,4,1,1,3,0,9
33,2.609,J MATH PSYCHOL,37,0,0,3,7,1,0,1,0,1,1,23
34,5.678,CURR DIR PSYCHOL SCI,36,0,2,9,7,2,2,2,2,1,3,6
35,1.949,J EXP PSYCHOL-ANIM L,35,0,1,1,6,1,1,4,1,4,2,14
36,5.031,J PERS SOC PSYCHOL,35,1,0,1,0,0,0,2,0,2,0,29
37,1.321,APPL COGNITIVE PSYCH,34,0,0,2,1,3,0,0,1,3,3,21
38, ,P NATL ACAD SCI USA,34,0,2,5,4,0,5,6,2,3,0,7
39, ,EUR J COGN PSYCHOL,32,0,0,0,0,2,1,7,3,3,1,15
40,21.810,ANNU REV PSYCHOL,30,0,3,6,3,1,0,3,0,2,0,12
41,1.941,CONSCIOUS COGN,30,0,0,5,2,1,2,6,2,2,0,10
