Citing Journal Data: JOURNAL OF NEUROSCIENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,83906,1532,5504,6512,6235,5782,5441,5009,4865,4278,3984,34764
2, ,ALL OTHERS (2010),2010,65,112,126,125,119,87,88,88,78,68,1054
3,6.344,J NEUROSCI,10177,234,800,867,932,833,761,655,629,572,515,3379
4,15.054,NEURON,4633,98,326,430,423,326,304,295,283,298,286,1564
5,9.674,P NATL ACAD SCI USA,3311,39,205,229,252,277,276,186,244,186,146,1271
6,2.887,J NEUROPHYSIOL,2970,10,107,140,143,173,157,154,182,154,134,1616
7,41.456,NATURE,2803,21,154,189,145,140,182,148,120,130,99,1475
8,16.095,NAT NEUROSCI,2779,50,230,215,242,269,246,157,198,160,222,790
9,33.611,SCIENCE,2350,20,77,86,65,122,135,118,120,127,102,1378
10,6.357,NEUROIMAGE,1592,60,133,189,145,156,113,99,108,100,94,395
11,3.225,J COMP NEUROL,1512,12,39,32,26,55,51,43,56,53,65,1080
12,5.037,J PHYSIOL-LONDON,1402,9,48,71,50,50,43,72,62,51,71,875
13,4.573,J BIOL CHEM,1227,9,50,87,85,70,66,53,50,41,72,644
14,2.843,BRAIN RES,1124,1,20,27,17,45,35,43,35,41,17,843
15,3.357,NEUROSCIENCE,1070,17,54,39,51,55,87,71,47,52,48,549
16,8.665,CEREB CORTEX,1057,43,128,94,87,86,65,96,79,40,44,295
17,31.427,NAT REV NEUROSCI,1044,10,55,100,59,84,103,99,71,69,80,314
18,3.234,PLOS ONE,1023,31,210,254,227,119,86,60,33,2,0,1
19,3.181,EUR J NEUROSCI,994,12,45,62,74,65,67,71,78,70,61,389
20,32.242,CELL,954,17,56,73,64,49,56,59,57,49,43,431
21,13.555,TRENDS NEUROSCI,641,9,38,36,49,31,39,26,57,30,29,297
22,2.036,EXP BRAIN RES,609,1,8,22,14,17,23,23,28,25,19,429
23,19.320,ANNU REV NEUROSCI,580,0,23,36,47,23,31,44,47,24,29,276
24,9.196,BRAIN,568,17,43,38,39,39,31,28,35,34,18,246
25,6.628,CURR OPIN NEUROBIOL,563,7,27,62,55,67,35,31,46,35,26,172
26,9.571,CURR BIOL,559,12,63,83,50,47,49,36,32,34,43,110
27,9.834,J CELL BIOL,515,5,24,26,17,38,23,27,32,9,16,298
28,4.281,J NEUROCHEM,505,3,17,28,25,33,39,35,40,23,35,227
29,21.965,TRENDS COGN SCI,494,6,39,47,57,37,35,38,34,38,38,125
30,1.815,VISION RES,482,2,9,7,25,18,26,12,15,16,19,333
31,6.462,DEVELOPMENT,405,5,15,21,19,18,18,26,21,28,19,215
32,4.085,J COGNITIVE NEUROSCI,393,12,35,29,51,34,26,22,26,22,22,114
33,10.255,BIOL PSYCHIAT,384,16,41,36,45,45,36,32,28,25,17,63
34,7.048,NEUROPSYCHOPHARMACOL,372,14,27,23,50,63,23,35,24,22,20,71
35,4.162,HIPPOCAMPUS,347,7,19,47,12,25,14,34,22,15,33,119
36,2.025,J NEUROSCI METH,346,2,7,20,17,14,22,29,45,23,11,156
37,2.030,NEUROSCI LETT,344,2,9,14,9,26,14,35,18,15,11,191
38,4.696,EXP NEUROL,342,5,22,36,18,25,27,20,15,19,20,135
39,3.875,PSYCHOPHARMACOLOGY,338,9,30,18,19,9,22,28,33,15,11,144
40,3.028,BEHAV BRAIN RES,336,3,21,27,38,20,30,18,13,12,11,143
41,3.302,NEUROPSYCHOLOGIA,328,9,23,32,31,20,26,23,16,22,7,119
42,5.106,NEUROPHARMACOLOGY,296,6,35,25,27,13,28,25,16,3,13,105
43,10.434,EMBO J,292,8,7,32,25,12,12,5,20,20,14,137
44,5.969,HUM BRAIN MAPP,282,20,34,26,19,16,27,5,9,13,22,91
45,4.383,ANN NY ACAD SCI,275,2,6,10,30,25,17,32,18,9,0,126
46,1.520,NEUROREPORT,255,1,3,8,2,10,11,8,10,11,14,177
47,2.968,HEARING RES,244,4,10,4,27,10,4,8,15,12,8,142
48,2.393,J VISION,244,1,15,26,41,33,30,36,15,5,15,27
49,9.977,ANN NEUROL,242,6,12,18,17,17,12,12,6,9,15,118
50,1.503,J ACOUST SOC AM,241,2,9,3,3,13,13,4,6,7,7,174
51,9.343,PLOS BIOL,241,3,9,21,34,29,22,27,22,37,27,10
52,27.324,PHYSIOL REV,239,5,6,8,7,23,18,21,12,8,10,121
53,7.055,PHILOS T R SOC B,236,17,4,12,20,2,20,15,11,10,28,97
54,9.992,PROG NEUROBIOL,234,3,11,14,28,8,12,11,6,12,5,124
55,6.031,GLIA,223,4,24,26,28,17,10,21,24,13,11,45
56,8.185,NEUROLOGY,219,2,13,17,13,9,5,8,9,15,10,118
57,6.393,HUM MOL GENET,218,10,18,30,17,30,12,13,9,14,12,53
58,3.657,LEARN MEMORY,216,4,13,19,12,15,22,26,18,14,9,64
59,3.840,MOL CELL NEUROSCI,214,0,7,7,16,12,16,12,16,23,16,89
60,2.594,J NEUROSCI RES,212,0,9,9,9,16,15,10,16,9,11,108
61,5.213,PAIN,210,4,22,20,16,16,10,15,11,11,7,78
62,29.352,NAT GENET,209,1,6,6,11,4,16,9,4,6,10,136
63,8.802,NEUROSCI BIOBEHAV R,209,2,21,25,20,20,9,10,4,14,11,73
64,2.728,BEHAV NEUROSCI,202,0,3,1,14,8,4,14,12,11,12,123
65,2.833,PROG BRAIN RES,197,2,7,10,13,10,3,11,21,23,11,86
66,5.013,NEUROBIOL AGING,196,8,28,33,21,12,8,20,15,9,3,39
67,4.503,ENDOCRINOLOGY,194,2,6,18,16,14,16,8,5,6,16,87
68,3.972,J PHARMACOL EXP THER,191,0,3,7,9,7,12,9,13,15,7,109
69,28.223,NAT MED,191,1,10,19,15,12,14,26,6,8,12,68
70,13.262,J CLIN INVEST,178,2,17,17,26,12,9,8,18,9,10,50
71,10.798,GENE DEV,174,1,2,4,8,13,15,7,11,8,11,94
72,5.078,NEUROBIOL DIS,174,10,19,21,21,19,11,10,14,11,11,27
73,3.404,INVEST OPHTH VIS SCI,173,3,9,8,17,13,15,11,8,15,6,68
74,4.620,PLOS COMPUT BIOL,163,4,30,30,29,20,22,17,9,2,0,0
75,3.547,DEV BIOL,161,1,7,4,10,8,7,6,14,17,12,75
76,32.072,NAT METHODS,161,3,7,40,22,17,22,12,13,10,11,4
77,5.432,J CELL SCI,158,1,11,8,14,12,12,7,12,9,11,61
78,4.128,MOL PHARMACOL,158,3,7,5,5,9,10,11,10,15,8,75
79,4.777,MOL CELL BIOL,156,1,2,5,4,2,10,10,11,8,13,90
80,2.207,VISUAL NEUROSCI,155,0,1,8,6,5,5,4,10,1,8,107
81,3.097,CLIN NEUROPHYSIOL,150,4,10,9,6,7,13,8,16,11,8,58
82,7.972,PSYCHOL REV,149,1,5,5,0,4,1,2,6,5,2,118
83,3.626,FRONT HUM NEUROSCI,148,4,41,35,21,36,6,3,2,0,0,0
84, ,BRAIN RES REV,147,0,0,0,6,7,9,21,20,1,6,77
85,3.972,BIOPHYS J,146,1,4,3,6,5,5,5,9,6,6,96
86, ,PSYCHOL SCI,142,5,8,9,10,9,17,9,9,9,10,47
87,2.718,BRAIN RES BULL,141,0,3,8,9,5,5,7,6,4,5,89
88,4.842,BRIT J PHARMACOL,139,3,9,12,14,2,10,8,6,3,2,70
89,2.207,NEURAL COMPUT,138,0,3,5,4,5,7,8,8,11,4,83
90,19.679,NAT CELL BIOL,135,1,7,6,10,7,9,13,14,12,5,51
91,4.788,J GEN PHYSIOL,134,5,12,6,9,4,10,4,4,11,2,67
92,2.532,EUR J PHARMACOL,133,0,4,1,2,5,5,12,3,3,5,93
93,5.407,J CEREBR BLOOD F MET,132,7,9,16,13,9,3,7,9,7,3,49
94,4.466,MOL BIOL CELL,128,0,2,4,9,9,9,7,12,8,12,56
95,2.976,PHYSIOL BEHAV,128,1,1,7,5,6,10,5,2,5,7,79
96,12.295,AM J PSYCHIAT,127,0,1,5,9,13,3,8,10,6,11,61
97,2.986,PSYCHOPHYSIOLOGY,127,0,8,12,16,9,6,7,3,2,6,58
98,9.673,NAT PROTOC,125,1,1,8,5,11,22,12,18,47,0,0
99,14.496,MOL PSYCHIATR,121,5,23,14,11,11,4,14,12,2,2,23
100,2.297,BIOCHEM BIOPH RES CO,120,0,3,4,2,5,9,9,6,12,2,68
101, ,ELECTROEN CLIN NEURO,118,0,0,0,0,0,0,0,0,0,0,118
102,14.480,ARCH GEN PSYCHIAT,115,0,0,11,6,5,10,6,5,10,10,52
103,3.106,AM J PHYSIOL-REG I,114,0,6,4,3,5,4,1,13,9,5,64
104,3.652,NEUROBIOL LEARN MEM,111,7,16,10,9,9,7,13,11,2,2,25
105,5.761,STROKE,110,0,8,10,3,3,13,12,14,3,7,37
106,1.937,NEUROSCI RES,108,2,2,6,10,3,4,8,3,4,5,61
107,6.837,NEUROSCIENTIST,104,0,8,8,11,12,8,7,10,11,6,23
108,5.043,FASEB J,103,0,7,13,8,7,4,7,4,12,6,35
109,3.169,FEBS LETT,103,1,4,0,3,6,6,7,6,7,2,61
110,4.922,J IMMUNOL,100,0,9,5,7,6,6,13,5,6,6,37
111,11.470,NAT COMMUN,100,12,42,36,10,0,0,0,0,0,0,0
112,4.591,SLEEP,99,6,14,4,11,11,10,7,5,2,1,28
113,2.781,PHARMACOL BIOCHEM BE,98,2,0,3,2,2,10,4,3,3,7,62
114,9.708,DEV CELL,97,3,5,18,12,9,8,7,5,9,7,14
115,9.112,NUCLEIC ACIDS RES,97,3,7,14,4,8,2,4,5,2,6,42
116,3.571,MAGN RESON MED,96,1,1,1,2,1,2,4,1,3,4,76
117,2.127,SYNAPSE,96,0,2,5,3,2,3,7,5,6,7,56
118,4.396,BIOCHEM J,95,0,0,6,4,7,5,3,8,3,4,55
119,4.571,EPILEPSIA,94,1,6,5,9,7,5,3,5,5,5,43
120,2.897,J EXP BIOL,94,1,7,1,3,4,5,9,3,3,2,56
121,14.018,MOL CELL,93,1,5,7,9,11,9,6,3,5,3,34
122,7.419,ARCH NEUROL-CHICAGO,92,0,0,15,7,4,4,6,5,7,3,41
123,1.739,J COMPUT NEUROSCI,92,3,5,8,6,7,5,3,8,2,6,39
124,4.591,AM J PATHOL,91,1,6,7,7,9,6,7,4,3,3,38
125,3.568,FRONT NEURAL CIRCUIT,91,2,42,33,3,6,3,2,0,0,0,0
126,3.714,J NEUROTRAUM,90,0,7,7,10,7,3,3,6,9,5,33
127,37.806,NAT REV MOL CELL BIO,90,2,4,9,5,5,18,7,11,5,4,20
128,3.656,FRONT NEUROSCI-SWITZ,88,7,27,17,7,6,8,4,12,0,0,0
129,3.358,J EXP PSYCHOL HUMAN,88,0,6,4,1,4,4,6,3,4,2,54
130,18.510,ANNU REV PHYSIOL,87,4,6,4,1,7,4,3,5,2,0,51
131, ,J NEUROBIOL,87,0,0,0,0,0,0,0,0,6,8,73
132,3.015,BIOCHEMISTRY-US,86,0,3,1,2,5,4,3,8,6,5,49
133, ,MOL BRAIN RES,86,0,0,0,0,0,0,0,0,0,5,81
134,10.762,ACTA NEUROPATHOL,83,6,5,8,9,8,9,2,3,3,2,28
135, ,PERCEPT PSYCHOPHYS,83,0,0,0,0,0,0,2,2,3,0,76
136,5.051,P ROY SOC B-BIOL SCI,82,0,2,2,5,2,1,0,4,0,1,65
137,5.618,BRAIN STRUCT FUNCT,81,4,20,6,8,24,2,6,11,0,0,0
138,5.128,CORTEX,81,4,15,9,9,8,4,4,6,1,5,16
139,55.873,NEW ENGL J MED,79,2,6,4,3,11,3,5,3,3,5,34
140,3.370,DEV NEUROBIOL,78,4,5,9,23,6,7,8,16,0,0,0
141,4.151,J ALZHEIMERS DIS,75,6,6,15,13,15,8,6,1,1,0,4
142,6.807,J NEUROL NEUROSUR PS,75,3,2,0,1,2,2,2,4,0,1,58
143, ,RAT BRAIN STEREOTAXI,75,0,1,0,0,0,1,1,13,7,19,33
144, ,J NEUROCYTOL,74,0,0,0,0,0,0,0,0,0,1,73
145,2.665,BMC NEUROSCI,73,0,5,5,5,11,11,7,11,4,2,12
146,22.268,CELL STEM CELL,73,2,12,6,8,19,6,12,8,0,0,0
147,2.036,J COMP PHYSIOL A,73,1,0,5,2,1,3,1,1,2,4,53
148,7.528,PLOS GENET,73,1,11,14,9,10,13,10,1,2,2,0
149, ,FRONT PSYCHOL,72,2,19,15,34,2,0,0,0,0,0,0
150,21.896,LANCET NEUROL,72,2,13,6,13,14,2,6,2,4,3,7
151,2.018,GENESIS,70,0,0,2,2,6,0,1,6,13,5,35
152,1.713,BIOL CYBERN,68,1,3,3,1,0,0,6,3,4,1,46
153,17.565,CELL METAB,68,4,15,7,12,4,8,7,7,1,3,0
154, ,MOUSE BRAIN STEREOTA,68,0,0,0,0,0,0,17,8,0,0,43
