Citing Journal Data: JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,10019,112,404,583,547,570,525,575,517,447,367,5372
2, ,ALL OTHERS (1703),1703,40,88,88,97,78,63,72,74,57,71,975
3,5.031,J PERS SOC PSYCHOL,1617,9,26,61,81,73,61,75,56,72,64,1039
4,2.909,PERS SOC PSYCHOL B,378,3,9,24,13,19,21,21,22,23,21,202
5,4.940,PSYCHOL SCI,317,6,29,26,24,33,38,38,22,23,18,60
6,2.285,J EXP SOC PSYCHOL,262,3,12,23,27,23,33,24,15,12,4,86
7,14.756,PSYCHOL BULL,257,0,11,7,5,15,5,6,2,14,6,186
8,7.972,PSYCHOL REV,175,0,2,5,5,16,6,3,0,4,3,131
9,3.229,J PERS,134,3,3,5,1,6,4,9,11,4,5,83
10,2.264,J RES PERS,117,0,9,12,6,7,15,18,5,18,4,23
11,6.692,PERS SOC PSYCHOL REV,114,3,6,3,4,18,4,7,12,13,3,41
12,6.100,AM PSYCHOL,112,0,2,1,3,0,3,3,1,6,0,93
13,1.712,EUR J SOC PSYCHOL,106,1,2,8,8,6,7,9,10,2,4,49
14,5.318,ADV EXP SOC PSYCHOL,92,3,2,5,1,4,4,3,1,5,3,61
15,1.951,PERS INDIV DIFFER,80,0,3,6,11,6,7,3,3,3,3,35
16,21.810,ANNU REV PSYCHOL,78,6,0,3,1,3,8,0,11,5,3,38
17, ,SCIENCE,72,0,1,4,6,4,9,13,7,9,4,15
18,3.125,J CONSUM RES,69,0,1,6,6,9,5,7,6,0,2,27
19,5.678,CURR DIR PSYCHOL SCI,68,1,3,8,6,1,10,5,8,2,7,17
20,3.347,EUR J PERSONALITY,68,1,2,8,8,4,5,0,4,4,4,28
21,9.546,PERSPECT PSYCHOL SCI,67,0,7,1,19,7,4,11,15,3,0,0
22,2.201,ORGAN BEHAV HUM DEC,65,1,4,4,2,3,1,2,4,3,1,40
23,4.141,DEV PSYCHOL,63,0,4,8,6,5,3,4,2,3,0,28
24,4.061,CHILD DEV,62,0,3,1,2,3,0,1,6,5,2,39
25,1.366,PERS RELATIONSHIP,58,0,4,4,1,8,3,3,3,0,2,30
26,6.250,PSYCHOL INQ,55,0,1,2,0,5,3,0,7,2,2,33
27,3.383,EMOTION,51,4,3,9,8,3,6,6,2,3,2,5
28,2.928,BEHAV RES METHODS,47,2,2,2,3,0,2,20,4,2,0,10
29,1.532,SOC COGNITION,44,0,3,4,1,1,2,5,1,2,3,22
30,2.561,SOC PSYCHOL PERS SCI,42,4,12,16,7,3,0,0,0,0,0,0
31,5.929,J EXP PSYCHOL GEN,39,3,6,6,0,1,4,1,3,4,0,11
32,5.153,J ABNORM PSYCHOL,38,0,0,3,0,0,2,3,0,0,0,30
33,4.799,J APPL PSYCHOL,38,0,2,8,2,3,1,2,2,0,1,17
34,1.713,J FAM PSYCHOL,35,0,0,4,0,2,0,7,4,1,3,14
35,1.529,J SOC ISSUES,35,0,2,0,0,1,0,1,1,1,2,27
36,7.338,PSYCHOL METHODS,35,0,0,6,2,1,2,0,4,0,2,18
37,1.913,BRIT J SOC PSYCHOL,33,0,3,5,1,2,3,2,2,0,1,14
38,2.384,POLIT PSYCHOL,33,1,3,3,4,1,4,3,1,1,2,10
39, ,HANDB SOC PSYCHOL,32,0,0,0,0,11,0,0,0,1,0,20
40,1.160,J SOC PERS RELAT,32,0,0,1,1,2,1,2,5,4,1,15
41, ,SOC PERSONALITY P,32,0,2,3,4,10,5,7,1,0,0,0
42,20.771,BEHAV BRAIN SCI,31,0,1,1,1,4,1,0,0,0,1,22
43, ,HANDB PERS THEORY,31,0,0,0,0,1,0,17,0,0,0,13
44,1.929,J CROSS CULT PSYCHOL,31,0,2,4,2,1,0,3,1,0,0,18
45, ,P NATL ACAD SCI USA,31,0,1,5,5,6,3,4,3,0,1,3
46,2.201,COGNITION EMOTION,29,0,0,0,1,5,3,1,1,0,0,18
47,1.548,GROUP PROCESS INTERG,29,0,1,1,3,2,5,3,5,2,1,6
48,5.279,J CONSULT CLIN PSYCH,29,0,0,0,0,0,0,1,1,1,0,26
49,1.837,J PERS ASSESS,28,0,0,0,2,3,6,1,1,0,1,14
50, ,**NON-TRADITIONAL**,26,0,0,0,0,0,0,0,0,0,0,26
51,1.156,REV GEN PSYCHOL,26,0,0,0,0,1,0,0,2,2,2,19
52,21.965,TRENDS COGN SCI,26,0,1,3,2,0,1,1,4,1,1,12
53,3.479,COGNITION,25,0,1,0,3,3,1,6,0,2,0,9
54,1.230,J ECON PSYCHOL,24,0,3,3,3,2,3,0,1,0,2,7
55,3.518,J EDUC PSYCHOL,24,1,0,1,0,1,0,2,0,0,1,18
56,1.514,SELF IDENTITY,23,1,2,2,2,3,4,0,3,0,0,6
57,1.395,SOC INDIC RES,22,0,1,2,0,4,3,2,1,1,2,6
58,3.130,EVOL HUM BEHAV,21,1,1,2,2,2,1,1,3,1,3,4
59, ,MULTIPLE REGRESSION,21,0,0,0,0,0,0,0,0,0,0,21
60, ,NATURE,21,0,1,4,0,1,0,2,2,0,3,8
61,4.176,STRUCT EQU MODELING,21,0,0,3,0,3,3,0,1,1,0,10
62,3.395,BEHAV RES THER,20,0,0,0,1,1,1,0,3,1,0,13
63,6.932,CLIN PSYCHOL REV,20,0,1,1,0,5,2,3,1,1,0,6
