Citing Journal Data: NEUROPSYCHOLOGIA,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,24869,388,1276,1577,1705,1669,1541,1439,1549,1336,1346,11043
2, ,ALL OTHERS (1768),1768,53,88,86,86,82,75,69,84,61,79,1005
3, ,NEUROIMAGE,1326,28,52,120,128,113,84,72,101,117,100,411
4,3.302,NEUROPSYCHOLOGIA,1244,27,53,85,120,126,83,98,94,92,51,415
5, ,J NEUROSCI,891,7,67,88,106,89,69,53,76,64,52,220
6,4.085,J COGNITIVE NEUROSCI,772,15,38,34,71,68,52,53,57,63,73,248
7, ,CEREB CORTEX,628,10,47,57,40,65,56,43,77,35,54,144
8, ,BRAIN,579,4,8,30,16,26,45,23,22,21,19,365
9, ,P NATL ACAD SCI USA,484,3,18,33,37,50,35,19,40,34,30,185
10,21.965,TRENDS COGN SCI,477,6,16,39,43,18,27,25,53,30,47,173
11, ,SCIENCE,375,0,8,4,12,15,16,15,25,13,16,251
12, ,HUM BRAIN MAPP,371,7,35,23,18,26,62,16,23,20,35,106
13, ,NAT NEUROSCI,369,0,6,10,18,6,25,24,21,9,48,202
14, ,NEURON,337,6,10,28,26,25,27,21,22,26,25,121
15, ,EXP BRAIN RES,325,4,15,14,29,29,21,17,18,11,16,151
16,3.215,BRAIN LANG,322,2,20,23,14,13,17,17,24,12,9,171
17, ,CORTEX,283,4,37,24,21,15,18,25,17,7,7,108
18, ,J NEUROPHYSIOL,277,3,6,10,12,23,14,10,13,18,19,149
19, ,BRAIN RES,273,0,6,24,21,26,32,36,41,44,4,39
20, ,NAT REV NEUROSCI,253,2,6,13,7,38,17,32,27,11,21,79
21, ,PLOS ONE,252,11,49,67,46,32,17,19,11,0,0,0
22,2.986,PSYCHOPHYSIOLOGY,249,2,8,14,18,15,13,19,14,5,10,131
23, ,NATURE,243,0,2,3,0,2,4,4,0,13,13,202
24,4.940,PSYCHOL SCI,238,8,19,11,14,23,10,17,17,19,18,82
25, ,NEUROREPORT,231,0,4,4,7,8,6,13,11,8,11,159
26,2.477,BRAIN COGNITION,216,1,12,9,8,18,25,10,10,11,9,103
27, ,NEUROLOGY,208,0,1,7,5,2,2,11,6,17,11,146
28,2.862,J EXP PSYCHOL LEARN,202,2,3,13,5,5,7,5,11,7,13,131
29,7.972,PSYCHOL REV,200,2,5,2,0,3,2,4,6,7,3,166
30, ,COGNITIVE BRAIN RES,195,0,0,0,0,0,0,0,0,1,50,144
31,3.479,COGNITION,187,4,5,12,10,11,15,22,11,7,9,81
32,3.358,J EXP PSYCHOL HUMAN,187,2,7,7,10,9,13,7,4,7,6,115
33, ,BIOL PSYCHIAT,159,1,10,14,16,18,8,12,8,12,14,46
34, ,CURR BIOL,155,1,12,13,8,19,19,12,22,12,8,29
35, ,EUR J NEUROSCI,154,1,4,8,13,12,10,15,10,14,13,54
36, ,FRONT HUM NEUROSCI,152,17,51,33,18,18,8,7,0,0,0,0
37, ,NEUROSCI LETT,149,1,5,5,15,13,11,16,10,8,7,58
38,5.929,J EXP PSYCHOL GEN,145,3,10,7,4,4,2,7,6,6,5,91
39, ,CLIN NEUROPHYSIOL,136,1,4,4,2,3,16,7,13,10,9,67
40, ,NEUROSCI BIOBEHAV R,130,5,12,32,5,14,10,10,4,14,1,23
41, ,CURR OPIN NEUROBIOL,129,0,10,7,2,10,2,7,9,11,16,55
42, ,ANNU REV NEUROSCI,126,1,1,6,12,8,4,6,12,1,5,70
43,2.882,INT J PSYCHOPHYSIOL,125,1,3,13,8,7,12,7,15,5,7,47
44,2.560,FRONT PSYCHOL,122,5,36,35,38,8,0,0,0,0,0,0
45, ,PERCEPT PSYCHOPHYS,122,0,0,0,0,0,0,4,6,2,5,105
46, ,VISION RES,119,1,2,3,8,5,11,3,9,4,8,65
47,2.457,MEM COGNITION,118,1,3,2,4,6,4,2,5,6,9,76
48, ,PHILOS T R SOC B,115,1,0,2,5,1,21,12,20,3,8,42
49, ,ANN NY ACAD SCI,114,2,2,7,5,6,15,27,3,3,4,40
50,4.237,J MEM LANG,114,1,4,8,3,2,3,12,4,5,5,67
51,3.269,NEUROPSYCHOLOGY,114,1,4,3,7,8,8,10,10,7,10,46
52, ,COGN AFFECT BEHAV NE,111,5,3,5,9,5,7,11,17,5,13,31
53,2.073,COGN NEUROPSYCHOL,111,0,0,4,2,7,10,3,8,4,7,66
54,14.756,PSYCHOL BULL,111,0,4,6,0,17,3,1,6,1,7,66
55,3.403,BIOL PSYCHOL,105,1,6,8,8,9,12,11,6,3,5,36
56, ,ELECTROEN CLIN NEURO,104,0,0,0,0,0,0,0,0,1,0,103
57, ,J ACOUST SOC AM,103,0,1,4,3,2,2,4,0,6,3,78
58,3.369,PSYCHON B REV,99,0,4,6,7,5,10,5,6,12,8,36
59,20.771,BEHAV BRAIN SCI,97,2,12,2,0,2,1,0,4,0,4,70
60, ,BEHAV BRAIN RES,93,1,9,8,13,7,6,2,2,3,2,40
61,7.372,SOC COGN AFFECT NEUR,92,10,19,17,11,5,12,4,8,6,0,0
62, ,HIPPOCAMPUS,87,2,9,8,6,11,4,2,7,4,8,26
63, ,J NEUROL NEUROSUR PS,83,0,3,1,10,1,2,3,1,4,1,57
64, ,NEUROSCIENCE,82,1,5,10,6,12,6,2,2,14,1,23
65,2.248,ACTA PSYCHOL,78,2,0,4,9,0,3,7,1,3,3,46
66,5.064,COGNITIVE PSYCHOL,77,1,2,2,1,1,3,1,3,3,0,60
67,3.665,J AUTISM DEV DISORD,76,2,4,7,8,4,3,8,6,8,1,25
68,0.906,PERCEPTION,75,0,0,1,1,4,2,0,9,8,4,46
69,2.127,Q J EXP PSYCHOL,74,4,4,7,3,10,2,6,5,4,0,29
70, ,TRENDS NEUROSCI,72,0,1,6,2,2,5,5,2,4,1,44
71,21.810,ANNU REV PSYCHOL,71,0,3,4,21,1,5,8,10,2,1,16
72,1.941,CONSCIOUS COGN,71,3,7,7,10,6,4,14,5,0,1,14
73,3.808,DEVELOPMENTAL SCI,69,3,4,6,5,8,8,2,8,5,3,17
74,12.295,AM J PSYCHIAT,68,0,0,2,3,4,3,5,6,3,6,36
75, ,NEUROCASE,66,1,0,2,4,4,8,3,1,2,1,40
76,3.923,SCHIZOPHR RES,65,0,6,1,6,8,8,6,5,4,3,18
77,5.031,J PERS SOC PSYCHOL,64,0,0,1,1,2,0,3,3,1,0,53
78,2.083,J CLIN EXP NEUROPSYC,62,2,1,1,1,8,5,2,3,2,1,36
79, ,ANN NEUROL,61,0,0,2,2,0,2,2,0,4,6,43
80,2.863,PSYCHOL RES-PSYCH FO,61,1,8,9,1,2,8,4,0,0,2,26
81,14.480,ARCH GEN PSYCHIAT,59,0,0,2,2,4,4,1,4,3,5,34
82, ,J VISION,57,3,3,5,9,13,6,7,6,1,0,4
83,2.928,BEHAV RES METHODS,54,0,1,2,4,2,1,6,5,3,4,26
84, ,J COMP NEUROL,54,0,1,0,1,0,1,1,2,2,3,43
85,2.134,LANG COGNITIVE PROC,54,0,1,6,5,2,3,3,1,0,1,32
86, ,NEUROBIOL AGING,54,1,4,9,4,6,8,5,1,4,2,10
87, ,ARCH NEUROL-CHICAGO,53,0,0,0,1,4,2,2,2,3,1,38
88,2.646,PSYCHOL AGING,53,0,7,3,2,5,4,3,0,3,1,25
89,5.678,CURR DIR PSYCHOL SCI,51,0,5,4,1,3,9,3,9,2,1,14
90,4.141,DEV PSYCHOL,48,2,2,2,4,6,3,1,0,0,1,27
91,6.459,J CHILD PSYCHOL PSYC,48,0,1,0,2,1,2,2,3,3,3,31
92, ,J INT NEUROPSYCH SOC,48,0,1,3,5,4,5,4,1,3,1,21
93, ,NEUROPSYCHOPHARMACOL,48,1,2,0,13,12,2,5,2,0,3,8
94, ,J NEUROSCI METH,47,0,1,0,0,4,0,2,18,0,1,21
95, ,SOC NEUROSCI-UK,47,1,4,8,11,3,3,8,5,4,0,0
96,2.549,J EXP CHILD PSYCHOL,45,1,3,3,3,1,7,1,3,1,1,21
97, ,MOVEMENT DISORD,45,1,0,0,8,3,1,5,6,2,0,19
98,5.938,PSYCHOL MED,45,1,4,8,2,5,2,1,1,5,6,10
99,4.061,CHILD DEV,44,2,4,1,3,1,3,1,4,2,2,21
100, ,Q J EXP PSYCHOL-A,42,0,0,0,0,0,0,0,0,0,6,36
101, ,J EXP PSYCHOL,40,0,0,0,0,0,0,0,0,0,0,40
102, ,PAIN,40,0,2,6,3,6,2,7,2,3,0,9
103, ,PROG BRAIN RES,40,0,1,0,2,0,1,1,3,15,1,16
104, ,APHASIOLOGY,38,2,3,4,9,4,4,1,3,3,0,5
105,1.489,J NEUROLINGUIST,38,0,7,3,4,4,5,4,3,2,0,6
106, ,BRAIN TOPOGR,37,2,4,2,0,5,5,4,0,1,0,14
107,2.254,BRIT J PSYCHOL,37,0,1,0,4,0,0,2,3,1,1,25
108,3.383,EMOTION,37,0,4,3,2,5,2,5,5,2,1,8
109,2.241,DEV NEUROPSYCHOL,36,0,0,2,1,7,0,2,1,1,5,17
110,5.153,J ABNORM PSYCHOL,36,1,2,2,1,0,1,2,1,4,1,21
111,8.450,SCHIZOPHRENIA BULL,35,0,2,4,5,2,4,1,0,0,0,17
112,1.356,LATERALITY,34,1,3,2,2,3,1,1,2,4,1,14
113, ,HEARING RES,33,2,3,1,6,4,6,0,1,2,1,7
114,2.201,COGNITION EMOTION,32,1,4,1,3,5,1,0,3,0,2,12
115,2.446,COGNITIVE SCI,32,1,2,0,2,2,1,2,2,2,1,17
116,3.957,J PSYCHIATR RES,32,0,0,0,1,2,2,1,1,1,0,24
117, ,P ROY SOC B-BIOL SCI,32,0,1,5,4,1,3,0,1,0,1,16
118,2.467,PSYCHIAT RES,31,0,3,3,5,1,3,1,1,2,2,10
119, ,PSYCHIAT RES-NEUROIM,31,0,4,2,2,4,4,1,4,4,1,5
120, ,BRAIN STRUCT FUNCT,30,4,5,2,2,12,2,1,2,0,0,0
121, ,SPATIAL VISION,30,0,0,0,0,0,1,0,0,0,0,29
122, ,BRAIN RES BULL,29,0,0,0,2,1,3,2,2,3,2,14
