Citing Journal Data: PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,167468,5033,14504,16000,14442,13130,11450,9995,9070,8072,7049,58723
2, ,ALL OTHERS (9027),9027,379,744,651,597,489,413,364,361,293,271,4465
3, ,**NON-TRADITIONAL**,125,0,0,0,0,0,0,0,0,0,0,125
4, ,1 BREAK,2,0,0,1,0,0,0,0,0,0,0,1
5, ,1 FARMERS ORIGINS AG,2,0,0,0,0,0,0,0,0,0,2,0
6, ,1 STEPS ANIMAL DOMES,2,0,0,0,0,0,0,0,0,0,2,0
7, ,2 DIMENSIONAL OPTICA,2,0,0,0,0,0,2,0,0,0,0,0
8, ,21 C RETR OPP INF BO,2,2,0,0,0,0,0,0,0,0,0,0
9, ,25 AAAI C ART INT,2,0,0,0,2,0,0,0,0,0,0,0
10, ,4D ELECT MICROSCOPY,2,0,0,0,0,2,0,0,0,0,0,0
11, ,5 IPCC,2,0,1,0,0,1,0,0,0,0,0,0
12, ,503 GEOL SOC AM,4,4,0,0,0,0,0,0,0,0,0,0
13, ,54 ANN M EXP DEC,2,0,0,2,0,0,0,0,0,0,0,0
14, ,A AP,2,0,0,0,0,2,0,0,0,0,0,0
15,2.606,AAPG BULL,4,1,0,1,0,0,0,0,0,0,0,2
16,3.799,AAPS J,2,0,0,0,0,0,0,1,0,0,1,0
17,1.641,AAPS PHARMSCITECH,4,0,0,1,0,0,0,1,0,0,1,1
18, ,ABORIC URBAN FOR,2,0,0,1,1,0,0,0,0,0,0,0
19, ,ABSTR PAP AM CHEM S,2,0,0,0,0,0,0,0,0,0,2,0
20, ,ACAD MANAGE J,3,0,0,0,0,0,1,0,0,0,0,2
21, ,ACAD MANAGE REV,3,0,0,0,0,0,0,0,0,0,0,3
22,22.323,ACCOUNTS CHEM RES,137,4,8,16,10,3,19,11,4,6,10,46
23, ,ACI SPEC PUBLICAT,2,0,0,0,0,0,0,0,0,0,0,2
24,1.116,ACM SIGCOMM COMP COM,2,0,0,0,1,0,0,1,0,0,0,0
25,4.096,ACM T GRAPHIC,2,0,0,0,0,1,0,1,0,0,0,0
26,1.863,ACM T MATH SOFTWARE,2,0,0,0,0,0,0,0,0,0,1,1
27,0.880,ACOUST PHYS+,4,0,0,1,0,0,0,0,0,1,1,1
28, ,ACOUSTIC COMMUNICATI,2,0,0,0,0,0,0,0,0,0,0,2
29,6.723,ACS APPL MATER INTER,7,0,4,0,1,1,1,0,0,0,0,0
30,9.312,ACS CATAL,9,1,3,3,2,0,0,0,0,0,0,0
31,5.331,ACS CHEM BIOL,91,9,23,23,14,5,4,4,7,2,0,0
32,4.362,ACS CHEM NEUROSCI,14,1,6,4,1,2,0,0,0,0,0,0
33,3.032,ACS COMB SCI,3,0,2,0,1,0,0,0,0,0,0,0
34,5.764,ACS MACRO LETT,3,0,1,2,0,0,0,0,0,0,0,0
35,3.120,ACS MED CHEM LETT,8,1,3,2,2,0,0,0,0,0,0,0
36,12.881,ACS NANO,101,8,24,30,21,10,6,2,0,0,0,0
37, ,ACS SYM SER,3,0,0,0,0,0,0,0,0,0,0,3
38,4.978,ACS SYNTH BIOL,12,1,8,3,0,0,0,0,0,0,0,0
39,0.783,ACTA ACUST UNITED AC,3,0,0,0,0,1,0,0,0,0,0,2
40,2.322,ACTA ANAESTH SCAND,5,0,0,0,0,0,0,0,0,0,0,5
41, ,ACTA ANAT,3,0,0,0,0,0,0,0,0,0,0,3
42, ,ACTA ARCHAEOL-DEN,2,0,0,0,0,1,0,0,0,0,0,1
43, ,ACTA ARCHAEOLOGIA SI,2,0,0,0,0,1,0,0,0,0,0,1
44,2.191,ACTA BIOCH BIOPH SIN,6,0,0,1,0,1,0,3,1,0,0,0
45,1.153,ACTA BIOCHIM POL,2,0,0,0,0,0,0,0,0,1,0,1
46,6.025,ACTA BIOMATER,16,2,2,1,3,3,1,0,3,0,1,0
47,0.704,ACTA BIOTHEOR,2,0,0,0,0,0,0,0,0,0,0,2
48, ,ACTA BOT SIN,3,0,0,0,0,0,0,0,0,0,0,3
49, ,ACTA CHEM SCAND,3,0,0,0,0,0,0,0,0,0,0,3
50,1.133,ACTA CHIROPTEROL,3,0,0,1,1,1,0,0,0,0,0,0
51, ,ACTA CRYSTALL B B 5,2,0,0,0,0,0,0,0,0,0,0,2
52, ,ACTA CRYSTALLOGR,8,0,0,0,0,0,0,0,0,0,0,8
53, ,ACTA CRYSTALLOGR 10,17,0,0,0,2,2,3,0,0,4,0,6
54, ,ACTA CRYSTALLOGR 11,18,0,0,2,1,1,1,0,0,0,0,13
55, ,ACTA CRYSTALLOGR 12,57,0,1,1,1,0,0,0,0,0,0,54
56,2.325,ACTA CRYSTALLOGR A,27,0,3,1,2,0,0,5,0,0,0,16
57,2.184,ACTA CRYSTALLOGR B,9,0,0,0,0,1,0,0,0,0,0,8
58,2.680,ACTA CRYSTALLOGR D,326,0,12,15,31,136,9,4,7,21,3,88
59, ,ACTA CRYSTALLOGR E,2,0,0,0,0,1,0,0,1,0,0,0
60,0.524,ACTA CRYSTALLOGR F,15,1,2,1,1,3,1,4,0,2,0,0
61, ,ACTA GENET SIN,2,0,0,0,0,0,0,0,0,0,0,2
62,1.116,ACTA HAEMATOL-BASEL,4,0,0,0,0,0,0,0,0,0,0,4
63,1.393,ACTA HISTOCHEM CYTOC,3,0,1,0,0,0,0,0,1,0,0,1
64, ,ACTA HORTIC,5,0,0,0,1,0,1,0,1,0,0,2
65,4.465,ACTA MATER,45,3,3,6,9,1,2,1,6,2,2,10
66,0.429,ACTA MATH HUNG,2,0,0,0,0,0,0,0,0,0,0,2
67,2.469,ACTA MATH-DJURSHOLM,7,0,0,0,1,0,0,4,0,0,0,2
68, ,ACTA METALL MATER,12,0,0,0,0,0,0,0,0,0,0,12
69, ,ACTA MYOL,3,0,0,0,0,0,0,1,0,0,1,1
70,1.286,ACTA NEUROBIOL EXP,2,0,0,0,1,0,0,0,0,0,0,1
71,1.766,ACTA NEUROCHIR,2,0,0,0,1,0,0,0,0,1,0,0
72, ,ACTA NEUROCHIR SUPPL,2,0,0,0,1,0,0,0,0,0,1,0
73,2.395,ACTA NEUROL SCAND,8,0,0,0,0,0,1,0,0,1,0,6
74,10.762,ACTA NEUROPATHOL,63,2,15,8,0,8,5,3,5,2,1,14
75, ,ACTA NEUROPATHOL COM,8,2,6,0,0,0,0,0,0,0,0,0
76,7.364,ACTA NUMER,2,0,0,0,0,0,0,0,0,0,0,2
77,2.426,ACTA OBSTET GYN SCAN,3,0,0,0,0,0,1,0,0,0,0,2
78,1.617,ACTA OECOL,4,0,0,0,1,0,1,0,0,0,0,2
79,1.099,ACTA OTO-LARYNGOL,6,0,0,0,0,0,0,1,0,0,0,5
80,1.674,ACTA PAEDIATR,8,0,0,2,0,1,1,0,0,0,0,4
81, ,ACTA PAEDOPSYCHIATR,2,0,0,0,0,0,0,0,0,0,0,2
