Citing Journal Data: PSYCHOLOGICAL BULLETIN,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,12426,76,362,698,711,779,832,722,746,697,597,6206
2, ,ALL OTHERS (1786),1786,20,58,99,103,103,97,69,95,82,73,987
3,5.031,J PERS SOC PSYCHOL,334,2,4,4,13,10,10,18,11,17,8,237
4,14.756,PSYCHOL BULL,263,18,10,8,9,16,9,6,3,15,10,159
5,4.940,PSYCHOL SCI,167,3,15,15,15,21,13,16,19,12,2,36
6, ,THESIS,163,0,1,7,11,11,10,10,13,10,3,87
7,5.153,J ABNORM PSYCHOL,154,0,3,2,10,16,9,8,10,9,16,71
8,1.951,PERS INDIV DIFFER,143,0,4,6,9,7,9,7,15,15,6,65
9,7.972,PSYCHOL REV,138,0,2,3,2,8,2,6,7,7,6,95
10,2.862,J EXP PSYCHOL LEARN,126,1,8,8,6,7,7,9,4,7,7,62
11,4.141,DEV PSYCHOL,124,0,1,4,7,4,8,5,6,9,5,75
12,3.395,BEHAV RES THER,105,0,1,3,2,7,11,11,13,8,5,44
13, ,SCIENCE,103,0,1,4,2,7,7,4,8,5,4,61
14,5.279,J CONSULT CLIN PSYCH,97,0,1,3,2,3,2,5,1,4,6,70
15,4.061,CHILD DEV,96,0,3,5,3,1,1,3,1,3,4,72
16, ,DISSERT ABSTR,90,0,0,2,8,9,11,15,1,4,3,37
17,6.459,J CHILD PSYCHOL PSYC,87,0,2,15,10,11,9,7,1,5,6,21
18,2.909,PERS SOC PSYCHOL B,86,1,2,4,4,4,4,4,1,5,6,51
19,2.457,MEM COGNITION,82,1,3,8,2,2,5,9,4,6,4,38
20,14.480,ARCH GEN PSYCHIAT,80,0,0,4,3,6,3,4,8,2,11,39
21, ,P NATL ACAD SCI USA,80,0,5,8,9,8,9,5,6,6,4,20
22,3.481,J ABNORM CHILD PSYCH,79,0,0,11,8,5,4,7,6,1,5,32
23,1.770,J MARRIAGE FAM,75,0,0,1,2,7,2,2,4,0,2,55
24,7.260,J AM ACAD CHILD PSY,71,0,3,5,2,3,6,5,2,2,0,43
25,3.130,EVOL HUM BEHAV,67,0,5,3,3,7,8,10,4,6,3,18
26,3.590,HEALTH PSYCHOL,65,1,2,5,1,3,4,5,6,3,3,32
27,3.229,J PERS,64,0,2,4,0,1,2,4,1,3,5,42
28,3.473,PSYCHOSOM MED,64,0,2,2,2,5,6,3,5,3,3,33
29,5.938,PSYCHOL MED,63,0,1,4,5,4,4,6,15,2,1,21
30,3.210,BEHAV GENET,62,0,5,10,2,4,0,4,4,2,4,27
31, ,J NEUROSCI,62,0,0,6,4,6,4,6,7,3,4,22
32, ,NATURE,62,0,1,2,1,0,1,5,2,6,3,41
33, ,VISION RES,58,0,0,1,2,1,7,1,6,8,5,27
34,3.240,DEV PSYCHOPATHOL,57,0,3,3,5,0,3,4,7,8,3,21
35,0.790,J APPL SOC PSYCHOL,57,0,0,1,2,2,4,3,4,0,2,39
36,4.237,J MEM LANG,56,0,1,2,4,1,7,5,0,5,3,28
37,12.295,AM J PSYCHIAT,55,0,1,3,1,5,1,2,1,5,2,34
38, ,BIOL PSYCHIAT,55,0,2,4,1,8,9,3,5,5,5,13
39,3.369,PSYCHON B REV,54,1,0,5,8,3,3,4,4,5,4,17
40,1.688,MEMORY,53,3,1,6,9,7,4,2,7,3,5,6
41,3.479,COGNITION,52,1,2,5,5,1,7,1,2,0,2,26
42,2.201,COGNITION EMOTION,52,1,1,4,5,7,5,4,3,4,2,16
43,5.929,J EXP PSYCHOL GEN,52,2,2,6,3,0,2,3,1,3,2,28
44,2.760,J STUD ALCOHOL DRUGS,52,0,0,0,2,3,3,4,2,3,1,34
45,4.799,J APPL PSYCHOL,51,0,1,0,1,3,4,2,1,2,4,33
46,21.965,TRENDS COGN SCI,51,0,0,2,5,4,2,2,5,6,2,23
47,21.810,ANNU REV PSYCHOL,50,2,0,2,2,2,4,5,6,1,2,24
48,5.678,CURR DIR PSYCHOL SCI,50,0,3,6,3,1,5,4,3,3,7,15
49, ,BRAIN BEHAV IMMUN,49,0,2,9,11,4,6,2,8,4,1,2
50,0.560,PSYCHOL REP,49,0,0,0,0,1,0,0,0,1,1,46
51, ,PSYCHONEUROENDOCRINO,48,0,3,7,8,9,3,1,4,1,3,9
52,3.312,J CLIN CHILD ADOLESC,47,0,3,3,5,2,4,5,11,2,3,9
53,3.518,J EDUC PSYCHOL,46,0,1,0,1,1,2,2,4,1,2,32
54,6.100,AM PSYCHOL,44,1,0,0,0,2,0,0,1,0,3,37
55,1.713,J FAM PSYCHOL,43,0,1,4,3,1,4,5,6,4,2,13
56,2.285,J EXP SOC PSYCHOL,42,1,2,4,0,3,2,4,2,2,0,22
57, ,ALCOHOL CLIN EXP RES,40,0,2,0,3,2,2,2,5,2,2,20
58, ,PLOS ONE,40,0,4,12,5,7,6,4,2,0,0,0
59,20.771,BEHAV BRAIN SCI,39,0,0,3,1,2,1,3,1,0,1,27
60,3.358,J EXP PSYCHOL HUMAN,39,1,1,0,1,2,2,5,1,5,0,21
61, ,HORM BEHAV,38,0,2,5,2,1,2,4,8,7,4,3
62,2.976,PHYSIOL BEHAV,37,0,0,3,2,1,2,0,2,0,2,25
63,3.383,EMOTION,36,0,2,2,5,4,4,2,4,4,5,4
64,1.735,SEX ROLES,35,0,5,0,10,1,1,0,1,1,0,16
65,2.890,SOC SCI MED,35,0,0,2,2,4,3,2,3,3,0,16
66,6.932,CLIN PSYCHOL REV,34,0,1,0,3,1,6,6,2,0,0,15
67,2.594,J ANXIETY DISORD,34,0,0,2,4,5,9,1,4,3,3,3
68, ,NAT NEUROSCI,34,0,0,5,1,1,1,0,3,7,2,14
69, ,NEUROSCI BIOBEHAV R,32,0,3,2,2,6,2,2,1,0,4,10
70,7.338,PSYCHOL METHODS,32,0,0,5,1,0,0,2,0,0,5,19
71,1.321,APPL COGNITIVE PSYCH,31,0,0,3,1,2,5,1,3,0,2,14
72,2.264,J RES PERS,30,0,1,3,1,3,6,1,2,1,3,9
73,2.646,PSYCHOL AGING,30,0,2,4,1,4,4,0,2,4,0,9
74,2.127,Q J EXP PSYCHOL,30,0,4,5,1,0,3,5,3,3,0,6
75,1.449,BEHAV SCI LAW,29,0,0,4,0,0,2,6,2,3,2,10
76,1.587,COGNITIVE THER RES,29,0,0,4,1,2,2,2,4,2,3,9
77,3.423,DRUG ALCOHOL DEPEN,29,0,1,0,0,2,2,0,6,3,1,14
78,2.915,J HEALTH SOC BEHAV,29,0,0,0,2,0,0,1,2,1,3,20
79,2.777,J YOUTH ADOLESCENCE,29,0,4,1,7,2,2,4,1,1,1,6
80, ,P ROY SOC B-BIOL SCI,29,0,1,2,4,3,1,1,1,3,3,10
81,0.761,PSYCHOL SCHOOLS,29,0,0,0,0,0,2,1,0,0,0,26
82,4.829,ADDICTION,28,0,0,0,0,1,3,2,0,1,3,18
83,3.403,BIOL PSYCHOL,28,0,1,1,2,4,4,1,9,2,4,0
84,3.347,EUR J PERSONALITY,28,0,1,1,5,0,1,2,4,1,2,11
85,2.475,J COUNS PSYCHOL,28,0,1,4,0,0,0,2,1,4,2,14
86, ,MOL PSYCHIATR,28,0,2,3,5,4,4,0,2,2,2,4
87,2.751,PSYCHOL ASSESSMENT,28,0,0,1,2,1,0,0,0,1,1,22
88,2.764,ADDICT BEHAV,27,0,0,2,0,1,1,2,4,3,0,14
89, ,ANN NY ACAD SCI,27,0,2,0,0,4,3,0,1,0,0,17
90,5.064,COGNITIVE PSYCHOL,27,0,0,2,0,0,1,0,1,0,2,21
91,4.407,DEPRESS ANXIETY,27,0,1,6,3,2,5,3,0,1,1,5
92,3.808,DEVELOPMENTAL SCI,27,0,0,3,6,3,1,1,1,0,1,11
