Citing Journal Data: PSYCHONOMIC BULLETIN ,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,7073,37,371,455,482,453,408,424,338,290,291,3524
2, ,ALL OTHERS (943),943,17,59,41,38,36,44,35,45,37,39,552
3,3.369,PSYCHON B REV,298,7,26,32,26,15,26,26,24,8,17,91
4,3.358,J EXP PSYCHOL HUMAN,291,2,15,21,17,15,17,19,10,13,10,152
5,4.940,PSYCHOL SCI,266,2,12,24,20,39,32,22,15,14,10,76
6,7.972,PSYCHOL REV,265,0,5,7,8,9,14,21,13,5,10,173
7,2.862,J EXP PSYCHOL LEARN,242,2,5,17,13,12,6,14,8,4,8,153
8,5.929,J EXP PSYCHOL GEN,159,0,10,8,3,3,2,9,4,8,3,109
9,3.479,COGNITION,154,1,4,8,14,16,12,32,6,1,6,54
10,2.457,MEM COGNITION,152,1,7,11,5,8,2,8,13,6,5,86
11, ,PERCEPT PSYCHOPHYS,139,0,0,0,0,0,0,3,8,2,4,122
12,5.064,COGNITIVE PSYCHOL,109,1,4,5,2,4,4,3,0,2,4,80
13,21.965,TRENDS COGN SCI,102,0,3,1,4,5,11,3,7,10,8,50
14, ,VISION RES,96,0,3,2,6,6,6,1,6,7,3,56
15,4.237,J MEM LANG,92,0,13,1,3,6,5,12,4,3,4,41
16, ,P NATL ACAD SCI USA,89,0,1,9,12,5,2,13,14,10,3,20
17,14.756,PSYCHOL BULL,89,0,3,8,1,10,2,0,2,7,0,56
18,3.302,NEUROPSYCHOLOGIA,77,0,3,3,6,14,5,4,9,3,3,27
19, ,NATURE,75,0,0,1,2,2,2,2,2,3,6,55
20,2.248,ACTA PSYCHOL,72,0,6,7,7,5,6,8,1,4,2,26
21,4.085,J COGNITIVE NEUROSCI,72,0,3,5,9,5,4,5,3,2,4,32
22,0.906,PERCEPTION,65,0,3,1,6,7,7,2,4,4,2,29
23,2.863,PSYCHOL RES-PSYCH FO,63,1,7,4,5,5,5,4,0,1,1,30
24,2.446,COGNITIVE SCI,62,0,2,5,6,6,4,7,2,2,2,26
25, ,PLOS ONE,62,1,12,9,18,12,3,7,0,0,0,0
26, ,SCIENCE,62,0,0,4,5,0,2,2,7,3,1,38
27,2.127,Q J EXP PSYCHOL,61,0,3,4,3,9,8,6,2,5,0,21
28,1.921,VIS COGN,61,0,4,4,5,4,2,5,2,4,3,28
29,2.609,J MATH PSYCHOL,60,0,6,4,6,3,2,0,0,1,1,37
30,2.168,ATTEN PERCEPT PSYCHO,59,1,10,14,6,18,10,0,0,0,0,0
31, ,EXP BRAIN RES,55,0,5,3,9,8,5,4,2,2,3,14
32, ,J NEUROSCI,54,0,3,7,6,6,3,6,4,4,3,12
33,20.771,BEHAV BRAIN SCI,53,0,0,1,0,1,1,1,5,0,0,44
34,9.546,PERSPECT PSYCHOL SCI,52,0,5,28,8,2,1,0,0,8,0,0
35,2.928,BEHAV RES METHODS,45,0,3,2,2,5,3,2,4,2,6,16
36, ,J EXP PSYCHOL,45,0,0,0,0,0,0,0,0,0,0,45
37, ,NAT NEUROSCI,45,0,0,0,1,1,2,4,2,1,7,27
38,5.031,J PERS SOC PSYCHOL,43,0,0,0,6,0,0,0,1,1,2,33
39,2.560,FRONT PSYCHOL,41,0,10,18,9,4,0,0,0,0,0,0
40, ,NEUROIMAGE,40,0,2,2,4,4,1,3,1,1,5,17
41,5.678,CURR DIR PSYCHOL SCI,39,0,3,3,9,6,3,2,2,1,0,10
42,4.061,CHILD DEV,37,0,0,2,1,1,2,1,2,1,1,26
43, ,J VISION,37,0,4,4,7,8,6,2,2,1,1,2
44,3.808,DEVELOPMENTAL SCI,36,0,2,1,9,1,7,7,3,1,2,3
45,2.134,LANG COGNITIVE PROC,36,0,4,1,3,2,6,5,2,3,3,7
46, ,Q J EXP PSYCHOL-A,32,0,0,0,0,0,0,0,0,0,2,30
47, ,J ACOUST SOC AM,31,0,0,0,2,2,0,0,1,3,0,23
48,21.810,ANNU REV PSYCHOL,30,0,2,1,2,0,2,5,1,2,4,11
49, ,CURR BIOL,30,0,1,0,3,0,3,4,5,5,0,9
50,4.141,DEV PSYCHOL,29,0,4,2,0,1,2,2,1,0,1,16
51, ,J VERB LEARN VERB BE,29,0,0,0,0,0,0,0,0,0,0,29
52,2.646,PSYCHOL AGING,29,0,4,2,5,0,3,0,1,2,0,12
53,0.619,AM J PSYCHOL,25,0,0,0,1,0,0,0,0,0,0,24
54, ,CEREB CORTEX,25,0,4,2,1,0,4,0,3,1,2,8
55,2.076,EXP PSYCHOL,24,0,4,0,2,2,9,2,2,0,0,3
56,1.321,APPL COGNITIVE PSYCH,23,0,0,3,1,1,2,2,0,1,2,11
57,2.549,J EXP CHILD PSYCHOL,23,0,5,1,1,1,7,0,1,0,0,7
58, ,J NEUROPHYSIOL,23,0,0,1,0,2,1,1,0,3,2,13
59,2.986,PSYCHOPHYSIOLOGY,23,0,0,1,3,1,2,0,2,0,1,13
60,2.254,BRIT J PSYCHOL,22,0,0,0,4,0,0,1,1,1,0,15
61,1.521,JUDGM DECIS MAK,22,0,1,0,10,7,1,1,1,1,0,0
62,2.964,PSYCHOL LEARN MOTIV,22,0,1,1,4,1,0,1,0,0,0,14
63,1.949,J EXP PSYCHOL-ANIM L,21,0,2,0,1,4,2,2,0,0,0,10
64,2.477,BRAIN COGNITION,20,0,0,3,1,2,2,1,2,0,2,7
65,1.218,CAN J EXP PSYCHOL,20,0,1,2,0,0,3,2,0,0,3,9
66, ,PHILOS T R SOC B,20,0,0,2,5,0,2,1,1,2,0,7
67,2.020,LAW HUMAN BEHAV,19,0,0,1,3,2,1,1,1,0,3,7
68,1.567,BEHAV PROCESS,17,0,1,1,2,2,0,2,2,1,0,6
69, ,COGNITIVE BRAIN RES,17,0,0,0,0,0,0,0,0,0,4,13
70,1.941,CONSCIOUS COGN,17,0,0,4,5,1,2,0,0,1,0,4
71, ,CORTEX,17,0,1,3,2,0,0,3,2,3,0,3
72,2.285,J EXP SOC PSYCHOL,17,0,3,2,3,4,1,1,1,0,0,2
73, ,ATTENTION PERFORM,16,0,0,0,0,0,0,0,0,0,0,16
74, ,BRAIN RES,16,0,1,1,2,2,0,4,1,4,0,1
75,2.073,COGN NEUROPSYCHOL,16,0,0,1,0,0,1,0,1,2,4,7
76, ,J AM STAT ASSOC,16,0,0,0,0,0,0,0,0,0,0,16
77, ,ANNU REV NEUROSCI,15,0,0,0,0,2,0,2,3,0,0,8
