Citing Journal Data: SCIENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,35708,2466,4601,3901,3121,2560,2218,1915,1551,1482,1252,10641
2, ,ALL OTHERS (3702),3702,304,527,303,274,204,160,144,127,124,109,1426
3,33.611,SCIENCE,3315,563,396,300,257,241,182,182,146,126,100,822
4,41.456,NATURE,2604,155,285,313,256,191,167,133,101,105,106,792
5,9.674,P NATL ACAD SCI USA,1441,84,218,165,138,109,118,105,63,73,54,314
6,7.512,PHYS REV LETT,784,19,78,77,67,65,53,52,49,35,43,246
7,32.242,CELL,766,38,96,93,61,51,47,31,32,53,22,242
8,5.993,ASTROPHYS J,432,28,61,39,41,33,35,18,21,15,6,135
9,12.113,J AM CHEM SOC,395,17,59,52,36,29,26,26,19,7,18,106
10,3.234,PLOS ONE,355,25,97,92,61,27,28,17,7,1,0,0
11,3.736,PHYS REV B,328,3,50,42,41,28,18,16,16,13,5,96
12,6.344,J NEUROSCI,308,5,27,26,28,25,20,19,25,17,12,104
13,4.573,J BIOL CHEM,298,4,20,29,18,14,13,16,11,14,17,142
14,3.426,J GEOPHYS RES,294,9,28,26,21,13,10,15,11,24,11,126
15,15.054,NEURON,286,14,41,33,30,11,20,15,13,11,10,88
16, ,**NON-TRADITIONAL**,276,0,0,0,0,0,0,0,0,0,0,276
17,6.462,DEVELOPMENT,199,10,21,13,10,8,14,12,8,7,8,88
18,4.196,GEOPHYS RES LETT,195,12,18,16,17,19,19,11,17,8,11,47
19,16.095,NAT NEUROSCI,195,11,34,29,22,24,9,15,7,3,10,31
20,29.352,NAT GENET,194,7,35,16,20,11,9,16,11,8,9,52
21,4.734,EARTH PLANET SC LETT,189,18,16,20,12,21,12,17,7,14,16,36
22,14.018,MOL CELL,181,13,36,22,19,17,6,10,5,11,3,39
23,4.439,J VIROL,180,8,13,12,12,13,16,12,10,11,5,68
24,9.571,CURR BIOL,174,10,19,19,17,15,22,12,6,11,12,31
25,55.873,NEW ENGL J MED,166,17,18,28,14,13,16,9,4,4,7,36
26,11.261,ANGEW CHEM INT EDIT,162,8,15,27,18,6,19,11,4,6,7,41
27,4.378,ASTRON ASTROPHYS,162,8,20,14,13,9,10,10,13,3,5,57
28,9.834,J CELL BIOL,153,8,5,12,10,9,7,6,6,5,7,78
29,2.952,J CHEM PHYS,146,3,18,15,9,8,3,4,6,3,7,70
30,11.470,NAT COMMUN,144,32,68,22,19,3,0,0,0,0,0,0
31,20.147,NAT PHYS,139,15,19,25,14,19,10,16,12,5,4,0
32,13.592,NANO LETT,137,13,34,23,15,20,10,6,3,2,3,8
33,9.343,PLOS BIOL,135,4,17,8,12,20,11,9,16,10,15,13
34,21.561,IMMUNITY,124,4,14,21,18,7,8,7,8,3,5,29
35,5.107,MON NOT R ASTRON SOC,121,11,21,9,6,12,7,5,6,4,1,39
36,41.514,NAT BIOTECHNOL,121,18,31,16,9,8,3,6,9,5,3,13
37,36.503,NAT MATER,120,7,28,15,15,15,7,8,7,7,7,4
38,5.339,ASTROPHYS J LETT,119,9,20,14,9,9,7,7,9,3,3,29
39,7.528,PLOS GENET,118,4,18,28,20,9,15,7,9,8,0,0
40,9.112,NUCLEIC ACIDS RES,116,7,15,12,17,8,5,3,6,8,3,32
41,46.568,CHEM REV,113,8,11,9,6,15,4,5,10,4,5,36
42,10.434,EMBO J,113,6,9,4,12,5,5,6,5,8,2,51
43,10.798,GENE DEV,109,0,13,7,4,9,7,12,5,6,5,41
44,19.679,NAT CELL BIOL,108,5,14,16,9,10,7,11,12,8,2,14
45,16.196,TRENDS ECOL EVOL,106,3,16,15,10,9,8,10,2,2,6,25
46,45.217,LANCET,105,10,13,15,3,7,2,7,3,5,4,36
47,28.223,NAT MED,104,10,13,10,6,10,10,3,5,5,9,23
48,32.072,NAT METHODS,104,13,27,17,17,3,7,11,4,3,1,1
49,20.004,NAT IMMUNOL,103,2,22,15,14,7,13,3,4,5,2,16
50,4.331,GEOCHIM COSMOCHIM AC,100,5,6,7,6,6,6,6,3,4,6,45
51,4.922,J IMMUNOL,100,2,7,8,14,8,9,10,5,5,4,28
52,5.963,GENETICS,99,1,6,11,5,8,8,6,2,2,3,47
53,2.808,PHYS REV A,98,1,12,11,16,8,2,5,6,1,5,31
54,13.309,NAT STRUCT MOL BIOL,96,4,18,11,18,14,8,8,0,2,3,10
