Citing Journal Data: Topics in Cognitive Science,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,2057,14,92,162,168,150,150,118,102,92,96,913
2, ,ALL OTHERS (607),607,3,21,47,46,34,34,31,30,19,29,313
3,7.972,PSYCHOL REV,97,0,1,3,2,3,13,1,5,5,8,56
4,3.479,COGNITION,59,0,1,2,3,8,8,6,4,3,2,22
5,3.063,TOP COGN SCI,59,7,33,11,4,2,2,0,0,0,0,0
6,20.771,BEHAV BRAIN SCI,43,0,10,1,0,4,2,1,1,1,2,21
7,4.940,PSYCHOL SCI,31,0,2,0,1,5,1,3,2,1,2,14
8,21.965,TRENDS COGN SCI,29,0,0,1,2,3,3,2,3,1,2,12
9,2.446,COGNITIVE SCI,28,0,1,1,3,4,1,1,2,3,2,10
10,2.560,FRONT PSYCHOL,28,0,2,5,15,6,0,0,0,0,0,0
11,3.369,PSYCHON B REV,24,0,2,1,2,1,2,3,0,1,0,12
12, ,J NEUROSCI,21,0,0,1,3,2,3,1,1,3,1,6
13, ,P NATL ACAD SCI USA,21,1,1,0,1,3,2,3,5,2,1,2
14,5.064,COGNITIVE PSYCHOL,20,0,0,0,0,2,1,0,0,1,0,16
15,4.085,J COGNITIVE NEUROSCI,20,0,0,0,4,2,2,1,0,0,7,4
16,2.862,J EXP PSYCHOL LEARN,20,0,1,2,3,0,0,2,1,2,0,9
17,21.810,ANNU REV PSYCHOL,19,0,0,0,0,2,1,9,2,1,0,4
18, ,SCIENCE,19,0,1,0,3,0,1,2,0,1,2,9
19,2.457,MEM COGNITION,18,0,0,1,0,0,0,0,0,1,1,15
20,3.302,NEUROPSYCHOLOGIA,18,0,0,2,4,2,2,1,3,1,1,2
21, ,PLOS ONE,17,0,0,6,7,3,1,0,0,0,0,0
22,5.929,J EXP PSYCHOL GEN,16,1,1,1,2,3,1,0,0,1,0,6
23,2.609,J MATH PSYCHOL,16,0,0,1,0,1,4,1,0,4,0,5
24, ,NEUROIMAGE,16,0,0,2,2,2,1,0,0,3,2,4
25, ,NATURE,15,0,0,0,1,1,0,0,2,2,0,9
26, ,CEREB CORTEX,14,0,1,0,2,3,4,0,0,0,0,4
27, ,NEURON,14,0,0,1,1,1,0,0,0,1,1,9
28,14.756,PSYCHOL BULL,14,0,0,4,0,0,1,0,1,1,1,6
29,3.215,BRAIN LANG,13,0,1,0,2,1,2,1,1,0,0,5
30,2.928,BEHAV RES METHODS,12,0,0,1,3,0,2,2,1,0,0,3
