Citing Journal Data: Wiley Interdisciplinary Reviews-Cognitive Science,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,Rest
1, ,ALL Journals,5020,91,330,368,342,301,322,260,223,218,201,2364
2, ,ALL OTHERS (1207),1207,25,74,59,64,51,64,47,32,41,38,712
3, ,SCIENCE,131,3,4,6,7,7,5,10,17,7,10,55
4, ,P NATL ACAD SCI USA,114,2,13,17,13,10,13,8,8,7,3,20
5, ,J NEUROSCI,102,0,10,11,17,5,7,6,5,11,4,26
6,7.972,PSYCHOL REV,100,0,1,2,1,0,0,2,2,6,2,84
7, ,NATURE,90,2,5,8,3,3,0,7,8,4,4,46
8,3.479,COGNITION,77,2,7,3,4,5,8,5,2,0,3,38
9, ,PLOS ONE,75,4,12,17,16,14,7,5,0,0,0,0
10,4.940,PSYCHOL SCI,65,1,5,2,4,8,6,4,1,4,5,25
11, ,NEURON,64,1,2,3,9,5,3,4,5,3,2,27
12, ,NAT NEUROSCI,54,0,6,5,2,4,1,4,7,2,2,21
13, ,ANIM BEHAV,50,0,2,1,3,3,2,3,1,2,1,32
14, ,P ROY SOC B-BIOL SCI,49,0,6,5,3,6,2,0,3,4,6,14
15,4.061,CHILD DEV,48,1,1,3,2,2,3,1,0,4,1,30
16, ,CURR BIOL,48,1,6,6,2,5,7,4,7,5,1,4
17,5.031,J PERS SOC PSYCHOL,48,0,0,0,1,0,6,2,1,2,0,36
18,2.446,COGNITIVE SCI,46,0,3,3,0,6,2,3,3,2,6,18
19, ,PHILOS T R SOC B,46,3,4,8,4,1,4,8,6,2,0,6
20,21.965,TRENDS COGN SCI,45,0,9,4,3,2,2,2,1,6,2,14
21,2.862,J EXP PSYCHOL LEARN,41,0,2,6,2,0,2,1,1,2,1,24
22, ,NEUROIMAGE,41,0,4,5,3,5,3,0,8,4,4,5
23,5.064,COGNITIVE PSYCHOL,37,0,2,1,0,1,1,0,2,0,2,28
24, ,HIPPOCAMPUS,34,2,1,4,0,2,0,3,5,4,3,10
25,20.771,BEHAV BRAIN SCI,33,0,0,1,0,3,2,3,2,0,3,19
