Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,Rest
1,,ALL Journals,4814,65,196,227,210,242,204,256,204,227,155,2828
2,,ALL OTHERS (624),624,8,7,16,24,27,16,22,19,24,13,448
3,2.321,FRONT PSYCHOL,263,11,20,14,15,25,8,15,12,24,7,112
4,2.917,COGNITIVE SCI,177,1,7,12,16,18,9,12,3,8,6,85
5,3.414,COGNITION,126,2,9,15,11,2,10,16,4,6,8,43
6,,PLOS ONE,99,3,4,5,2,10,5,9,3,1,4,53
7,,LECT NOTES COMPUT SC,77,0,0,1,0,3,1,3,1,1,3,64
8,1.852,LANG COGN NEUROSCI,73,2,4,3,2,1,7,4,9,6,2,33
9,3.065,J MEM LANG,71,0,6,3,9,2,11,4,3,6,4,23
10,2.921,PSYCHON B REV,71,0,7,5,2,5,8,2,5,6,4,27
11,2.667,J EXP PSYCHOL LEARN,54,0,3,5,5,1,3,2,6,3,4,22
12,3.435,COMPUT HUM BEHAV,48,1,0,4,0,2,1,1,1,0,1,37
13,2.000,TOP COGN SCI,48,0,3,3,1,3,3,8,3,1,3,20
14,,INT J ARTIF INTELL E,40,0,0,0,2,6,0,1,0,0,4,27
15,2.129,Q J EXP PSYCHOL,40,0,0,2,3,4,2,0,3,0,3,23
16,15.402,TRENDS COGN SCI,37,2,6,4,2,3,1,4,1,1,3,10
17,2.602,J EXP CHILD PSYCHOL,36,1,2,2,5,5,2,2,2,1,1,13
18,2.287,J EXP PSYCHOL HUMAN,34,1,2,1,6,1,0,1,0,4,3,15
19,16.793,PSYCHOL BULL,34,0,5,2,0,4,1,4,4,0,0,14
20,4.420,J EXP PSYCHOL GEN,31,2,4,3,2,4,1,2,1,0,0,12
21,3.719,COGNITIVE PSYCHOL,30,0,3,2,2,1,0,4,3,0,0,15
22,14.200,BEHAV BRAIN SCI,28,1,2,2,0,2,0,3,4,3,0,11
23,2.079,LANG LEARN,27,0,0,1,5,2,3,2,3,2,1,8
24,,NEUROIMAGE,27,0,1,1,2,2,0,0,1,2,1,17
25,3.197,NEUROPSYCHOLOGIA,27,2,0,1,0,1,1,2,4,1,1,14
26,1.690,INSTR SCI,26,0,0,2,0,3,0,1,1,2,1,16
27,1.240,INT J SCI EDUC,25,0,0,3,0,0,0,1,0,0,1,20
