,author_affiliations
532,"             florida atlantic university, boca raton, fl 33431-0991, usa
             the ohio state university, usa"
533,"             michigan state university, east lansing, mi 48824, usa
             naval research laboratory, 4555 overlook avenue sw, washington dc 20375, usa"
535,"             mit media laboratory, 20 ames street, room e15-488, cambridge, ma 01242, usa"
537,"             rice university, houston, tx 77005-1892, usa"
541,"             department of cognitive and linguistic sciences, brown university, p.o. box 1978, providence, ri 02912, usa
             palo alto research center, 3333 coyote hill road, palo alto, ca 94304, usa"
543,"             the mitre corporation, 202 burlington road, bedford, ma 01730, usa"
544,"             cambridge university engineering department, trumpington street, cambridge cb2 1pz, uk"
557,"             beckman institute, university of illinois at urbana-champaign, 405 north mathews avenue, urbana, il 61801, usa"
577,"             stanford university, stanford, ca, usa"
593,"             microsoft research, one microsoft way, redmond, wa 98033, usa"
624,"             irit (institut de recherche en informatique de toulouse) and enseeiht, toulouse, france"
644,"             university of nevada, 1404 s. sixth st., las vegas, nv 89104, usa"
655,"             laboratoire dynamiques sociocognitives et vie politique, universite toulouse-2, maison de la recherche, 5 allé antonio machado, 31058 toulouse cedex 5, france"
662,"             school of informatics, university of edinburgh2 buccleuch place, edinburgh eh8 9lw, uk"
672,"             max planck institute for human development, berlin and university of basel, lentzeallee 94, 14195 berlin, germany"
678,             indiana university
681,"             university of sunderland, sunderland, uk
             laboratory for perceptual dynamics, riken bsi, japan and university of sunderland, sunderland, uk"
685,"             graduate school of business, stanford university"
691,"             parc, information sciences and technologies laboratory"
699,"             college of education, university of texas, austin
             school of education, stanford university"
705,haskins laboratories and university of connecticut
706,"beckman institute, university of illinois at urbana-champaign
university of illinois at chicago"
707,"university of california, berkeley
university of california, los angeles"
733,"             department of humanities, alvernia college"
743,"             northwestern university
             state university of new york at binghamton"
746,"             centre national de la recherche scientifique, institut jean-nicod, paris, france
             centre national de la recherche scientifique, institut des sciences cognitives, lyon, france
             université lyon ii, france"
749,"             departamento de metodología, universidad autonoma de madrid, spain
             dept. de psicología experimental y fisiología del comportamiento, universidad de granada, spain"
774,"human factors division and beckman institute, university of illinois at urbana-champaign"
783,"eastman school of music, university of rochester"
787,"northwestern university and the northwestern institute on complex systems
university of rochester"
789,"erasmus university rotterdam, the netherlands
emory university"
790,"university of northern british columbia
university of calgary"
799,"air force research laboratory, mesa, arizona"
804,"nijmegen institute for cognition and information, radboud university nijmegen"
828,"             mccombs school of business, austin
             stanford graduate school of business, stanford"
830,"             university of memphis
             erasmus university rotterdam"
832,"michael g. foster school of business, university of washington, seattle"
839,"             lead-cnrs, université de bourgogne, dijon
             lpc-cnrs, université de provence, marseille"
844,"school of education, the hebrew university of jerusalem"
845,"hunter college, cuny"
848,"             department of physiology, feinberg school of medicine, northwestern university
             rehabilitation institute of chicago"
853,"             bowling green state university, bowling green
             university of california, san diego
             university of western ontario, london"
854,pennsylvania state university and national science foundation
859,ebape/getulio vargas foundation
863,"             air force research laboratory, mesa
             the pennsylvania state university, university park
             university of pennsylvania school of medicine, philadelphia"
864,"             max planck institute for human development
             indiana university, bloomington
             university of basel
             ohio university, athens"
865,"school of education and the center for the study of rationality, the hebrew university of jerusalem"
874,"             indiana university, south bend
             rutgers university"
878,"qualitative reasoning group, northwestern university"
879,"department of psychiatry, columbia university"
884,"             tel aviv university
             university of amsterdam"
886,"cogs/informatics, university of sussex"
888,the university of texas at austin
895,"faculty of organizational sciences, university of belgrade"
904,"center for mind brain sciences, university of trento"
