,AM J PSYCHOL.csv,ARTIF INTELL.csv,BEHAV BRAIN SCI.csv,BEHAV RES METHODS.csv,BRAIN LANG.csv,BRAIN RES.csv,BRIT J PSYCHOL.csv,CEREB CORTEX.csv,COGN LINGUIST.csv,COGN SYST RES.csv,COGNITION.csv,COGNITIVE PSYCHOL.csv,COGNITIVE SCI.csv,COMPUT EDUC.csv,COMPUT HUM BEHAV.csv,CONTEMP EDUC PSYCHOL.csv,DEV PSYCHOL.csv,DEVELOPMENTAL SCI.csv,EDUC PSYCHOL REV.csv,ETR&D-EDUC TECH RES.csv,INT J HUM-COMPUT ST.csv,INT J SCI EDUC.csv,INTERACT STUD.csv,J CHILD LANG.csv,J COGNITIVE NEUROSCI.csv,J EDUC PSYCHOL.csv,J ENG EDUC.csv,J EXP PSYCHOL GEN.csv,J EXP PSYCHOL HUMAN.csv,J EXP PSYCHOL LEARN.csv,J LEARN SCI.csv,J MEM LANG.csv,J PERS SOC PSYCHOL.csv,LANG COGNITIVE PROC.csv,LEARN INSTR.csv,LECT NOTES ARTIF INT.csv,LECT NOTES COMPUT SC.csv,MED EDUC.csv,MEM COGNITION.csv,MIND MACH.csv,NATURE.csv,NEUROCOMPUTING.csv,P NATL ACAD SCI USA.csv,PHILOS T R SOC B.csv,PSYCHOL BULL.csv,PSYCHOL LEARN MOTIV.csv,PSYCHOL REV.csv,PSYCHOL SCI.csv,PSYCHON B REV.csv,Q J EXP PSYCHOL.csv,REV SIGNOS.csv,SCIENCE.csv,THINK REASONING.csv,TRENDS COGN SCI.csv
AM J PSYCHOL.csv,24.0,0.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,2.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,18.0,27.0,24.0,0.0,11.0,52.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,5.0,0.0,7.0,0.0,14.0,0.0,20.0,13.0,9.0,0.0,0.0,16.0,0.0,3.0
ARTIF INTELL.csv,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,39.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEHAV BRAIN SCI.csv,0.0,0.0,39.0,0.0,0.0,14.0,0.0,9.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,0.0,23.0,11.0,15.0,0.0,23.0,6.0,0.0,0.0,0.0,35.0,0.0,17.0
BEHAV RES METHODS.csv,8.0,4.0,6.0,234.0,18.0,0.0,16.0,0.0,0.0,0.0,21.0,16.0,10.0,0.0,9.0,0.0,9.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,7.0,11.0,0.0,30.0,64.0,103.0,2.0,91.0,31.0,13.0,0.0,0.0,0.0,0.0,80.0,0.0,11.0,0.0,0.0,0.0,42.0,4.0,85.0,27.0,42.0,13.0,0.0,16.0,0.0,11.0
BRAIN LANG.csv,4.0,0.0,30.0,13.0,574.0,15.0,6.0,48.0,5.0,0.0,73.0,15.0,14.0,0.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,156.0,12.0,0.0,14.0,20.0,56.0,0.0,86.0,5.0,52.0,0.0,0.0,0.0,0.0,35.0,0.0,41.0,0.0,56.0,3.0,14.0,2.0,54.0,31.0,21.0,2.0,0.0,54.0,0.0,56.0
BRAIN RES.csv,9.0,0.0,54.0,13.0,168.0,2966.0,17.0,296.0,0.0,0.0,88.0,62.0,12.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,2.0,0.0,56.0,156.0,137.0,0.0,166.0,12.0,69.0,0.0,0.0,0.0,0.0,92.0,0.0,955.0,3.0,1434.0,59.0,55.0,5.0,119.0,67.0,54.0,11.0,0.0,973.0,0.0,178.0
BRIT J PSYCHOL.csv,3.0,0.0,10.0,5.0,4.0,0.0,42.0,0.0,0.0,0.0,23.0,13.0,10.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,0.0,27.0,15.0,42.0,0.0,18.0,52.0,4.0,4.0,0.0,0.0,0.0,35.0,0.0,12.0,0.0,0.0,2.0,35.0,4.0,14.0,8.0,12.0,7.0,0.0,12.0,5.0,11.0
CEREB CORTEX.csv,7.0,2.0,30.0,12.0,61.0,255.0,5.0,762.0,0.0,0.0,72.0,29.0,11.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,347.0,2.0,0.0,23.0,55.0,50.0,0.0,23.0,16.0,7.0,0.0,0.0,3.0,0.0,37.0,0.0,517.0,5.0,557.0,97.0,23.0,7.0,70.0,60.0,28.0,13.0,0.0,577.0,0.0,199.0
COGN LINGUIST.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COGN SYST RES.csv,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,15.0,12.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0,0.0,0.0,8.0,6.0,9.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,10.0,2.0,8.0,0.0,10.0,2.0,8.0,0.0,45.0,6.0,5.0,0.0,0.0,12.0,0.0,9.0
COGNITION.csv,10.0,0.0,47.0,21.0,34.0,3.0,11.0,18.0,6.0,0.0,348.0,128.0,48.0,0.0,0.0,0.0,59.0,38.0,0.0,0.0,0.0,0.0,1.0,49.0,59.0,14.0,0.0,66.0,104.0,91.0,0.0,149.0,18.0,48.0,0.0,0.0,0.0,0.0,59.0,2.0,58.0,0.0,28.0,13.0,31.0,16.0,130.0,117.0,52.0,5.0,0.0,83.0,0.0,79.0
