Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,112,0,2,6,41,11,11,12,16,6,2,5
2,,ALL OTHERS (47),47,0,1,4,13,5,6,1,6,5,2,4
3,0.253,LECT NOTES ARTIF INT,8,0,0,1,0,2,2,2,1,0,0,0
4,2.029,ARTIF INTELL,6,0,0,0,3,1,0,2,0,0,0,0
5,1.447,MACH LEARN,6,0,0,0,6,0,0,0,0,0,0,0
6,0.125,J EXP THEOR ARTIF IN,4,0,0,0,0,0,0,0,4,0,0,0
7,,ADV NEUR IN,3,0,0,0,3,0,0,0,0,0,0,0
8,0.222,ARTIF INTELL REV,3,0,0,0,0,1,0,0,2,0,0,0
9,0.405,EXPERT SYST APPL,3,0,0,0,2,1,0,0,0,0,0,0
10,0.684,IMAGE VISION COMPUT,3,0,0,0,0,0,1,2,0,0,0,0
11,,P ASIS ANN,3,0,0,0,0,0,0,3,0,0,0,0
12,0.697,AI COMMUN,2,0,0,0,1,0,1,0,0,0,0,0
13,1.447,AI MAG,2,0,0,0,0,0,0,1,1,0,0,0
14,,IEEE T EVOLUT COMPUT,2,0,0,1,1,0,0,0,0,0,0,0
15,1.096,IEEE T NEURAL NETWOR,2,0,1,0,1,0,0,0,0,0,0,0
16,0.720,IEEE T SYST MAN CY B,2,0,0,0,1,1,0,0,0,0,0,0
17,0.489,INTERNET RES,2,0,0,0,0,0,0,0,2,0,0,0
18,3.089,J AM MED INFORM ASSN,2,0,0,0,1,0,1,0,0,0,0,0
19,1.025,KNOWL ENG REV,2,0,0,0,1,0,0,0,0,1,0,0
20,0.390,LECT NOTES COMPUT SC,2,0,0,0,2,0,0,0,0,0,0,0
21,,MANAG INFORMAT SYST,2,0,0,0,2,0,0,0,0,0,0,0
22,0.923,ACM COMPUT SURV,1,0,0,0,0,0,0,1,0,0,0,0
23,,ADV SOFT COMP,1,0,0,0,1,0,0,0,0,0,0,0
24,0.420,APPL INTELL,1,0,0,0,1,0,0,0,0,0,0,0
25,1.793,ARTIF INTELL MED,1,0,0,0,1,0,0,0,0,0,0,0
26,,AUST COMP S,1,0,0,0,1,0,0,0,0,0,0,0
27,0.627,AUST NZ J SURG,1,0,0,0,0,0,0,0,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
