Cited Journal Data: BEHAVIOURAL PROCESSES,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,675,2,42,83,61,78,22,64,49,24,47,203
2,,ALL OTHERS (97),97,0,4,7,8,15,1,9,7,7,6,33
3,0.906,BEHAV PROCESS,70,1,10,15,6,5,6,1,6,1,5,14
4,,APPL ANIM BEHAV SCI,57,0,0,3,5,5,2,1,6,1,12,22
5,,ANIM BEHAV,37,0,0,3,10,8,3,3,1,0,0,9
6,1.105,ANIM LEARN BEHAV,24,0,8,4,1,2,0,1,2,0,1,5
7,1.365,J EXP PSYCHOL ANIM B,21,0,5,7,1,1,1,2,0,0,0,4
8,1.419,PHYSIOL BEHAV,17,0,1,0,1,3,1,0,1,1,2,7
9,,BEHAV BRAIN RES,15,0,3,0,0,4,0,2,2,1,1,2
10,,BEHAVIOUR,14,0,0,1,5,2,1,2,0,0,0,3
11,0.684,PSYCHOL REC,14,1,2,2,1,1,0,2,1,1,1,2
12,1.172,J EXP ANAL BEHAV,13,0,2,3,0,2,0,0,1,0,0,5
13,0.815,AGGRESSIVE BEHAV,12,0,0,1,0,0,0,3,0,0,0,8
14,,ADV STUD BEHAV,10,0,0,0,2,3,1,1,0,0,0,3
15,1.477,J COMP PSYCHOL,10,0,0,5,0,2,0,0,1,0,0,2
16,,PSYCHOPHARMACOLOGY,10,0,0,2,1,0,0,0,0,2,1,4
17,,POULT AVIAN BIOL REV,9,0,0,1,0,1,1,1,1,1,1,2
18,14.250,BEHAV BRAIN SCI,8,0,1,1,0,3,1,0,0,0,0,2
19,,CAN J ZOOL,8,0,0,0,1,1,0,0,2,2,0,2
20,,J INSECT BEHAV,8,0,0,2,0,1,1,1,1,0,1,1
21,1.473,BRAIN LANG,7,0,1,2,0,3,0,1,0,0,0,0
22,1.629,COGNITIVE SCI,7,0,0,3,2,1,0,1,0,0,0,0
23,,DEV PSYCHOBIOL,7,0,0,3,0,0,0,0,1,0,0,3
24,,MAR FRESHW BEHAV PHY,7,0,0,1,1,0,0,0,1,1,1,2
25,,PHARMACOL BIOCHEM BE,7,0,0,1,0,1,0,0,0,0,1,4
26,,ETHOLOGY,6,0,0,0,0,0,0,2,1,1,0,2
27,,P ROY SOC LOND B BIO,6,0,0,0,1,0,0,1,0,0,0,4
28,,ANIM WELFARE,5,0,0,0,0,0,0,0,1,0,1,3
29,1.516,BEHAV GENET,5,0,0,0,1,0,0,1,0,0,0,3
30,,CURR PHARM DESIGN,4,0,0,0,0,0,0,1,0,0,0,3
31,,EUR J NEUROSCI,4,0,0,0,0,1,0,2,0,0,0,1
32,,INSECT SOC,4,0,0,0,1,0,0,1,1,0,0,1
33,,J ZOOL,4,0,0,0,0,0,0,0,0,0,0,4
34,,NATURE,4,0,0,1,0,0,0,1,1,0,0,1
