Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2845,12,45,86,121,104,115,126,118,91,95,1932
2,,ALL OTHERS (150),150,0,2,1,7,1,8,7,6,2,3,113
3,2.138,ANIM BEHAV,247,2,4,16,12,16,8,14,12,14,10,139
4,0.942,BEHAVIOUR,172,3,7,8,13,5,15,5,11,5,8,92
5,2.020,BEHAV ECOL SOCIOBIOL,117,0,1,2,10,4,6,11,6,4,2,71
6,1.066,ETHOLOGY,114,1,3,4,5,5,2,6,10,3,4,71
7,3.037,P ROY SOC LOND B BIO,86,0,5,2,4,4,9,4,2,1,3,52
8,0.906,BEHAV PROCESS,73,1,0,1,2,4,5,6,0,2,2,50
9,0.881,APPL ANIM BEHAV SCI,72,0,0,1,3,3,3,5,5,2,0,50
10,1.214,INT J PRIMATOL,65,0,2,0,2,2,0,7,3,2,2,45
11,3.647,ADV STUD BEHAV,64,0,0,0,2,6,1,5,4,3,1,42
12,0.779,CAN J ZOOL,63,0,1,0,2,4,1,1,4,3,4,43
13,2.130,BEHAV ECOL,54,0,1,1,6,2,1,0,3,3,2,35
14,1.437,AM J PRIMATOL,44,1,1,1,2,2,0,5,2,1,1,28
15,1.140,J FISH BIOL,44,0,0,1,4,2,3,2,0,0,1,31
16,0.885,PRIMATES,37,0,2,2,1,1,1,5,1,0,0,24
17,1.207,CONDOR,36,0,0,1,1,2,1,2,1,0,2,26
18,1.690,AUK,32,1,0,1,3,2,0,2,1,2,2,18
19,1.024,J ZOOL,30,0,0,0,0,0,2,0,2,2,0,24
20,0.300,MAR FRESHW BEHAV PHY,29,0,1,1,1,2,0,0,0,1,0,23
21,0.948,ETHOL ECOL EVOL,28,0,0,1,2,0,0,0,0,0,5,20
22,1.511,J AVIAN BIOL,28,0,0,1,1,3,1,2,1,0,3,16
23,0.494,ZOO BIOL,25,0,0,0,1,0,0,0,2,0,0,22
24,1.322,DEV PSYCHOBIOL,24,0,0,0,0,1,2,1,1,1,0,18
25,0.926,FOLIA PRIMATOL,24,0,0,2,0,0,0,4,0,0,2,16
26,1.477,J COMP PSYCHOL,24,0,1,0,0,1,0,0,1,1,2,18
27,0.763,ENVIRON BIOL FISH,23,0,0,0,1,0,1,0,1,0,1,19
