Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,326,9,22,26,20,25,34,46,23,16,9,96
2,,ALL OTHERS (72),72,2,8,3,8,6,8,14,3,3,2,15
3,0.253,LECT NOTES ARTIF INT,25,0,0,3,1,3,0,5,1,1,0,11
4,2.029,ARTIF INTELL,22,0,1,2,0,2,3,1,1,2,0,10
5,,FR ART INT,19,0,5,5,1,1,0,0,1,0,1,5
6,1.091,COMPUT INTELL,15,0,1,2,2,2,3,0,0,0,1,4
7,0.333,INT J HUM-COMPUT ST,11,0,1,0,1,0,0,0,1,2,1,5
8,0.390,LECT NOTES COMPUT SC,11,0,0,0,0,0,1,0,6,1,0,3
9,,P SOC PHOTO-OPT INS,9,2,1,1,2,0,1,1,0,0,0,1
10,,ADV SOFT COMP,7,0,2,3,0,0,1,1,0,0,0,0
11,,IEEE SYS MAN CYBERN,7,0,0,0,1,0,0,0,1,2,0,3
12,1.025,KNOWL ENG REV,7,0,0,2,0,0,1,0,0,0,0,4
13,0.671,ANN MATH ARTIF INTEL,6,1,0,0,0,3,0,0,0,1,0,1
14,0.450,INT J INTELL SYST,6,0,0,0,0,0,1,1,0,0,0,4
15,0.741,J AUTOM REASONING,6,0,0,0,0,0,0,0,3,0,0,3
16,0.226,COMPUT ARTIF INTELL,5,0,0,0,0,0,0,5,0,0,0,0
17,0.405,EXPERT SYST APPL,5,0,0,0,0,0,4,0,0,0,1,0
18,1.319,J LOGIC PROGRAM,5,0,0,0,0,2,0,0,0,1,0,2
19,0.322,INFORM SCIENCES,4,2,0,0,0,0,0,1,1,0,0,0
20,1.064,J ARTIF INTELL RES,4,0,0,0,0,0,1,0,0,0,1,2
21,0.417,THEOR COMPUT SCI,4,0,0,0,0,1,0,1,1,0,0,1
22,,ADV NEUR IN,3,0,0,0,0,0,1,1,0,0,0,1
23,1.793,ARTIF INTELL MED,3,0,0,0,0,0,0,0,0,0,0,3
24,0.231,ENG APPL ARTIF INTEL,3,0,0,0,0,1,1,1,0,0,0,0
25,,INT S MICRO,3,0,0,0,1,0,0,0,0,0,0,2
26,0.042,J PETROL TECHNOL,3,0,0,0,0,2,0,1,0,0,0,0
27,,KLUWER INT SER ENG C,3,0,0,0,0,0,1,0,0,0,0,2
28,0.219,MIND MACH,3,0,0,0,0,0,0,1,0,0,1,1
29,0.147,SYNTHESE,3,0,0,1,0,0,0,0,0,1,0,1
30,0.923,ACM COMPUT SURV,2,0,0,0,0,0,0,1,0,0,0,1
31,0.697,AI COMMUN,2,0,0,0,0,0,0,0,0,0,0,2
32,,AMST STUD THEORY HIS,2,0,0,0,0,0,0,0,1,1,0,0
33,1.017,APPL ARTIF INTELL,2,0,0,1,0,0,1,0,0,0,0,0
34,0.420,APPL INTELL,2,0,0,0,0,0,1,1,0,0,0,0
35,0.222,ARTIF INTELL REV,2,0,0,0,0,0,0,1,0,0,0,1
36,0.468,COMPUT GEOSCI-UK,2,0,0,0,0,1,0,1,0,0,0,0
37,1.146,COMPUT LINGUIST,2,0,0,1,0,0,0,1,0,0,0,0
38,0.152,CONTROL CYBERN,2,0,0,1,0,0,1,0,0,0,0,0
39,0.457,CYBERNET SYST,2,0,0,0,0,0,2,0,0,0,0,0
40,0.582,DATA KNOWL ENG,2,0,0,0,0,0,0,0,1,1,0,0
41,0.176,EXPERT SYST,2,0,0,0,1,0,1,0,0,0,0,0
42,0.393,FUZZY SET SYST,2,0,0,0,0,0,0,1,0,0,0,1
43,,IEEE T ELECTRON PACK,2,2,0,0,0,0,0,0,0,0,0,0
44,1.000,IEEE T KNOWL DATA EN,2,0,0,0,0,0,0,1,0,0,0,1
45,1.096,IEEE T NEURAL NETWOR,2,0,0,1,0,0,0,1,0,0,0,0
46,0.957,IEEE T SYST MAN CY C,2,0,1,0,0,0,0,1,0,0,0,0
47,0.417,INT J APPROX REASON,2,0,0,0,0,1,0,0,1,0,0,0
48,0.268,INT J GEN SYST,2,0,0,0,1,0,0,1,0,0,0,0
49,0.310,INT J PATTERN RECOGN,2,0,0,0,0,0,0,1,1,0,0,0
50,,INT SYM MVL,2,0,0,0,0,0,0,0,0,0,0,2
51,0.893,J SYMB COMPUT,2,0,0,0,0,0,0,0,0,0,1,1
52,2.702,NEURAL COMPUT,2,0,0,0,0,0,1,0,0,0,0,1
53,1.077,PATTERN RECOGN,2,0,0,0,0,0,0,1,0,0,0,1
54,,PROC CVPR IEEE,2,0,1,0,0,0,0,0,0,0,0,1
55,,STUD FUZZ SOFT COMP,2,0,1,0,1,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
