Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,197,1,8,11,31,33,21,32,29,20,11,0
2,,ALL OTHERS (53),53,1,3,0,8,6,4,9,10,6,6,0
3,2.753,J EXP PSYCHOL LEARN,15,0,0,0,6,3,2,2,1,1,0,0
4,1.452,Q J EXP PSYCHOL-A,14,0,0,0,2,2,1,3,3,2,1,0
5,0.452,EUR J COGN PSYCHOL,11,0,1,0,2,4,1,1,2,0,0,0
6,1.507,MEM COGNITION,11,0,0,1,1,2,4,2,0,0,1,0
7,,COGNITIVE BRAIN RES,5,0,0,2,0,1,0,0,0,2,0,0
8,3.636,J EXP PSYCHOL GEN,5,0,0,0,1,0,1,1,2,0,0,0
9,2.247,J EXP PSYCHOL HUMAN,5,0,1,1,1,0,0,1,0,1,0,0
10,1.252,PERCEPT PSYCHOPHYS,5,0,0,2,0,0,0,0,2,1,0,0
11,6.069,PSYCHOL REV,5,0,0,0,1,1,0,1,2,0,0,0
12,1.580,PSYCHON B REV,5,0,0,1,0,1,0,2,0,0,1,0
13,0.330,SCAND J PSYCHOL,5,0,1,0,0,1,3,0,0,0,0,0
14,1.276,J EXP CHILD PSYCHOL,4,0,0,0,1,0,1,1,1,0,0,0
15,0.417,PSYCHOL BELG,4,0,0,1,0,3,0,0,0,0,0,0
16,,REV NEUROPSYCHOL,4,0,0,0,0,0,3,1,0,0,0,0
17,0.295,VIS COGN,4,0,0,0,3,0,0,0,0,0,1,0
18,0.167,Z PSYCHOL,4,0,1,0,2,1,0,0,0,0,0,0
19,1.267,ACTA PSYCHOL,3,0,0,1,1,1,0,0,0,0,0,0
20,0.929,APPL COGNITIVE PSYCH,3,0,0,0,1,1,0,0,1,0,0,0
21,1.473,BRAIN LANG,3,0,0,0,0,1,0,1,0,1,0,0
22,0.500,CAN J EXP PSYCHOL,3,0,0,0,0,1,0,2,0,0,0,0
23,,CORTEX,3,0,0,1,0,1,0,1,0,0,0,0
24,2.638,J MEM LANG,3,0,0,1,0,0,0,0,0,2,0,0
25,0.340,LANG LEARN,3,0,0,0,0,0,0,0,2,1,0,0
26,1.522,MEMORY,3,0,0,0,0,1,0,0,1,1,0,0
27,2.778,NEUROPSYCHOLOGIA,3,0,0,0,0,1,0,1,0,1,0,0
28,1.360,PSYCHOL RES-PSYCH FO,3,0,0,0,1,0,1,0,0,1,0,0
29,5.115,J COGNITIVE NEUROSCI,2,0,0,0,0,0,0,2,0,0,0,0
30,0.639,LANG SPEECH,2,0,0,0,0,0,0,0,2,0,0,0
31,1.193,PERCEPTION,2,0,0,0,0,0,0,1,0,0,1,0
32,0.500,Z EXP PSYCHOL,2,0,1,0,0,1,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
