Cited Journal Data: JOURNAL OF PRAGMATICS,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,388,3,14,35,20,45,25,31,19,14,23,159
2,,ALL OTHERS (63),63,1,2,3,0,6,7,1,4,2,1,36
3,0.405,J PRAGMATICS,117,2,5,10,8,20,7,10,5,5,10,35
4,,PRAG BEYOND NEW SER,24,0,0,5,3,3,1,2,0,2,0,8
5,0.583,LANG COMMUN,17,0,0,0,2,0,1,1,0,1,1,11
6,,AMST STUD THEORY HIS,14,0,0,1,1,1,0,4,4,0,0,3
7,0.667,LANG SOC,11,0,0,0,2,0,2,0,1,0,0,6
8,1.581,DISCOURSE PROCESS,10,0,0,2,0,0,2,1,0,0,2,3
9,1.800,DISCOURSE SOC,10,0,0,1,2,2,1,0,0,0,0,4
10,0.692,APPL LINGUIST,9,0,0,2,1,2,1,0,0,1,0,2
11,0.522,RES LANG SOC INTERAC,9,0,1,3,0,4,0,1,0,0,0,0
12,,BEITR DIALOGFORSCH,8,0,0,1,0,1,1,1,0,0,0,4
13,,Z FR SPRACHE LIT,7,0,0,0,1,1,0,1,0,0,0,4
14,2.638,J MEM LANG,6,0,2,1,0,1,0,0,0,0,0,2
15,0.353,LINGUISTICS,5,0,0,1,0,0,1,1,0,0,1,1
16,,SEMIOTICA,5,0,0,0,0,0,0,0,1,0,0,4
17,,DEUT SPRACHE,4,0,0,0,0,0,0,1,1,0,0,2
18,0.525,J LANG SOC PSYCHOL,4,0,0,1,0,0,0,1,0,0,0,2
19,0.646,J MANAGE STUD,4,0,0,0,0,0,1,0,1,0,1,1
20,0.725,J PSYCHOLINGUIST RES,4,0,0,1,0,0,0,0,0,0,0,3
21,,LACUS FORUM,4,0,2,1,0,0,0,0,0,0,0,1
22,0.364,NARRAT INQ,4,0,1,0,0,1,0,0,0,0,2,0
23,,APHASIOLOGY,3,0,0,0,0,0,0,1,0,0,1,1
24,0.180,CAN MOD LANG REV,3,0,1,0,0,0,0,0,0,0,0,2
25,,COG LIN RES,3,0,0,0,0,0,0,0,0,1,1,1
26,0.945,J CHILD LANG,3,0,0,1,0,0,0,0,0,0,0,2
27,,MOD SPRAK,3,0,0,0,0,0,0,1,0,1,0,1
28,,REV ROMANE,3,0,0,0,0,0,0,0,1,0,0,2
29,0.091,STUD SYMB INTERACT,3,0,0,0,0,0,0,1,0,1,0,1
30,,COGN LINGUIST,2,0,0,0,0,0,0,0,1,0,0,1
31,1.863,COGNITION EMOTION,2,0,0,0,0,0,0,1,0,0,0,1
32,1.146,COMPUT LINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
33,0.400,INT J INTERCULT REL,2,0,0,0,0,2,0,0,0,0,0,0
34,0.707,J APPL COMMUN RES,2,0,0,0,0,1,0,0,0,0,0,1
35,0.736,J COMMUNITY PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
36,0.686,LINGUA,2,0,0,0,0,0,0,0,0,0,1,1
37,,LINGUA STILE,2,0,0,0,0,0,0,1,0,0,0,1
38,1.477,LINGUIST INQ,2,0,0,1,0,0,0,0,0,0,0,1
39,,LINGUIST PHILOS,2,0,0,0,0,0,0,0,0,0,0,2
40,2.702,NEUROPSYCHOLOGY,2,0,0,0,0,0,0,1,0,0,1,0
41,,POETICS,2,0,0,0,0,0,0,0,0,0,0,2
42,0.532,SMALL GR RES,2,0,0,0,0,0,0,0,0,0,1,1
43,,SPEECH COMMUN,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
