Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,511,4,18,24,66,43,42,53,71,23,12,155
2,,ALL OTHERS (52),52,2,0,2,4,1,4,1,9,3,3,23
3,2.638,J MEM LANG,66,0,0,2,6,11,6,17,3,5,0,16
4,0.725,J PSYCHOLINGUIST RES,39,1,3,3,4,4,1,2,8,0,3,10
5,0.875,LANG COGNITIVE PROC,35,1,1,2,5,1,0,7,5,1,1,11
6,14.250,BEHAV BRAIN SCI,28,0,0,1,8,2,1,0,2,3,2,9
7,1.473,BRAIN LANG,28,0,0,0,2,2,4,2,5,3,0,10
8,2.753,J EXP PSYCHOL LEARN,17,0,3,0,3,0,0,5,1,0,0,5
9,2.622,COGNITION,13,0,3,0,4,0,0,0,2,1,0,3
10,2.247,J EXP PSYCHOL HUMAN,13,0,0,1,1,1,1,3,3,0,0,3
11,6.069,PSYCHOL REV,13,0,1,1,1,2,4,0,3,0,0,1
12,1.507,MEM COGNITION,11,0,0,0,1,1,1,0,0,1,0,7
13,2.180,COGNITIVE NEUROPSYCH,10,0,0,0,0,2,2,0,1,1,0,4
14,2.778,NEUROPSYCHOLOGIA,10,0,0,0,2,1,0,0,3,0,0,4
15,5.115,J COGNITIVE NEUROSCI,9,0,1,1,0,0,0,1,4,0,0,2
16,0.093,PSYCHOLOGIA,8,0,1,0,0,0,1,4,0,0,0,2
17,1.452,Q J EXP PSYCHOL-A,8,0,0,0,1,1,1,0,0,2,0,3
18,1.590,J SPEECH LANG HEAR R,7,0,0,0,2,2,0,0,0,0,0,3
19,0.417,PSYCHOL BELG,7,0,0,1,1,3,1,0,1,0,0,0
20,0.630,BRAIN COGNITION,6,0,0,1,2,0,0,0,1,0,0,2
21,,PERSP NEURAL COMP,6,0,0,0,0,0,5,0,1,0,0,0
22,1.580,PSYCHON B REV,6,0,0,0,2,0,1,0,0,0,1,2
23,,TRENDS COGN SCI,6,0,0,0,1,0,1,1,2,0,0,1
24,3.463,COGNITIVE PSYCHOL,5,0,0,0,1,0,1,0,2,0,0,1
25,,PROC ANN BUCLD,5,0,0,1,0,0,0,1,1,0,0,2
26,1.360,PSYCHOL RES-PSYCH FO,5,0,0,0,0,4,0,0,0,0,0,1
27,,APHASIOLOGY,4,0,0,0,0,1,0,0,0,1,0,2
28,2.768,CHILD DEV,4,0,1,1,2,0,0,0,0,0,0,0
29,,COGNITIVE BRAIN RES,4,0,0,0,1,0,0,0,1,0,1,1
30,,HUM BRAIN MAPP,4,0,0,1,0,0,0,1,2,0,0,0
31,3.636,J EXP PSYCHOL GEN,4,0,0,0,1,0,1,0,0,1,0,1
32,0.340,LANG LEARN,4,0,0,1,1,0,1,0,0,0,0,1
33,0.122,READ WRIT,4,0,0,0,0,0,0,4,0,0,0,0
34,,ADV CHILD DEV BEHAV,3,0,0,0,0,1,0,1,0,0,0,1
35,0.238,ANN PSYCHOL,3,0,0,0,1,1,0,0,1,0,0,0
36,1.053,BRIT J PSYCHOL,3,0,0,1,1,0,0,0,0,0,0,1
37,0.945,J CHILD LANG,3,0,0,1,2,0,0,0,0,0,0,0
38,1.102,J GERONTOL B-PSYCHOL,3,0,0,0,1,1,0,1,0,0,0,0
39,3.371,LANGUAGE,3,0,0,0,0,0,1,0,1,0,0,1
40,,LECT NOTES ARTIF INT,3,0,0,0,0,0,0,0,0,0,0,3
41,0.686,LINGUA,3,0,1,0,0,0,1,0,1,0,0,0
42,0.353,LINGUISTICS,3,0,0,0,0,0,0,0,0,0,0,3
43,,NERVENHEILKUNDE,3,0,0,0,0,0,0,0,2,0,0,1
44,,NEUROPSYCHOL REHABIL,3,0,0,0,0,0,1,0,0,1,0,1
45,1.252,PERCEPT PSYCHOPHYS,3,0,1,0,0,0,1,0,0,0,1,0
46,3.412,PSYCHOL MED,3,0,0,0,0,0,0,0,1,0,0,2
47,,SEMIN NEUROL,3,0,0,0,2,0,1,0,0,0,0,0
48,,AMST STUD THEORY HIS,2,0,1,0,0,0,0,0,0,0,0,1
49,0.818,APPL PSYCHOLINGUIST,2,0,0,1,0,0,0,1,0,0,0,0
50,,BRAIN,2,0,0,1,0,0,0,0,1,0,0,0
51,2.044,DEV PSYCHOL,2,0,0,1,0,0,0,0,0,0,0,1
52,,FOLIA LINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
53,0.333,INT J HUM-COMPUT ST,2,0,0,0,0,0,0,0,0,0,0,2
54,1.489,INT J PSYCHOPHYSIOL,2,0,0,0,0,0,0,0,1,0,0,1
55,1.276,J EXP CHILD PSYCHOL,2,0,1,0,0,0,0,0,0,0,0,1
56,0.514,J NEUROLINGUIST,2,0,0,0,1,0,0,0,0,0,0,1
57,,LANGUE FRANCAISE,2,0,0,0,2,0,0,0,0,0,0,0
58,1.477,LINGUIST INQ,2,0,0,0,0,1,0,0,1,0,0,0
59,0.473,PSICOTHEMA,2,0,0,0,0,0,0,0,2,0,0,0
60,3.106,PSYCHOPHYSIOLOGY,2,0,0,0,0,0,0,0,0,0,0,2
61,0.330,SCAND J PSYCHOL,2,0,0,0,0,0,0,1,0,0,0,1
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
