Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,1173,7,95,297,230,151,138,86,34,68,29,38
2,,ALL OTHERS (76),76,1,8,17,9,11,9,8,5,3,2,3
3,0.253,LECT NOTES ARTIF INT,295,0,11,108,69,25,33,18,7,12,4,8
4,0.390,LECT NOTES COMPUT SC,70,0,6,16,20,7,6,3,1,9,1,1
5,2.029,ARTIF INTELL,51,3,2,10,10,10,6,4,1,0,2,3
6,0.635,INFORM COMPUT,49,0,0,3,3,15,5,12,0,3,4,4
7,0.417,THEOR COMPUT SCI,46,0,0,1,5,9,9,4,2,13,1,2
8,,FR ART INT,45,1,6,19,7,4,4,2,1,1,0,0
9,0.671,ANN MATH ARTIF INTEL,23,0,2,9,1,4,0,2,0,2,1,2
10,1.319,J LOGIC PROGRAM,21,0,0,0,8,4,6,0,0,2,0,1
11,0.893,J SYMB COMPUT,21,0,0,1,7,3,3,3,0,4,0,0
12,1.017,APPL ARTIF INTELL,18,1,4,3,2,4,3,1,0,0,0,0
13,0.333,INT J HUM-COMPUT ST,18,0,2,0,3,5,4,2,0,1,0,1
14,0.582,DATA KNOWL ENG,17,0,2,5,3,3,0,1,2,0,0,1
15,1.447,AI MAG,16,0,9,7,0,0,0,0,0,0,0,0
16,,BCS CONF SERIES,15,0,0,6,3,5,1,0,0,0,0,0
17,0.133,INFOR,14,0,0,10,0,0,0,2,2,0,0,0
18,0.741,J AUTOM REASONING,14,0,0,1,5,2,1,2,0,2,0,1
19,0.822,J LOGIC COMPUT,14,0,1,0,2,1,3,1,0,4,1,1
20,1.447,MACH LEARN,14,0,1,3,2,2,2,3,0,0,1,0
21,1.064,J ARTIF INTELL RES,12,0,3,2,4,0,1,1,0,1,0,0
22,1.793,ARTIF INTELL MED,10,1,4,0,3,1,0,1,0,0,0,0
23,0.398,COMPUT J,10,0,0,1,1,2,3,1,2,0,0,0
24,,IEEE S LOG,9,0,1,4,0,0,1,0,0,2,1,0
25,0.417,INT J APPROX REASON,9,0,0,2,1,1,2,2,0,0,0,1
26,,P SOC PHOTO-OPT INS,9,0,1,1,2,1,0,3,0,0,1,0
27,,COM ADAP SY,8,0,2,2,0,0,4,0,0,0,0,0
28,1.091,COMPUT INTELL,8,0,0,1,1,1,0,1,0,1,1,2
29,0.143,IEICE T INF SYST,8,0,2,5,0,1,0,0,0,0,0,0
30,0.450,INT J INTELL SYST,8,0,0,0,5,0,0,2,0,1,0,0
31,0.125,J EXP THEOR ARTIF IN,8,0,3,4,0,0,0,0,0,0,0,1
32,0.350,J SYMBOLIC LOGIC,8,0,0,2,0,3,1,0,0,0,1,1
33,0.610,THEOR COMPUT SYST,8,0,0,0,2,1,2,1,2,0,0,0
34,,IEEE SYS MAN CYBERN,7,0,3,2,0,2,0,0,0,0,0,0
35,0.322,INFORM SCIENCES,7,0,0,1,0,1,1,0,1,1,1,1
36,0.575,J INTELL INF SYST,7,0,1,0,4,0,0,0,1,0,1,0
37,,ADV SOFT COMP,6,0,0,5,0,1,0,0,0,0,0,0
38,0.408,ARTIF INTELL ENG,6,0,0,5,1,0,0,0,0,0,0,0
39,0.720,IEEE T SYST MAN CY B,6,0,0,4,0,0,2,0,0,0,0,0
40,0.265,J INTELL MANUF,6,0,0,0,0,5,0,0,0,0,0,1
41,0.375,KNOWL-BASED SYST,6,0,0,0,2,2,0,0,1,0,1,0
42,,PROC INT C TOOLS ART,6,0,0,3,2,0,0,1,0,0,0,0
43,0.415,ROBOT AUTON SYST,6,0,0,3,0,2,1,0,0,0,0,0
44,0.420,APPL INTELL,5,0,2,2,1,0,0,0,0,0,0,0
45,0.393,FUZZY SET SYST,5,0,0,0,2,1,0,1,1,0,0,0
46,0.360,INFORM PROCESS LETT,5,0,0,0,4,0,1,0,0,0,0,0
47,0.699,INT J MED INFORM,5,0,1,0,2,0,1,0,0,0,1,0
48,,INT S MICRO,5,0,0,0,3,2,0,0,0,0,0,0
49,,KLUWER INT SER ENG C,5,0,0,2,2,0,1,0,0,0,0,0
50,,LOGIC PROGRAMM,5,0,0,0,3,0,1,1,0,0,0,0
51,0.444,NEW GENERAT COMPUT,5,0,0,0,1,2,0,0,1,0,1,0
52,,ST CLASS DAT ANAL,5,0,1,2,0,0,2,0,0,0,0,0
53,0.531,APPL ALGEBR ENG COMM,4,0,0,1,1,0,0,1,0,1,0,0
54,0.672,AUTON ROBOT,4,0,2,0,1,1,0,0,0,0,0,0
55,0.379,COMPUT ELECTRON AGR,4,0,0,0,0,1,3,0,0,0,0,0
56,0.405,EXPERT SYST APPL,4,0,2,1,1,0,0,0,0,0,0,0
57,1.000,IEEE INTELL SYST APP,4,0,1,0,2,0,0,1,0,0,0,0
58,0.664,J COMPUT SYST SCI,4,0,0,0,2,0,1,0,0,0,0,1
59,1.025,KNOWL ENG REV,4,0,1,3,0,0,0,0,0,0,0,0
60,,ADV CONCURRENT ENGN,3,0,0,3,0,0,0,0,0,0,0,0
61,,CISM COUR L,3,0,0,1,0,0,1,0,0,0,0,1
62,0.635,COMPUT BIOMED RES,3,0,0,0,1,0,2,0,0,0,0,0
63,0.383,IIE TRANS,3,0,0,0,3,0,0,0,0,0,0,0
64,0.684,IMAGE VISION COMPUT,3,0,0,0,1,0,0,1,1,0,0,0
65,0.321,INT J COOP INF SYST,3,0,0,1,1,0,1,0,0,0,0,0
66,0.245,LECT NOTES CONTR INF,3,0,0,1,1,1,0,0,0,0,0,0
67,,LECT NOTES LOGIC,3,0,0,0,0,0,1,0,0,0,2,0
68,,MANAG INFORMAT SYST,3,0,2,0,1,0,0,0,0,0,0,0
69,,NEW ENGL COMPL SYST,3,0,0,0,0,0,3,0,0,0,0,0
70,0.838,VISUAL COMPUT,3,0,0,3,0,0,0,0,0,0,0,0
71,,ADV NEUR IN,2,0,2,0,0,0,0,0,0,0,0,0
72,0.068,ALGEBRA UNIV,2,0,0,0,1,0,1,0,0,0,0,0
73,,AUST COMP S,2,0,0,0,1,0,0,0,1,0,0,0
74,0.222,COMPUT GRAPH FORUM,2,0,1,1,0,0,0,0,0,0,0,0
75,0.457,CYBERNET SYST,2,0,1,0,1,0,0,0,0,0,0,0
76,0.231,ENG APPL ARTIF INTEL,2,0,0,1,0,0,1,0,0,0,0,0
77,0.164,ENG INTELL SYST ELEC,2,0,1,0,1,0,0,0,0,0,0,0
78,0.500,FORM METHOD SYST DES,2,0,0,0,1,0,0,0,0,1,0,0
79,1.018,IEEE CONCURR,2,0,1,0,0,1,0,0,0,0,0,0
80,0.856,IEEE ENG MED BIOL,2,0,0,2,0,0,0,0,0,0,0,0
81,,IFAC SYMP SERIES,2,0,0,1,0,0,1,0,0,0,0,0
82,0.291,INFORM SOFTWARE TECH,2,0,0,0,1,1,0,0,0,0,0,0
83,,INT FED INFO PROC,2,0,0,1,0,0,0,0,0,1,0,0
84,0.485,INT J CIRC THEOR APP,2,0,0,0,0,0,2,0,0,0,0,0
85,0.176,INT J ENVIRON POLLUT,2,0,0,0,0,0,0,0,2,0,0,0
86,0.382,INT J FLEX MANUF SYS,2,0,0,0,0,1,0,0,0,1,0,0
87,0.838,INTERACT COMPUT,2,0,0,0,1,0,0,0,0,1,0,0
88,0.083,J INTELL ROBOT SYST,2,0,0,1,0,0,0,0,0,0,1,0
89,0.492,J SYST SOFTWARE,2,0,0,0,0,1,0,0,0,1,0,0
90,0.424,J VISUAL COMP ANIMAT,2,0,0,2,0,0,0,0,0,0,0,0
91,0.327,J VLSI SIG PROC SYST,2,0,1,0,0,0,0,0,0,0,0,1
92,0.195,KYBERNETES,2,0,2,0,0,0,0,0,0,0,0,0
93,,P IEEE CSFW,2,0,0,0,2,0,0,0,0,0,0,0
94,1.077,PATTERN RECOGN,2,0,0,1,0,1,0,0,0,0,0,0
95,1.307,PREV VET MED,2,0,0,0,1,0,1,0,0,0,0,0
96,,STUD FUZZ SOFT COMP,2,0,0,1,0,0,1,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
