Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,2881,56,184,351,331,243,312,269,122,313,211,489
2,,ALL OTHERS (192),192,3,4,14,17,11,21,16,8,36,16,46
3,2.702,NEURAL COMPUT,304,10,31,50,31,40,26,39,9,30,14,24
4,,ADV NEUR IN,186,1,15,44,30,15,26,15,4,15,6,15
5,1.096,IEEE T NEURAL NETWOR,133,1,6,12,20,8,11,8,4,21,10,32
6,0.636,NEUROCOMPUTING,121,8,6,22,19,8,15,8,2,11,7,15
7,1.221,NEURAL NETWORKS,110,1,8,15,11,8,16,8,6,11,7,19
8,0.390,LECT NOTES COMPUT SC,82,0,1,8,10,10,13,8,3,9,9,11
9,,P SOC PHOTO-OPT INS,57,1,6,5,7,2,17,3,1,2,0,13
10,8.502,J NEUROSCI,50,2,10,9,3,7,2,11,1,3,0,2
11,0.836,NETWORK-COMP NEURAL,50,7,4,4,6,5,4,6,3,4,3,4
12,2.142,PHYS REV E,45,2,3,11,8,5,4,4,2,4,1,1
13,2.094,IEEE T PATTERN ANAL,43,2,5,6,9,2,6,3,1,4,2,3
14,1.185,BIOL CYBERN,42,0,1,4,2,8,8,7,3,2,4,3
15,3.855,J NEUROPHYSIOL,40,1,6,4,2,5,4,9,2,2,2,3
16,2.346,J COMPUT NEUROSCI,35,2,3,7,5,2,4,5,4,3,0,0
17,1.077,PATTERN RECOGN,35,0,1,0,3,3,3,5,2,4,2,12
18,2.000,VISION RES,34,2,1,3,1,4,3,6,4,3,1,6
19,0.253,LECT NOTES ARTIF INT,31,0,0,2,3,2,1,3,2,2,3,13
20,0.365,NEURAL PROCESS LETT,31,0,3,6,2,1,1,1,1,2,6,8
21,,PERSP NEURAL COMP,26,0,1,3,4,2,4,3,0,1,3,5
22,0.327,J VLSI SIG PROC SYST,25,0,5,4,4,1,5,0,1,2,0,3
23,0.957,IEEE T SYST MAN CY C,24,0,1,2,2,0,1,1,0,5,4,8
24,0.490,EUR J OPER RES,23,0,0,1,1,0,0,1,6,1,0,13
25,0.346,PATTERN RECOGN LETT,22,0,0,0,2,1,2,0,0,3,4,10
26,10.789,P NATL ACAD SCI USA,18,1,0,1,5,5,1,1,1,1,1,1
27,0.685,SIGNAL PROCESS,18,1,2,2,1,0,2,2,0,1,2,5
28,1.447,MACH LEARN,17,0,0,5,0,2,1,3,0,4,1,1
29,1.566,IEEE T BIO-MED ENG,16,0,2,2,6,0,5,0,0,0,1,0
30,0.866,INT J BIFURCAT CHAOS,16,0,0,2,0,5,2,1,2,2,1,1
31,,PROC CVPR IEEE,16,0,2,2,7,1,2,1,0,0,1,0
32,1.203,IEEE T SIGNAL PROCES,15,0,3,1,0,0,4,1,1,0,1,4
33,0.720,IEEE T SYST MAN CY B,15,0,1,0,3,3,0,1,1,2,1,3
34,23.872,SCIENCE,15,0,1,3,4,2,1,1,0,2,0,1
35,,AIP CONF P,14,0,0,2,1,3,4,1,0,1,1,1
36,,IEEE SYS MAN CYBERN,14,0,0,0,3,0,2,2,0,0,3,4
37,0.309,NEURAL COMPUT APPL,14,0,1,0,1,1,0,1,1,2,4,3
