Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,444,14,99,79,45,43,31,30,10,4,27,62
2,,ALL OTHERS (123),123,3,13,10,12,10,14,8,5,1,11,36
3,0.636,NEUROCOMPUTING,58,4,32,4,6,6,3,2,0,1,0,0
4,1.096,IEEE T NEURAL NETWOR,22,0,2,6,3,4,3,3,0,0,0,1
5,0.390,LECT NOTES COMPUT SC,19,0,0,11,0,3,1,1,1,0,1,1
6,2.702,NEURAL COMPUT,12,2,4,3,2,0,1,0,0,0,0,0
7,,P SOC PHOTO-OPT INS,12,1,1,2,3,2,0,0,0,0,0,3
8,1.221,NEURAL NETWORKS,11,0,3,5,0,1,0,1,1,0,0,0
9,0.365,NEURAL PROCESS LETT,10,0,0,6,3,0,0,1,0,0,0,0
10,8.502,J NEUROSCI,9,3,5,0,0,0,1,0,0,0,0,0
11,1.203,IEEE T SIGNAL PROCES,7,0,0,6,0,0,0,0,0,0,1,0
12,0.309,NEURAL COMPUT APPL,7,0,2,1,1,0,1,0,1,0,0,1
13,14.250,BEHAV BRAIN SCI,6,0,6,0,0,0,0,0,0,0,0,0
14,,COMPUT-AIDED CIV INF,6,0,0,0,3,0,0,0,0,0,1,2
15,0.176,EXPERT SYST,6,0,0,3,0,1,0,1,0,0,0,1
16,0.545,ENVIRON MODELL SOFTW,5,0,0,0,2,0,0,0,1,0,0,2
17,,IEEE SYS MAN CYBERN,5,0,0,3,0,0,1,0,0,0,0,1
18,0.836,NETWORK-COMP NEURAL,5,0,4,1,0,0,0,0,0,0,0,0
19,,PERSP NEURAL COMP,5,0,0,2,0,0,1,1,1,0,0,0
20,0.420,APPL INTELL,4,0,0,0,1,1,0,1,0,0,0,1
21,0.405,EXPERT SYST APPL,4,0,1,0,0,0,2,1,0,0,0,0
22,0.957,IEEE T SYST MAN CY C,4,0,0,0,0,3,1,0,0,0,0,0
23,0.237,J MATER PROCESS TECH,4,0,0,0,0,0,0,0,0,0,4,0
24,0.253,LECT NOTES ARTIF INT,4,0,0,1,0,2,0,1,0,0,0,0
25,,ADV SOFT COMP,3,0,0,1,0,0,0,2,0,0,0,0
26,1.793,ARTIF INTELL MED,3,0,1,1,1,0,0,0,0,0,0,0
27,4.822,CEREB CORTEX,3,0,2,0,0,1,0,0,0,0,0,0
28,1.462,CHEMOMETR INTELL LAB,3,0,0,0,0,2,0,0,0,1,0,0
29,0.231,ENG APPL ARTIF INTEL,3,0,0,0,1,0,1,0,0,0,0,1
30,1.566,IEEE T BIO-MED ENG,3,0,0,2,1,0,0,0,0,0,0,0
31,0.620,IEEE T IND ELECTRON,3,0,2,0,0,0,0,0,0,0,0,1
32,0.254,IEICE T FUND ELECTR,3,0,2,0,0,0,1,0,0,0,0,0
33,0.504,INT J PROD RES,3,0,0,0,0,1,0,0,0,0,1,1
34,7.368,J BIOL CHEM,3,0,0,0,0,0,0,3,0,0,0,0
35,2.346,J COMPUT NEUROSCI,3,0,3,0,0,0,0,0,0,0,0,0
36,3.855,J NEUROPHYSIOL,3,0,3,0,0,0,0,0,0,0,0,0
37,0.327,J VLSI SIG PROC SYST,3,0,0,3,0,0,0,0,0,0,0,0
38,0.346,PATTERN RECOGN LETT,3,0,1,0,1,0,0,0,0,0,1,0
39,0.949,ADV COMPUT MATH,2,0,0,1,1,0,0,0,0,0,0,0
40,,APPL OPTIMIZAT,2,0,0,0,0,1,0,1,0,0,0,0
41,0.672,AUTON ROBOT,2,0,2,0,0,0,0,0,0,0,0,0
42,1.185,BIOL CYBERN,2,0,2,0,0,0,0,0,0,0,0,0
43,0.374,COMPUT STAT DATA AN,2,0,0,0,0,0,0,0,0,0,1,1
44,0.818,CONNECT SCI,2,0,0,0,1,0,0,0,0,0,0,1
45,,FR ART INT,2,0,0,1,0,1,0,0,0,0,0,0
46,,FZKA TECH UMW WIS B,2,0,0,0,0,0,0,1,0,0,0,1
47,,IEEE IMTC P,2,0,1,1,0,0,0,0,0,0,0,0
48,1.873,IEEE T FUZZY SYST,2,0,1,0,1,0,0,0,0,0,0,0
49,0.143,IEICE T INF SYST,2,0,1,0,0,0,0,0,0,0,1,0
50,0.290,INT J SYST SCI,2,0,0,1,0,1,0,0,0,0,0,0
51,1.226,J AM SOC INFORM SCI,2,0,0,2,0,0,0,0,0,0,0,0
52,3.492,J CLIMATE,2,0,0,0,1,0,0,0,0,0,0,1
53,0.375,J COMPUT CIVIL ENG,2,0,0,0,0,0,0,0,0,1,1,0
54,0.098,JSME INT J C-MECH SY,2,0,1,0,0,0,0,0,0,0,1,0
55,0.272,MATH COMPUT SIMULAT,2,0,0,1,0,1,0,0,0,0,0,0
56,2.696,NEUROREPORT,2,1,1,0,0,0,0,0,0,0,0,0
57,,NEW ENGL COMPL SYST,2,0,0,0,0,0,0,0,0,0,0,2
58,2.142,PHYS REV E,2,0,2,0,0,0,0,0,0,0,0,0
59,0.259,REV ROUM CHIM,2,0,0,0,0,0,0,0,0,0,2,0
60,0.415,ROBOT AUTON SYST,2,0,1,0,0,1,0,0,0,0,0,0
61,0.685,SIGNAL PROCESS,2,0,0,0,0,0,0,2,0,0,0,0
62,0.374,SIMULATION,2,0,0,0,1,0,0,0,0,0,0,1
63,1.401,SOIL SCI SOC AM J,2,0,0,0,0,0,0,0,0,0,1,1
64,,STUD FUZZ SOFT COMP,2,0,0,1,0,1,0,0,0,0,0,0
65,1.640,WATER RESOUR RES,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
