Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1,,ALL Journals,96,8,2,5,6,24,11,7,12,12,7,2
2,,ALL OTHERS (13),13,0,1,2,1,4,1,1,2,1,0,0
3,0.389,USER MODEL USER-ADAP,23,8,0,1,1,4,5,1,1,2,0,0
4,0.222,ARTIF INTELL REV,7,0,0,0,0,0,0,1,0,3,3,0
5,0.838,INTERACT COMPUT,7,0,0,0,0,0,3,1,2,1,0,0
6,0.923,ACM COMPUT SURV,5,0,0,0,0,3,0,2,0,0,0,0
7,,FR ART INT,5,0,1,0,1,2,0,0,1,0,0,0
8,0.333,INT J HUM-COMPUT ST,4,0,0,0,1,1,1,0,0,1,0,0
9,0.317,INT J SOFTW ENG KNOW,4,0,0,0,0,3,0,0,1,0,0,0
10,,IEEE T INF TECHNOL B,3,0,0,0,0,0,0,0,0,1,2,0
11,0.309,NEURAL COMPUT APPL,3,0,0,1,0,0,0,0,0,0,2,0
12,,COGNITIVE SCI,2,0,0,0,0,0,0,0,0,1,0,1
13,,IEEE SYS MAN CYBERN,2,0,0,0,1,0,0,0,0,1,0,0
14,1.746,IEEE T SOFTWARE ENG,2,0,0,0,0,0,0,0,2,0,0,0
15,1.226,J AM SOC INFORM SCI,2,0,0,0,0,2,0,0,0,0,0,0
16,0.253,LECT NOTES ARTIF INT,2,0,0,1,0,1,0,0,0,0,0,0
17,0.341,P I MECH ENG C-J MEC,2,0,0,0,0,2,0,0,0,0,0,0
18,,APL QUOTE QUAD,1,0,0,0,0,0,0,0,0,0,0,1
19,2.029,ARTIF INTELL,1,0,0,0,0,0,0,0,1,0,0,0
20,,BCS CONF SERIES,1,0,0,0,0,0,0,0,1,0,0,0
21,,BRIT J EDUC TECHNOL,1,0,0,0,0,1,0,0,0,0,0,0
22,0.869,COLLOID SURFACE A,1,0,0,0,0,0,0,0,0,1,0,0
23,1.624,COMMUN ACM,1,0,0,0,0,0,0,0,1,0,0,0
24,,EXP RES APPL,1,0,0,0,0,0,1,0,0,0,0,0
25,0.405,EXPERT SYST APPL,1,0,0,0,0,1,0,0,0,0,0,0
26,2.573,IEEE T MED IMAGING,1,0,0,0,0,0,0,1,0,0,0,0
27,0.719,INFORM PROCESS MANAG,1,0,0,0,1,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
