Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2332,34,76,142,132,153,122,109,110,116,88,1250
2, ,ALL OTHERS (458),458,5,7,16,23,30,20,21,18,30,16,272
3,1.437,AM J PRIMATOL,236,18,21,29,14,20,16,16,9,9,8,76
4,0.926,FOLIA PRIMATOL,146,2,1,25,3,1,1,6,2,12,5,88
5,1.214,INT J PRIMATOL,111,0,7,7,12,8,6,6,3,6,4,52
6,0.885,PRIMATES,108,2,1,8,5,0,9,0,7,9,1,66
7,2.138,ANIM BEHAV,70,0,1,1,6,2,4,5,6,1,3,41
8,1.827,AM J PHYS ANTHROPOL,49,0,2,7,0,3,1,3,1,7,5,20
9,0.942,BEHAVIOUR,44,1,1,1,2,2,0,5,2,1,1,28
10,2.020,BEHAV ECOL SOCIOBIOL,40,0,2,4,6,0,3,1,2,3,0,19
11, ,PRIMATE SOC,34,0,0,0,0,0,0,0,0,0,0,34
12,1.024,J ZOOL,26,0,0,1,3,2,4,0,0,2,4,10
13,0.858,BIOTROPICA,21,0,0,2,2,1,1,1,0,0,3,11
14,25.814,NATURE,19,0,0,1,0,0,1,1,0,0,1,15
15,1.066,ETHOLOGY,18,1,3,1,1,1,2,2,0,3,1,3
16, ,LEMUR SOC SYSTEMS,18,0,0,0,0,0,0,0,18,0,0,0
17,3.605,BIOL REPROD,17,0,0,0,3,3,0,1,2,0,1,7
18, ,ECOL BEHAV NEOTRO,17,0,0,0,0,0,0,0,0,0,0,17
19, ,Z TIERPSYCHOL,17,0,0,0,0,0,0,0,0,0,0,17
20,1.970,J REPROD FERTIL,16,0,0,0,0,1,1,0,3,0,1,10
21,2.769,MOL ECOL,16,0,2,0,5,4,2,3,0,0,0,0
22,23.872,SCIENCE,16,0,1,0,1,1,0,1,0,0,0,12
23,0.494,ZOO BIOL,16,0,0,2,4,0,3,1,1,0,2,3
24,3.650,ECOLOGY,15,0,0,0,0,0,0,0,0,0,0,15
25,0.903,LAB ANIM SCI,15,0,0,0,0,0,0,1,0,2,1,11
26,0.835,J MED PRIMATOL,14,0,0,0,0,1,0,1,0,0,1,11
27,1.352,J MAMMAL,13,0,0,0,1,0,0,1,1,0,0,10
28, ,EVOLUTION ECOL MA,12,0,0,0,0,12,0,0,0,0,0,0
29,1.035,J TROP ECOL,12,0,1,0,0,0,0,3,3,0,2,3
30, ,PRIMATE RAD EVOLUTIO,12,0,0,0,0,0,0,0,0,0,0,12
31,3.944,AM NAT,11,0,0,0,0,0,0,0,1,0,1,9
32, ,CREATURES DARK NOCTU,10,0,0,0,0,0,10,0,0,0,0,0
33, ,ETHOL SOCIOBIOL,10,0,0,0,0,0,0,0,0,0,1,9
34,2.862,J ANIM ECOL,10,0,0,0,0,0,0,1,0,1,0,8
35,2.675,J HUM EVOL,10,0,0,0,0,2,0,0,0,1,0,7
36,2.814,CONSERV BIOL,9,0,1,1,1,1,3,1,0,1,0,0
37, ,HDB BIOTELEMETRY RAD,9,0,0,0,0,0,0,0,0,0,0,9
38,2.553,HORM BEHAV,9,0,1,0,0,1,0,0,0,0,0,7
39, ,ADAPTIVE RAD NEOTROP,8,0,0,0,0,8,0,0,0,0,0,0
40, ,EVOL ANTHROPOL,8,0,0,3,0,2,3,0,0,0,0,0
41, ,NOCTURNAL MALAGASY P,8,0,0,0,0,0,0,0,0,0,0,8
42, ,5 NEW WORLD PRIMATES,7,0,0,0,0,0,0,0,0,0,0,7
43,3.647,ADV STUD BEHAV,7,0,0,0,0,0,0,0,1,0,0,6
44,4.269,BIOL PSYCHIAT,7,0,0,1,1,0,0,0,1,0,1,3
45,1.477,J COMP PSYCHOL,7,0,0,0,2,0,1,0,0,0,1,3
46,1.419,PHYSIOL BEHAV,7,0,0,0,0,0,1,0,0,1,1,4
47, ,STUDY PROSIMIAN BEHA,7,0,0,0,0,0,0,0,0,0,0,7
48,6.195,ANNU REV ECOL SYST,6,0,0,0,0,0,0,0,1,0,0,5
49, ,COALITIONS ALLIANCES,6,0,0,0,0,0,0,0,0,5,1,0
50,1.322,DEV PSYCHOBIOL,6,0,0,0,0,0,2,1,0,0,1,2
51,5.447,J CLIN ENDOCR METAB,6,0,1,0,0,0,0,1,0,0,0,4
52,2.232,OECOLOGIA,6,0,0,0,0,1,0,0,0,1,1,3
53,0.959,ORYX,6,0,1,0,0,0,1,0,0,0,0,4
54, ,PRIMATE BEHAV FIELD,6,0,0,0,0,0,0,0,0,0,0,6
55, ,PRIMATE CONSERVATION,6,0,0,0,0,1,1,0,0,0,0,4
56, ,THESIS U CALIF,6,0,0,0,0,0,0,1,0,0,0,5
57, ,VEGETATIO,6,0,0,0,0,0,0,0,6,0,0,0
58,1.381,ANN NY ACAD SCI,5,0,1,0,0,0,0,2,0,0,0,2
59,6.433,BIOL REV,5,0,0,0,4,0,0,0,1,0,0,0
60, ,CHILD DEV,5,0,0,1,0,0,1,0,1,0,0,2
61, ,COMP ECOL BEHAV P,5,0,0,0,0,0,0,0,0,0,0,5
62, ,COMP PRIMATE BIOL,5,0,0,0,0,0,0,0,0,0,0,5
63, ,ECOL BEHAV NEO,5,0,0,0,0,0,0,0,0,0,0,5
64,4.790,ENDOCRINOLOGY,5,0,0,1,0,0,0,0,0,0,0,4
65, ,FEMALE PRIMATES STUD,5,0,0,0,0,0,0,0,0,0,0,5
66,2.854,FERTIL STERIL,5,0,0,0,0,1,1,0,0,1,0,2
67, ,FIELD STUD NEW WO,5,0,0,0,0,0,0,1,0,3,0,1
68,3.425,GENOMICS,5,0,0,1,0,1,0,1,0,0,1,1
69,9.048,HUM MOL GENET,5,0,0,2,0,1,1,0,1,0,0,0
70,1.550,J THEOR BIOL,5,0,0,0,0,0,0,0,0,0,0,5
71, ,JUVENILE PRIMATES LI,5,0,0,0,0,0,0,0,5,0,0,0
72, ,LAB PRIMATE NEWSL,5,1,1,1,0,1,0,0,1,0,0,0
73, ,MARMOSETS TAMARINS S,5,0,0,0,0,0,0,0,5,0,0,0
74,5.298,MOL BIOL EVOL,5,0,0,1,0,0,3,1,0,0,0,0
75,3.037,P ROY SOC LOND B BIO,5,0,2,0,1,0,0,0,0,0,0,2
76, ,PRIMATOLOGY TODAY,5,0,0,0,0,0,0,0,0,0,4,1
77, ,PROSIMIAN BIOL,5,0,0,0,0,0,0,0,0,0,0,5
78,3.500,Q REV BIOL,5,0,0,0,0,0,0,0,0,0,0,5
79, ,RED COLOBUS MONKEY,5,0,0,0,0,0,1,0,0,0,0,4
80, ,REPROD SUCCESS,5,0,0,0,0,0,0,0,0,0,0,5
81, ,4 NEOTROPICAL RAINFO,4,0,0,0,0,0,0,0,0,0,0,4
82,0.881,APPL ANIM BEHAV SCI,4,0,0,0,0,1,1,0,0,0,0,2
83, ,BABOON MOTHERS INFAN,4,0,0,0,0,0,0,0,0,0,0,4
84,1.578,BIOL CONSERV,4,0,0,0,0,2,0,1,0,0,0,1
85, ,BIOMETRY,4,0,0,0,0,0,2,0,0,0,0,2
86,3.952,BIOSCIENCE,4,0,0,0,0,0,0,0,0,1,0,3
87, ,ECOL BEHAV FOOD E,4,0,0,0,0,0,0,0,0,0,0,4
88, ,ECOL BEHAV NOCTUR,4,0,0,0,0,0,0,0,0,0,0,4
89,6.213,ECOL MONOGR,4,0,0,0,0,0,0,0,0,0,0,4
90, ,ECOL TROP FOR,4,0,0,0,0,2,0,0,0,0,0,2
91,2.887,HUM REPROD UPDATE,4,0,1,2,1,0,0,0,0,0,0,0
92,2.106,J ANDROL,4,1,1,0,0,1,0,0,0,0,1,0
93,2.535,J ECOL,4,0,0,0,2,0,0,0,0,0,0,2
94,3.984,J MOL EVOL,4,0,0,1,0,1,2,0,0,0,0,0
95,1.436,J WILDLIFE MANAGE,4,0,0,0,0,0,0,0,0,0,0,4
96,0.111,LAB ANIMAL,4,0,0,0,0,1,0,1,0,0,0,2
97, ,MEASURING BEHAV,4,0,0,0,0,0,0,0,2,0,0,2
98,3.345,MOL PHYLOGENET EVOL,4,0,3,0,0,1,0,0,0,0,0,0
99, ,MONKEYS ARASHIYAMA,4,0,0,0,0,0,0,0,0,0,4,0
100, ,PRIMATE CONSERV,4,0,0,0,0,0,0,0,0,0,0,4
101, ,PRIMATE REP,4,0,0,1,1,1,0,0,1,0,0,0
102, ,PRIMATE SOC RELAT,4,0,0,0,0,0,0,0,0,0,0,4
103, ,PRIMATE SOC SYSTE,4,0,0,0,0,0,0,0,0,0,0,4
104, ,RECENT ADV PRIMATOL,4,0,0,0,0,0,0,0,0,0,0,4
105,2.062,THERIOGENOLOGY,4,0,0,0,1,0,0,0,0,0,0,3
106, ,THESIS CITY U NY,4,0,0,1,1,0,0,0,0,0,0,2
107, ,THESIS WASH U,4,0,0,1,0,0,0,0,0,2,1,0
108,1.846,YEARB PHYS ANTHROPOL,4,0,0,0,1,0,1,0,0,0,0,2
109, ,2 NATURE ENV ENRICHM,3,0,0,3,0,0,0,0,0,0,0,0
110,0.395,AFR J ECOL,3,0,0,0,2,0,0,0,0,0,0,1
111,0.815,AGGRESSIVE BEHAV,3,0,0,0,0,0,0,1,0,0,0,2
112,2.130,BEHAV ECOL,3,0,0,0,2,0,0,0,0,0,1,0
113, ,CHIMPANZEES GOMBE PA,3,0,0,0,0,0,0,0,0,0,0,3
114,4.261,CLIN CHEM,3,0,0,0,0,0,0,0,0,0,2,1
115, ,COMP PRIMATE SOCIOEC,3,0,3,0,0,0,0,0,0,0,0,0
116, ,DEV PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
117,0.089,DODO,3,0,0,0,0,3,0,0,0,0,0,0
118, ,ECOL AFR RAIN,3,0,0,0,3,0,0,0,0,0,0,0
119, ,EQUILIBRE ECOSYSTEME,3,0,0,0,0,0,0,0,0,0,0,3
120,3.632,EVOLUTION,3,0,0,0,0,0,0,0,0,0,0,3
121,2.663,J ENDOCRINOL,3,0,0,1,0,0,0,0,0,1,0,1
122,1.511,J HERED,3,0,0,0,0,3,0,0,0,0,0,0
