Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,9472,48,335,604,625,628,560,519,460,441,436,4816
2, ,ALL OTHERS (1262),1262,6,41,61,62,63,53,69,40,44,44,779
3,2.138,ANIM BEHAV,1192,12,73,118,90,79,96,70,67,57,58,472
4,2.020,BEHAV ECOL SOCIOBIOL,389,2,7,30,31,28,32,18,27,21,1,192
5,3.944,AM NAT,247,0,14,11,5,7,13,10,10,20,14,143
6,0.942,BEHAVIOUR,247,2,4,16,12,16,8,14,12,14,10,139
7,2.130,BEHAV ECOL,204,0,17,19,26,27,17,17,14,14,43,10
8,3.037,P ROY SOC LOND B BIO,181,0,15,33,31,31,26,17,10,7,1,10
9,25.814,NATURE,180,2,7,11,4,15,15,5,5,12,14,90
10,3.632,EVOLUTION,155,0,2,10,5,12,5,4,8,7,12,90
11,1.690,AUK,149,0,6,2,4,7,6,5,4,4,4,107
12,1.066,ETHOLOGY,147,0,6,9,15,13,9,11,12,12,6,54
13,23.872,SCIENCE,133,1,3,5,1,4,0,5,0,2,5,107
14,0.779,CAN J ZOOL,131,0,3,5,7,9,5,4,8,7,8,75
15,3.650,ECOLOGY,126,0,3,10,3,1,5,5,11,7,7,74
16,8.765,TRENDS ECOL EVOL,115,0,5,14,9,10,9,17,8,10,18,15
17,2.862,J ANIM ECOL,112,0,7,5,8,5,4,8,5,8,8,54
18,1.550,J THEOR BIOL,110,0,1,2,3,1,5,5,4,4,3,82
19,2.232,OECOLOGIA,93,1,2,9,5,6,4,5,5,5,3,48
20,1.077,IBIS,91,0,4,1,3,3,6,5,2,7,2,58
21,1.207,CONDOR,82,0,1,4,1,5,3,8,1,4,2,53
22, ,Z TIERPSYCHOL,79,0,0,0,0,0,0,0,0,0,0,79
23,1.477,J COMP PSYCHOL,72,0,7,2,9,11,3,7,1,3,2,27
24,10.789,P NATL ACAD SCI USA,65,0,0,7,6,7,6,13,5,3,0,18
25,1.024,J ZOOL,61,0,0,5,4,6,4,9,3,1,3,26
26,2.461,OIKOS,55,0,2,7,3,2,6,2,4,2,4,23
27,0.366,WILSON BULL,49,0,0,0,2,0,2,1,1,2,3,38
28,3.667,AM ZOOL,46,0,0,3,0,3,1,1,1,2,4,31
29,0.964,ANN ENTOMOL SOC AM,46,0,0,2,1,3,2,1,2,1,0,34
30,0.698,J INSECT BEHAV,45,0,6,0,4,3,6,7,1,1,4,13
31,3.647,ADV STUD BEHAV,42,0,0,0,7,6,3,1,1,6,2,16
32,0.881,APPL ANIM BEHAV SCI,39,0,2,1,2,2,12,2,3,1,3,11
33,3.516,PHILOS T ROY SOC B,39,0,1,3,3,3,1,3,17,1,1,6
34,0.885,PRIMATES,38,0,2,0,4,5,2,2,2,0,1,20
35,0.906,BEHAV PROCESS,37,0,0,3,10,8,3,3,1,0,0,9
36,6.195,ANNU REV ECOL SYST,36,0,0,2,1,0,0,4,0,0,1,28
37,6.433,BIOL REV,36,0,2,3,2,4,0,5,0,3,2,15
38,1.496,J COMP PHYSIOL A,36,0,2,3,2,1,4,3,4,1,3,13
39,3.500,Q REV BIOL,36,0,0,1,1,0,2,0,1,4,0,27
40,1.524,ECOL ENTOMOL,35,0,4,6,1,1,4,0,1,1,4,13
41,1.419,PHYSIOL BEHAV,35,0,0,3,0,1,1,4,1,3,1,21
42,1.214,INT J PRIMATOL,34,0,2,3,8,1,3,2,6,1,0,8
43,1.762,EVOL ECOL,33,0,2,1,0,2,3,4,6,4,1,10
44,1.531,INSECT SOC,32,0,3,2,1,0,1,2,1,0,2,20
45,1.352,J MAMMAL,31,0,0,1,5,2,1,1,2,2,0,17
