Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3403,45,183,287,327,318,262,303,200,209,179,1090
2, ,ALL OTHERS (1091),1091,20,57,86,94,98,91,84,67,64,53,377
3,2.029,ARTIF INTELL,390,8,14,28,31,21,28,34,11,36,29,150
4,0.253,LECT NOTES ARTIF INT,51,3,2,10,10,10,6,4,1,0,2,3
5,0.390,LECT NOTES COMPUT SC,50,1,11,6,7,3,6,4,2,2,2,6
6,1.447,MACH LEARN,46,0,4,2,6,1,2,1,4,4,2,20
7, ,P IJCAI 95 MONTR QUE,41,0,0,0,0,0,41,0,0,0,0,0
8,1.624,COMMUN ACM,40,0,1,0,2,3,1,7,1,2,1,22
9,2.083,J ACM,39,0,0,0,2,1,9,4,0,0,1,22
10, ,P AAAI 96 PORTL OR,30,0,0,0,0,30,0,0,0,0,0,0
11, ,P IJCAI 97 NAG JAP,28,0,0,0,28,0,0,0,0,0,0,0
12, ,P AAAI 94 SEATTL WA,25,0,0,0,0,0,0,25,0,0,0,0
13,2.094,IEEE T PATTERN ANAL,24,1,2,1,3,2,0,0,2,0,3,10
14, ,P IJCAI 93 CHAMB FRA,23,0,0,0,0,0,0,0,23,0,0,0
15,1.091,COMPUT INTELL,22,0,1,2,0,2,3,1,1,2,0,10
16,1.447,AI MAG,21,0,2,1,1,1,1,2,1,2,2,8
17,1.319,J LOGIC PROGRAM,21,0,2,0,7,1,0,5,3,0,1,2
18, ,P AAAI 98 MAD WI,21,0,0,21,0,0,0,0,0,0,0,0
19,0.417,THEOR COMPUT SCI,21,1,0,0,8,2,1,1,4,0,1,3
20,0.822,J LOGIC COMPUT,20,0,4,1,2,0,3,2,1,6,1,0
21, ,P ACM SIGMOD C MAN D,20,0,2,8,2,5,1,0,2,0,0,0
22, ,P AAAI 92 SAN JOS CA,18,0,0,0,0,0,1,0,0,17,0,0
23,1.064,J ARTIF INTELL RES,17,0,2,4,3,6,0,1,1,0,0,0
24, ,P AAAI 97 PROV RI,17,0,0,0,17,0,0,0,0,0,0,0
25, ,P IJCAI 99 STOCKH SW,17,0,17,0,0,0,0,0,0,0,0,0
26, ,P AAAI 93 WASH DC,16,0,0,0,0,0,0,0,16,0,0,0
27,0.635,INFORM COMPUT,15,0,0,0,1,0,1,2,0,1,1,9
28,0.671,ANN MATH ARTIF INTEL,14,0,2,5,0,3,1,0,0,0,0,3
29, ,P AAAI 90 BOST MA,14,0,0,0,0,0,0,0,0,0,0,14
30,1.006,OPER RES,13,0,0,0,0,0,0,1,1,0,2,9
