Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3068,16,100,144,181,159,167,184,171,144,118,1684
2, ,ALL OTHERS (542),542,3,10,23,26,27,34,28,25,17,17,332
3,2.138,ANIM BEHAV,376,2,22,20,23,15,28,19,16,15,24,192
4,0.942,BEHAVIOUR,172,3,7,8,13,5,15,5,11,5,8,92
5,0.779,CAN J ZOOL,99,0,2,2,8,2,5,2,7,1,3,67
6,3.632,EVOLUTION,96,0,1,5,2,5,1,10,6,8,4,54
7,2.020,BEHAV ECOL SOCIOBIOL,86,1,3,8,4,6,4,7,7,2,0,44
8,3.944,AM NAT,68,0,1,3,1,2,2,4,2,9,0,44
9,25.814,NATURE,62,0,1,3,2,1,0,3,2,6,4,40
10,2.130,BEHAV ECOL,56,0,5,6,10,6,7,6,4,5,6,1
11,3.037,P ROY SOC LOND B BIO,56,0,8,6,5,14,4,5,8,2,2,2
12,1.066,ETHOLOGY,54,3,1,5,5,4,3,1,6,4,4,18
13,3.650,ECOLOGY,41,0,0,0,2,1,2,1,4,0,1,30
14,0.880,COPEIA,40,0,0,0,1,3,0,2,2,2,2,28
15,2.862,J ANIM ECOL,35,0,2,2,1,3,1,1,0,1,5,19
16, ,Z TIERPSYCHOL,32,0,0,0,0,0,0,0,0,0,0,32
17, ,EVOL BIOL TH,29,0,0,0,0,0,0,29,0,0,0,0
18,23.872,SCIENCE,29,0,0,1,2,1,0,2,1,0,0,22
19,1.077,IBIS,23,0,1,1,1,0,0,0,1,1,2,16
20,2.232,OECOLOGIA,23,0,2,0,1,2,1,0,1,1,0,15
21,1.690,AUK,20,0,1,0,0,0,3,1,1,1,1,12
22,1.024,J ZOOL,20,0,0,2,1,2,1,0,1,0,3,10
23,8.765,TRENDS ECOL EVOL,20,1,3,1,2,0,5,0,2,2,2,2
24,3.667,AM ZOOL,19,0,0,0,0,0,1,3,0,3,0,12
25,1.550,J THEOR BIOL,19,0,0,1,0,0,1,2,1,1,0,13
26,1.140,J FISH BIOL,18,0,2,3,2,1,1,3,0,1,0,5
27,1.437,AM J PRIMATOL,17,0,1,0,0,1,4,1,3,1,0,6
28,6.195,ANNU REV ECOL SYST,17,0,0,0,0,1,0,2,0,0,0,14
29, ,J FISH RES BOARD CAN,17,0,0,0,0,0,0,0,0,0,0,17
30,0.881,APPL ANIM BEHAV SCI,16,0,3,2,0,0,3,0,0,2,2,4
31,1.207,CONDOR,16,0,1,0,2,1,0,2,0,0,0,10
32,0.757,HERPETOLOGICA,16,0,0,1,1,1,1,0,1,0,2,9
33,0.763,ENVIRON BIOL FISH,15,0,1,0,1,2,1,0,0,2,0,8
34,2.009,HEREDITY,15,0,0,0,1,0,0,1,0,1,0,12
35,1.477,J COMP PSYCHOL,15,0,1,0,2,0,0,1,1,2,0,8
36,0.906,BEHAV PROCESS,14,0,0,1,5,2,1,2,0,0,0,3
37,2.316,BIOL J LINN SOC,14,0,4,0,2,1,0,0,0,1,0,6
38,0.562,J HERPETOL,14,0,0,0,1,1,0,0,2,1,0,9
39,1.352,J MAMMAL,14,0,0,3,2,1,0,1,0,1,0,6
40, ,ORNIS SCAND,14,0,0,0,0,0,0,0,3,4,0,7
41,3.647,ADV STUD BEHAV,13,0,2,0,2,2,0,1,0,0,0,6
42, ,BEHAV ECOL EVOLUT,13,0,0,0,6,0,0,0,0,0,1,6
43,1.685,CAN J FISH AQUAT SCI,12,0,0,0,1,1,0,1,1,1,0,7
44,2.461,OIKOS,12,0,1,2,0,0,0,0,3,0,0,6
45, ,BIOACOUSTICS,11,0,0,2,1,0,0,2,2,0,1,3
46,0.926,FOLIA PRIMATOL,11,0,0,1,0,0,0,0,1,0,1,8
47,1.511,J AVIAN BIOL,11,0,0,1,2,3,4,1,0,0,0,0
48,1.214,INT J PRIMATOL,10,0,0,0,3,1,0,1,1,0,0,4
49,6.433,BIOL REV,9,0,0,1,0,0,0,1,0,1,2,4
50,6.213,ECOL MONOGR,9,0,0,1,0,1,0,1,0,0,0,6
51,1.762,EVOL ECOL,9,0,0,0,1,2,0,0,2,0,1,3
52, ,NONPARAMETRIC STAT B,9,0,0,0,0,0,0,0,0,0,0,9
53,3.516,PHILOS T ROY SOC B,9,0,0,1,0,1,1,0,4,1,0,1
54,1.419,PHYSIOL BEHAV,9,0,0,0,3,0,2,0,0,0,1,3
55, ,SEXUAL SELECTION,9,0,0,0,0,0,0,9,0,0,0,0
56,0.452,AM MIDL NAT,8,0,0,0,0,0,0,0,1,0,0,7
57,1.912,GEN COMP ENDOCR,8,0,1,0,0,0,0,0,0,0,0,7
58,2.553,HORM BEHAV,8,1,0,1,0,0,0,1,0,0,1,4
59,0.417,J ORNITHOL,8,0,0,0,0,0,0,0,1,1,0,6
60,2.543,PHYSIOL ZOOL,8,0,0,1,0,0,1,0,0,0,0,6
61, ,PLAYBACK STUD ANI,8,0,0,0,0,0,0,0,0,8,0,0
62, ,SOC INFLUENCES VO,8,0,0,0,8,0,0,0,0,0,0,0
63, ,BIOMETRY,7,0,0,0,1,0,3,0,0,0,0,3
64,1.322,DEV PSYCHOBIOL,7,0,0,0,0,0,0,0,0,0,0,7
65,1.496,J COMP PHYSIOL A,7,0,1,0,0,0,1,0,1,1,0,3
66, ,J COMP PHYSIOL PSYCH,7,0,0,0,0,0,0,0,0,0,0,7
67,1.989,J EXP BIOL,7,0,0,0,1,0,0,0,0,1,1,4
68, ,JPN J ICHTHYOL,7,0,0,0,0,0,0,0,1,0,0,6
69,10.789,P NATL ACAD SCI USA,7,0,0,2,1,1,0,0,0,0,0,3
70, ,SYST ZOOL,7,0,0,0,0,0,0,0,0,0,0,7
71,0.640,ARDEA,6,0,0,0,0,0,1,1,1,0,0,3
72, ,CHEM SIGNALS VERTEBR,6,0,0,0,0,0,0,0,0,0,0,6
73,1.441,J CHEM ECOL,6,0,0,0,0,0,1,0,0,0,0,5
74,1.172,J EXP ANAL BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
75,1.365,J EXP PSYCHOL ANIM B,6,0,0,0,0,0,0,0,1,1,3,1
76,0.885,PRIMATES,6,0,0,0,0,1,0,1,1,0,0,3
77, ,THESIS U CALIF,6,0,2,1,0,0,0,0,0,0,0,3
78,0.506,AMPHIBIA-REPTILIA,5,0,0,2,0,0,0,0,0,0,1,2
79,1.105,ANIM LEARN BEHAV,5,0,0,0,0,0,0,2,0,0,0,3
80, ,BEHAV TELEOST FISHES,5,0,0,0,0,0,0,0,5,0,0,0
81,1.578,BIOL CONSERV,5,0,2,0,0,1,0,0,0,0,0,2
82, ,BIOSTAT ANAL,5,0,0,0,0,1,0,0,0,0,0,4
83,2.526,BRAIN RES,5,0,0,0,0,0,2,0,0,1,1,1
84,0.948,ETHOL ECOL EVOL,5,0,0,1,1,0,0,0,0,1,0,2
85, ,FUNCT BIOL STIC,5,0,0,0,0,0,0,0,0,0,0,5
86, ,INSECT LEARN,5,0,0,0,0,0,0,0,5,0,0,0
87,1.366,J ACOUST SOC AM,5,0,0,0,0,0,0,0,0,1,1,3
88, ,J COMP PHYSIOL,5,0,0,0,0,0,0,0,0,0,0,5
89,1.207,J PARASITOL,5,0,0,0,0,0,0,0,0,1,0,4
90,2.769,MOL ECOL,5,0,0,3,0,1,0,0,0,1,0,0
91,0.442,NETH J ZOOL,5,0,0,0,0,0,0,0,1,1,0,3
92, ,PERSPECTIVES ETHOLOG,5,0,0,0,0,0,0,0,1,0,0,4
93,3.500,Q REV BIOL,5,0,0,0,0,0,0,0,0,1,0,4
94,0.366,WILSON BULL,5,0,0,0,0,0,0,0,0,0,0,5
95, ,ANIM BEHAV MONOGR,4,0,0,0,0,0,0,0,0,0,0,4
96,7.250,ANNU REV ENTOMOL,4,0,0,0,0,1,0,0,1,1,0,1
97, ,ARCH NEERL ZOOL,4,0,0,0,0,0,0,0,0,0,0,4
98, ,B MARYLAND HERPETOL,4,0,0,0,0,0,0,0,0,1,2,1
