Citing Journal Data: COGNITION AND INSTRUCTION,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,780,6,21,17,44,62,39,46,62,43,43,397
2, ,ALL OTHERS (319),319,3,14,8,19,25,15,15,15,20,16,169
3,0.696,COGNITION INSTRUCT,27,0,0,1,5,1,2,3,6,0,1,8
4,0.992,J RES SCI TEACH,22,0,0,1,0,4,0,1,4,2,4,6
5, ,ANNU M AM EDUC RES,14,0,0,1,3,3,2,2,1,0,1,1
6,1.844,J EDUC PSYCHOL,14,0,1,0,0,0,0,0,6,0,0,7
7,0.918,SCI EDUC,14,0,1,0,0,0,1,0,1,2,0,9
8,3.463,COGNITIVE PSYCHOL,12,0,0,0,0,0,1,1,2,0,0,8
9,1.629,COGNITIVE SCI,12,0,0,0,0,0,0,2,1,0,0,9
10,0.294,J RES MATH EDUC,12,1,0,1,1,0,1,1,1,1,1,4
11, ,AM EDUC RES J,11,0,0,1,0,0,2,0,2,0,2,4
12,2.044,DEV PSYCHOL,11,0,0,0,1,3,2,1,1,1,0,2
13,2.768,CHILD DEV,10,0,0,0,1,0,0,0,1,1,0,7
14,3.517,EDUC PSYCHOL,10,0,0,0,0,6,0,0,1,0,0,3
15, ,EDUC RESEARCHER,10,0,0,1,2,1,0,2,0,0,0,4
16,6.069,PSYCHOL REV,10,0,0,0,0,1,1,0,0,0,0,8
17,0.865,ELEM SCHOOL J,8,0,1,1,0,0,0,0,1,0,0,5
18,2.088,REV EDUC RES,8,0,0,0,2,0,1,1,1,0,0,3
19,2.622,COGNITION,7,0,0,0,0,1,0,0,0,0,1,5
20,3.000,MONOGR SOC RES CHILD,7,0,0,0,0,0,3,0,1,0,0,3
21,6.857,AM PSYCHOL,6,0,0,0,0,0,0,2,0,0,1,3
22,0.857,EDUC EVAL POLICY AN,6,0,1,0,1,0,0,0,1,0,0,3
23, ,P 2 INT SEM MISC ED,6,0,0,0,0,0,0,0,0,0,0,6
24,1.080,RES TEACH ENGL,6,0,0,0,0,0,0,0,1,0,2,3
25, ,AM J PHYS,5,0,0,0,0,0,0,0,0,1,0,4
26, ,HANDB EDUC PSYCHOL,5,0,0,0,0,5,0,0,0,0,0,0
27, ,HDB RES MATH TEACHIN,5,0,0,0,0,0,0,0,0,5,0,0
28,0.705,INT J SCI EDUC,5,0,0,0,1,0,0,0,0,0,0,4
29,0.536,WRIT COMMUN,5,0,0,0,1,0,0,0,1,1,0,2
30, ,ADV CHILD DEV BEHAV,4,0,0,0,0,0,0,0,0,0,1,3
31,0.929,APPL COGNITIVE PSYCH,4,0,0,0,0,1,0,0,3,0,0,0
32, ,ARITHMETIC TEACHER,4,0,0,0,0,0,0,0,0,1,0,3
33, ,CLASSROOM LESSONS IN,4,0,0,0,0,0,0,4,0,0,0,0
34,1.000,EDUC PSYCHOL REV,4,0,1,1,0,0,0,0,1,0,1,0
35, ,EUR J SCI EDUC,4,0,0,0,0,0,0,0,0,0,0,4
36, ,KNOWING LEARN INS,4,0,0,0,0,0,0,0,0,0,0,4
37, ,MENT MODELS,4,0,0,0,0,0,0,0,0,0,0,4
38, ,PROF STAND TEACH MAT,4,0,0,0,0,0,0,0,0,0,4,0
39, ,ASPECTS UNDERSTANDIN,3,0,0,0,0,0,0,0,0,0,0,3
40,14.250,BEHAV BRAIN SCI,3,0,0,0,0,2,0,0,1,0,0,0
41,0.962,COGNITIVE DEV,3,0,0,1,0,0,1,0,0,0,0,1
42, ,COLL COMPOS COMMUN,3,0,0,0,0,0,0,0,0,0,0,3
