Citing Journal Data: COGNITIVE PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1276,11,47,95,80,78,63,72,60,51,40,679
2, ,ALL OTHERS (386),386,5,9,20,15,21,13,25,24,9,9,236
3,6.069,PSYCHOL REV,71,1,2,1,7,2,0,2,2,6,2,46
4,3.463,COGNITIVE PSYCHOL,45,0,0,2,3,4,2,1,1,2,0,30
5,2.753,J EXP PSYCHOL LEARN,43,0,1,1,0,8,2,6,2,3,3,17
6,2.622,COGNITION,42,0,1,7,1,2,2,3,1,2,5,18
7,2.247,J EXP PSYCHOL HUMAN,37,0,1,6,2,3,2,3,1,2,1,16
8,2.638,J MEM LANG,27,0,1,3,4,5,1,2,1,4,0,6
9,1.252,PERCEPT PSYCHOPHYS,26,0,2,0,1,1,0,1,2,2,2,15
10,1.507,MEM COGNITION,25,0,1,0,4,2,3,0,3,1,0,11
11,1.629,COGNITIVE SCI,22,0,0,2,1,0,1,2,2,0,3,11
12, ,J EXP PSYCHOL,21,0,0,0,0,0,0,0,0,0,0,21
13,3.636,J EXP PSYCHOL GEN,18,0,1,1,0,0,3,1,2,1,0,9
14, ,J VERB LEARN VERB BE,17,0,0,0,0,0,0,0,0,0,0,17
15,2.778,NEUROPSYCHOLOGIA,13,0,1,2,4,0,1,0,1,0,0,4
16,1.452,Q J EXP PSYCHOL-A,13,0,0,1,0,5,0,1,1,2,1,2
17, ,SCIENCE,12,0,1,1,0,2,0,0,0,1,1,6
18,1.267,ACTA PSYCHOL,11,0,4,0,0,0,2,0,0,0,0,5
19,6.857,AM PSYCHOL,11,0,1,0,2,1,0,1,0,0,0,6
20,1.473,BRAIN LANG,11,0,0,0,3,1,1,1,0,1,0,4
21,0.500,INTELLIGENCE,11,0,0,0,0,1,0,1,2,0,2,5
22, ,J EXP PSYCHOL GENER,11,0,0,0,0,0,0,0,0,0,0,11
23, ,P NATL ACAD SCI USA,11,0,0,8,1,0,0,0,0,1,1,0
24,6.913,PSYCHOL BULL,11,0,0,0,0,1,0,0,0,0,0,10
25,14.250,BEHAV BRAIN SCI,10,0,3,1,0,1,0,0,2,0,0,3
26, ,NATURE,10,0,0,1,3,2,2,1,0,0,0,1
27,5.115,J COGNITIVE NEUROSCI,9,0,1,1,3,1,0,0,1,2,0,0
