Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,952,2,37,41,50,54,50,64,55,45,48,506
2, ,ALL OTHERS (279),279,1,17,10,14,11,14,20,12,15,15,150
3,2.753,J EXP PSYCHOL LEARN,69,0,0,9,4,6,4,10,3,3,6,24
4,6.069,PSYCHOL REV,42,0,1,1,1,2,0,0,2,1,2,32
5,1.507,MEM COGNITION,40,0,3,1,3,3,1,1,4,3,1,20
6,2.247,J EXP PSYCHOL HUMAN,36,0,3,2,1,1,1,6,1,3,0,18
7, ,J VERB LEARN VERB BE,20,0,0,0,0,0,0,0,0,0,0,20
8,3.463,COGNITIVE PSYCHOL,19,0,0,1,0,0,0,0,0,2,0,16
9,2.638,J MEM LANG,19,0,0,1,0,1,2,1,0,0,6,8
10,2.622,COGNITION,18,0,1,1,2,0,0,1,2,1,1,9
11,3.636,J EXP PSYCHOL GEN,17,0,0,0,0,1,1,1,3,0,2,9
12,1.252,PERCEPT PSYCHOPHYS,14,0,2,1,1,0,1,0,0,0,1,8
13,0.452,EUR J COGN PSYCHOL,11,0,1,0,2,4,1,1,2,0,0,0
14,1.452,Q J EXP PSYCHOL-A,11,0,0,1,3,1,0,2,0,1,1,2
15, ,SCIENCE,10,0,0,1,2,1,0,0,0,0,1,5
16, ,J ACOUST SOC AM,9,0,0,1,0,1,2,1,0,0,0,4
17, ,J EXP PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
18, ,J EXP PSYCHOL GENER,9,0,0,0,0,0,0,0,0,0,0,9
19, ,NATURE,9,0,1,0,0,0,0,0,0,0,1,7
20,1.053,BRIT J PSYCHOL,8,0,0,0,0,0,0,0,0,1,0,7
21,1.276,J EXP CHILD PSYCHOL,8,0,0,0,0,0,0,1,1,0,0,6
22,2.778,NEUROPSYCHOLOGIA,8,0,1,0,1,1,2,0,0,0,0,3
23,1.580,PSYCHON B REV,8,0,0,2,2,0,4,0,0,0,0,0
24,0.750,BEHAV RES METH INS C,7,0,0,0,0,1,0,0,1,1,0,4
25, ,NAT INSIGHT,7,0,0,0,0,0,7,0,0,0,0,0
26,0.286,AM J PSYCHOL,6,0,0,0,0,0,0,0,0,4,2,0
27,0.929,APPL COGNITIVE PSYCH,6,0,0,0,0,1,1,1,1,0,0,2
28,14.250,BEHAV BRAIN SCI,6,0,1,0,0,3,0,0,1,1,0,0
29,1.629,COGNITIVE SCI,6,0,0,0,0,0,0,1,0,1,0,4
30, ,EXP BRAIN RES,6,0,0,0,0,1,0,2,1,0,0,2
31,5.115,J COGNITIVE NEUROSCI,6,0,1,1,1,1,0,0,0,0,0,2
32,1.200,ORGAN BEHAV HUM DEC,6,0,0,0,1,1,0,0,0,1,0,3
33,2.308,PSYCHOL AGING,6,0,0,1,0,0,0,2,1,1,0,1
34,6.913,PSYCHOL BULL,6,0,0,0,0,0,0,0,0,0,0,6
35,1.267,ACTA PSYCHOL,5,0,0,0,0,1,0,0,0,0,1,3
36, ,ATTENTION PERFORM,5,0,0,0,1,0,0,0,0,0,0,4
37,0.260,CAH PSYCHOL COGN,5,0,0,0,1,1,0,1,0,0,0,2
38, ,CAN J PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
39,2.044,DEV PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
40,1.730,J APPL PSYCHOL,5,0,0,0,1,0,0,0,0,0,0,4
41,0.417,PSYCHOL BELG,5,0,0,0,0,0,4,0,0,0,0,1
42, ,Q J EXP PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
43,0.320,ANN DYSLEXIA,4,0,0,0,0,1,0,2,0,0,0,1
44,2.768,CHILD DEV,4,0,0,0,0,0,0,0,0,0,0,4
45, ,CORTEX,4,0,0,1,0,0,0,1,0,1,0,1
46, ,EUR J COGNITIVE,4,0,0,1,0,0,0,0,0,0,2,1
47, ,IMPLICIT COGNITION,4,0,0,0,0,4,0,0,0,0,0,0
48, ,IRISH J PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
49,2.940,J CHILD PSYCHOL PSYC,4,0,0,0,0,0,0,0,0,0,0,4
50,0.639,LANG SPEECH,4,0,0,0,0,0,0,0,1,0,0,3
51, ,PSYCHOL LEARN MOTIV,4,0,0,0,0,0,0,0,0,1,0,3
52, ,AUTOBIOGRAPHICAL MEM,3,0,0,0,2,0,0,0,0,0,0,1
53, ,BEHAV NEUROSCI,3,0,0,0,0,0,0,0,0,0,1,2
54, ,BRAIN,3,0,0,0,0,1,0,0,0,0,0,2
55,1.962,CONSCIOUS COGN,3,0,0,1,0,2,0,0,0,0,0,0
56, ,HDB NEUROPSYCHOLOGY,3,0,0,0,0,0,0,0,3,0,0,0
57, ,IMPLICIT IS IMPLICIT,3,0,0,0,3,0,0,0,0,0,0,0
58,1.000,J LEARN DISABIL-US,3,0,1,0,0,0,0,0,0,0,0,2
59,3.172,J PERS SOC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
60,0.667,J PHONETICS,3,0,0,1,0,0,0,0,0,1,0,1
61,1.522,MEMORY,3,0,0,0,0,0,0,0,3,0,0,0
62,2.702,NEUROPSYCHOLOGY,3,1,0,0,0,1,0,1,0,0,0,0
63, ,P NATL ACAD SCI USA,3,0,0,0,0,0,0,1,1,0,1,0
64,0.308,PERCEPT MOTOR SKILL,3,0,0,0,0,0,0,0,0,1,0,2
65,1.193,PERCEPTION,3,0,1,0,1,0,0,0,0,0,0,1
66,1.360,PSYCHOL RES-PSYCH FO,3,0,1,0,0,0,0,0,0,0,0,2
67,0.330,SCAND J PSYCHOL,3,0,0,2,0,0,0,0,0,0,0,1
68, ,SPEECH PERCEPTION LI,3,0,0,0,0,0,3,0,0,0,0,0
69, ,6 C FACHGR PAD PSYCH,2,0,0,0,2,0,0,0,0,0,0,0
70, ,ACAD MED,2,0,0,0,0,0,0,1,0,0,1,0
71,6.857,AM PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
72, ,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,2,0,0,0
73, ,ARCH NEUROL-CHICAGO,2,0,0,0,0,0,0,0,1,0,0,1
74, ,BASIC PROCESSES READ,2,0,0,0,0,0,0,0,0,0,2,0
75,0.500,CAN J EXP PSYCHOL,2,0,0,0,0,1,0,1,0,0,0,0
76, ,CELEX LEXICAL DATABA,2,0,0,0,0,0,0,0,2,0,0,0
77, ,CHILDRENS WRITTEN LA,2,0,0,0,0,0,0,0,0,0,0,2
78,2.180,COGNITIVE NEUROPSYCH,2,0,0,0,0,0,0,0,0,1,0,1
79, ,COMPUT MODELS,2,0,0,0,0,0,0,0,0,0,0,2
80, ,CONCEPTS CONCEPTUAL,2,0,0,0,0,0,0,0,0,0,0,2
81, ,DYSLEXIA CHILDREN MU,2,0,0,0,0,0,0,2,0,0,0,0
82, ,DYSLEXIA COGNITIVE D,2,0,0,0,0,0,0,0,0,0,0,2
83, ,DYSLEXIA NEUROSCIENT,2,0,0,0,0,0,0,0,0,0,0,2
84, ,DYSLEXIA THEOR RES,2,0,0,0,0,0,0,0,0,0,0,2
85,0.691,ERGONOMICS,2,0,0,0,0,0,0,0,0,0,0,2
86, ,HEARING EYE PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
87, ,HUM MEMORY THEORY,2,0,0,0,0,0,0,0,0,0,0,2
88, ,IMPLICIT LEARN TA,2,0,0,0,0,0,0,0,2,0,0,0
89, ,IMPLICIT MEMORY THEO,2,0,0,0,0,0,0,0,0,0,0,2
90,1.102,J GERONTOL B-PSYCHOL,2,0,0,0,0,0,1,0,0,0,1,0
91, ,LANGUAGE PERCEPTION,2,0,0,0,0,0,0,0,0,0,0,2
92,1.861,LAW HUMAN BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
93, ,MED EDUC,2,0,0,0,0,0,0,0,0,0,0,2
94, ,METACOGNITION KNOWIN,2,0,0,0,0,0,0,2,0,0,0,0
95, ,NAT EXPERTISE,2,0,0,0,0,0,0,0,0,0,0,2
96, ,P 15 ANN C COGN SCI,2,0,0,0,0,0,0,0,2,0,0,0
97, ,P ARISTOTELIAN SOC,2,0,0,0,0,0,0,0,0,0,0,2
98, ,P ROY SOC LOND B BIO,2,0,0,0,0,0,1,0,0,0,0,1
99, ,PHILOS T ROY SOC B,2,0,0,0,0,1,0,0,0,0,0,1
100, ,PRACT ASPECTS ME,2,0,0,0,0,0,0,0,0,0,0,2
101, ,PROCESSING VISIBLE L,2,0,0,0,0,0,0,0,0,0,0,2
102, ,Q J EXPERIME,2,0,0,0,0,0,0,0,0,0,0,2
103, ,REMEMBERING RECONSID,2,0,0,0,0,0,0,0,0,0,0,2
104, ,REP RES GROUP DYSL W,2,0,0,0,0,0,0,0,0,0,0,2
105, ,TEACH LEARN MED,2,0,1,0,0,0,0,1,0,0,0,0
106, ,THEORIES MEMORY,2,0,0,0,0,0,0,0,2,0,0,0
107, ,TRENDS COGNITIVE SCI,2,0,1,1,0,0,0,0,0,0,0,0
108, ,TRENDS NEUROSCI,2,0,0,0,1,0,0,0,0,0,0,1
109, ,WECHSLER INTELLIGENC,2,0,0,0,0,0,0,0,0,1,0,1
110, ,WORKING MEMORY,2,0,0,0,0,0,0,0,0,0,0,2
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
