Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,433,1,22,30,24,27,41,25,39,32,30,162
2, ,ALL OTHERS (222),222,1,10,17,8,14,21,11,19,18,18,85
3,2.029,ARTIF INTELL,20,0,0,0,0,0,2,0,1,1,0,16
4,0.818,CONNECT SCI,10,0,1,1,0,0,0,1,1,2,1,3
5, ,KNOWL ACQUIS,10,0,0,0,0,0,0,0,0,2,4,4
6, ,COGNITIVE SCI,7,0,0,0,0,0,0,1,0,0,0,6
7,2.702,NEURAL COMPUT,7,0,0,0,1,1,0,0,0,2,3,0
8, ,ADV NEURAL INFORMATI,6,0,0,0,0,0,0,0,4,0,0,2
9,14.250,BEHAV BRAIN SCI,6,0,0,0,0,0,0,0,4,0,0,2
10,0.636,NEUROCOMPUTING,6,0,0,3,0,1,0,1,0,0,0,1
11, ,PARALLEL DISTRIBUTED,6,0,0,0,0,0,0,0,0,0,0,6
12,0.490,EUR J OPER RES,5,0,1,0,1,1,1,0,1,0,0,0
13,1.096,IEEE T NEURAL NETWOR,5,0,0,0,0,1,2,1,0,1,0,0
14,1.447,MACH LEARN,5,0,0,0,0,1,0,0,0,1,3,0
15, ,NEURAL NETWORKS CAPI,5,0,0,0,0,0,5,0,0,0,0,0
16,0.420,APPL INTELL,4,0,2,0,0,0,2,0,0,0,0,0
17, ,CASE BASED REASONING,4,0,0,0,1,1,0,0,2,0,0,0
18,0.176,EXPERT SYST,4,0,2,0,2,0,0,0,0,0,0,0
19, ,J FINANC,4,0,0,0,0,0,0,0,0,0,0,4
20,25.814,NATURE,4,0,0,0,0,0,0,0,2,0,0,2
21,0.309,NEURAL COMPUT APPL,4,0,0,0,1,1,1,0,1,0,0,0
22, ,P ECAI 96 WORKSH NEU,4,0,0,0,0,4,0,0,0,0,0,0
23,6.069,PSYCHOL REV,4,0,0,0,1,0,0,0,0,0,0,3
24, ,ROUGH SETS KNOWLEDGE,4,0,0,4,0,0,0,0,0,0,0,0
25,3.463,COGNITIVE PSYCHOL,3,0,0,0,0,0,0,1,1,0,0,1
26,1.624,COMMUN ACM,3,0,0,0,0,1,2,0,0,0,0,0
27,0.337,COMPUT OPER RES,3,0,0,0,0,0,0,0,0,3,0,0
28,1.043,COMPUTER,3,0,2,0,0,0,0,0,0,0,0,1
29, ,IEEE EXPERT,3,0,0,0,0,0,0,1,0,1,1,0
30,1.221,NEURAL NETWORKS,3,0,0,1,0,0,0,0,0,0,0,2
31,0.495,WATER SCI TECHNOL,3,0,0,0,0,0,0,3,0,0,0,0
32,1.185,BIOL CYBERN,2,0,0,0,0,0,0,0,0,0,0,2
33,2.081,BIOTECHNOL BIOENG,2,0,0,0,0,0,0,0,0,0,0,2
34, ,COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
35,0.709,COMPUT CHEM ENG,2,0,0,0,1,0,0,0,0,0,0,1
36,1.091,COMPUT INTELL,2,0,0,0,1,0,1,0,0,0,0,0
37, ,CURR TRENDS KNOWL,2,0,0,0,0,0,0,0,0,0,0,2
38,1.874,ECONOMETRICA,2,0,0,0,0,0,0,0,0,0,0,2
39,0.231,ENG APPL ARTIF INTEL,2,0,0,0,0,1,0,1,0,0,0,0
40, ,EXPERT SYST INT J,2,0,2,0,0,0,0,0,0,0,0,0
41,1.263,IEEE T COMPUT,2,0,0,1,1,0,0,0,0,0,0,0
42, ,INSIDE CASE BASED RE,2,0,0,0,0,0,0,0,0,0,0,2
43, ,INT J MAN MACH STUD,2,0,0,0,0,0,0,0,0,0,0,2
44,0.699,INT J MED INFORM,2,0,0,0,2,0,0,0,0,0,0,0
45, ,INTEGRATING RULES CO,2,0,0,0,0,0,1,1,0,0,0,0
46, ,J ECON BEHAV ORGAN,2,0,0,0,0,0,0,0,0,0,0,2
47, ,J ECON THEORY,2,0,0,0,0,0,0,0,0,1,0,1
48, ,J FUTURES MARKETS,2,0,0,1,0,0,1,0,0,0,0,0
49,0.375,KNOWL-BASED SYST,2,0,0,0,0,0,2,0,0,0,0,0
50, ,MATH THEOR EVIDENCE,2,0,0,0,0,0,0,0,0,0,0,2
51,0.996,MED BIOL ENG COMPUT,2,0,0,0,2,0,0,0,0,0,0,0
52, ,NEURAL NETWORK ANAL,2,0,0,0,2,0,0,0,0,0,0,0
53, ,P NEUR NETW CAP MARK,2,0,0,0,0,0,0,0,2,0,0,0
54,1.643,PHYSICA D,2,0,0,0,0,0,0,1,0,0,0,1
55, ,Q J ECON,2,0,0,0,0,0,0,0,1,0,0,1
56, ,READINGS UNCERTAIN R,2,0,0,0,0,0,0,0,0,0,0,2
57, ,RETI NEURALI ARTIFIC,2,0,2,0,0,0,0,0,0,0,0,0
58, ,THEOR SUBSTANCE USE,2,0,0,2,0,0,0,0,0,0,0,0
59, ,THESIS U TORONTO,2,0,0,0,0,0,0,2,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
