Citing Journal Data: HUMAN FACTORS,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1751,10,51,110,144,127,147,119,108,95,100,740
2, ,ALL OTHERS (610),610,5,19,36,52,45,43,40,32,25,27,286
3,0.954,HUM FACTORS,132,3,4,7,10,16,19,9,6,5,11,42
4,0.691,ERGONOMICS,65,1,2,5,5,2,14,8,2,3,3,20
5, ,P HUM FACT ERG SOC 4,27,0,0,12,7,7,0,0,0,0,0,1
6, ,SPINE,23,0,2,2,1,0,4,1,4,1,2,6
7,0.745,INT J AVIAT PSYCHOL,21,0,2,5,3,1,2,1,4,1,2,0
8, ,P HUM FACT ERG SOC 3,20,0,0,0,0,0,7,8,5,0,0,0
9,6.913,PSYCHOL BULL,17,0,0,0,2,1,1,2,3,1,0,7
10, ,IEEE T SYST MAN CYB,16,0,0,0,0,0,1,0,0,4,2,9
11, ,P HUM FACT SOC 35 AN,15,0,0,0,0,0,0,0,0,0,15,0
12,0.255,INT J IND ERGONOM,14,1,0,0,0,1,4,0,1,2,1,4
13,0.642,APPL ERGON,13,0,0,5,1,1,0,1,0,1,0,4
14, ,HANDB HUM FACTORS ER,13,0,0,0,12,0,0,0,0,0,0,1
15, ,J BIOMECH,13,0,0,0,3,0,2,0,2,0,1,5
16,1.629,COGNITIVE SCI,11,0,0,0,1,0,1,2,0,0,0,7
17,1.730,J APPL PSYCHOL,11,0,0,0,1,1,1,0,1,1,1,5
18,6.857,AM PSYCHOL,10,0,1,0,0,0,0,0,0,0,1,8
19, ,SCAND J WORK ENV HEA,10,0,0,0,1,0,2,2,2,2,0,1
20,0.686,ACCIDENT ANAL PREV,9,0,1,0,0,1,1,0,1,2,0,3
21,1.267,ACTA PSYCHOL,9,0,0,0,0,0,1,0,0,1,0,7
22, ,INT J MAN MACH STUD,9,0,0,0,0,0,0,0,1,4,0,4
23, ,J OCCUP ENVIRON MED,9,0,0,0,0,0,0,0,0,1,0,8
24,0.297,MIL PSYCHOL,9,0,0,0,1,0,3,3,1,1,0,0
25, ,P HUM FACT SOC 36 AN,9,0,0,0,0,0,0,0,0,9,0,0
26, ,DECISION MAKING ACTI,8,0,0,0,0,0,1,0,6,1,0,0
27,1.240,ECOL PSYCHOL,8,0,0,0,0,1,0,0,3,0,2,2
28, ,P HUM FACT SOC 30 AN,8,0,0,0,0,0,0,0,0,0,0,8
29, ,P HUM FACT SOC 33 AN,8,0,1,0,0,0,0,0,0,0,0,7
30, ,P HUM FACT SOC 34 AN,8,0,0,0,0,0,0,0,0,0,0,8
31, ,SCIENCE,8,0,0,0,0,1,0,0,0,0,0,7
32, ,AI MAG,7,0,0,0,0,1,0,0,0,0,0,6
33, ,ATTENTION PERFORM,7,0,1,0,0,0,0,0,2,0,0,4
34, ,J ACOUST SOC AM,7,0,0,0,0,0,0,0,1,0,0,6
35,4.390,J CONSULT CLIN PSYCH,7,0,0,0,0,0,0,0,0,1,0,6
36,2.247,J EXP PSYCHOL HUMAN,7,0,0,0,0,1,0,0,0,0,0,6
37, ,P 13 TRIENN C INT ER,7,0,0,0,7,0,0,0,0,0,0,0
38,6.069,PSYCHOL REV,7,0,0,0,0,0,0,0,0,0,0,7
39, ,SAFETY SCI,7,0,0,0,1,0,0,0,6,0,0,0
40, ,TEAMS THEIR TRAINING,7,0,0,0,0,0,1,0,0,6,0,0
41, ,AVIAT SPACE ENVIR MD,6,0,0,0,0,1,0,2,0,0,0,3
42, ,HANDB HUM COMPUTER I,6,0,0,0,2,0,0,0,0,0,0,4
43, ,HUM FACTORS ORG DE,6,0,0,0,0,4,0,2,0,0,0,0
44,0.468,J SAFETY RES,6,0,0,1,0,0,0,0,1,0,2,2
45, ,KNOWL ACQUIS,6,0,0,0,0,0,0,0,0,1,0,5
46, ,MAKING DECISIONS STR,6,0,0,6,0,0,0,0,0,0,0,0
47,1.200,ORGAN BEHAV HUM DEC,6,0,0,0,0,1,3,0,0,0,0,2
48,1.733,PERS PSYCHOL,6,0,0,0,0,1,0,0,0,1,1,3
49,0.898,PSYCHOMETRIKA,6,0,0,0,0,0,0,0,0,0,0,6
50, ,TEAM PERFORMANCE ASS,6,0,0,0,6,0,0,0,0,0,0,0
51, ,TRANSPORTATION RES R,6,0,0,0,0,1,2,2,0,0,0,1
52, ,AM IND HYG ASSOC J,5,0,0,0,0,0,0,1,0,0,0,4
53,5.851,ANNU REV PSYCHOL,5,0,0,0,1,2,0,0,0,1,0,1
54,3.463,COGNITIVE PSYCHOL,5,0,0,1,0,0,0,0,0,0,0,4
55, ,COGNITIVE WORK ANAL,5,0,5,0,0,0,0,0,0,0,0,0
56, ,ERGONOMICS DES,5,0,1,2,0,2,0,0,0,0,0,0
57, ,EXP BRAIN RES,5,0,0,0,1,0,0,1,1,0,0,2
58, ,EXPERTISE CONTEXT,5,0,0,0,5,0,0,0,0,0,0,0
59, ,IN PRESS COGNITIVE T,5,0,0,0,0,0,0,0,0,0,0,5
60, ,INFORM PROCESSI,5,0,0,0,0,0,0,0,0,0,0,5
61, ,INT J COGNITIVE ERGO,5,0,0,5,0,0,0,0,0,0,0,0
62,0.529,INT J HUM-COMPUT INT,5,0,0,0,1,3,0,1,0,0,0,0
63, ,INT J HUMAN COMPUTER,5,0,3,0,0,0,0,0,0,1,0,1
64, ,J EXP PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
65,1.481,J EXP SOC PSYCHOL,5,0,0,0,1,0,1,0,1,0,0,2
66, ,J VERB LEARN VERB BE,5,0,0,0,0,0,0,0,0,0,0,5
67, ,MENT MODELS,5,0,0,0,0,0,0,0,0,0,0,5
68, ,P HUM FACT SOC 32 AN,5,0,0,0,0,0,0,0,0,0,0,5
69,0.308,PERCEPT MOTOR SKILL,5,0,0,0,0,0,0,1,0,0,1,3
70,1.252,PERCEPT PSYCHOPHYS,5,0,0,0,0,0,0,0,0,0,1,4
71, ,STRUCT PROCESS SP,5,0,0,0,0,0,0,0,0,0,0,5
72,0.317,TEACH TEACH EDUC,5,0,0,0,0,0,1,2,0,2,0,0
73,0.750,BEHAV RES METH INS C,4,0,0,1,0,0,0,0,0,0,0,3
74, ,BIOMECHANICS PSYCHOS,4,0,0,0,0,4,0,0,0,0,0,0
75, ,CLIN BIOMECH,4,0,2,1,0,0,1,0,0,0,0,0
76, ,COCKPIT RESOURCE MAN,4,0,0,0,0,0,0,0,4,0,0,0
77, ,COGNITIVE SYST EN,4,0,0,0,0,0,0,4,0,0,0,0
78, ,COMMUN ACM,4,0,0,0,0,0,0,1,0,0,0,3
79, ,EC BENEFITS PREDICTI,4,0,0,0,0,0,0,0,0,0,4,0
80, ,HDB PERCEPTION HUMAN,4,0,0,0,0,0,0,0,0,0,0,4
81, ,HUM COMPUT INTER,4,0,0,0,0,0,1,1,1,0,1,0
82,1.733,HUM PERFORM,4,0,0,2,0,0,0,0,0,0,1,1
83,0.333,INT J HUM-COMPUT ST,4,0,0,0,0,2,0,2,0,0,0,0
84, ,J AM STAT ASSOC,4,0,0,0,0,0,0,0,0,0,0,4
85,1.844,J EDUC PSYCHOL,4,0,0,0,0,0,0,0,0,0,1,3
86,1.000,J EXP PSYCHOL-APPL,4,0,1,0,1,1,1,0,0,0,0,0
87, ,J ORTHOPAED RES,4,0,0,0,1,0,0,0,1,0,0,2
88,1.507,MEM COGNITION,4,0,0,0,0,0,0,0,0,2,0,2
89, ,P HUM FACT SOC 27 AN,4,0,0,0,0,0,0,0,0,0,0,4
90, ,P HUM FACT SOC 31 AN,4,0,0,0,0,0,0,0,0,0,0,4
91, ,P HUM FACT SOC ERG S,4,0,0,0,1,0,3,0,0,0,0,0
92, ,PAIN,4,0,0,0,0,0,0,0,0,0,1,3
93,0.824,WORK STRESS,4,0,0,0,0,2,0,0,0,0,2,0
