Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2640,29,66,166,136,160,117,133,146,87,95,1505
2, ,ALL OTHERS (580),580,6,7,27,32,41,23,27,16,18,14,369
3,0.926,FOLIA PRIMATOL,182,0,4,33,9,5,2,9,9,8,14,89
4,1.214,INT J PRIMATOL,142,20,14,13,8,9,8,5,5,5,4,51
5,1.437,AM J PRIMATOL,118,0,2,7,8,9,7,12,6,5,6,56
6,0.885,PRIMATES,98,1,8,6,4,3,4,2,4,3,7,56
7,1.827,AM J PHYS ANTHROPOL,82,0,4,7,3,5,4,9,0,7,4,39
8,2.138,ANIM BEHAV,76,0,1,1,10,0,7,3,7,2,6,39
9,0.942,BEHAVIOUR,65,0,2,0,2,2,0,7,3,2,2,45
10,2.020,BEHAV ECOL SOCIOBIOL,59,0,2,8,0,2,4,2,3,7,1,30
11,2.675,J HUM EVOL,33,1,0,1,2,6,3,3,0,2,0,15
12,23.872,SCIENCE,20,0,0,2,1,0,1,4,0,0,0,12
13,25.814,NATURE,17,0,0,1,1,1,2,1,1,1,0,9
14, ,PRIMATE RAD EVOLUTIO,17,0,0,0,0,0,0,0,0,0,0,17
15, ,PRIMATE SOC,15,0,0,0,0,0,0,0,0,0,0,15
16,3.650,ECOLOGY,14,0,0,0,0,0,1,0,0,0,0,13
17,1.024,J ZOOL,14,0,0,0,1,2,0,0,0,1,0,10
18, ,LEMUR NEWS,14,0,3,9,0,2,0,0,0,0,0,0
19, ,LEMUR SOC SYSTEMS,14,0,0,0,0,0,0,0,14,0,0,0
20,3.944,AM NAT,13,0,0,0,0,0,0,0,1,1,0,11
21,6.195,ANNU REV ECOL SYST,13,0,0,0,0,0,0,0,0,0,3,10
22, ,EVOL ANTHROPOL,13,0,1,1,2,1,5,0,3,0,0,0
23, ,MARMOSETS TAMARINS S,13,0,0,0,0,0,0,0,13,0,0,0
24, ,PRIMATE REP,13,0,0,2,1,3,0,3,0,0,2,2
25,0.959,ORYX,12,0,1,2,0,2,4,0,2,0,0,1
26,0.858,BIOTROPICA,11,0,0,0,0,0,0,1,0,1,0,9
27, ,5 NEW WORLD PRIMATES,10,0,0,0,0,0,0,0,0,0,0,10
28,2.130,BEHAV ECOL,10,0,0,0,0,0,1,0,0,1,5,3
29,1.352,J MAMMAL,10,0,1,0,0,0,0,1,0,0,0,8
30,3.984,J MOL EVOL,10,0,0,1,0,2,1,2,0,0,0,4
31, ,PRIMATES COMP ANATOM,10,0,0,0,0,0,0,0,0,0,0,10
32,3.632,EVOLUTION,9,0,0,0,0,0,0,1,0,1,0,7
33, ,NEOTROP PRIMATES,9,0,2,1,1,1,3,1,0,0,0,0
34,2.232,OECOLOGIA,9,0,0,1,1,0,0,0,0,0,0,7
35,10.789,P NATL ACAD SCI USA,9,0,0,1,1,3,0,0,0,0,0,4
36, ,P ZOOL SOC LOND,9,0,0,0,0,0,0,0,0,0,0,9
37, ,PRIMATE ECOL,9,0,0,0,0,0,0,0,0,0,0,9
38, ,PRIMATES MADAGASCAR,9,0,0,0,0,0,0,0,0,0,0,9
39, ,RECENT ADV PRIMATOL,9,0,0,0,0,0,0,0,0,0,0,9
40, ,Z TIERPSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
41, ,CREATURES DARK NOCTU,8,0,0,0,0,0,8,0,0,0,0,0
42,1.409,CYTOGENET CELL GENET,8,0,0,0,2,2,0,0,0,0,0,4
43,1.035,J TROP ECOL,8,0,1,2,2,0,0,1,1,0,0,1
44,5.298,MOL BIOL EVOL,8,0,0,1,1,0,0,0,2,0,2,2
45, ,SPECIES SPECIES CONC,8,0,0,0,0,0,0,0,8,0,0,0
46, ,SYST ZOOL,8,0,0,0,0,0,0,0,0,0,0,8
47, ,THESIS U CALIF,8,0,0,0,0,0,1,2,0,0,1,4
48, ,ANTHROPOL PAP AM MUS,7,0,0,0,0,1,0,0,0,0,1,5
49, ,BIOGEOGRAPHIE MADAGA,7,0,0,0,0,7,0,0,0,0,0,0
