Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3784,38,207,393,421,352,285,200,189,152,148,1399
2, ,ALL OTHERS (1575),1575,6,99,187,178,133,104,87,76,61,55,589
3,1.226,J AM SOC INFORM SCI,367,18,32,52,31,35,25,22,20,14,21,97
4,0.719,INFORM PROCESS MANAG,108,0,3,12,20,8,7,9,6,7,4,32
5,1.640,J DOC,82,3,5,5,11,7,4,1,2,1,2,41
6, ,COMMUN ACM,56,0,1,6,4,8,7,3,3,0,1,23
7,0.660,SCIENTOMETRICS,50,2,2,9,5,8,2,2,5,1,1,13
8, ,INFORM PROCESSI,44,2,3,2,2,2,2,0,0,2,1,28
9, ,INFORM RETRIEVA,36,3,1,2,1,2,0,2,1,9,0,15
10, ,SCIENCE,34,0,6,7,0,4,3,2,0,0,0,12
11,0.905,COLL RES LIBR,27,0,0,3,2,5,1,0,0,2,2,12
12,0.473,J INFORM SCI,27,0,2,3,1,4,2,3,1,0,1,10
13, ,ANNU REV INFORM SCI,26,0,0,2,3,3,2,4,0,0,3,9
14, ,ACM T INFORM SYST,22,0,1,2,3,2,2,2,3,0,2,5
15,0.407,LIBR QUART,22,1,0,3,2,2,2,1,4,0,1,6
16, ,INT J MAN MACH STUD,18,0,0,0,0,0,0,0,2,0,2,14
17,0.316,LIBR TRENDS,17,0,1,0,4,3,3,2,1,0,0,3
18,1.115,SOC STUD SCI,17,0,0,0,0,2,1,0,0,0,0,14
19,0.297,LIBR INFORM SCI RES,16,0,0,3,0,0,2,0,2,4,1,4
20, ,IEEE T COMPUT,15,0,3,0,1,4,1,0,0,0,1,5
21, ,ONLINE REV,15,0,0,0,0,0,0,0,0,0,0,15
22, ,INFORM SEEKING,11,0,1,0,2,0,8,0,0,0,0,0
23,0.333,INT J HUM-COMPUT ST,11,0,0,1,3,5,1,1,0,0,0,0
24, ,COMPUT J,10,0,0,0,0,1,1,0,0,5,0,3
25, ,D LIBR MAGAZINE,10,0,2,2,5,0,1,0,0,0,0,0
26, ,NIST SP,10,0,0,3,2,2,1,2,0,0,0,0
27,3.255,AM SOCIOL REV,9,0,0,0,0,0,0,0,0,0,0,9
28, ,ARTIF INTELL,9,0,0,0,0,1,3,0,1,0,0,4
29,3.463,COGNITIVE PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
30, ,J ACM,9,0,0,0,0,0,0,1,0,0,1,7
31,0.167,CAN J INFORM LIB SCI,8,0,0,1,0,0,0,0,2,0,0,5
32,1.581,DISCOURSE PROCESS,8,0,0,1,0,0,2,0,5,0,0,0
33, ,IN PRESS INFORMATION,8,0,2,0,0,0,0,0,0,0,0,6
34, ,INTERACT COMPUT,8,0,0,7,0,1,0,0,0,0,0,0
35, ,INTRO MOD INFORMA,8,0,0,0,0,0,0,0,0,0,0,8
36, ,MACH LEARN,8,0,0,0,0,1,0,0,3,0,0,4
37, ,METAPHOR THOUGHT,8,0,0,0,0,0,0,0,5,0,0,3
38, ,NAT EXPERTISE,8,0,0,0,0,0,0,0,0,0,0,8
39, ,NATURE,8,0,3,1,0,1,0,0,0,0,0,3
40, ,ACM COMPUT SURV,7,0,0,1,0,1,0,0,0,0,0,5
41, ,AM DOC,7,0,0,0,0,0,0,0,0,0,0,7
42, ,COMPUTER,7,0,1,0,0,3,1,0,0,0,2,0
43, ,CURR CONTENTS,7,0,0,0,0,0,0,0,0,0,0,7
44, ,GEN THEOR EXPERTISE,7,0,0,0,0,0,0,0,0,0,7,0
45, ,INFORM TECHNOL,7,0,0,0,0,0,1,0,1,0,0,5
46,0.361,LIBR RESOUR TECH SER,7,0,0,1,0,1,1,1,2,0,0,1
47, ,P ACM SIGCHI C HUM F,7,0,0,1,1,1,1,1,2,0,0,0
48,0.397,ASLIB PROC,6,0,0,1,1,1,2,0,0,0,0,1
49,1.629,COGNITIVE SCI,6,0,0,0,0,1,0,0,1,0,0,4
50,1.146,COMPUT LINGUIST,6,0,0,0,1,1,1,0,0,0,0,3
51,0.691,ERGONOMICS,6,0,0,0,0,0,4,0,0,1,0,1
52, ,INDEXER,6,0,0,0,0,1,0,1,1,1,1,1
53,0.404,INFORM SOC,6,0,0,0,1,2,3,0,0,0,0,0
54, ,NEW REV HYPERMEDIA M,6,0,0,0,6,0,0,0,0,0,0,0
55, ,NIST SPEC PUBLICA,6,0,2,2,0,0,2,0,0,0,0,0
56, ,P 21 ANN INT ACM SIG,6,0,0,6,0,0,0,0,0,0,0,0
57, ,P ASIS ANNU MEET,6,0,0,1,0,0,0,0,0,0,2,3
58, ,POLITICS DOMESTIC CO,6,0,0,0,0,0,5,0,0,0,0,1
59,0.863,PUBLIC OPIN QUART,6,0,0,0,0,0,0,0,1,1,0,4
60, ,RQ,6,0,0,0,2,0,0,1,0,1,0,2
61, ,SCH LIBR MEDIA Q,6,0,0,0,5,0,0,1,0,0,0,0
62, ,TREC 5 P 5 TEXT RETR,6,0,0,0,6,0,0,0,0,0,0,0
63, ,ART HUM COMPUTER I,5,0,0,0,0,0,0,0,0,0,0,5
64, ,B AM SOC INFORM INF,5,1,2,0,1,0,0,0,0,0,0,1
65,0.343,B MED LIBR ASSOC,5,0,0,0,2,0,1,0,1,0,0,1
66,0.537,BRIT J EDUC PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
67, ,COMPUT PROCESSING,5,0,0,0,0,0,0,1,0,0,1,3
68,0.595,CONTEMP EDUC PSYCHOL,5,0,0,0,0,0,0,2,1,0,2,0
69, ,HANDB HUM COMPUTER I,5,0,0,0,0,0,0,0,0,0,0,5
70, ,INFERENCES TEXT COMP,5,0,0,0,0,0,0,0,0,0,0,5
71, ,KNOWLEDGE DIFFUSION,5,0,0,0,5,0,0,0,0,0,0,0
72,0.206,ONLINE CDROM REV,5,0,0,0,1,1,0,2,1,0,0,0
73, ,P IEEE,5,0,0,0,1,0,0,0,0,0,0,4
74,0.364,PROGRAM-ELECTRON LIB,5,0,0,0,0,0,0,0,0,0,0,5
75,6.069,PSYCHOL REV,5,0,0,0,0,0,0,0,0,0,0,5
76, ,PUBLIC ACCESS COMPUT,5,0,0,0,2,2,0,0,0,0,1,0
