Citing Journal Data: JOURNAL OF EDUCATIONAL PSYCHOLOGY,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3385,20,115,196,253,229,212,214,192,195,160,1599
2, ,ALL OTHERS (1021),1021,12,40,54,65,67,77,56,54,52,42,502
3,1.844,J EDUC PSYCHOL,316,1,21,28,35,19,22,10,13,16,14,137
4,2.486,READ RES QUART,118,0,2,3,7,6,13,2,9,6,8,62
5,2.768,CHILD DEV,96,0,1,7,6,6,4,10,4,4,2,52
6,2.044,DEV PSYCHOL,59,0,4,5,7,2,1,8,4,6,3,19
7,3.172,J PERS SOC PSYCHOL,47,0,0,1,5,4,1,1,3,3,0,29
8,2.088,REV EDUC RES,46,0,0,0,1,4,3,5,1,2,4,26
9,1.276,J EXP CHILD PSYCHOL,44,1,4,3,3,4,1,2,2,1,0,23
10, ,AM EDUC RES J,40,0,0,3,3,4,5,0,1,2,3,19
11,6.913,PSYCHOL BULL,38,0,0,2,1,0,0,3,3,5,1,23
12,3.517,EDUC PSYCHOL,35,1,0,3,7,0,2,1,2,2,4,13
13,0.865,ELEM SCHOOL J,35,0,1,0,1,5,1,0,3,2,1,21
14,0.490,READ TEACH,31,0,1,0,2,1,2,3,1,3,2,16
15,6.069,PSYCHOL REV,27,0,1,1,0,1,0,3,2,1,1,17
16,0.595,CONTEMP EDUC PSYCHOL,26,0,0,4,4,1,3,5,3,2,2,2
17,6.857,AM PSYCHOL,25,1,0,1,4,0,2,1,0,1,0,15
18,0.696,COGNITION INSTRUCT,24,0,0,0,0,3,0,1,1,1,2,16
19, ,J READING BEHAV,23,0,0,0,0,0,4,3,3,2,2,9
20,0.537,BRIT J EDUC PSYCHOL,20,0,0,0,4,0,5,0,2,4,0,5
21,1.091,LEARN DISABILITY Q,20,0,3,0,6,0,1,1,0,0,2,7
22,2.638,J MEM LANG,18,0,0,1,1,1,0,1,0,1,2,11
23, ,ADV MOTIVATION ACHIE,16,0,0,0,5,0,0,0,1,0,8,2
24, ,ANNU M AM EDUC RES,16,0,4,4,1,2,1,1,0,0,1,2
25,2.753,J EXP PSYCHOL LEARN,16,1,0,0,1,0,0,2,0,3,0,9
26, ,SCI STUD READING,16,0,4,3,9,0,0,0,0,0,0,0
27,2.622,COGNITION,15,0,0,0,2,0,4,0,2,0,2,5
28,1.000,J LEARN DISABIL-US,15,0,2,0,1,0,0,4,1,0,1,6
29,1.507,MEM COGNITION,15,0,0,2,0,0,1,1,1,1,0,9
30,0.122,READ WRIT,15,0,0,0,1,3,0,3,4,2,0,2
31,1.000,EDUC PSYCHOL REV,14,0,0,1,0,2,0,2,0,2,0,7
32,0.750,MERRILL PALMER QUART,14,0,1,0,0,0,1,2,2,0,0,8
33,0.351,J EDUC RES,13,0,1,2,1,1,0,0,1,0,0,7
34, ,J VERB LEARN VERB BE,13,0,0,0,0,0,0,0,0,0,0,13
35, ,SCIENCE,13,0,0,0,1,0,1,0,2,2,0,7
36,3.463,COGNITIVE PSYCHOL,12,0,0,0,1,0,0,0,1,0,0,10
37,0.608,EDUC PSYCHOL MEAS,12,0,1,0,0,3,0,1,4,0,0,3
38, ,EDUC RESEARCHER,12,0,1,1,0,2,0,2,0,0,0,6
39, ,LEARN DISABILITIE,12,0,0,1,0,1,0,3,2,2,1,2
40,1.452,Q J EXP PSYCHOL-A,12,0,0,1,0,1,1,0,0,1,2,6
41,0.338,RES HIGH EDUC,12,0,0,0,0,0,0,4,0,0,0,8
42,0.800,BRIT J DEV PSYCHOL,11,0,1,1,0,0,0,4,1,1,2,1
43,4.390,J CONSULT CLIN PSYCH,11,0,0,0,0,1,1,2,0,1,0,6
44,0.818,APPL PSYCHOLINGUIST,10,1,1,1,0,0,2,1,1,1,0,2
45,1.357,DEV REV,10,0,0,0,0,0,0,4,2,2,0,2
46, ,HANDB CHILD PSYCHOL,10,0,0,7,0,0,0,0,0,0,0,3
47,2.940,J CHILD PSYCHOL PSYC,10,0,0,0,1,1,2,2,1,1,0,2
48,1.080,RES TEACH ENGL,10,0,0,0,0,1,0,0,0,0,1,8
49, ,COUNCIL UNDERGRADUAT,9,0,0,1,8,0,0,0,0,0,0,0
50,1.581,DISCOURSE PROCESS,9,0,0,1,0,0,0,2,0,0,0,6
51,0.258,EUR J PSYCHOL EDUC,9,0,0,3,0,0,0,0,4,0,1,1
52, ,HANDB EDUC PSYCHOL,9,0,0,0,1,8,0,0,0,0,0,0
53,3.636,J EXP PSYCHOL GEN,9,0,0,0,2,2,0,1,1,0,0,3
54,0.459,LEARN INDIVID DIFFER,9,0,0,0,0,3,0,1,0,1,1,3
55, ,THEOR MODELS P,9,0,0,0,0,0,0,7,0,0,0,2
56,0.929,APPL COGNITIVE PSYCH,8,0,2,1,0,3,0,1,1,0,0,0
57, ,BALANCED INSTRUCTION,8,0,0,0,0,8,0,0,0,0,0,0
58, ,BELIEFS TEXT INSTRUC,8,0,0,0,0,0,0,8,0,0,0,0
59,1.629,COGNITIVE SCI,8,0,0,0,0,0,0,0,0,0,0,8
60,1.214,EXCEPT CHILDREN,8,0,1,2,1,0,0,0,1,1,0,2
61, ,FDN READING ACQUISIT,8,0,0,0,8,0,0,0,0,0,0,0
62, ,HANDB READING RES,8,0,0,1,0,1,0,0,0,0,1,5
63,0.706,INT J BEHAV DEV,8,1,0,0,2,0,0,3,0,1,1,0
64,2.247,J EXP PSYCHOL HUMAN,8,0,0,0,0,0,0,0,0,0,0,8
65, ,LANGUAGE TRANSFER LA,8,0,0,0,0,0,0,0,0,0,0,8
66, ,READING ACQUISITION,8,0,0,0,0,0,0,0,0,8,0,0
67, ,STAT POWER ANAL BEHA,8,0,0,0,0,0,0,0,0,0,0,8
68, ,BEGINNING READ THINK,7,0,0,0,0,0,0,0,0,0,0,7
69, ,EARLY CHILDHOOD RES,7,0,0,2,0,0,0,0,1,2,1,1
70,0.737,GIFTED CHILD QUART,7,0,1,0,1,0,0,0,0,0,0,5
71,0.353,J EDUC MEAS,7,0,0,0,0,0,0,0,1,1,0,5
72, ,ROLE INTEREST LEARNI,7,0,0,0,0,0,0,0,0,7,0,0
73, ,STRUCT EQUATION,7,0,1,1,0,0,4,1,0,0,0,0
74,0.352,TEACH PSYCHOL,7,0,0,0,1,0,0,0,0,0,0,6
75, ,AM EDUC,6,0,0,0,0,0,0,1,0,0,2,3
76, ,AM J DISTANCE ED,6,0,0,0,0,0,1,0,0,0,1,4
77,0.963,HARVARD EDUC REV,6,0,0,0,0,0,0,0,0,2,0,4
78, ,INT J ED RES,6,0,0,0,0,0,0,1,0,0,0,5
