Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1323,12,52,73,68,62,62,50,56,52,51,785
2, ,ALL OTHERS (210),210,5,15,13,9,10,10,3,7,10,8,120
3, ,ACTA BIOL EXP WARSAW,2,0,0,0,0,0,0,0,0,0,0,2
4, ,ADV ANAL BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
5, ,AM J PHYSIOL-REG I,2,0,0,0,0,0,0,0,0,0,0,2
6,0.286,AM J PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
7,6.857,AM PSYCHOL,2,0,0,0,0,0,0,0,0,1,0,1
8, ,AM ZOOL,4,0,0,0,0,4,0,0,0,0,0,0
9, ,ANIM BEHAV,19,0,3,2,0,1,3,4,1,0,1,4
10, ,ANIM COGNITION TRI,2,0,0,0,0,0,0,0,2,0,0,0
11,1.105,ANIM LEARN BEHAV,102,0,7,5,10,6,9,7,6,7,4,41
12, ,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,0,0,0,2
13, ,ANNU REV NEUROSCI,2,0,0,0,0,1,0,0,0,0,0,1
14, ,ANOVA ANAL VARIANCE,2,0,0,0,0,0,0,2,0,0,0,0
15, ,APPETITE,3,0,0,0,1,0,0,0,0,0,1,1
16, ,ARCH NEERL ZOOL,2,0,0,0,0,0,0,0,0,0,0,2
17, ,AUTOSHAPING CONDITIO,2,0,0,0,0,0,0,0,0,0,0,2
18, ,B PSYCHONOMIC SOC,9,0,0,0,0,0,0,0,0,0,0,9
19,14.250,BEHAV BRAIN SCI,4,0,0,0,0,0,0,0,0,0,0,4
20, ,BEHAV ECOL SOCIOBIOL,2,0,0,0,0,0,0,0,0,0,0,2
21, ,BEHAV NEURAL BIOL,4,0,0,0,0,0,0,0,1,0,0,3
22, ,BEHAV NEUROSCI,29,0,2,0,3,0,2,0,4,3,3,12
23, ,BEHAV NONHUM PRIMATE,2,0,0,0,0,0,0,0,0,0,0,2
24,0.906,BEHAV PROCESS,21,0,5,7,1,1,1,2,0,0,0,4
25,0.750,BEHAV RES METH INS C,4,0,0,0,0,0,0,0,1,0,0,3
26,1.699,BEHAV RES THER,6,0,0,0,0,0,1,1,0,1,0,3
27, ,BIOL CYBERN,4,0,0,0,0,0,0,0,0,0,2,2
28, ,BRAIN RES,7,0,0,0,0,0,0,1,1,0,1,4
29, ,CAN J PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
30, ,CHEM SENSES,3,0,0,0,0,0,1,0,0,0,0,2
31, ,CLASSICAL CONDITION,15,0,0,0,0,0,0,0,0,0,0,15
32,2.622,COGNITION,9,0,0,0,0,1,0,0,0,2,0,6
33,1.863,COGNITION EMOTION,2,0,0,0,0,0,0,0,0,0,0,2
34, ,COGNITIVE ASPECTS ST,2,0,0,0,0,0,0,0,0,2,0,0
35, ,COGNITIVE BRAIN RES,2,0,0,0,0,1,0,0,0,1,0,0
36, ,COGNITIVE PROCESS,3,0,0,0,0,0,0,0,0,0,0,3
37,3.463,COGNITIVE PSYCHOL,5,0,1,0,0,0,0,0,0,0,0,4
38, ,COMP PERCEPTION,2,0,0,0,0,0,0,0,0,0,0,2
39, ,CONDITIONED REFLEXES,9,0,0,0,0,0,0,0,0,0,0,9
40, ,CONT LEARN THEORI,3,0,0,0,0,0,0,0,0,0,0,3
41, ,CONTEXT LEARN,4,0,0,0,0,0,0,0,0,0,0,4
42,1.430,CURR DIR PSYCHOL SCI,4,0,0,0,0,0,0,3,1,0,0,0
43, ,CURR TOPICS ANIMA,3,0,0,0,0,0,0,0,0,0,3,0
44, ,DEV PSYCHOBIOL,3,0,0,0,0,0,1,0,1,0,0,1
45, ,ENCY MOL BIOL MOL ME,2,0,0,0,0,2,0,0,0,0,0,0
46, ,ETHOLOGY,5,0,0,1,0,0,1,0,0,0,2,1
47, ,EXP BIOL,2,0,0,0,0,0,0,0,0,0,0,2
48, ,EXP BRAIN RES,6,0,0,0,1,0,1,2,0,0,0,2
49, ,EXP NEUROL,2,0,0,0,0,1,0,0,0,0,0,1
50, ,HABITUATION,2,0,0,0,0,0,0,0,0,0,0,2
51, ,HABITUATION PERSPECT,3,0,0,0,0,0,0,0,0,0,0,3
52, ,HIPPOCAMPUS,5,0,0,1,0,0,2,0,2,0,0,0
53, ,IN PRESS J EXPT PSYC,2,0,0,0,0,0,0,0,0,0,0,2
54, ,INFORM PROCESSI,20,0,0,0,0,0,0,0,0,0,0,20
55, ,INTEGRATIVE ACTIVITY,3,0,0,0,0,0,0,0,0,0,0,3
56, ,J ACOUST SOC AM,4,0,0,0,0,0,0,0,0,1,0,3
57,1.466,J APPL BEHAV ANAL,2,0,0,0,2,0,0,0,0,0,0,0
58, ,J COMP PHYSIOL,18,0,0,0,0,0,0,0,0,0,0,18
59, ,J COMP PHYSIOL A,6,0,0,0,2,0,0,0,1,0,0,3
60, ,J COMP PHYSIOL PSYCH,37,0,0,0,0,0,0,0,0,0,0,37
61,1.477,J COMP PSYCHOL,20,0,0,2,3,2,0,2,0,3,1,7
62,1.172,J EXP ANAL BEHAV,56,0,4,0,0,3,1,2,1,2,3,40
63, ,J EXP BIOL,2,0,0,0,0,2,0,0,0,0,0,0
64, ,J EXP PSYCHOL,11,0,0,0,0,0,0,0,0,0,0,11
65,1.365,J EXP PSYCHOL ANIM B,138,0,2,8,14,12,9,6,10,5,8,64
66, ,J EXP PSYCHOL ANIMA,45,3,7,0,1,1,2,0,0,1,0,30
67,3.636,J EXP PSYCHOL GEN,3,0,0,0,0,1,0,0,0,1,0,1
68, ,J EXP PSYCHOL GENER,2,0,0,0,0,0,0,0,0,0,0,2
69,2.247,J EXP PSYCHOL HUMAN,9,0,0,2,2,0,1,0,1,0,0,3
70,2.753,J EXP PSYCHOL LEARN,2,1,0,0,0,0,0,0,0,0,0,1
71,0.476,J GENET PSYCHOL,2,0,0,0,0,0,0,0,0,0,0,2
72, ,J NEUROPHYSIOL,2,0,0,0,0,0,1,0,0,0,0,1
73, ,J NEUROSCI,15,0,1,1,0,1,5,0,1,0,0,6
74,0.122,JPN PSYCHOL RES,3,0,0,0,3,0,0,0,0,0,0,0
75, ,LAB ANIMAL,2,0,0,0,0,0,0,0,0,0,1,1
76, ,LATENT INHIBITION CO,2,0,0,0,0,0,0,0,0,0,0,2
77, ,LEARN BEHAV THERA,3,0,0,3,0,0,0,0,0,0,0,0
78, ,LEARN COMPUTATION,3,0,0,0,0,0,0,0,0,0,0,3
79,1.156,LEARN MOTIV,50,1,1,4,3,2,0,2,1,1,2,33
80, ,LECT CONDITIONED REF,3,0,0,0,0,0,0,0,0,0,0,3
81, ,MECH ANIM DISCRIMI,5,0,0,0,0,0,0,0,0,0,0,5
82,1.507,MEM COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
83, ,MIAM S PRED BEH AV S,2,0,0,0,0,0,0,0,0,0,0,2
84, ,NATURE,16,0,0,0,3,2,0,2,2,0,0,7
85, ,NEURAL NETWORK MODEL,2,0,0,0,0,0,0,0,0,1,1,0
86, ,NEURAL NETWORKS,3,0,0,0,0,0,0,0,0,0,0,3
87, ,NEUROSCI BIOBEHAV R,2,0,0,0,0,0,1,0,0,0,0,1
88, ,NEUROSCIENCE,2,0,0,1,0,0,0,1,0,0,0,0
89, ,OCCASION SETTING ASS,3,0,0,3,0,0,0,0,0,0,0,0
90, ,OPERANT BEHAV AREAS,2,0,0,0,0,0,0,0,0,0,0,2
91, ,ORG LEARN,3,0,0,0,0,0,0,0,0,0,0,3
92, ,P 8 ANN C COGN SCI S,2,0,0,0,0,0,0,0,0,0,0,2
93, ,P ROY SOC LOND B BIO,2,0,0,0,0,0,0,0,0,1,0,1
94, ,PARALLEL DISTRIBUTED,5,0,0,0,0,0,0,0,0,0,0,5
95, ,PAVLOVIAN 2 ORDER CO,2,0,0,0,0,0,0,0,0,0,0,2
96, ,PAVLOVIAN J BIOL SCI,3,0,0,0,0,0,0,0,0,0,0,3
97, ,PERCEPT ASSOC LEARN,3,0,0,0,0,0,0,0,0,0,3,0
98,0.308,PERCEPT MOTOR SKILL,2,0,0,0,0,0,0,0,0,0,0,2
99,1.252,PERCEPT PSYCHOPHYS,9,0,0,0,1,0,0,0,0,0,0,8
100, ,PERCEPTION CONDITION,2,0,0,0,0,0,0,0,0,0,0,2
101, ,PHARMACOL BIOCHEM BE,7,0,0,2,1,0,0,0,1,0,1,2
