Citing Journal Data: JOURNAL OF THE LEARNING SCIENCES,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,722,6,20,63,54,95,58,68,46,40,37,235
2, ,ALL OTHERS (383),383,1,14,31,22,45,25,40,22,22,16,145
3,1.286,J LEARN SCI,31,0,0,7,4,5,3,4,1,6,1,0
4,1.629,COGNITIVE SCI,14,0,0,0,2,0,0,3,1,0,0,8
5,0.992,J RES SCI TEACH,12,0,0,0,2,2,1,3,1,0,1,2
6,2.088,REV EDUC RES,10,0,0,2,0,0,0,2,2,0,1,3
7,0.696,COGNITION INSTRUCT,8,0,1,0,1,0,1,0,4,0,0,1
8, ,COMMUN ACM,7,0,0,0,1,1,2,1,1,0,0,1
9, ,CSCL THEOR PRACTICE,7,0,0,0,0,7,0,0,0,0,0,0
10, ,DEV COGNITIVE COMPET,7,0,0,0,0,0,7,0,0,0,0,0
11, ,EDUC RESEARCHER,7,0,0,1,1,1,0,1,0,0,0,3
12, ,SITUATED LEARN LE,7,0,0,0,0,0,0,0,0,0,7,0
13, ,THESIS MASS I TECH,7,0,0,1,2,0,1,1,1,0,0,1
14,3.517,EDUC PSYCHOL,6,0,0,0,0,1,0,1,1,1,1,1
15, ,IN PRESS LEARNING SC,6,0,0,0,0,0,0,0,0,0,0,6
16, ,THESIS U CALIF,6,0,1,2,0,2,0,0,0,0,1,0
17, ,CONSTRUCTIONISM PRAC,5,0,0,0,0,5,0,0,0,0,0,0
18, ,DARWINS DANGEROUS ID,5,0,0,0,0,2,3,0,0,0,0,0
19, ,EDUC STUD MATH,5,0,0,0,1,0,0,2,0,1,1,0
20, ,J MATH BEHAVIOR,5,0,0,0,0,0,0,0,0,0,4,1
21, ,J SCI ED TECHNOLOGY,5,0,1,0,1,1,1,1,0,0,0,0
22, ,MIND CULT ACTIVIT,5,0,0,1,1,2,0,1,0,0,0,0
23, ,NAT SCI ED STAND,5,0,0,0,0,5,0,0,0,0,0,0
24,0.918,SCI EDUC,5,0,0,0,1,0,1,0,0,0,0,3
25,6.857,AM PSYCHOL,4,0,0,2,1,0,0,0,0,0,0,1
26, ,CLASSROOM LESSONS IN,4,0,0,0,0,0,0,4,0,0,0,0
27,3.463,COGNITIVE PSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
28, ,COMPUT SUPPORTED C,4,0,0,2,0,0,1,1,0,0,0,0
29, ,CONSILIENCE UNITY KN,4,0,0,4,0,0,0,0,0,0,0,0
30, ,END WORK DECLINE GLO,4,0,0,0,0,0,4,0,0,0,0,0
31, ,INNOVATIONS SCI MATH,4,4,0,0,0,0,0,0,0,0,0,0
32,0.086,J EDUC COMPUT RES,4,0,0,0,1,1,1,0,0,0,0,1
33,1.844,J EDUC PSYCHOL,4,1,0,0,0,0,1,0,0,0,1,1
34, ,J MATH BEHAV,4,0,0,0,0,0,0,2,0,2,0,0
35, ,KNOWING LEARN INS,4,0,0,0,0,0,0,0,0,0,0,4
36,0.536,LEARN INSTR,4,0,0,0,3,0,0,1,0,0,0,0
37, ,WORK DISAPPEARS WORL,4,0,0,0,0,4,0,0,0,0,0,0
38, ,COMPUTERS COGNITIVE,3,0,0,0,0,0,0,0,3,0,0,0
39, ,CONCEPT FUNCT ASP,3,0,0,0,0,0,0,0,0,3,0,0
40, ,MECH COGNITIVE DEV,3,0,0,0,0,0,0,0,0,0,0,3
41, ,MIND SOC,3,0,0,0,0,0,0,0,0,0,0,3
42, ,MIND SOC DEV HIGHER,3,0,0,0,0,0,0,0,0,0,0,3
43, ,MINDSTORMS CHILDREN,3,0,0,0,0,0,0,0,0,0,0,3
44, ,ONE WORLD READY NOT,3,0,0,0,3,0,0,0,0,0,0,0
45, ,SCH LIBR MEDIA Q,3,0,0,0,0,0,1,0,0,0,1,1
46, ,SCI PRACTICE SCI ED,3,0,0,0,0,0,0,0,0,0,0,3
47,1.115,SOC STUD SCI,3,0,0,0,0,0,1,0,0,0,0,2
48, ,ACTIVITY THEOR SOCI,2,0,2,0,0,0,0,0,0,0,0,0
49, ,AERA 97 CHIC,2,0,0,0,2,0,0,0,0,0,0,0
50, ,ANN C AM ED RES ASS,2,0,1,0,1,0,0,0,0,0,0,0
51, ,CASE BASED REASONING,2,0,0,0,0,0,0,0,2,0,0,0
52, ,CHI LOS ANG CA,2,0,0,2,0,0,0,0,0,0,0,0
53, ,COMPUT BASED LEARN,2,0,0,0,0,0,0,0,1,1,0,0
54, ,CONSTRUCTION ZONE WO,2,0,0,0,0,0,0,0,0,0,0,2
55, ,CONSTRUCTIVISM TECHN,2,0,0,0,0,0,0,0,0,2,0,0
56, ,CULTURES COMPUTING,2,0,0,0,0,0,2,0,0,0,0,0
57, ,CURR EV STAND SCH MA,2,0,0,0,0,0,0,0,0,0,0,2
58, ,DISCOURSE LEARN S,2,0,0,0,0,2,0,0,0,0,0,0
59, ,DISTRIBUTED COGNITIO,2,0,0,0,0,0,0,0,2,0,0,0
60, ,DYNAMIC MEMORY,2,0,0,0,0,0,0,0,0,0,0,2
61, ,ECOL APPROACH,2,0,0,0,0,0,0,0,0,0,0,2
62, ,ENG EDUC,2,0,0,0,0,0,0,0,0,0,0,2
