Citing Journal Data: JOURNAL OF MEMORY AND LANGUAGE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2823,17,122,180,211,165,191,183,140,139,105,1370
2, ,ALL OTHERS (511),511,1,30,37,26,26,35,20,12,28,24,272
3,2.753,J EXP PSYCHOL LEARN,257,2,10,17,19,21,27,19,19,26,18,79
4,2.638,J MEM LANG,235,4,12,22,31,23,17,27,12,8,12,67
5,6.069,PSYCHOL REV,153,0,6,7,15,11,3,15,10,11,7,68
6, ,J VERB LEARN VERB BE,119,0,0,0,0,0,0,0,0,0,0,119
7,1.507,MEM COGNITION,112,0,4,6,7,5,5,5,10,8,4,58
8,2.247,J EXP PSYCHOL HUMAN,86,1,5,7,3,3,5,6,5,5,2,44
9,2.622,COGNITION,79,0,1,4,9,4,2,6,3,9,1,40
10,0.875,LANG COGNITIVE PROC,66,0,0,2,6,11,6,17,3,5,0,16
11,3.463,COGNITIVE PSYCHOL,59,0,2,4,1,1,2,0,2,0,0,47
12,3.636,J EXP PSYCHOL GEN,36,0,2,1,1,3,5,4,3,2,1,14
13,1.580,PSYCHON B REV,35,0,4,5,11,7,5,3,0,0,0,0
14,1.252,PERCEPT PSYCHOPHYS,34,1,0,3,1,1,1,1,1,0,1,24
15,1.473,BRAIN LANG,30,0,3,2,8,1,1,1,0,1,1,12
16,1.452,Q J EXP PSYCHOL-A,30,0,0,1,2,4,0,2,0,2,1,18
17,2.180,COGNITIVE NEUROPSYCH,29,0,0,1,9,2,2,1,1,2,1,10
18, ,J EXP PSYCHOL,29,0,0,0,0,0,0,0,0,0,0,29
19,0.639,LANG SPEECH,27,0,0,2,1,0,3,0,0,0,3,18
20,3.371,LANGUAGE,24,0,2,0,1,2,0,1,2,0,2,14
21, ,ATTENTION PERFORM,23,0,0,0,0,0,0,4,1,0,0,18
22,14.250,BEHAV BRAIN SCI,22,0,13,0,2,0,0,1,1,0,1,4
23,1.581,DISCOURSE PROCESS,22,0,5,8,2,2,1,1,1,0,1,1
24,2.565,PSYCHOL SCI,22,0,1,4,3,0,9,1,2,1,0,1
25,2.778,NEUROPSYCHOLOGIA,19,0,0,1,0,0,1,1,2,0,1,13
26, ,SCIENCE,19,0,0,0,2,0,2,0,0,2,3,10
27,5.115,J COGNITIVE NEUROSCI,18,0,0,2,2,1,1,2,5,3,1,1
28, ,J ACOUST SOC AM,17,0,0,0,0,1,1,0,0,1,0,14
29,0.725,J PSYCHOLINGUIST RES,15,0,0,2,0,1,2,3,1,0,0,6
30, ,NATURE,15,0,0,0,0,0,0,0,0,0,2,13
31,1.629,COGNITIVE SCI,14,0,0,1,0,1,0,0,2,1,1,8
32, ,CORTEX,14,0,1,1,1,0,0,5,0,0,0,6
33,1.053,BRIT J PSYCHOL,13,0,0,0,0,0,1,0,0,0,0,12
34,6.913,PSYCHOL BULL,13,0,0,3,1,0,0,1,0,1,1,6
35,0.286,AM J PSYCHOL,12,0,1,0,0,1,0,0,0,0,1,9
36,0.630,BRAIN COGNITION,11,0,1,0,1,0,1,0,0,2,0,6
37, ,HDB PSYCHOLINGUISTIC,11,0,0,0,0,0,0,11,0,0,0,0
38, ,J EXP PSYCHOL GENER,11,0,0,0,0,0,0,0,0,0,0,11
39,1.276,J EXP CHILD PSYCHOL,10,0,1,1,2,0,0,0,1,0,1,4
40,1.477,LINGUIST INQ,10,0,0,0,0,1,0,0,0,0,0,9
41,3.106,PSYCHOPHYSIOLOGY,10,0,0,0,1,0,3,0,2,1,1,2
42,0.750,BEHAV RES METH INS C,9,0,1,0,0,3,0,0,1,0,0,4
43, ,CAN J PSYCHOL,9,0,0,0,0,0,0,0,0,1,0,8
44, ,COMPUT ANAL P,9,0,0,0,0,0,0,0,0,0,0,9
