Citing Journal Data: JOURNAL OF PRAGMATICS,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3377,4,29,135,136,214,238,159,162,173,123,2004
2, ,ALL OTHERS (1484),1484,1,17,57,68,77,89,65,62,60,57,931
3,0.405,J PRAGMATICS,117,2,5,10,8,20,7,10,5,5,10,35
4,3.371,LANGUAGE,54,0,0,2,0,0,2,0,2,0,0,48
5,0.205,SYNTAX SEMANTICS,34,0,0,0,0,0,0,0,0,0,0,34
6,0.667,LANG SOC,30,0,0,1,0,2,1,2,3,3,2,16
7,1.581,DISCOURSE PROCESS,27,0,1,2,4,0,11,1,0,3,0,5
8, ,PRAGMATICS,26,0,0,0,2,3,0,1,2,1,2,15
9, ,STUD LANG,21,0,1,3,0,2,1,1,0,1,1,11
10,3.636,J EXP PSYCHOL GEN,20,0,0,0,0,0,3,2,0,0,0,15
11,0.353,LINGUISTICS,20,0,1,0,0,2,3,0,0,0,1,13
12, ,TEXT,20,0,0,0,1,0,1,0,3,3,2,10
13, ,SEMIOTICA,19,0,0,1,0,1,0,1,0,1,0,15
14, ,INT J SOCIOL LANG,15,0,0,1,0,0,0,0,0,1,1,12
15,0.945,J CHILD LANG,14,0,0,1,0,1,1,2,1,1,0,7
16,0.686,LINGUA,14,0,0,1,0,1,2,0,2,2,1,5
17,0.692,APPL LINGUIST,13,0,0,0,2,2,1,1,0,2,0,5
18, ,J MULTILING MULTICUL,13,0,0,0,0,0,0,0,0,9,0,4
19,1.477,LINGUIST INQ,13,0,0,0,0,0,0,0,1,0,0,12
20, ,RELEVANCE COMMUNICAT,13,0,0,1,0,0,7,0,0,0,0,5
21,0.806,TESOL QUART,13,0,0,0,3,1,1,3,1,1,0,3
22,0.710,AM ANTHROPOL,12,0,0,0,0,0,0,3,0,1,0,8
23,0.571,J LINGUIST,12,0,0,0,0,0,1,2,0,0,4,5
24, ,METAPHOR SYMB ACT,12,0,0,0,0,0,8,0,2,0,1,1
25,0.918,MOD LANG J,12,0,0,0,0,1,0,2,0,1,1,7
26, ,ONE SPEAKER 2 LANGUA,12,0,0,0,0,0,12,0,0,0,0,0
27,0.522,RES LANG SOC INTERAC,12,0,0,0,1,0,3,3,3,0,0,2
28, ,RETHINKING CONTEXT L,12,0,0,0,0,0,0,0,0,11,1,0
29, ,INT J AM LINGUIST,11,0,0,0,0,0,0,0,0,0,0,11
30, ,LINGUIST PHILOS,11,0,0,0,0,0,1,1,0,1,2,6
31, ,SEMANTICS,11,0,0,0,0,0,0,0,0,0,0,11
32, ,STRUCT SOC AC,11,0,0,0,0,0,0,0,0,0,0,11
33, ,COGN LINGUIST,10,0,0,0,4,0,0,1,1,0,1,3
34, ,INTERACTION GRAMMAR,10,0,0,0,0,10,0,0,0,0,0,0
35, ,DIRECTIONS SOCIOLING,9,0,0,0,0,0,0,0,0,0,0,9
36, ,EVIDENTIALITY LINGUI,9,0,0,0,0,0,0,0,0,0,0,9
37, ,RADICAL PRAGMATICS,9,0,0,0,0,0,0,0,0,0,0,9
38,1.629,COGNITIVE SCI,8,0,0,0,0,0,1,0,0,0,0,7
39,0.364,HUM STUD,8,0,0,0,0,1,1,0,0,0,0,6
40,0.583,LANG COMMUN,8,0,0,0,0,2,0,0,0,0,1,5
41,0.340,LANG LEARN,8,0,0,0,1,0,1,0,0,2,0,4
42, ,POLITENESS SOME UNIV,8,0,0,0,0,0,0,0,0,0,0,8
43,6.069,PSYCHOL REV,8,0,0,0,0,0,0,1,1,1,0,5
44, ,USING LANGUAGE,8,0,0,0,0,8,0,0,0,0,0,0
45, ,CODESWITCHING CONVER,7,0,0,7,0,0,0,0,0,0,0,0
46,3.463,COGNITIVE PSYCHOL,7,0,0,0,0,0,0,1,0,1,0,5
47, ,GELACHTER GESCHLECHT,7,0,0,0,0,6,0,0,0,0,0,1
48, ,INTERLANGUAGE PRAGMA,7,0,0,0,0,0,0,1,6,0,0,0
49, ,J AM FOLKLORE,7,0,0,0,0,0,0,0,1,0,0,6
50,2.638,J MEM LANG,7,0,0,0,0,0,0,0,1,0,0,6
51, ,JPN KOREAN LING,7,0,0,0,1,2,0,1,1,0,0,2
52,0.639,LANG SPEECH,7,0,0,1,0,1,0,2,0,0,0,3
53, ,METAPHOR THOUGHT,7,0,0,0,0,0,0,0,2,0,0,5
54, ,PRINCIPLES PRAGMATIC,7,0,0,0,0,0,0,0,0,0,0,7
55, ,THESIS U CALIF,7,0,0,0,0,0,1,0,1,0,1,4
56, ,THESIS U MICHIGAN,7,0,0,0,0,1,0,0,0,0,0,6
57, ,COMP LITERATURE STUD,6,0,0,0,1,1,0,1,1,1,0,1
