Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,939,25,52,68,62,52,70,61,45,27,42,435
2, ,ALL OTHERS (252),252,9,11,14,11,15,18,11,11,10,10,132
3,2.638,J MEM LANG,98,2,7,4,14,9,5,7,6,3,9,32
4,2.753,J EXP PSYCHOL LEARN,53,1,2,10,10,0,5,6,2,1,4,12
5,2.622,COGNITION,45,3,0,2,3,1,2,4,3,4,3,20
6,6.069,PSYCHOL REV,41,0,1,2,1,4,0,10,2,1,1,19
7,0.875,LANG COGNITIVE PROC,35,1,1,2,5,1,0,7,5,1,1,11
8,2.247,J EXP PSYCHOL HUMAN,32,0,1,7,0,1,7,1,0,0,0,15
9,1.507,MEM COGNITION,26,0,2,1,1,2,0,0,1,1,1,17
10,0.725,J PSYCHOLINGUIST RES,21,5,2,1,0,1,0,3,2,0,0,7
11,0.639,LANG SPEECH,17,1,0,0,0,1,2,0,0,0,0,13
12, ,J VERB LEARN VERB BE,13,0,0,0,0,0,0,0,0,0,0,13
13, ,MORPHOL ASPECT,12,0,0,0,0,0,11,0,0,0,0,1
14,1.452,Q J EXP PSYCHOL-A,12,0,1,1,1,0,0,0,0,1,0,8
15,3.463,COGNITIVE PSYCHOL,11,0,0,1,0,0,2,0,0,1,1,6
16, ,ATTENTION PERFORM,9,0,1,0,0,0,0,1,0,0,0,7
17,14.250,BEHAV BRAIN SCI,9,0,7,0,0,0,0,0,0,0,1,1
18,1.473,BRAIN LANG,9,0,4,0,1,0,2,0,0,0,0,2
19,0.945,J CHILD LANG,9,0,0,1,0,0,0,0,0,0,0,8
20,5.115,J COGNITIVE NEUROSCI,9,0,0,2,1,1,2,0,2,0,1,0
21,3.371,LANGUAGE,9,0,0,0,0,0,1,0,0,0,0,8
22, ,PARALLEL DISTRIBUTED,8,0,0,0,0,0,0,0,0,0,0,8
23,1.581,DISCOURSE PROCESS,7,0,0,0,0,4,0,1,2,0,0,0
24, ,J ACOUST SOC AM,7,0,1,0,1,0,0,1,0,0,0,4
25,1.629,COGNITIVE SCI,6,0,1,1,0,0,0,0,2,0,0,2
26, ,IN PRESS J EXPT PSYC,6,0,0,0,0,0,0,0,0,0,0,6
27,6.913,PSYCHOL BULL,6,0,0,3,0,0,0,0,0,0,1,2
28, ,Q J EXP PSYCHOL,6,0,0,0,0,0,0,0,0,1,0,5
29, ,REANALYSIS SENTENCE,6,0,0,6,0,0,0,0,0,0,0,0
30, ,SCIENCE,6,0,1,0,1,3,0,0,0,0,1,0
31,2.768,CHILD DEV,5,0,0,0,0,0,1,0,0,0,1,3
32,1.252,PERCEPT PSYCHOPHYS,5,0,0,0,0,0,0,0,1,0,0,4
33,1.146,COMPUT LINGUIST,4,0,0,0,0,0,1,1,0,0,0,2
34,2.044,DEV PSYCHOL,4,0,0,0,0,0,1,0,1,0,0,2
35, ,HDB PSYCHOLINGUISTIC,4,0,0,0,0,0,0,4,0,0,0,0
36,3.636,J EXP PSYCHOL GEN,4,0,1,0,0,0,0,0,0,0,1,2
37, ,J SPEECH HEAR RES,4,0,0,0,0,0,2,0,0,0,0,2
