Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,16377,177,1074,2100,1917,1598,1318,1235,906,832,709,4511
2, ,ALL OTHERS (6352),6352,104,532,800,740,632,483,460,333,305,252,1711
3,2.029,ARTIF INTELL,388,1,12,31,39,33,33,28,24,30,27,130
4,0.253,LECT NOTES ARTIF INT,295,0,11,108,69,25,33,18,7,12,4,8
5,0.390,LECT NOTES COMPUT SC,282,0,30,46,40,39,32,9,9,9,13,55
6, ,LNCS,190,6,40,24,13,32,25,13,14,2,3,18
7, ,LNAI,181,6,40,43,27,23,7,22,4,1,2,6
8,1.447,MACH LEARN,160,0,1,6,20,15,9,15,17,15,13,49
9,1.319,J LOGIC PROGRAM,148,4,17,6,21,8,4,35,8,11,8,26
10,2.083,J ACM,129,0,1,2,5,6,11,6,6,2,17,73
11,1.624,COMMUN ACM,111,0,0,3,7,7,7,25,0,11,0,51
12,0.417,THEOR COMPUT SCI,81,0,2,8,7,6,5,11,6,6,8,22
13,0.444,NEW GENERAT COMPUT,75,0,1,1,1,0,20,0,2,0,33,17
14,2.094,IEEE T PATTERN ANAL,74,0,1,13,11,2,4,3,6,3,6,25
15,0.635,INFORM COMPUT,73,0,0,1,7,2,5,9,2,11,1,35
16,1.146,COMPUT LINGUIST,59,0,0,5,5,4,4,3,18,2,0,18
17,0.741,J AUTOM REASONING,58,0,6,12,6,13,4,9,5,2,1,0
18, ,IEEE T SYST MAN CYB,54,0,0,1,0,2,3,6,6,2,2,32
19,0.822,J LOGIC COMPUT,54,0,9,4,6,3,4,9,4,9,4,2
20, ,MACH TRANSLATION,54,0,0,2,15,4,3,2,8,5,1,14
21,1.447,AI MAG,50,0,1,4,25,1,4,0,0,1,2,12
22,1.096,IEEE T NEURAL NETWOR,47,0,1,4,7,3,7,6,5,9,2,3
23,0.893,J SYMB COMPUT,46,0,1,1,4,6,2,4,6,2,6,14
24,1.000,IEEE T KNOWL DATA EN,45,0,2,5,5,12,5,5,6,3,1,1
25,1.793,ARTIF INTELL MED,43,0,1,11,3,15,3,3,4,1,2,0
26,0.350,J SYMBOLIC LOGIC,43,0,1,0,3,3,0,0,0,1,0,35
27,0.664,J COMPUT SYST SCI,42,0,2,1,4,3,8,2,7,0,2,13
28,0.986,IEEE T ROBOTIC AUTOM,41,0,0,3,6,3,2,6,2,1,4,14
29,0.393,FUZZY SET SYST,40,0,0,1,7,4,2,4,0,0,3,19
30, ,J AUTOMATED REASONIN,39,1,1,2,1,2,3,1,1,10,3,14
31, ,FUND INFORMATI,38,0,4,3,4,8,4,2,0,2,4,7
32, ,P IEEE INT C ROB AUT,36,0,2,4,5,2,4,7,3,3,1,5
33,1.221,NEURAL NETWORKS,34,0,0,3,0,3,7,7,0,4,2,8
34,0.671,ANN MATH ARTIF INTEL,32,0,4,5,4,1,8,4,0,1,2,3
35,0.982,COMPUT AIDED DESIGN,32,0,0,5,0,3,3,2,2,4,1,12
36,2.702,NEURAL COMPUT,31,0,0,2,3,2,1,3,2,2,3,13
37,0.878,SIAM J COMPUT,31,0,0,1,0,1,1,2,1,2,0,23
38,1.292,ACM T PROGR LANG SYS,30,0,1,4,3,1,0,5,2,3,2,9
39,1.263,IEEE T COMPUT,30,0,0,1,0,1,1,0,3,4,1,19
40,1.064,J ARTIF INTELL RES,30,0,5,3,4,10,4,3,1,0,0,0
41,3.253,P IEEE,30,0,0,1,1,3,2,0,1,0,0,22
42,1.077,PATTERN RECOGN,30,0,0,1,4,8,2,1,2,3,0,9
43, ,ADV KNOWLEDGE DISCOV,28,0,0,0,2,26,0,0,0,0,0,0
44, ,GENET PROGRAMMING,26,0,0,3,5,2,0,5,0,11,0,0
45,1.091,COMPUT INTELL,25,0,0,3,1,3,0,5,1,1,0,11
46, ,ADV NEURAL INFORMATI,23,0,0,1,2,6,2,2,2,1,2,5
47,3.463,COGNITIVE PSYCHOL,23,0,1,0,0,0,0,2,0,0,1,19
48, ,COGNITIVE SCI,23,0,0,0,1,0,2,0,0,1,0,19
49,2.541,ARTIF LIFE,22,0,1,0,1,2,3,10,0,1,1,3
50, ,P 15 INT JOINT C ART,22,0,0,0,22,0,0,0,0,0,0,0
51, ,P IEEE RSJ INT C INT,22,0,0,4,2,5,2,4,2,1,0,2
52,6.069,PSYCHOL REV,22,0,0,0,1,0,0,1,1,1,1,17
53, ,GENET ALGORITHMS S,21,0,0,0,0,0,0,0,0,0,0,21
54, ,C4 5 PROGRAMS MACHIN,20,0,0,0,0,0,0,0,18,1,0,1
55, ,IEEE EXPERT,20,0,0,0,6,2,1,3,1,4,2,1
56, ,J ARTIFICIAL INTELLI,20,0,1,0,0,4,4,4,6,1,0,0
57, ,MACH INTELLIGENCE,20,0,1,0,0,2,2,1,1,0,2,11
58, ,FDN DEDUCTIVE DATABA,19,0,0,2,0,0,0,0,0,0,0,17
59, ,FDN LOGIC PROGRAMMIN,19,0,0,0,0,0,0,0,2,0,0,17
60,0.360,INFORM PROCESS LETT,19,0,1,3,0,1,3,0,3,1,1,6
61,25.814,NATURE,19,0,0,3,1,1,0,2,0,1,1,10
62,1.000,ACM T DATABASE SYST,18,0,0,0,5,2,2,1,0,1,1,6
63, ,COMPUT GRAPHICS-US,18,0,0,0,0,0,0,1,0,0,3,14
64,0.405,EXPERT SYST APPL,18,0,2,8,1,1,3,1,1,0,1,0
65, ,HANDB THEOR COMP,18,0,0,0,0,0,0,1,0,0,1,16
66, ,P 14 INT JOINT C ART,18,0,0,0,0,0,18,0,0,0,0,0
67, ,PRINCIPLES KNOWLEDGE,18,2,0,3,0,5,0,4,0,3,1,0
68, ,SPATIAL COGNITION IN,18,0,0,18,0,0,0,0,0,0,0,0
69, ,ANIMALS ANIMATS,17,0,0,2,0,3,0,6,1,1,4,0
70, ,COMPUT GRAPHICS,17,0,1,0,3,1,4,2,1,0,1,4
71,1.873,IEEE T FUZZY SYST,17,0,0,3,2,1,2,2,7,0,0,0
72,0.322,INFORM SCIENCES,17,0,0,9,0,0,1,0,0,0,0,7
73,2.247,J EXP PSYCHOL HUMAN,17,0,0,1,0,2,1,0,3,1,0,9
74, ,MEM COGNITION,17,0,2,1,0,0,1,1,0,4,0,8
75, ,ROUGH SETS KNOWLEDGE,17,0,0,17,0,0,0,0,0,0,0,0
76, ,ROUGH SETS THEORETIC,17,0,0,0,0,0,0,0,0,1,16,0
77,23.872,SCIENCE,17,0,0,1,1,1,0,0,0,1,0,13
78, ,THEOR COMPUT,17,1,0,0,2,1,2,1,1,1,0,8
79, ,ADAPT BEHAV,16,0,1,1,4,0,2,3,4,1,0,0
80, ,ADAPTATION NATURAL A,16,0,0,0,0,0,0,0,0,6,0,10
81,1.025,KNOWL ENG REV,16,0,0,2,1,3,8,0,2,0,0,0
82, ,LOGIC PROGRAMMING PA,16,0,16,0,0,0,0,0,0,0,0,0
83, ,EVOL COMPUTA,15,0,0,0,2,0,7,2,4,0,0,0
84, ,INDUCTIVE LOGIC PROG,15,0,0,0,0,0,0,4,0,11,0,0
85,3.089,J AM MED INFORM ASSN,15,0,0,10,1,2,1,1,0,0,0,0
86, ,P INT JOINT C ART IN,15,0,1,0,2,0,6,0,1,0,0,5
87, ,ROBOCUP 97 ROBOT SOC,15,0,0,13,1,0,0,0,0,0,0,1
88, ,STUD LOGICA,15,0,0,1,4,1,0,2,0,0,1,6
89,0.702,ACTA INFORM,14,0,0,0,2,0,0,0,1,0,1,10
90, ,COMMUNICATION,14,1,3,1,3,1,1,1,0,0,0,3
91, ,COMP CARD,14,0,0,0,1,4,1,1,1,5,1,0
92, ,ENVIRON BEHAV,14,0,0,0,0,4,0,0,0,0,2,8
93,2.753,J EXP PSYCHOL LEARN,14,0,0,1,1,0,0,0,0,1,0,11
94, ,MACH INTELL,14,0,0,0,0,0,0,0,0,0,0,14
95, ,P IJCAI 97,14,0,0,0,14,0,0,0,0,0,0,0
96,10.789,P NATL ACAD SCI USA,14,0,0,1,0,2,0,0,0,3,1,7
97, ,PROBABILISTIC REASON,14,0,0,0,0,0,0,0,0,0,0,14
98,1.017,APPL ARTIF INTELL,13,0,1,5,1,0,0,2,4,0,0,0
99, ,AUTOMATED DEDUCTION,13,0,0,3,0,0,0,1,3,0,0,6
100,1.185,BIOL CYBERN,13,0,0,0,1,0,0,0,1,0,0,11
101, ,HDB LOGIC ARTIFICIAL,13,0,0,2,0,0,0,5,5,0,1,0
102, ,ROBOTICS AUTONOMOUS,13,0,0,1,1,1,0,0,0,0,3,7
103, ,THESIS STANFORD U,13,0,3,4,1,0,1,1,0,0,0,3
104, ,UCI REPOSITORY MACHI,13,0,2,2,0,1,1,3,0,1,0,3
105,0.923,ACM COMPUT SURV,12,0,0,0,2,0,0,1,0,1,0,8
106,0.465,ANN PURE APPL LOGIC,12,0,1,0,0,0,1,1,1,1,5,2
107, ,COMPUT VISION GRAPH,12,0,0,0,0,0,0,0,0,0,0,12
108, ,INFORM PROCESSI,12,0,0,1,0,0,2,0,0,0,0,9
109,0.417,INT J APPROX REASON,12,0,1,0,1,6,1,0,0,0,1,2
110,1.835,INT J COMPUT VISION,12,0,0,1,0,1,0,0,2,1,2,5
111,0.321,INT J COOP INF SYST,12,0,0,1,7,3,0,0,0,1,0,0
112, ,INT J MAN MACH STUD,12,0,0,0,0,0,0,0,2,0,0,10
113,0.727,INT J ROBOT RES,12,0,0,1,0,0,0,0,0,2,1,8
114, ,J PHILOS LOGIC,12,0,0,4,1,0,0,0,0,0,1,6
115,1.686,J ROY STAT SOC B,12,0,0,1,1,1,0,1,0,0,0,8
116, ,LOGIC J IGPL,12,1,8,1,2,0,0,0,0,0,0,0
117,1.080,PRESENCE-TELEOP VIRT,12,1,3,5,3,0,0,0,0,0,0,0
118, ,THESIS CARNEGIE MELL,12,1,0,1,2,1,0,2,0,0,2,3
119,0.672,AUTON ROBOT,11,0,1,1,7,0,2,0,0,0,0,0
120, ,CLASSIFICATION REGRE,11,0,0,0,0,0,0,1,0,0,0,10
121, ,CVGIP-IMAG UNDERSTAN,11,0,0,0,0,0,0,3,4,3,1,0
122,0.654,IEEE T INFORM THEORY,11,0,0,0,1,1,2,0,0,1,0,6
123,1.746,IEEE T SOFTWARE ENG,11,0,0,2,2,1,1,0,0,0,1,4
124,0.310,INT J PATTERN RECOGN,11,0,2,1,4,1,1,0,2,0,0,0
125, ,J INTELLIGENT INFORM,11,0,0,0,6,1,3,1,0,0,0,0
126,0.929,METHOD INFORM MED,11,0,0,0,0,0,4,1,0,1,2,3
127, ,P 11 ANN C COMP LEAR,11,0,0,11,0,0,0,0,0,0,0,0
128, ,P 3 INT C GEN ALG,11,0,0,0,0,0,0,0,0,0,0,11
129, ,P 6 INT C PRINC KNOW,11,0,0,11,0,0,0,0,0,0,0,0
130, ,P NAT C ART INT AAAI,11,0,1,1,2,1,0,0,0,1,0,5
131,0.346,PATTERN RECOGN LETT,11,0,0,0,4,2,2,0,0,0,0,3
