Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1637,4,38,134,179,196,153,182,117,106,77,451
2, ,ALL OTHERS (591),591,3,19,48,47,71,51,64,41,38,29,180
3,1.447,MACH LEARN,158,1,4,8,26,20,18,13,17,9,10,32
4,2.029,ARTIF INTELL,40,0,0,3,2,12,4,8,0,1,0,10
5, ,ADV NEURAL INFORMATI,24,0,2,1,3,3,6,5,2,1,1,0
6,0.654,IEEE T INFORM THEORY,21,0,0,0,0,4,1,0,2,1,1,12
7,1.259,ANN STAT,18,0,0,6,1,1,1,0,0,0,2,7
8,2.702,NEURAL COMPUT,17,0,0,5,0,2,1,3,0,4,1,1
9, ,P 11 INT C MACH LEAR,15,0,0,0,0,0,0,15,0,0,0,0
10,2.094,IEEE T PATTERN ANAL,14,0,0,0,0,0,1,1,0,2,1,9
11,0.253,LECT NOTES ARTIF INT,14,0,1,3,2,2,2,3,0,0,1,0
12,1.624,COMMUN ACM,12,0,0,0,1,0,1,2,0,1,0,7
13,0.635,INFORM COMPUT,12,0,1,0,1,0,1,1,0,2,0,6
14, ,P 12 INT C MACH LEAR,12,0,0,0,0,0,12,0,0,0,0,0
15,2.083,J ACM,11,0,0,0,2,2,0,0,1,1,1,4
16, ,P 13 INT C MACH LEAR,11,0,0,0,0,11,0,0,0,0,0,0
17, ,CLASSIFICATION REGRE,10,0,0,0,0,0,0,1,0,0,0,9
18, ,INDUCTIVE LOGIC PROG,10,0,0,0,0,0,0,5,0,5,0,0
19,0.664,J COMPUT SYST SCI,10,0,0,0,5,2,3,0,0,0,0,0
20, ,P 14 INT C MACH LEAR,10,0,0,0,10,0,0,0,0,0,0,0
21, ,C4 5 PROGRAMS MACHIN,9,0,0,0,0,0,0,0,9,0,0,0
22, ,COGNITIVE SCI,9,0,0,0,1,0,0,2,0,0,1,5
23,1.064,J ARTIF INTELL RES,9,0,0,0,1,6,1,1,0,0,0,0
24, ,IEEE T SYST MAN CYB,8,0,0,0,0,0,0,0,2,0,0,6
25, ,J ARTIFICIAL INTELLI,8,0,0,0,0,1,3,4,0,0,0,0
26,0.390,LECT NOTES COMPUT SC,8,0,0,3,1,1,0,1,0,0,0,2
27, ,LNAI,8,0,0,2,3,1,1,0,1,0,0,0
28, ,MACH LEARN ART,8,0,0,0,0,0,0,0,0,0,0,8
29,1.000,IEEE INTELL SYST APP,7,0,1,6,0,0,0,0,0,0,0,0
30,1.221,NEURAL NETWORKS,7,0,0,0,0,0,0,1,1,4,0,1
31, ,P 14 INT JOINT C ART,7,0,0,0,0,0,7,0,0,0,0,0
32, ,ADV NEUR IN,6,0,0,0,2,4,0,0,0,0,0,0
33,0.222,ARTIF INTELL REV,6,0,0,0,6,0,0,0,0,0,0,0
34,1.931,DATA MIN KNOWL DISC,6,0,0,0,6,0,0,0,0,0,0,0
35, ,INFORM RETRIEVA,6,0,1,0,0,0,0,0,0,2,0,3
36,1.763,J AM STAT ASSOC,6,0,0,0,1,0,0,1,0,0,0,4
37,1.686,J ROY STAT SOC B,6,0,0,0,0,1,0,0,0,0,0,5
38, ,MACH LEARN MUL,6,0,0,0,0,0,0,6,0,0,0,0
39, ,P 13 INT JOINT C ART,6,0,0,0,0,0,0,0,6,0,0,0
40, ,P 5 MESS UND C MUC 5,6,0,0,0,0,0,1,0,5,0,0,0
41, ,P 8 INT WORKSH MACH,6,0,0,0,0,0,0,0,0,0,6,0
42,1.077,PATTERN RECOGN,6,0,0,0,0,1,0,0,2,1,0,2
43,1.447,AI MAG,5,0,0,0,4,1,0,0,0,0,0,0
44, ,DYNAMIC PROGRAMMING,5,0,0,0,0,0,2,0,0,0,0,3
45, ,LEARN INSTR,5,0,0,0,0,0,0,4,0,0,0,1
