Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,3887,34,180,403,390,379,335,306,229,211,166,1254
2, ,ALL OTHERS (745),745,11,58,67,60,71,46,47,40,36,26,283
3,2.702,NEURAL COMPUT,304,10,31,50,31,40,26,39,9,30,14,24
4,3.855,J NEUROPHYSIOL,128,2,2,12,9,15,6,10,17,9,7,39
5,8.502,J NEUROSCI,115,0,2,23,9,16,11,8,13,5,7,21
6,25.814,NATURE,109,1,3,8,17,26,24,6,7,0,2,15
7, ,ADV NEURAL INFORMATI,107,2,9,6,9,13,18,15,11,8,5,11
8,23.872,SCIENCE,93,0,0,4,23,13,14,4,4,2,0,29
9,10.789,P NATL ACAD SCI USA,77,0,0,11,10,5,10,4,4,3,5,25
10,1.185,BIOL CYBERN,76,0,1,1,4,3,4,6,6,3,2,46
11,4.455,J PHYSIOL-LONDON,72,0,0,0,11,5,0,0,2,4,1,49
12,1.096,IEEE T NEURAL NETWOR,69,0,4,3,8,6,9,15,5,7,7,5
13,1.221,NEURAL NETWORKS,68,0,1,12,6,11,3,5,7,8,0,15
14,2.346,J COMPUT NEUROSCI,59,2,3,13,6,11,6,18,0,0,0,0
15,2.142,PHYS REV E,50,0,2,4,3,10,11,9,11,0,0,0
16,0.836,NETWORK-COMP NEURAL,47,0,1,7,3,6,9,3,7,7,4,0
17, ,ADV NEUR IN,46,0,0,11,20,15,0,0,0,0,0,0
18,2.000,VISION RES,45,0,1,0,10,7,4,3,2,1,0,17
19,6.462,PHYS REV LETT,44,0,0,12,2,2,7,6,8,3,0,4
20,4.462,BIOPHYS J,38,0,0,0,0,0,0,2,3,0,0,33
21,1.643,PHYSICA D,35,0,1,12,2,1,4,7,3,1,3,1
22,2.526,BRAIN RES,34,0,1,1,0,1,0,0,0,1,1,29
23,1.447,MACH LEARN,31,0,2,0,3,7,6,3,2,1,4,3
24,17.417,TRENDS NEUROSCI,30,0,1,2,2,7,2,3,1,4,1,7
25,26.676,ANNU REV NEUROSCI,24,0,0,2,1,5,8,0,2,0,1,5
26,1.481,J OPT SOC AM A,24,0,2,0,0,0,0,2,1,2,1,16
27,1.365,J PHYS A-MATH GEN,24,0,1,1,2,1,3,0,0,0,2,14
28,4.822,CEREB CORTEX,23,0,0,2,6,2,3,3,2,2,0,3
29,2.094,IEEE T PATTERN ANAL,22,0,0,5,4,3,0,2,0,2,0,6
30,9.277,CURR OPIN NEUROBIOL,20,0,2,0,3,0,8,5,2,0,0,0
