Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,1230,8,49,63,73,71,62,56,62,56,38,692
2, ,ALL OTHERS (335),335,3,12,12,21,13,16,9,21,14,12,202
3,0.885,PRIMATES,111,0,3,6,4,4,5,2,11,5,2,69
4,1.437,AM J PRIMATOL,66,0,7,4,7,7,8,2,2,1,2,26
5,2.138,ANIM BEHAV,56,1,2,4,4,3,2,4,1,4,4,27
6,1.214,INT J PRIMATOL,54,2,4,3,7,1,4,3,4,2,1,23
7,0.926,FOLIA PRIMATOL,43,0,1,2,1,0,4,2,0,1,3,29
8,0.942,BEHAVIOUR,37,0,2,2,1,1,1,5,1,0,0,24
9,25.814,NATURE,27,0,4,0,3,1,2,2,0,3,0,12
10,1.827,AM J PHYS ANTHROPOL,25,0,1,2,2,1,2,0,1,0,3,13
11,2.020,BEHAV ECOL SOCIOBIOL,19,0,0,2,2,0,0,0,1,3,0,11
12,1.066,ETHOLOGY,13,0,0,2,0,0,0,2,0,1,3,5
13,2.675,J HUM EVOL,13,0,0,0,0,0,1,0,0,2,0,10
14, ,PRIMATE SOC,13,0,0,0,0,0,0,0,0,0,0,13
15,23.872,SCIENCE,13,0,1,0,2,1,0,1,0,0,0,8
16,10.789,P NATL ACAD SCI USA,12,0,0,1,0,4,1,0,2,0,0,4
17,1.477,J COMP PSYCHOL,10,0,1,1,1,0,0,2,1,0,0,4
18, ,ETHOL SOCIOBIOL,9,0,0,0,0,0,1,3,0,0,0,5
19,3.944,AM NAT,8,0,0,0,1,0,0,0,1,0,1,5
20,3.605,BIOL REPROD,8,0,0,0,0,2,0,1,0,0,0,5
21,0.835,J MED PRIMATOL,8,0,0,0,1,0,0,0,0,0,0,7
22,1.970,J REPROD FERTIL,8,0,0,0,0,1,0,2,1,0,0,4
23,3.037,P ROY SOC LOND B BIO,8,0,0,1,2,0,1,1,0,1,0,2
24,5.396,NUCLEIC ACIDS RES,7,0,0,0,0,0,0,2,0,0,1,4
25,0.638,EXP ANIM TOKYO,6,0,0,0,0,0,0,1,1,1,1,2
26,1.550,J THEOR BIOL,6,0,0,0,0,0,0,0,0,0,0,6
27,2.769,MOL ECOL,6,0,1,1,1,1,0,2,0,0,0,0
28, ,CURR ANTHROPOL,5,0,0,1,1,0,0,0,0,0,2,1
29, ,EVOL ANTHROPOL,5,0,0,0,1,2,2,0,0,0,0,0
30,2.553,HORM BEHAV,5,0,1,0,0,1,1,0,0,1,0,1
31, ,NONPARAMETRIC STAT B,5,0,0,0,0,0,0,0,0,0,0,5
32,1.846,YEARB PHYS ANTHROPOL,5,0,0,0,0,0,1,1,1,0,1,1
33,3.647,ADV STUD BEHAV,4,0,0,0,0,1,0,0,0,0,0,3
34,0.858,BIOTROPICA,4,0,0,0,0,0,0,0,0,0,0,4
35,0.654,BRAZ J MED BIOL RES,4,0,0,1,0,0,1,0,1,1,0,0
36,2.176,CHEM SENSES,4,0,0,0,0,1,1,0,1,0,0,1
37, ,GREAT APE SOC,4,0,0,0,0,4,0,0,0,0,0,0
38, ,HUM NATURE-INT BIOS,4,0,0,0,0,2,0,0,2,0,0,0
39,8.927,MOL PSYCHIATR,4,0,2,2,0,0,0,0,0,0,0,0
40, ,NEOTROPICAL PRIMATES,4,0,0,0,0,2,1,0,1,0,0,0
