Citing Journal Data: PSYCHONOMIC BULLETIN ,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,2638,47,108,193,175,150,146,141,122,112,90,1354
2, ,ALL OTHERS (409),409,11,16,24,21,12,20,17,19,13,9,247
3,2.753,J EXP PSYCHOL LEARN,265,2,13,22,23,17,34,24,20,23,12,75
4,6.069,PSYCHOL REV,197,0,10,12,11,5,12,5,8,11,3,120
5,1.507,MEM COGNITION,162,4,10,13,16,12,9,10,7,5,2,74
6,2.247,J EXP PSYCHOL HUMAN,111,2,7,14,6,8,12,9,6,3,3,41
7,2.638,J MEM LANG,92,0,3,8,7,11,4,9,6,8,15,21
8,1.580,PSYCHON B REV,70,11,9,9,16,9,12,4,0,0,0,0
9, ,J VERB LEARN VERB BE,67,0,0,0,0,0,0,0,0,0,1,66
10,3.636,J EXP PSYCHOL GEN,56,0,3,2,4,7,5,6,4,6,2,17
11,1.252,PERCEPT PSYCHOPHYS,56,1,2,5,1,1,4,1,3,1,2,35
12,1.452,Q J EXP PSYCHOL-A,56,2,4,3,6,5,2,5,2,4,0,23
13,1.477,J COMP PSYCHOL,53,0,0,0,1,0,0,0,0,0,0,52
14,3.463,COGNITIVE PSYCHOL,47,0,2,6,2,3,1,1,1,2,3,26
15,2.622,COGNITION,41,0,2,3,7,2,1,6,2,4,0,14
16,6.913,PSYCHOL BULL,39,0,1,3,0,1,3,1,4,0,5,21
17,2.565,PSYCHOL SCI,36,2,3,8,7,3,1,2,2,2,3,3
18, ,J EXP PSYCHOL,35,0,0,0,0,0,0,0,0,0,0,35
19, ,SCIENCE,24,0,0,1,0,4,0,0,2,3,0,14
20,1.056,J MATH PSYCHOL,22,2,2,0,0,1,1,0,2,2,0,12
21, ,J EXP PSYCHOL GENER,19,0,0,0,0,0,0,0,0,0,0,19
22,2.308,PSYCHOL AGING,19,1,0,3,0,0,1,5,2,0,2,5
23, ,ATTENTION PERFORM,18,0,0,0,0,0,0,1,0,0,0,17
24,0.476,J GENET PSYCHOL,18,0,0,0,0,0,0,0,0,0,0,18
25, ,VISION RES,18,1,2,0,2,2,1,2,1,2,2,3
26,1.267,ACTA PSYCHOL,17,1,0,1,1,0,2,2,0,0,2,8
27,0.750,BEHAV RES METH INS C,17,0,0,2,2,3,0,0,2,0,0,8
28, ,COMP PSYCHOL MONOGR,16,0,0,0,0,0,0,0,0,0,0,16
29,1.053,BRIT J PSYCHOL,15,0,0,2,1,0,1,0,1,1,0,9
30,0.286,AM J PSYCHOL,12,1,0,0,0,0,0,0,0,2,0,9
31, ,B PSYCHONOMIC SOC,12,0,0,0,0,0,0,0,0,1,0,11
32, ,Q J EXP PSYCHOL,12,0,0,0,0,0,0,0,0,0,0,12
33,0.500,CAN J EXP PSYCHOL,11,0,0,0,1,8,0,1,1,0,0,0
34, ,PSYCHOL LEARN MOTIV,11,0,0,0,1,1,0,0,1,0,0,8
35,2.180,COGNITIVE NEUROPSYCH,10,0,0,2,3,2,0,0,1,0,1,1
36,1.156,LEARN MOTIV,10,0,0,0,1,0,0,1,1,0,0,7
37,1.193,PERCEPTION,10,0,0,2,0,0,0,0,1,0,2,5
38, ,CAN J PSYCHOL,9,0,0,0,0,0,0,0,0,2,0,7
39,1.522,MEMORY,9,1,2,1,2,1,1,0,1,0,0,0
40,6.857,AM PSYCHOL,8,0,0,0,1,1,0,0,1,1,0,4
41,1.105,ANIM LEARN BEHAV,8,0,0,0,1,1,0,0,1,1,0,4
42,14.250,BEHAV BRAIN SCI,8,1,3,1,0,0,0,0,0,0,0,3
43,1.629,COGNITIVE SCI,8,0,0,0,0,0,2,0,1,0,1,4
44, ,NATURE,8,0,0,0,0,1,0,1,0,0,1,5
45,2.778,NEUROPSYCHOLOGIA,8,0,0,0,2,1,0,0,0,1,0,4
46,2.702,NEUROPSYCHOLOGY,8,0,0,1,1,0,1,2,3,0,0,0
47,0.898,PSYCHOMETRIKA,8,0,0,0,0,0,0,0,1,0,0,7
48, ,ABSTR PSYCH SOC,7,0,1,5,0,1,0,0,0,0,0,0
49,2.768,CHILD DEV,7,0,0,0,0,0,0,0,1,3,1,2
50,1.962,CONSCIOUS COGN,7,0,0,1,1,5,0,0,0,0,0,0
51,2.044,DEV PSYCHOL,7,0,0,0,1,0,0,1,0,1,1,3
52, ,IN PRESS PSYCHOL REV,7,0,0,0,0,0,0,0,0,0,0,7
53, ,J ACOUST SOC AM,7,0,0,0,2,1,1,0,0,0,0,3
54,5.851,ANNU REV PSYCHOL,6,0,0,1,0,0,0,0,1,1,1,2
55,0.630,BRAIN COGNITION,6,0,0,0,2,3,0,0,0,0,0,1
56,1.473,BRAIN LANG,6,0,0,0,1,0,0,0,1,0,0,4
57,0.500,INTELLIGENCE,6,0,0,0,0,0,0,1,0,1,1,3
58,1.844,J EDUC PSYCHOL,6,0,0,0,0,1,0,2,0,0,0,3
59,1.102,J GERONTOL B-PSYCHOL,6,0,0,0,0,1,1,4,0,0,0,0
60,0.875,LANG COGNITIVE PROC,6,0,0,0,2,0,1,0,0,0,1,2
61, ,P NATL ACAD SCI USA,6,0,1,1,1,0,1,0,0,1,0,1
62,1.360,PSYCHOL RES-PSYCH FO,6,0,1,1,1,1,1,0,0,0,0,1
63, ,COMPUT ANAL P,5,0,0,0,0,0,0,0,0,0,0,5
64,1.430,CURR DIR PSYCHOL SCI,5,0,1,1,1,0,1,0,0,1,0,0
65,0.452,EUR J COGN PSYCHOL,5,0,0,1,0,1,0,2,0,0,1,0
66,0.703,GENET SOC GEN PSYCH,5,0,0,0,0,0,0,0,0,0,0,5
67, ,HDB PSYCHOLINGUISTIC,5,0,0,0,0,0,0,5,0,0,0,0
68,0.575,INT J PSYCHOL,5,0,4,0,0,1,0,0,0,0,0,0
69,1.730,J APPL PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
70,0.519,J GEN PSYCHOL,5,0,0,0,0,0,0,0,0,0,0,5
71,0.308,PERCEPT MOTOR SKILL,5,0,0,0,0,0,0,0,0,0,0,5
72,1.000,Q J EXP PSYCHOL-B,5,0,0,1,0,1,1,0,0,0,0,2
73, ,Q J EXPERIME,5,0,0,0,0,0,0,0,0,0,0,5
74, ,RESOLVING SEMANTIC A,5,0,0,0,0,0,0,0,0,0,0,5
75, ,VIS COGNITIVE,5,0,0,4,0,1,0,0,0,0,0,0
76, ,ATOM COMPONENTS TH,4,0,0,4,0,0,0,0,0,0,0,0
77, ,BASIC PROCESSES READ,4,0,0,0,0,0,0,0,0,0,4,0
78, ,COGNITIVE SKILLS THE,4,0,0,0,0,0,0,0,0,0,0,4
79, ,COMP PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
80,1.581,DISCOURSE PROCESS,4,0,0,3,0,1,0,0,0,0,0,0
81,0.691,ERGONOMICS,4,0,0,0,0,0,0,0,0,0,0,4
82, ,HDB NEUROPSYCHOLOGY,4,0,0,0,0,0,0,0,4,0,0,0
83, ,INTRO PROBABILITY TH,4,0,0,0,0,0,0,0,0,0,0,4
84,5.115,J COGNITIVE NEUROSCI,4,0,1,0,1,0,0,0,0,1,0,1
85, ,J COMP PHYSIOL PSYCH,4,0,0,0,0,0,0,0,0,0,0,4
