Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,Rest
1, ,ALL Journals,313,35,45,34,31,17,22,22,18,13,9,67
2, ,ALL OTHERS (200),200,27,31,27,16,9,9,11,9,7,5,49
3,0.389,USER MODEL USER-ADAP,23,8,0,1,1,4,5,1,1,2,0,0
4,2.029,ARTIF INTELL,7,0,1,0,0,1,1,0,0,1,1,2
5, ,UM99 US MOD P 7 INT,7,0,7,0,0,0,0,0,0,0,0,0
6, ,COGNITIVE SCI,6,0,0,0,0,0,0,0,0,0,1,5
7,1.624,COMMUN ACM,6,0,1,0,2,0,1,1,0,0,0,1
8, ,P 4 INT C US MOD HYA,5,0,0,0,0,1,0,4,0,0,0,0
9, ,AAAI ICML 98 WORKSH,4,0,0,4,0,0,0,0,0,0,0,0
10,6.069,PSYCHOL REV,4,0,0,0,1,0,1,0,0,1,0,1
11, ,USER MODELS DIALOG S,4,0,0,0,0,0,0,0,0,0,0,4
12, ,ADAPTIVE USER SUPPOR,3,0,0,0,0,0,0,2,1,0,0,0
13, ,INT J ARTIFICIAL INT,3,0,0,1,2,0,0,0,0,0,0,0
14, ,J ARTIFICIAL INTELLI,3,0,0,0,0,0,0,0,3,0,0,0
15,1.447,MACH LEARN,3,0,0,0,1,1,0,0,0,0,0,1
16, ,SOFTWARE AGENTS,3,0,0,0,3,0,0,0,0,0,0,0
17, ,ADAPTIVE USER INTERF,2,0,0,0,0,0,0,0,2,0,0,0
18,1.017,APPL ARTIF INTELL,2,0,0,0,1,0,1,0,0,0,0,0
19, ,ARCHITECTURES INTELL,2,0,0,0,0,0,0,0,0,0,2,0
20,5.331,BRIT MED J,2,0,0,0,0,1,0,1,0,0,0,0
21, ,BUS WEEK,2,0,1,1,0,0,0,0,0,0,0,0
22,0.855,CANCER NURS,2,0,0,0,0,0,1,0,0,0,0,1
23, ,COGNITIVE APPROACHES,2,0,0,0,0,0,0,0,0,2,0,0
24,0.620,HEART LUNG,2,0,0,0,0,0,0,0,0,0,0,2
25,0.333,INT J HUM-COMPUT ST,2,0,0,0,0,0,1,1,0,0,0,0
26,2.851,J FAM PRACTICE,2,0,0,0,0,0,0,1,0,0,0,1
27, ,J LEARN SCI,2,0,0,0,0,0,2,0,0,0,0,0
28, ,P 2 WORKSH AD SYST U,2,0,2,0,0,0,0,0,0,0,0,0
29, ,P 6 INT C US MOD,2,0,0,0,2,0,0,0,0,0,0,0
30, ,P WORKSH US MOD REAL,2,0,0,0,2,0,0,0,0,0,0,0
31, ,RULES MIND,2,0,0,0,0,0,0,0,2,0,0,0
32, ,US MOD P 7 INT C UM9,2,0,2,0,0,0,0,0,0,0,0,0
Copyright © 2018 Clarivate Analytics,,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,,
