Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,5636,35,125,230,230,382,394,229,253,249,290,3219
2,,ALL OTHERS (354),354,1,10,8,17,25,22,17,14,11,11,218
3,,LECT NOTES COMPUT SC,1036,5,41,64,49,69,96,47,40,40,40,545
4,,LECT NOTES ARTIF INT,775,4,32,35,33,49,51,32,42,37,45,415
5,3.008,ARTIF INTELL,192,9,9,12,11,22,16,6,9,5,7,86
6,1.107,J ARTIF INTELL RES,110,2,4,3,6,11,6,7,7,7,4,53
7,,P SOC PHOTO-OPT INS,76,2,0,5,5,7,3,0,3,3,1,47
8,0.588,ANN MATH ARTIF INTEL,64,0,0,2,7,3,2,5,2,2,1,40
9,,DYNAM CONT DIS SER B,60,0,0,3,1,4,9,5,0,2,6,30
10,1.220,INT J APPROX REASON,56,0,0,2,6,2,2,1,4,3,3,33
11,2.682,J MACH LEARN RES,48,0,1,1,3,1,3,0,0,2,3,34
12,1.177,EXPERT SYST APPL,45,0,0,1,3,3,2,4,3,1,2,26
13,,IEEE INT CONF ROBOT,44,0,0,1,0,5,0,4,3,2,8,21
14,0.585,AI COMMUN,42,0,0,3,0,4,2,1,1,1,3,27
15,0.376,INT J ARTIF INTELL T,42,0,0,1,0,0,3,0,4,1,2,31
16,0.821,J LOGIC COMPUT,42,0,0,0,4,2,1,1,4,2,1,27
17,,PROC INT C TOOLS ART,41,0,2,0,0,2,1,4,3,1,2,26
18,1.304,AI MAG,35,0,1,4,1,2,3,3,2,2,2,15
19,2.147,INFORM SCIENCES,35,0,1,1,0,2,2,6,2,0,3,18
20,,ACM T COMPUT LOG,33,0,0,1,2,2,2,0,1,0,1,24
21,0.753,APPL ARTIF INTELL,33,0,1,1,3,4,2,3,0,3,4,12
22,1.353,IEEE T SYST MAN CY B,33,0,0,3,0,5,1,2,1,2,3,16
23,0.667,INT J INTELL SYST,31,0,0,0,1,4,1,0,4,1,1,19
24,,ADV SOFT COMP,29,1,1,1,3,3,0,2,6,0,0,12
25,0.864,IEEE T SYST MAN CY C,29,0,0,1,0,2,1,0,2,5,5,13
26,2.019,PATTERN RECOGN,29,0,0,2,0,2,1,0,0,1,2,21
27,1.340,AUTON AGENT MULTI-AG,28,0,0,2,3,3,3,1,1,4,1,10
28,1.972,COMPUT INTELL,28,0,0,2,0,3,3,2,2,4,1,11
29,0.625,DISCRETE APPL MATH,26,0,0,0,1,1,1,1,0,0,0,22
30,0.693,FUND INFORM,26,0,0,0,3,3,2,0,4,0,1,13
31,0.735,THEOR COMPUT SCI,26,0,0,1,1,3,2,2,1,1,2,13
32,0.221,J INTELL FUZZY SYST,25,0,1,0,0,2,3,1,2,1,1,14
33,1.312,KNOWL ENG REV,25,0,0,0,3,3,2,2,2,1,0,12
34,0.868,IEEE T SYST MAN CY A,24,0,0,0,1,0,2,2,0,3,4,12
35,0.833,J AUTOM REASONING,24,0,0,0,1,0,4,0,0,2,1,16
36,0.634,ARTIF INTELL REV,23,0,0,1,1,0,1,0,1,2,3,14
37,3.493,BMC BIOINFORMATICS,23,0,1,2,2,2,3,0,1,0,0,12
38,1.119,DECIS SUPPORT SYST,23,0,0,0,0,3,2,0,4,0,1,13
39,0.778,THEOR PRACT LOG PROG,23,0,0,0,1,4,7,1,3,1,1,5
40,1.825,ARTIF INTELL MED,22,0,0,1,2,1,0,2,1,0,0,15
41,0.762,ENG APPL ARTIF INTEL,21,0,0,0,0,0,6,0,0,3,0,12
42,2.426,IEEE T EVOLUT COMPUT,21,0,0,1,1,2,2,1,0,2,0,12
43,0.350,SYNTHESE,21,0,0,0,0,3,0,0,1,2,2,13
44,3.579,IEEE T PATTERN ANAL,20,0,0,0,0,0,0,0,0,0,2,18
45,3.381,INT J COMPUT VISION,20,0,0,0,2,1,0,0,1,1,1,14
46,1.364,INT J HUM-COMPUT ST,20,0,0,1,0,0,0,0,3,0,0,16
47,,INTERACT STUD,20,0,0,2,1,3,0,0,0,3,1,10
48,0.574,KNOWL-BASED SYST,20,0,0,1,0,2,2,1,1,1,3,9
49,0.500,APPL INTELL,19,0,0,0,2,2,1,2,2,1,1,8
50,1.144,DATA KNOWL ENG,19,0,0,1,0,1,1,0,3,1,1,11
51,1.096,EUR J OPER RES,19,0,0,0,0,3,1,1,0,3,0,11
52,,J PHILOS LOGIC,19,0,1,0,1,1,1,1,1,1,1,11
53,2.055,VISION RES,19,0,0,0,0,1,0,0,0,0,0,18
54,0.413,EXPERT SYST,18,0,0,1,1,1,0,1,0,1,0,13
55,1.438,IEEE INTELL SYST,18,4,3,0,0,0,0,0,0,1,0,10
56,2.000,J BIOMED INFORM,18,0,1,0,0,1,0,0,0,0,0,16
57,0.459,J INTELL ROBOT SYST,18,0,0,0,2,0,2,0,0,4,3,7
58,,COGNITIVE SCI,17,0,0,1,0,1,0,4,1,0,0,10
59,0.446,INTELL DATA ANAL,17,0,0,0,1,0,0,0,0,1,0,15
60,3.136,J ACM,17,0,0,0,1,1,2,0,1,0,0,12
61,0.969,CONSTRAINTS,16,0,0,4,0,0,0,1,0,0,0,11
62,1.896,IEEE T KNOWL DATA EN,16,0,0,1,1,3,3,0,1,2,1,4
63,1.436,J AM SOC INF SCI TEC,16,0,0,0,0,0,0,1,0,0,2,13
64,3.410,J WEB SEMANT,16,0,0,2,2,0,0,0,1,0,2,9
65,0.633,ROBOT AUTON SYST,16,0,0,0,0,0,1,2,2,0,5,6
66,0.504,ADV ROBOTICS,15,0,0,0,0,0,1,1,0,3,3,7
67,0.279,AI EDAM,15,1,1,1,0,0,1,1,1,0,1,8
68,1.500,INFORM PROCESS MANAG,15,0,0,0,0,0,4,0,1,1,1,8
69,1.681,INFORM SYST,15,0,0,0,1,0,0,2,0,2,3,7
70,0.429,MIND MACH,15,0,0,1,0,3,0,0,0,1,1,9
71,0.853,PATTERN RECOGN LETT,15,0,0,0,1,1,1,2,0,0,0,10
72,,AEROSP CONF PROC,14,0,0,0,1,3,0,0,0,0,2,8
73,5.039,BIOINFORMATICS,14,1,0,0,0,0,0,0,1,0,0,12
74,1.027,IMAGE VISION COMPUT,14,0,0,0,1,0,0,0,0,1,0,12
75,,INT FED INFO PROC,14,0,0,3,1,1,0,1,0,2,1,5
76,0.378,INT J ADV MANUF TECH,14,0,0,0,0,2,0,0,1,0,0,11
77,0.145,J COMPUT SYS SC INT+,14,0,1,0,0,0,0,0,0,2,0,11
78,1.024,ADAPT BEHAV,13,0,0,0,0,1,0,0,0,1,1,10
79,0.544,ANN OPER RES,13,0,0,0,0,2,3,0,1,1,1,5
80,1.537,APPL SOFT COMPUT,13,0,0,1,0,0,2,0,0,2,0,8
81,,STUD FUZZ SOFT COMP,13,0,1,1,0,0,0,1,1,2,1,6
82,,AIP CONF P,12,0,0,2,2,0,2,1,0,1,1,3
83,1.413,AUTON ROBOT,12,0,0,1,0,0,1,3,2,1,1,3
84,,COMPUT HUM BEHAV,12,0,0,1,0,0,1,1,0,0,0,9
85,,ELE COM ENG,12,0,1,0,0,2,4,1,0,1,0,3
86,2.462,IEEE T IMAGE PROCESS,12,0,0,0,0,0,0,0,0,0,0,12
87,0.951,INT J COOP INF SYST,12,0,0,1,0,0,0,0,0,2,3,6
88,3.791,J VISION,12,0,0,0,0,0,0,0,0,0,0,12
89,0.844,KNOWL INF SYST,12,0,0,1,0,2,0,0,2,0,0,7
90,1.742,MACH LEARN,12,1,0,0,3,0,3,0,3,0,0,2
91,,TOPOI-INT REV PHILOS,12,0,0,0,0,0,1,0,0,1,0,10
92,1.286,IEEE COMPUT INTELL M,11,0,0,0,0,0,1,1,0,1,0,8
93,0.374,INT J PATTERN RECOGN,11,0,0,0,1,1,0,0,0,0,1,8
94,0.441,J COMPUT SCI TECHNOL,11,0,0,0,1,0,2,0,0,0,0,8
95,0.960,J FIELD ROBOT,11,0,0,0,0,1,0,1,2,0,2,5
96,,IASTED INT CONF ROBO,10,0,0,0,0,0,0,1,0,1,2,6
97,0.245,IEICE T INF SYST,10,0,0,4,0,0,0,1,0,0,1,4
98,0.607,SOFT COMPUT,10,0,0,0,0,0,0,0,4,0,0,6
99,1.000,USER MODEL USER-ADAP,10,0,0,1,1,0,1,0,2,0,0,5
100,2.420,DATA MIN KNOWL DISC,9,0,0,0,0,0,0,0,0,0,0,9
101,0.600,ELECTRON COMMER R A,9,0,0,0,2,0,3,0,0,0,3,1
102,0.533,ICGA J,9,0,0,0,0,0,4,1,0,0,0,4
103,,IEEE DECIS CONTR P,9,0,1,0,0,1,1,0,0,0,3,3
104,1.436,IEEE T INF TECHNOL B,9,0,0,0,0,2,0,0,0,0,0,7
105,,INFORM FUSION,9,0,0,0,1,0,1,0,2,0,0,5
106,0.500,J EXP THEOR ARTIF IN,9,0,0,0,1,1,0,1,0,0,0,6
107,,NEW IDEAS PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
108,0.609,AUTOMAT CONSTR,8,0,0,0,0,1,1,0,0,0,1,5
109,1.111,COGN SYST RES,8,0,0,0,0,1,0,0,0,0,0,7
110,0.880,COMPUT J,8,0,0,0,1,2,1,0,1,1,0,2
