Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,2137,28,52,106,267,162,150,99,138,149,101,885
2,,ALL OTHERS (368),368,4,7,17,51,17,20,27,35,15,11,164
3,0.963,BEHAV RES METHODS,234,4,8,22,38,21,22,14,13,20,7,65
4,1.604,MEM COGNITION,46,2,0,3,5,7,3,0,0,1,2,23
5,1.935,PSYCHON B REV,39,2,2,2,6,8,1,3,1,0,1,13
6,2.408,J EXP PSYCHOL LEARN,37,1,1,1,7,4,0,1,0,4,5,13
7,1.344,COMPUT HUM BEHAV,27,0,0,0,0,1,1,1,2,8,3,11
8,,NEUROIMAGE,26,0,0,1,1,2,4,0,1,2,3,12
9,3.831,COGNITION,21,0,0,0,3,5,1,1,0,1,0,10
10,3.630,NEUROPSYCHOLOGIA,21,0,2,1,6,1,2,1,2,0,1,5
11,,LECT NOTES COMPUT SC,20,0,1,1,2,3,1,2,0,2,2,6
12,2.580,J EXP PSYCHOL HUMAN,19,0,2,1,1,0,1,0,1,2,2,9
13,1.371,PERCEPT PSYCHOPHYS,19,2,0,0,2,2,0,0,0,0,1,12
14,4.997,J COGNITIVE NEUROSCI,18,0,0,1,3,3,0,0,0,3,2,6
15,1.400,PERS INDIV DIFFER,17,0,2,5,0,1,0,0,6,3,0,0
16,1.104,Q J EXP PSYCHOL,16,0,2,0,1,1,1,2,0,1,2,6
17,0.380,ANN PSYCHOL,15,0,0,1,5,3,0,1,0,4,0,1
18,1.384,EUR J COGN PSYCHOL,14,0,0,0,2,2,2,0,0,1,1,6
19,1.113,HUM FACTORS,14,0,0,1,1,0,1,0,0,4,1,6
20,2.641,BRAIN LANG,13,0,0,0,1,0,1,1,0,2,0,8
21,,BRAIN RES,13,0,1,0,1,1,2,0,0,1,2,5
22,0.831,EDUC PSYCHOL MEAS,13,0,0,1,0,1,0,0,4,2,0,5
23,,EXP BRAIN RES,13,0,1,0,0,2,1,1,0,0,4,4
24,,J NEUROSCI METH,13,0,0,1,0,1,1,2,1,1,1,5
25,,VISION RES,13,0,1,0,3,0,4,0,0,0,1,4
26,,AVIAT SPACE ENVIR MD,12,0,0,0,0,1,0,0,0,1,0,10
27,3.600,BEHAV RES THER,12,0,0,0,3,0,0,1,1,1,0,6
28,0.891,CAN J EXP PSYCHOL,12,0,0,0,2,3,0,0,0,3,0,4
29,,CEREB CORTEX,12,0,0,0,0,2,3,0,0,0,1,6
30,1.925,COGN NEUROPSYCHOL,12,0,0,1,1,1,1,1,0,0,0,7
31,5.594,J EXP PSYCHOL GEN,12,0,0,1,2,1,0,0,0,1,2,5
32,1.617,PERCEPTION,12,1,0,1,0,0,0,0,0,2,1,7
33,,BEHAV BRAIN RES,11,0,1,0,1,1,0,0,3,0,0,5
34,2.474,J MEM LANG,11,0,0,0,2,2,1,0,1,0,0,5
35,,J VISION,11,0,0,0,0,0,7,0,0,0,0,4
36,4.251,PSYCHOL SCI,11,0,0,1,2,1,1,0,0,1,0,5
37,4.026,COGNITIVE PSYCHOL,10,0,0,2,4,1,0,0,0,0,1,2
38,1.383,LANG COGNITIVE PROC,10,0,0,0,1,0,1,0,0,0,0,8
39,1.403,MEMORY,10,1,0,5,0,0,0,0,0,1,0,3
40,1.783,ACTA PSYCHOL,9,0,0,0,0,3,1,0,0,1,0,4
41,,BEHAV NEUROSCI,9,0,0,0,0,0,1,3,0,0,0,5
42,1.684,BEHAV PROCESS,9,0,0,0,3,0,0,0,1,0,0,5
43,1.511,COGNITION EMOTION,9,1,0,0,0,1,0,1,0,1,0,5
44,2.179,COGNITIVE SCI,9,0,0,0,2,0,2,1,0,0,0,4
45,4.505,J PERS SOC PSYCHOL,9,0,0,0,6,0,0,0,1,1,0,1
46,1.452,J SPEECH LANG HEAR R,9,0,0,0,1,0,0,1,0,0,0,7
47,,LECT NOTES ARTIF INT,9,0,0,0,2,0,0,0,0,1,0,6
48,7.803,PSYCHOL REV,9,0,1,1,4,0,0,0,0,0,0,3
49,,PSYCHOPHARMACOLOGY,9,0,0,1,0,0,1,0,0,1,0,6
50,3.349,PSYCHOPHYSIOLOGY,9,0,0,1,0,2,0,0,0,2,4,0
51,0.342,Z PSYCHOL,9,0,0,0,0,0,0,1,0,6,0,2
52,1.580,APPL PSYCHOLINGUIST,8,0,0,0,1,1,4,0,0,0,0,2
53,2.201,ARCH CLIN NEUROPSYCH,8,0,0,0,0,1,0,1,0,2,0,4
54,,CORTEX,8,0,0,0,0,0,0,0,0,0,1,7
55,3.088,EMOTION,8,0,0,0,1,2,0,1,1,0,0,3
56,,P SOC PHOTO-OPT INS,8,0,1,0,1,1,2,1,0,0,0,2
57,0.387,PERCEPT MOTOR SKILL,8,0,0,3,1,0,1,0,1,0,0,2
58,,PROG NEURO-PSYCHOPH,8,0,0,0,0,0,0,1,0,1,1,5
59,10.905,PSYCHOL BULL,8,0,0,1,0,2,2,0,0,2,0,1
60,1.847,PSYCHOL RES-PSYCH FO,8,0,0,0,0,1,0,0,0,3,0,4
61,,SOC NEUROSCI,8,0,0,0,1,3,0,0,0,1,0,3
62,13.400,ANNU REV PSYCHOL,7,0,3,0,2,1,0,0,0,0,0,1
63,2.781,EXP PSYCHOL,7,0,1,1,2,2,0,0,0,0,0,1
64,,HUM BRAIN MAPP,7,0,0,0,0,1,0,1,0,1,1,3
65,2.205,INT J PSYCHOPHYSIOL,7,0,1,0,0,1,0,0,0,1,2,2
66,,NEUROREPORT,7,0,1,1,0,0,0,0,0,0,1,4
67,2.561,PHYSIOL BEHAV,7,0,0,0,0,0,0,0,1,0,1,5
68,2.518,PSYCHOL AGING,7,0,1,0,0,0,0,0,0,1,0,5
69,2.453,SOC SCI MED,7,0,0,1,1,0,0,1,0,2,1,1
70,0.145,STUD PSYCHOL,7,0,0,0,0,0,0,0,0,3,0,4
71,2.715,BIOL PSYCHOL,6,0,1,0,0,2,0,0,0,0,3,0
72,2.308,BRAIN COGNITION,6,0,0,0,0,0,0,0,0,1,1,4
73,,COMPUT BIOL MED,6,0,0,0,0,0,2,0,0,0,1,3
74,,DRUG ALCOHOL DEPEN,6,0,0,1,1,0,0,0,0,0,0,4
75,1.364,INT J HUM-COMPUT ST,6,1,0,0,0,1,2,0,1,1,0,0
76,1.180,J EXP ANAL BEHAV,6,0,0,2,0,0,0,1,0,0,0,3
77,1.563,J EXP CHILD PSYCHOL,6,0,1,0,1,2,0,0,0,1,0,1
78,2.075,J EXP PSYCHOL ANIM B,6,0,0,0,0,1,0,0,1,0,0,4
79,0.564,J GEN PSYCHOL,6,0,0,1,0,1,1,0,0,0,0,3
80,,J INT NEUROPSYCH SOC,6,0,0,0,1,0,2,0,0,0,1,2
81,1.200,J NEUROLINGUIST,6,0,0,0,0,0,1,0,0,0,0,5
82,,J NEUROPHYSIOL,6,0,0,0,0,0,2,0,0,0,0,4
83,2.580,PERS SOC PSYCHOL B,6,0,0,0,4,0,0,0,0,1,0,1
84,,PROG BRAIN RES,6,0,0,0,1,0,0,0,0,0,1,4
85,,READ WRIT,6,0,0,0,1,0,2,0,0,0,0,3
86,4.240,SCHIZOPHR RES,6,0,0,0,0,0,0,0,0,0,0,6
87,0.824,AGING NEUROPSYCHOL C,5,0,0,1,0,0,0,0,0,0,1,3
88,1.538,BRIT J PSYCHOL,5,0,0,0,0,0,1,0,0,0,0,4
89,3.382,CHILD DEV,5,0,0,0,0,0,0,0,0,1,2,2
90,2.732,CONSCIOUS COGN,5,0,0,1,0,2,0,0,0,0,0,2
91,1.022,DISCOURSE PROCESS,5,0,0,0,1,0,1,0,0,1,0,2
92,1.436,J AM SOC INF SCI TEC,5,0,0,1,1,1,2,0,0,0,0,0
93,,J NEUROSCI,5,0,1,0,0,0,1,1,0,0,0,2
94,2.987,NEUROPSYCHOLOGY,5,0,0,0,1,0,1,0,0,1,1,1
95,1.792,PATIENT EDUC COUNS,5,0,0,0,0,0,2,0,1,0,0,2
96,2.196,PSYCHOL ASSESSMENT,5,0,0,0,0,0,0,1,2,0,0,2
97,2.600,REV EDUC RES,5,0,0,0,0,0,0,2,1,1,1,0
98,,SLEEP,5,0,0,0,1,0,0,0,0,0,0,4
99,0.589,SPAN J PSYCHOL,5,0,0,0,1,0,0,0,1,0,0,3
100,,TIJDSCHR NED TAAL L,5,0,0,0,4,0,0,0,0,0,0,1
101,1.586,ACCIDENT ANAL PREV,4,0,0,0,0,0,1,0,0,2,0,1
102,1.930,AM EDUC RES J,4,1,0,0,1,0,1,0,0,0,0,1
103,,AM J EPIDEMIOL,4,0,0,0,0,0,0,0,0,0,0,4
104,,ANIM COGN,4,0,0,0,0,0,0,0,1,0,0,3
105,,APPL ANIM BEHAV SCI,4,0,0,0,0,0,0,0,3,0,0,1
106,,BIOL PSYCHIAT,4,0,0,0,0,0,0,0,1,1,0,2
107,0.615,CLIN LINGUIST PHONET,4,0,0,0,1,0,0,0,0,0,1,2
108,,CLIN NEUROPHYSIOL,4,0,0,0,0,0,0,0,0,0,3,1
109,1.484,ERGONOMICS,4,0,0,1,0,0,0,0,2,0,0,1
110,,ETHOLOGY,4,0,0,0,0,1,0,0,0,0,0,3
111,,EUR J NEUROSCI,4,0,0,0,0,1,0,0,0,0,1,2
112,1.570,EUR J SOC PSYCHOL,4,0,0,0,1,0,0,0,0,0,0,3
113,,HORM BEHAV,4,0,0,1,0,0,2,0,0,0,0,1
114,,IEEE T INSTRUM MEAS,4,0,0,0,0,0,0,2,2,0,0,0
115,2.619,J ABNORM CHILD PSYCH,4,0,0,0,2,0,0,0,0,0,0,2
116,4.684,J ABNORM PSYCHOL,4,0,0,0,2,0,0,1,0,0,0,1
117,,J ACOUST SOC AM,4,0,0,0,2,0,0,0,0,0,0,2
118,1.691,J CLIN EXP NEUROPSYC,4,0,0,0,0,1,0,0,0,2,0,1
119,1.810,J EXP PSYCHOL-APPL,4,2,0,0,0,1,0,0,0,0,0,1
120,1.333,J NONVERBAL BEHAV,4,0,0,2,1,0,0,0,0,0,0,1
121,0.757,LANG SPEECH,4,0,0,1,0,0,0,0,0,1,0,2
122,,MED SCI SPORT EXER,4,0,0,0,0,0,0,1,0,0,0,3
123,1.410,MEDIA PSYCHOL,4,0,0,0,1,0,0,0,0,1,0,2
124,,NEUROSCI LETT,4,0,0,0,1,0,0,0,0,0,1,2
125,,NUTR NEUROSCI,4,0,0,0,0,0,0,0,0,0,1,3
126,,P NATL ACAD SCI USA,4,0,0,1,0,0,0,0,0,0,0,3
127,,PHARMACOL BIOCHEM BE,4,0,1,0,0,0,1,0,0,0,0,2
128,0.361,PSICOLOGICA,4,0,0,0,0,0,0,0,0,1,0,3
129,2.298,PSYCHIAT RES,4,0,0,0,0,0,0,0,2,0,0,2
130,0.353,PSYCHOL REP,4,0,0,0,1,0,0,0,0,1,0,2
131,0.942,SPATIAL VISION,4,0,0,0,0,0,0,0,0,0,1,3
132,,TRANSPORT RES REC,4,0,0,0,0,0,2,0,0,1,0,1
133,,ACM T MULTIM COMPUT,3,0,0,0,0,0,2,0,0,0,0,1
134,1.752,ADDICT BEHAV,3,0,0,0,0,1,0,0,0,0,0,2
135,1.240,AGGRESSIVE BEHAV,3,0,0,1,0,0,0,0,1,0,0,1
136,,AM J CLIN NUTR,3,0,0,0,1,0,0,0,0,0,0,2
137,1.959,AM J ORTHOPSYCHIAT,3,0,0,0,1,0,0,0,0,0,0,2
138,,ANIM BEHAV,3,0,0,0,1,0,0,0,0,0,0,2
139,,APHASIOLOGY,3,0,0,0,0,0,1,0,0,0,0,2
