Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,2280,12,45,55,79,107,82,91,97,79,70,1563
2,,ALL OTHERS (340),340,4,2,11,14,14,8,15,16,14,11,231
3,1.604,MEM COGNITION,57,0,1,1,2,0,1,1,2,2,5,42
4,1.538,BRIT J PSYCHOL,42,0,2,2,1,5,5,1,2,0,2,22
5,3.630,NEUROPSYCHOLOGIA,42,0,1,1,0,2,0,0,0,1,0,37
6,1.617,PERCEPTION,42,0,3,0,0,1,6,2,1,0,0,29
7,1.400,PERS INDIV DIFFER,40,1,3,1,2,0,3,3,2,1,2,22
8,0.387,PERCEPT MOTOR SKILL,31,0,0,2,1,2,1,1,1,1,3,19
9,1.403,MEMORY,28,0,0,0,2,1,2,0,0,1,0,22
10,,NEUROIMAGE,28,0,0,2,0,1,0,1,2,0,0,22
11,,EXP BRAIN RES,27,0,0,1,0,0,0,2,0,2,2,20
12,1.104,Q J EXP PSYCHOL,26,0,0,0,3,0,1,0,1,2,1,18
13,,VISION RES,24,0,1,0,0,0,1,3,0,1,0,18
14,,CORTEX,22,0,0,0,1,0,0,1,1,0,0,19
15,2.518,PSYCHOL AGING,19,0,1,1,3,0,2,0,1,0,1,10
16,3.212,J AUTISM DEV DISORD,18,0,0,0,1,0,1,0,0,0,0,16
17,1.257,APPL COGNITIVE PSYCH,17,0,0,0,0,0,0,0,2,1,2,12
18,,BRAIN RES,17,0,0,1,2,1,1,0,0,1,0,11
19,2.408,J EXP PSYCHOL LEARN,17,0,1,0,0,0,0,1,0,1,0,14
20,,READ WRIT,17,0,0,0,0,8,0,0,1,0,1,7
21,0.963,BEHAV RES METHODS,16,0,0,0,0,1,3,0,3,2,1,6
22,1.384,EUR J COGN PSYCHOL,16,0,0,0,3,0,0,0,2,2,1,8
23,0.962,LATERALITY,16,0,0,0,2,2,0,0,0,0,0,12
24,1.371,PERCEPT PSYCHOPHYS,16,0,1,0,0,0,2,1,0,3,0,9
25,1.935,PSYCHON B REV,16,0,0,0,0,1,1,0,1,1,0,12
26,1.563,J EXP CHILD PSYCHOL,14,0,0,0,0,1,0,2,0,0,0,11
27,2.580,J EXP PSYCHOL HUMAN,14,0,1,0,0,0,1,1,2,2,0,7
28,,LECT NOTES COMPUT SC,13,0,0,0,0,2,0,0,0,1,0,10
29,3.349,PSYCHOPHYSIOLOGY,13,0,0,0,0,1,0,0,0,0,0,12
30,1.097,THINK REASONING,13,0,0,0,0,0,1,0,0,0,0,12
31,1.727,VIS COGN,13,1,0,0,0,1,0,1,0,0,1,9
32,1.925,COGN NEUROPSYCHOL,12,0,0,0,0,1,0,0,0,0,1,10
33,1.344,COMPUT HUM BEHAV,12,0,0,0,0,1,1,1,0,3,2,4
34,3.047,J APPL PSYCHOL,12,0,0,0,1,0,0,0,0,2,0,9
35,2.474,J MEM LANG,12,0,0,0,0,0,0,0,0,0,0,12
36,,J VISION,12,0,1,0,0,0,3,1,1,0,1,5
37,10.905,PSYCHOL BULL,12,0,0,1,0,0,0,1,1,0,1,8
38,0.167,PSYCHOLOGIA,12,0,0,0,1,0,1,0,0,2,1,7
39,1.783,ACTA PSYCHOL,11,0,0,0,0,0,1,0,2,1,0,7
40,3.831,COGNITION,11,0,0,1,0,3,1,0,0,0,0,6
41,2.732,CONSCIOUS COGN,11,0,0,0,0,0,0,0,1,2,1,7
42,3.088,EMOTION,11,0,0,0,0,0,0,0,0,0,0,11
43,2.986,INTELLIGENCE,11,0,1,4,0,0,1,0,0,0,0,5
