Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,848,0,16,42,39,54,58,65,143,48,47,336
2,,ALL OTHERS (115),115,0,4,1,3,7,11,12,20,5,9,43
3,1.487,CONTEMP EDUC PSYCHOL,63,0,1,5,3,3,4,6,10,6,3,22
4,2.353,J EDUC PSYCHOL,62,0,0,4,2,4,2,6,10,5,6,23
5,1.024,BRIT J EDUC PSYCHOL,44,0,0,4,1,2,3,4,10,1,4,15
6,1.516,EDUC PSYCHOL REV,31,0,0,1,0,3,1,0,4,1,3,18
7,2.600,REV EDUC RES,31,0,0,0,3,2,4,2,5,0,1,14
8,1.029,LEARN INSTR,28,0,0,2,3,1,4,2,2,0,4,10
9,0.931,J EXP EDUC,22,0,0,2,0,0,2,2,3,3,0,10
10,,EDUC PSYCHOL-UK,20,0,0,1,2,0,3,1,4,0,0,9
11,1.231,LEARN INDIVID DIFFER,20,0,0,1,2,1,0,1,3,1,0,11
12,0.500,EUR J PSYCHOL EDUC,19,0,1,0,1,2,2,1,3,1,2,6
13,0.595,Z PADAGOG PSYCHOL,16,0,0,2,1,1,0,2,3,3,0,4
14,0.300,PSYCHOL BELG,15,0,0,1,1,0,0,3,4,1,1,4
15,3.047,J APPL PSYCHOL,13,0,0,0,0,2,0,2,1,0,0,8
16,1.604,MEM COGNITION,13,0,0,0,0,3,0,1,0,3,0,6
17,2.231,EDUC PSYCHOL-US,12,0,0,2,1,1,2,0,4,0,0,2
18,1.344,COMPUT HUM BEHAV,9,0,0,1,0,0,1,1,1,0,0,5
19,1.400,PERS INDIV DIFFER,9,0,0,1,0,2,1,1,2,0,0,2
20,0.265,TEACH PSYCHOL,9,0,0,0,1,1,0,1,0,0,0,6
21,1.148,J RES SCI TEACH,8,0,0,0,1,0,2,0,3,0,0,2
22,0.353,PSYCHOL REP,8,0,1,0,0,0,1,0,0,2,0,4
23,1.930,AM EDUC RES J,7,0,0,2,1,0,0,1,0,1,0,2
24,0.640,AUST PSYCHOL,7,0,0,0,0,1,1,1,1,0,0,3
25,1.935,PSYCHON B REV,7,0,0,0,0,2,0,1,0,0,0,4
26,0.556,STUD HIGH EDUC,7,0,0,2,0,0,0,0,0,0,0,5
27,1.602,COMPUT EDUC,6,0,0,1,0,0,0,1,1,0,1,2
28,1.062,ELEM SCHOOL J,6,0,1,1,0,2,0,1,0,0,1,0
29,0.467,ETHICS BEHAV,6,0,2,1,0,0,1,1,0,0,0,1
30,0.272,INT J PSYCHOL,6,0,0,0,1,0,0,0,0,1,0,4
31,0.548,J EDUC RES,6,0,0,0,1,0,0,0,0,0,1,4
32,0.320,READ TEACH,6,0,0,1,1,0,0,0,0,1,0,3
33,0.548,RES TEACH ENGL,6,0,0,0,0,0,0,1,0,1,0,4
34,0.513,Z ENTWICKL PADAGOGIS,6,0,0,0,0,0,1,0,0,0,1,4
35,1.257,APPL COGNITIVE PSYCH,5,0,0,1,0,0,0,0,1,0,1,2
36,0.831,EDUC PSYCHOL MEAS,5,0,0,0,1,1,0,1,1,0,1,0
37,0.270,ETR&D-EDUC TECH RES,5,0,0,0,0,1,0,0,0,0,0,4
38,1.384,EUR J COGN PSYCHOL,5,0,0,0,1,1,0,0,0,0,0,3
39,1.563,J EXP CHILD PSYCHOL,5,0,0,0,0,1,0,1,1,2,0,0
40,1.477,J LEARN DISABIL-US,5,0,0,1,0,1,0,0,2,0,0,1
41,0.417,LANG LEARN,5,0,0,0,0,0,0,0,0,2,0,3
42,,READ WRIT,5,0,2,0,0,0,0,0,1,0,0,2
43,0.362,URBAN EDUC,5,0,0,0,0,0,0,0,2,0,1,2
44,0.415,ASIA PAC EDUC REV,4,0,0,0,0,0,0,0,0,0,0,4
45,0.574,BRIT J EDUC TECHNOL,4,0,0,0,0,0,0,0,0,0,1,3
46,0.657,J APPL SOC PSYCHOL,4,0,0,0,1,0,0,1,2,0,0,0
47,0.843,J GENET PSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
48,1.404,LANG SPEECH HEAR SER,4,0,0,0,2,0,0,0,0,0,0,2
49,,LECT NOTES COMPUT SC,4,0,0,2,0,0,0,0,0,0,0,2
50,0.387,PERCEPT MOTOR SKILL,4,0,0,0,0,0,0,0,2,0,0,2
51,0.267,PSYCHOL ERZ UNTERR,4,0,0,0,0,0,1,1,2,0,0,0
52,0.317,RES SCI EDUC,4,0,0,0,0,0,0,0,0,0,0,4
53,0.109,REV ESP PEDAGOG,4,0,0,0,0,0,0,0,3,1,0,0
54,,Z ERZIEHWISS,4,0,0,0,0,0,0,0,3,0,0,1
55,0.129,ADULT EDUC QUART,3,0,0,0,0,0,0,0,1,1,0,1
56,0.246,EDUC STUD,3,0,0,0,0,0,0,0,0,0,0,3
57,0.475,EDUC TECHNOL SOC,3,0,0,0,0,0,0,0,2,0,0,1
58,1.952,EUR J PERSONALITY,3,0,1,0,0,0,0,0,0,2,0,0
59,,EUR PHYS EDUC REV,3,0,0,0,0,0,0,1,2,0,0,0
60,0.340,GIFTED CHILD QUART,3,0,0,0,0,0,1,0,0,1,0,1
61,0.608,HIGH EDUC,3,0,0,0,0,0,0,0,0,0,0,3
62,0.795,INSTR SCI,3,0,0,0,2,1,0,0,0,0,0,0
63,1.340,J RES READ,3,0,0,0,0,0,0,0,0,0,1,2
64,0.915,J YOUTH ADOLESCENCE,3,0,1,0,0,0,0,0,2,0,0,0
65,0.676,MEAS EVAL COUNS DEV,3,0,0,0,0,0,0,1,1,1,0,0
66,0.611,MOTIV EMOTION,3,0,0,0,0,1,0,0,1,0,0,1
67,1.192,PSYCHOL SPORT EXERC,3,0,0,0,0,0,0,0,2,0,1,0
68,0.699,RES HIGH EDUC,3,0,0,0,0,0,0,0,1,0,0,2
69,0.548,TEACH HIGH EDUC,3,0,0,0,0,0,1,0,1,0,0,1
70,0.589,TEACH TEACH EDUC,3,0,0,0,0,0,0,0,2,0,0,1
71,0.287,Z PADAGOGIK,3,0,0,0,0,1,0,0,1,0,1,0
