Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,13887,413,696,1217,1064,1137,914,727,623,657,698,5741
2,,ALL OTHERS (979),979,4,40,74,90,65,39,60,34,61,50,462
3,5.529,PHILOS T R SOC B,376,277,7,15,9,8,4,4,2,5,5,40
4,9.598,P NATL ACAD SCI USA,192,6,11,27,19,13,8,18,13,5,16,56
5,7.490,J NEUROSCI,156,3,12,16,5,22,24,5,4,12,7,46
6,5.457,NEUROIMAGE,151,1,2,49,3,15,10,16,3,12,7,33
7,4.112,P ROY SOC B-BIOL SCI,147,8,7,8,16,7,16,3,4,10,12,56
8,5.169,MOL ECOL,127,0,6,12,45,11,5,1,2,2,8,35
9,4.502,EVOLUTION,102,1,8,4,12,8,10,1,3,1,13,41
10,2.972,J EXP BIOL,101,0,2,0,1,3,6,0,4,6,4,75
11,10.539,CURR BIOL,98,9,15,9,9,12,6,1,0,5,0,32
12,6.519,CEREB CORTEX,97,0,0,9,1,7,10,8,6,9,6,41
13,3.920,J EVOLUTION BIOL,96,0,4,3,15,4,13,1,3,2,10,41
14,3.994,MOL PHYLOGENET EVOL,94,0,3,18,41,1,2,1,0,0,7,21
15,4.543,AM NAT,92,0,4,1,5,3,13,3,7,0,10,46
16,3.684,J NEUROPHYSIOL,91,1,2,9,0,14,19,2,2,6,4,32
17,3.630,NEUROPSYCHOLOGIA,83,0,0,1,0,23,4,16,2,5,5,27
18,3.673,EUR J NEUROSCI,71,1,3,9,1,7,6,1,6,6,3,28
19,8.802,SYSTEMATIC BIOL,70,0,1,19,30,1,0,1,0,0,3,15
20,5.581,J BIOL CHEM,67,0,5,4,12,7,6,4,3,4,0,22
21,4.001,GENETICS,63,0,5,12,6,4,0,3,6,1,3,23
22,1.025,PALAEONTOLOGY,63,0,3,0,7,0,1,3,0,0,2,47
23,2.014,PROG BRAIN RES,63,0,1,1,1,16,3,1,2,4,7,27
24,2.752,ANIM BEHAV,62,0,3,0,0,1,18,2,3,0,6,29
25,13.410,NEURON,62,0,3,11,1,7,9,5,1,6,3,16
26,26.372,SCIENCE,60,6,12,8,6,6,2,1,1,2,0,16
27,2.218,BRAIN RES,59,2,2,3,1,11,2,0,1,9,5,23
28,2.162,PALAEOGEOGR PALAEOCL,59,0,0,0,2,0,0,4,0,0,7,46
29,2.323,J THEOR BIOL,57,0,2,0,2,3,6,2,4,2,4,32
30,3.539,J BIOGEOGR,53,0,0,2,25,0,2,0,1,1,1,21
31,28.751,NATURE,52,5,7,0,6,2,6,3,2,0,1,20
32,4.997,J COGNITIVE NEUROSCI,51,1,0,3,3,9,2,2,0,12,8,11
33,3.018,BEHAV ECOL,49,0,7,1,0,1,14,1,1,1,3,20
34,4.091,BMC EVOL BIOL,49,0,17,0,4,2,2,5,2,2,1,14
35,3.915,J COMP NEUROL,48,0,1,3,1,2,2,6,7,4,0,22
36,3.296,BIOL CONSERV,47,0,1,19,4,1,0,1,0,0,1,20
37,8.204,ECOL LETT,47,1,4,0,14,0,10,1,0,0,2,15
38,3.136,OIKOS,47,1,3,0,0,3,12,0,2,2,3,21
39,2.754,BEHAV ECOL SOCIOBIOL,45,0,1,1,0,2,11,0,1,1,1,27
40,2.368,BIOL J LINN SOC,45,0,0,2,7,1,3,1,1,0,6,24
41,3.934,CONSERV BIOL,45,0,0,19,3,1,0,3,0,0,0,19
42,1.257,MOL ECOL NOTES,45,0,0,40,2,0,0,0,0,0,1,2
43,1.731,ANN NY ACAD SCI,44,2,2,4,1,4,0,1,2,3,2,23
44,14.797,TRENDS ECOL EVOL,44,1,8,6,9,0,2,2,1,1,2,12
45,2.546,MAR ECOL-PROG SER,43,2,1,5,1,0,0,1,3,2,2,26
46,4.822,ECOLOGY,42,0,0,0,2,1,6,1,0,0,2,30
47,1.087,J PALEONTOL,42,0,0,0,0,0,0,0,0,0,0,42
48,2.055,VISION RES,42,0,1,3,0,0,3,0,1,0,8,26
49,0.691,ZOOTAXA,42,0,0,9,8,0,0,0,0,1,1,23
50,4.627,BIOPHYS J,41,0,1,0,6,1,4,2,6,2,1,18
51,5.249,NEW PHYTOL,41,1,2,1,3,4,3,0,7,0,0,20
52,,P SOC PHOTO-OPT INS,41,0,4,2,0,1,0,1,1,2,0,30
53,4.110,QUATERNARY SCI REV,41,0,0,0,2,0,0,0,1,1,1,36
54,2.027,EXP BRAIN RES,40,0,0,1,0,10,5,1,4,5,5,9
55,8.568,BRAIN,39,1,1,4,0,6,1,6,1,5,1,13
56,6.438,MOL BIOL EVOL,39,0,6,0,2,10,0,3,4,1,4,9
57,1.421,BIODIVERS CONSERV,38,0,0,7,5,0,0,0,0,1,4,21
58,3.088,J R SOC INTERFACE,38,0,5,0,2,4,1,3,2,1,3,17
59,2.939,ANN BOT-LONDON,37,0,0,0,7,2,0,0,3,1,2,22
60,6.151,HUM BRAIN MAPP,36,0,0,6,1,0,4,4,5,5,3,8
61,2.512,AM J BOT,35,0,1,0,7,4,2,0,3,0,1,17
62,3.368,BIOCHEMISTRY-US,35,2,3,0,1,3,6,4,3,0,0,13
63,7.293,DEVELOPMENT,35,0,2,0,3,9,2,1,8,0,1,9
64,5.402,BIOESSAYS,34,0,2,6,4,7,4,0,3,1,0,7
65,7.885,J AM CHEM SOC,34,1,12,1,3,0,6,3,0,4,1,3
66,2.215,MAR BIOL,34,0,0,4,1,0,1,0,2,0,1,25
67,2.483,PHYS REV E,34,0,1,1,2,2,3,1,2,3,0,19
68,4.411,CURR TOP MICROBIOL,33,0,0,0,13,0,0,17,0,0,0,3
69,5.745,HIPPOCAMPUS,33,0,0,1,0,1,2,9,0,1,2,17
70,3.352,NEUROSCIENCE,33,1,4,1,2,4,2,2,0,5,2,10
71,13.501,PLOS BIOL,33,1,3,4,6,0,0,2,2,2,1,12
72,10.340,ANNU REV ECOL EVOL S,32,2,4,0,0,1,3,0,6,0,3,13
73,4.714,DEV BIOL,32,1,1,0,2,5,0,4,7,1,0,11
74,4.472,J MOL BIOL,32,0,2,0,8,1,2,3,2,4,0,10
75,,LECT NOTES COMPUT SC,32,0,1,3,0,3,3,1,1,4,3,13
76,24.520,NAT REV NEUROSCI,32,2,5,3,0,5,2,5,0,2,0,8
77,2.290,ZOOL J LINN SOC-LOND,31,1,0,1,0,0,1,0,0,1,3,24
78,4.642,CLADISTICS,30,0,0,16,2,0,0,0,0,1,0,11
79,3.747,J ANIM ECOL,30,0,1,2,0,1,8,2,0,1,0,15
80,2.953,J GEOPHYS RES,30,0,0,1,5,2,1,0,0,1,3,17
81,4.786,GLOBAL CHANGE BIOL,29,1,0,2,8,0,1,0,0,1,1,15
82,1.791,J ZOOL SYST EVOL RES,29,0,0,13,6,0,1,0,0,0,2,7
83,2.973,OECOLOGIA,29,0,1,0,2,0,3,0,2,0,3,18
84,6.477,BRAIN RES REV,28,0,1,4,0,3,0,2,0,2,0,16
85,1.902,ETHOLOGY,28,0,6,0,0,0,7,0,3,1,5,6
86,4.086,J PHYS CHEM B,28,0,12,0,5,1,2,1,2,0,0,5
87,2.965,DIVERS DISTRIB,27,1,1,3,3,2,0,2,0,0,0,15
88,2.660,INTEGR COMP BIOL,27,1,5,0,0,4,0,1,1,2,3,10
89,,J AUTISM DEV DISORD,27,0,0,0,0,27,0,0,0,0,0,0
90,2.531,REV FISH BIOL FISHER,27,0,0,13,0,0,1,0,0,1,0,12
91,9.389,TRENDS COGN SCI,27,3,1,2,0,4,2,6,0,0,1,8
92,8.833,BIOL REV,26,1,0,0,1,1,1,2,1,0,4,15
93,5.239,CELL MOL LIFE SCI,26,0,1,1,2,6,1,3,0,2,0,10
94,4.065,HEREDITY,26,0,0,1,1,8,0,0,2,1,3,10
95,4.580,J PHYSIOL-LONDON,26,0,1,0,1,5,1,0,0,9,0,9
96,5.332,J VIROL,26,1,0,1,1,0,0,16,0,2,0,5
97,4.037,LEARN MEMORY,26,0,0,0,0,8,1,2,0,0,1,14
98,10.467,PROG NEUROBIOL,26,0,6,4,0,0,0,0,0,8,3,5
99,1.674,AUSTRAL ECOL,25,0,0,0,11,0,4,0,0,2,1,7
100,3.835,BBA-BIOENERGETICS,25,0,0,0,0,1,16,0,5,0,0,3
101,29.887,CELL,25,1,1,3,3,2,1,0,3,2,2,7
102,1.409,EVOL ECOL RES,25,0,4,0,0,1,4,0,2,1,2,11
103,1.376,J VERTEBR PALEONTOL,25,0,0,0,0,0,0,0,0,0,3,22
104,,LECT NOTES ARTIF INT,25,1,2,0,3,3,3,1,1,0,1,10
105,2.716,BIOL LETTERS,24,0,3,2,2,0,3,1,1,0,0,12
106,3.123,CORTEX,24,0,0,0,0,3,0,8,0,2,4,7
107,1.579,FOREST ECOL MANAG,24,0,0,0,4,0,0,0,0,8,1,11
108,15.664,NAT NEUROSCI,24,1,0,1,1,1,4,0,2,2,0,12
109,2.468,CLIN NEUROPHYSIOL,23,0,0,4,0,1,3,1,5,4,1,4
