Cited Journal Data,,,,,,,,,,,,,,
,Impact Factor,Citing Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1,,ALL Journals,1082,69,141,8,2,8,0,7,3,1,1,842
2,,ALL OTHERS (171),171,2,14,0,0,1,0,3,1,1,0,149
3,1.104,Q J EXP PSYCHOL,83,45,12,1,1,0,0,0,0,0,0,24
4,1.371,PERCEPT PSYCHOPHYS,51,0,6,0,0,0,0,0,0,0,0,45
5,1.604,MEM COGNITION,42,5,10,1,0,1,0,0,0,0,0,25
6,3.630,NEUROPSYCHOLOGIA,40,0,4,0,0,0,0,1,0,0,0,35
7,,EXP BRAIN RES,35,0,1,1,0,0,0,0,0,0,0,33
8,1.935,PSYCHON B REV,28,0,8,0,0,0,0,0,0,0,0,20
9,,VISION RES,25,0,0,0,1,0,0,0,1,0,0,23
10,,J VISION,24,0,5,0,0,0,0,1,0,0,0,18
11,2.580,J EXP PSYCHOL HUMAN,22,2,6,0,0,1,0,0,0,0,0,13
12,1.617,PERCEPTION,19,0,6,0,0,0,0,0,0,0,0,13
13,1.847,PSYCHOL RES-PSYCH FO,15,0,0,0,0,0,0,0,0,0,0,15
14,7.803,PSYCHOL REV,15,1,3,0,0,0,0,0,0,0,0,11
15,0.963,BEHAV RES METHODS,13,2,3,0,0,0,0,0,0,0,0,8
16,,CEREB CORTEX,13,0,2,0,0,0,0,0,0,0,0,11
17,,CORTEX,13,0,1,0,0,0,0,0,0,0,1,11
18,,BRAIN RES,11,0,1,0,0,0,0,0,0,0,0,10
19,4.997,J COGNITIVE NEUROSCI,11,1,2,2,0,0,0,0,0,0,0,6
20,2.408,J EXP PSYCHOL LEARN,11,0,3,0,0,0,0,0,0,0,0,8
21,,NEUROIMAGE,11,0,1,0,0,2,0,0,0,0,0,8
22,1.783,ACTA PSYCHOL,10,0,4,0,0,1,0,0,0,0,0,5
23,0.380,ANN PSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
24,2.308,BRAIN COGNITION,9,0,1,0,0,0,0,0,0,0,0,8
25,1.925,COGN NEUROPSYCHOL,9,0,0,0,0,0,0,0,0,0,0,9
26,2.474,J MEM LANG,9,0,3,0,0,0,0,1,0,0,0,5
27,2.987,NEUROPSYCHOLOGY,9,0,2,0,0,0,0,0,0,0,0,7
28,0.387,PERCEPT MOTOR SKILL,9,0,0,0,0,0,0,0,0,0,0,9
29,5.594,J EXP PSYCHOL GEN,8,0,0,0,0,1,0,0,0,0,0,7
30,,LECT NOTES ARTIF INT,8,0,1,0,0,0,0,0,0,0,0,7
31,1.538,BRIT J PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
32,3.088,EMOTION,7,0,2,0,0,0,0,0,0,0,0,5
33,1.384,EUR J COGN PSYCHOL,7,0,1,0,0,0,0,0,0,0,0,6
34,,J NEUROPHYSIOL,7,0,0,0,0,0,0,0,0,0,0,7
35,,J NEUROSCI,7,1,0,0,0,0,0,0,0,0,0,6
36,1.383,LANG COGNITIVE PROC,7,0,5,0,0,0,0,0,0,0,0,2
37,1.097,THINK REASONING,7,1,1,0,0,0,0,0,0,0,0,5
38,2.732,CONSCIOUS COGN,6,0,1,0,0,0,0,0,0,0,0,5
39,2.561,PHYSIOL BEHAV,6,0,0,0,0,0,0,0,0,0,0,6
40,,PROG BRAIN RES,6,0,0,0,0,0,0,1,0,0,0,5
41,3.349,PSYCHOPHYSIOLOGY,6,1,0,1,0,0,0,0,0,0,0,4
42,9.389,TRENDS COGN SCI,6,2,1,0,0,0,0,0,0,0,0,3
43,3.831,COGNITION,5,0,0,0,0,1,0,0,0,0,0,4
44,2.781,EXP PSYCHOL,5,0,3,0,0,0,0,0,0,0,0,2
45,2.075,J EXP PSYCHOL ANIM B,5,0,3,0,0,0,0,0,0,0,0,2
46,,J INT NEUROPSYCH SOC,5,0,1,0,0,0,0,0,0,0,0,4
47,,LECT NOTES COMPUT SC,5,0,0,0,0,0,0,0,0,0,0,5
48,1.403,MEMORY,5,0,1,0,0,0,0,0,0,0,0,4
49,,NEURON,5,0,0,0,0,0,0,0,0,0,0,5
50,2.518,PSYCHOL AGING,5,0,0,0,0,0,0,0,0,0,0,5
51,10.905,PSYCHOL BULL,5,0,1,0,0,0,0,0,0,0,0,4
52,,ALCOHOL CLIN EXP RES,4,0,0,0,0,0,0,0,0,0,0,4
53,,BRAIN RES BULL,4,0,0,0,0,0,0,0,0,0,0,4
54,,EUR J NEUROSCI,4,1,1,0,0,0,0,0,0,0,0,2
55,,EXP AGING RES,4,0,0,0,0,0,0,0,0,0,0,4
56,,FRONT BIOSCI,4,0,0,0,0,0,0,0,0,0,0,4
57,1.113,HUM FACTORS,4,0,0,0,0,0,0,0,0,0,0,4
58,1.793,J COMP PSYCHOL,4,0,0,0,0,0,0,0,0,0,0,4
59,1.180,J EXP ANAL BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
60,1.318,J MOTOR BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
61,1.439,J PHONETICS,4,0,0,0,0,0,0,0,0,0,0,4
62,0.500,J PSYCHOLINGUIST RES,4,0,1,0,0,0,0,0,0,0,0,3
63,,NEUROSCI LETT,4,0,1,0,0,0,0,0,0,0,0,3
64,,P NATL ACAD SCI USA,4,0,0,0,0,0,0,0,0,0,0,4
65,,PHILOS T R SOC B,4,0,0,0,0,0,0,0,0,0,0,4
66,0.965,PSICOTHEMA,4,0,2,0,0,0,0,0,0,0,0,2
67,,PSYCHIAT RES-NEUROIM,4,0,0,0,0,0,0,0,0,0,0,4
68,,PSYCHOPHARMACOLOGY,4,0,1,0,0,0,0,0,1,0,0,2
69,1.727,VIS COGN,4,0,0,0,0,0,0,0,0,0,0,4
70,,ANIM COGN,3,0,0,0,0,0,0,0,0,0,0,3
71,,APPL ANIM BEHAV SCI,3,0,1,0,0,0,0,0,0,0,0,2
72,,BEHAV BRAIN RES,3,0,0,0,0,0,0,0,0,0,0,3
73,,BEHAV NEUROSCI,3,0,0,0,0,0,0,0,0,0,0,3
74,1.684,BEHAV PROCESS,3,0,1,0,0,0,0,0,0,0,0,2
75,,CHEM SENSES,3,0,0,0,0,0,0,0,0,0,0,3
76,,COMPUT BIOL MED,3,0,0,0,0,0,0,0,0,0,0,3
77,1.484,ERGONOMICS,3,0,0,0,0,0,0,0,0,0,0,3
78,,J ACOUST SOC AM,3,0,0,1,0,0,0,0,0,0,0,2
79,0.564,J GEN PSYCHOL,3,0,1,0,0,0,0,0,0,0,0,2
80,0.757,LANG SPEECH,3,0,0,0,0,0,0,0,0,0,0,3
81,,NEUROCASE,3,0,0,0,0,0,0,0,0,0,0,3
82,,NEUROCOMPUTING,3,0,0,0,0,0,0,0,0,0,0,3
83,0.361,PSICOLOGICA,3,1,0,0,0,0,0,0,0,0,0,2
84,4.212,PSYCHOL MED,3,0,0,0,0,0,0,0,0,0,0,3
85,4.251,PSYCHOL SCI,3,0,0,0,0,0,0,0,0,0,0,3
86,0.167,PSYCHOLOGIA,3,0,1,0,0,0,0,0,0,0,0,2
87,0.609,SCAND J PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
88,1.078,TRANSPORT RES F-TRAF,3,0,0,0,0,0,0,0,0,0,0,3
89,0.516,AM ANN DEAF,2,0,0,0,0,0,0,0,0,0,0,2
90,,ANIM BEHAV,2,0,0,0,0,0,0,0,0,0,0,2
91,,ANN NY ACAD SCI,2,0,0,0,0,0,0,0,0,0,0,2
92,,APPETITE,2,0,0,0,0,0,0,0,0,0,0,2
93,1.257,APPL COGNITIVE PSYCH,2,0,0,0,0,0,0,0,0,0,0,2
94,1.580,APPL PSYCHOLINGUIST,2,0,0,0,0,0,0,0,0,0,0,2
