Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,1281,2,27,72,78,61,53,62,61,65,64,736
2, ,ALL OTHERS (535),535,1,21,27,26,26,22,24,23,20,21,324
3,4.505,J PERS SOC PSYCHOL,52,0,0,2,0,1,2,2,1,2,4,38
4,2.580,J EXP PSYCHOL HUMAN,27,0,0,0,0,1,0,1,2,4,1,18
5,0.939,AM J PSYCHOL,24,0,0,3,2,1,2,2,0,1,1,12
6,2.408,J EXP PSYCHOL LEARN,24,0,0,1,0,1,1,3,3,2,0,13
7,1.371,PERCEPT PSYCHOPHYS,24,0,0,0,3,0,1,0,0,1,0,19
8,1.604,MEM COGNITION,22,0,0,0,3,1,3,0,2,5,0,8
9,7.803,PSYCHOL REV,20,0,0,0,0,0,1,0,0,0,1,18
10,5.594,J EXP PSYCHOL GEN,18,0,0,0,4,1,1,0,3,0,1,8
11, ,SCIENCE,16,0,0,3,0,0,1,0,0,0,1,11
12,10.905,PSYCHOL BULL,14,0,0,0,1,1,0,1,2,0,0,9
13,4.251,PSYCHOL SCI,13,0,0,1,3,1,0,1,2,2,2,1
14,1.257,APPL COGNITIVE PSYCH,11,0,0,1,0,1,0,1,0,0,6,2
15,4.684,J ABNORM PSYCHOL,11,0,0,0,0,1,0,0,1,1,2,6
16,2.474,J MEM LANG,11,0,0,1,1,2,0,1,0,2,1,3
17,1.400,PERS INDIV DIFFER,11,0,0,0,1,1,0,0,1,2,0,6
18,2.580,PERS SOC PSYCHOL B,10,0,0,1,1,1,0,1,1,1,0,4
19,4.026,COGNITIVE PSYCHOL,9,0,0,0,0,1,0,0,0,0,1,7
20,2.619,J ABNORM CHILD PSYCH,9,0,0,0,0,0,0,1,2,0,0,6
21,2.518,PSYCHOL AGING,9,0,0,1,0,1,1,2,0,1,1,2
22,1.935,PSYCHON B REV,9,0,0,0,1,1,2,1,0,1,2,1
23,1.538,BRIT J PSYCHOL,8,0,0,1,0,1,0,0,0,0,0,6
24, ,J EXP PSYCHOL,8,0,0,0,0,0,0,0,0,0,0,8
25, ,MIND,8,0,0,1,0,0,0,0,0,0,0,7
26,17.462,BEHAV BRAIN SCI,7,0,0,0,1,2,0,0,0,0,0,4
27,1.511,COGNITION EMOTION,7,0,0,0,1,1,0,0,1,0,0,4
28,3.038,DEV PSYCHOL,7,0,0,0,1,0,0,0,0,0,1,5
29,4.432,J CHILD PSYCHOL PSYC,7,0,0,1,0,0,1,0,0,1,2,2
30,4.214,J CONSULT CLIN PSYCH,7,0,0,0,0,0,1,0,1,0,1,4
31,2.058,J EXP SOC PSYCHOL,7,0,0,1,0,0,0,0,0,0,1,5
32, ,P NATL ACAD SCI USA,7,0,0,0,1,1,1,1,1,0,1,1
33,0.387,PERCEPT MOTOR SKILL,7,0,0,0,0,0,0,0,0,0,1,6
34,1.403,MEMORY,6,0,0,1,1,0,0,0,0,1,2,1
35,2.449,Q J EXP PSYCHOL-A,6,0,0,0,1,0,0,2,0,0,1,2
36,6.967,AM PSYCHOL,5,0,2,0,0,0,0,0,0,1,0,2
37,13.400,ANNU REV PSYCHOL,5,0,0,0,0,1,0,0,0,1,1,2
38,2.732,CONSCIOUS COGN,5,0,0,1,2,0,0,0,0,1,0,1
39,1.570,EUR J SOC PSYCHOL,5,0,0,0,0,0,0,0,0,0,1,4
40, ,HIST PSYCHOL,5,0,1,2,1,0,0,0,0,0,0,1
41, ,NATURE,5,0,0,1,0,0,0,0,0,1,0,3
42,1.783,ACTA PSYCHOL,4,0,0,0,0,1,0,0,0,1,0,2
43,9.127,AM J PSYCHIAT,4,0,0,0,0,0,0,0,1,0,1,2
44,3.600,BEHAV RES THER,4,0,1,1,0,1,1,0,0,0,0,0
45,4.854,CLIN PSYCHOL REV,4,0,0,0,0,0,1,0,0,2,0,1
46, ,CREATIVITY E MEETS W,4,0,0,0,4,0,0,0,0,0,0,0
47,1.384,EUR J COGN PSYCHOL,4,0,0,0,3,0,1,0,0,0,0,0
48, ,INTRO HIST PSYCHOL,4,0,0,1,0,0,0,1,0,0,0,2
