Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Rest
1, ,ALL Journals,1001,7,33,59,117,80,87,70,47,53,54,394
2, ,ALL OTHERS (575),575,3,20,32,57,44,40,35,29,27,32,256
3,12.818,BEHAV BRAIN SCI,23,0,0,0,12,0,4,0,0,0,2,5
4, ,NATURE,10,0,0,1,3,0,1,1,0,1,2,1
5, ,EVOL EMERGEN,9,0,0,0,0,0,0,0,0,9,0,0
6, ,SCIENCE,9,0,0,0,0,1,1,2,0,0,0,5
7,10.981,TRENDS COGN SCI,9,0,0,0,0,0,1,2,0,1,4,1
8,3.481,COGNITION,8,0,0,0,3,0,0,0,2,0,0,3
9, ,EVOLUTION LANGUAGE,8,0,0,8,0,0,0,0,0,0,0,0
10, ,P IEEE INT C ROB AUT,8,0,0,1,1,1,0,2,0,0,1,2
11, ,ROBOT AUTON SYST,8,0,0,3,0,0,3,0,2,0,0,0
12,1.359,INTERACT STUD,7,3,0,0,2,2,0,0,0,0,0,0
13,0.738,LANG COMMUN,7,0,0,1,0,0,0,0,0,0,0,6
14, ,P NATL ACAD SCI USA,7,0,2,0,3,0,0,0,0,0,2,0
15, ,APPL ARTIF INTELL,6,0,0,0,0,0,0,2,0,0,2,2
16, ,IMITATION ANIMALS AR,6,0,0,0,0,0,0,6,0,0,0,0
17,0.792,J CHILD LANG,6,0,0,0,1,0,0,0,0,0,0,5
18,5.035,J PERS SOC PSYCHOL,6,0,0,0,0,0,0,0,1,0,1,4
19, ,LANGUAGE SPECIES,6,0,0,0,0,0,0,0,0,0,0,6
20, ,ANIM BEHAV,5,0,0,0,0,0,0,0,1,1,0,3
21,1.529,HUM FACTORS,5,0,0,0,0,0,2,0,0,0,0,3
22,3.271,J MEM LANG,5,0,0,2,0,0,0,0,0,0,0,3
23, ,LANGUAGE EVOLUTION,5,0,0,0,0,0,5,0,0,0,0,0
24,0.532,LINGUA,5,0,5,0,0,0,0,0,0,0,0,0
25, ,MEDIA EQUATION PEOPL,5,0,0,0,0,0,0,0,0,0,0,5
26, ,PHILOS T R SOC B,5,0,0,0,0,0,5,0,0,0,0,0
27, ,ROBOTICS AUTONOMOUS,5,0,0,0,0,0,5,0,0,0,0,0
28, ,ADV COMPLEX SYST,4,0,0,0,0,0,3,0,0,0,1,0
29, ,ARTIF INTELL,4,0,0,0,1,0,0,0,0,0,0,3
30,4.256,COGNITIVE PSYCHOL,4,0,0,0,0,0,0,1,0,0,0,3
31,2.383,COGNITIVE SCI,4,0,0,0,0,0,1,1,0,0,0,2
32,2.550,LANGUAGE,4,0,0,0,0,0,0,0,0,0,0,4
33, ,LANGUAGE HUM BEHAV,4,0,0,0,0,0,0,0,0,0,0,4
34, ,P IEEE,4,0,0,0,0,4,0,0,0,0,0,0
35,4.812,PSYCHOL SCI,4,0,0,0,2,0,0,1,0,0,1,0
36,16.217,ANNU REV PSYCHOL,3,0,1,0,0,0,1,0,0,0,0,1
37, ,AUTON ROBOT,3,0,0,0,0,0,0,2,0,0,0,1
38, ,BROWS TRUST EVALUATI,3,0,0,0,0,3,0,0,0,0,0,0
39, ,CHI 2005 AB WORKSH P,3,0,0,0,3,0,0,0,0,0,0,0
40,1.014,COGNITIVE DEV,3,0,0,1,0,0,1,1,0,0,0,0
41, ,COMMUN ACM,3,0,0,0,0,0,0,0,0,0,0,3
42, ,CONNECT SCI,3,0,0,1,0,0,2,0,0,0,0,0
43, ,EVOLUTION COMMUNICAT,3,0,0,0,0,2,0,0,0,0,0,1
44, ,FDN LANGUAGE BRAIN M,3,0,0,0,0,0,0,3,0,0,0,0
45, ,HUM-COMPUT INTERACT,3,0,0,0,0,3,0,0,0,0,0,0
46, ,IEEE T PATTERN ANAL,3,0,0,0,0,0,0,0,1,2,0,0
47,1.769,INT J HUM-COMPUT ST,3,0,0,0,2,0,1,0,0,0,0,0
48, ,LANGUAGE GESTURE,3,0,0,0,0,0,0,0,0,3,0,0
49, ,LIFE LIKE CHARACTERS,3,0,0,0,0,3,0,0,0,0,0,0
50, ,LINGUIST EVOLUTION,3,0,0,0,0,0,0,3,0,0,0,0
51, ,MONKEYS SEE WORLD IN,3,0,0,0,0,0,0,0,0,0,0,3
52, ,NEURAL NETWORKS,3,0,0,0,0,0,0,1,0,0,0,2
53, ,P IEEE RSJ INT C INT,3,0,0,0,1,0,0,1,0,1,0,0
54, ,SINGING NEANDERTHALS,3,0,0,0,3,0,0,0,0,0,0,0
55, ,TRANSITION LANGUAGE,3,0,0,0,0,0,0,3,0,0,0,0
56, ,TRENDS NEUROSCI,3,0,0,0,0,0,0,0,0,0,0,3
57, ,1 LANGUAGE ACQUISITI,2,0,0,0,0,0,1,0,0,0,0,1
58, ,ABUSE DARKER SIDE HU,2,0,0,0,2,0,0,0,0,0,0,0
59,1.152,ADAPT BEHAV,2,0,0,0,1,0,0,0,0,0,1,0
60, ,AFFECTIVE COMPUTING,2,0,0,0,0,0,0,0,0,0,0,2
61, ,AM J PRIMATOL,2,0,0,0,1,1,0,0,0,0,0,0
62,7.106,AM PSYCHOL,2,0,0,1,0,0,0,0,0,0,0,1
63, ,ANAL CASUAL CONVERSA,2,0,0,0,0,0,0,0,0,0,0,2
64, ,ANIM COGN,2,1,1,0,0,0,0,0,0,0,0,0
65, ,ARTIF LIFE,2,0,0,0,1,0,0,0,0,1,0,0
66, ,BBC NEWS,2,0,0,0,0,1,1,0,0,0,0,0
67, ,BEHAV BASED ROBOTICS,2,0,0,0,0,0,0,0,0,0,0,2
68, ,BEHAV PHILOS,2,0,0,0,0,1,0,0,0,0,0,1
69,1.063,BIOL PHILOS,2,0,0,0,1,1,0,0,0,0,0,0
70,1.205,BRIT J DEV PSYCHOL,2,0,0,0,2,0,0,0,0,0,0,0
71,3.821,CHILD DEV,2,0,1,0,0,0,0,0,1,0,0,0
72, ,COGNITIVE TECHNOLOGI,2,0,0,0,0,2,0,0,0,0,0,0
73,0.148,CONFIGURATIONS,2,0,0,0,0,0,0,0,0,1,0,1
74, ,CONSTRUCTING LANGUAG,2,0,0,0,0,0,2,0,0,0,0,0
75, ,CONSTRUCTIONS CONSTR,2,0,0,0,0,0,0,0,0,0,0,2
76, ,DESIGNING SOCIABLE R,2,0,0,0,0,0,1,1,0,0,0,0
77,3.818,DEVELOPMENTAL SCI,2,0,0,0,0,1,1,0,0,0,0,0
78, ,EMBODIED CONVERSATIO,2,0,0,0,0,0,0,0,0,2,0,0
79, ,EMOTIONAL INTELLIGEN,2,0,0,0,0,0,0,0,1,0,0,1
80, ,EXPLAINING LANGUAGE,2,0,0,0,0,0,0,0,0,1,0,1
81, ,FACIAL ACTION CODING,2,0,0,0,0,0,0,0,0,0,0,2
82, ,GESTURE,2,0,0,0,2,0,0,0,0,0,0,0
83, ,GROOMING GOSSIP EVOL,2,0,0,0,0,0,0,0,0,0,0,2
84, ,HAND MOUTH ORIGINS L,2,0,0,0,0,0,0,2,0,0,0,0
85, ,HANDB CHILD LANGUAGE,2,0,0,0,0,0,0,0,0,0,0,2
86, ,HIST LING,2,0,0,0,0,0,0,0,0,0,0,2
87, ,IEEE T SYST MAN CY A,2,0,0,0,0,0,0,0,1,1,0,0
88, ,IMITATION INFANCY,2,0,0,0,0,0,0,0,0,0,1,1
89, ,IMITATION SOC LEA,2,0,2,0,0,0,0,0,0,0,0,0
90, ,INT J COMPUT VISION,2,0,0,0,0,0,0,0,1,0,0,1
91, ,INT J HUM ROBOT,2,0,0,0,0,2,0,0,0,0,0,0
92, ,J ACOUST SOC AM,2,0,0,0,0,0,0,0,0,0,0,2
93,2.081,J COMP PSYCHOL,2,0,0,0,0,0,0,0,1,0,0,1
94, ,J ED MULTIMEDIA HYPE,2,0,0,0,0,2,0,0,0,0,0,0
95, ,J EXP THEOR ARTIF IN,2,0,0,0,0,0,0,0,0,0,0,2
96, ,J NEUROPHYSIOL,2,0,0,0,0,0,1,0,0,0,0,1
97,1.603,LANG COGNITIVE PROC,2,0,0,0,0,0,0,0,0,0,0,2
98, ,LANGUAGE INTELLIGENC,2,0,0,0,0,0,0,0,0,0,0,2
99, ,LECT NOTES ARTIF INT,2,0,1,0,1,0,0,0,0,0,0,0
100, ,LECT NOTES COMPUT SC,2,0,0,2,0,0,0,0,0,0,0,0
101, ,MEDIA EQUATION,2,0,0,0,0,0,0,0,0,0,0,2
102,1.440,MEM COGNITION,2,0,0,0,0,0,0,0,0,0,0,2
103, ,MISUSE ABUSE INTERAC,2,0,0,2,0,0,0,0,0,0,0,0
104,4.333,MONOGR SOC RES CHILD,2,0,0,0,0,0,0,0,0,0,0,2
105, ,MORTALITY,2,0,0,1,0,0,0,0,1,0,0,0
