Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,4021,55,194,251,238,256,211,206,220,177,174,2039
2, ,ALL OTHERS (519),519,22,31,24,19,22,19,23,23,16,20,300
3,2.408,J EXP PSYCHOL LEARN,446,5,15,38,23,24,27,32,30,19,21,212
4,7.803,PSYCHOL REV,240,2,11,5,16,6,9,7,9,6,7,162
5,2.474,J MEM LANG,221,2,9,12,21,28,21,12,9,12,16,79
6,1.604,MEM COGNITION,215,3,20,16,19,22,11,6,11,10,6,91
7,5.594,J EXP PSYCHOL GEN,159,1,6,9,13,9,5,17,8,3,4,84
8,1.935,PSYCHON B REV,154,1,14,24,26,18,14,10,8,6,6,27
9,2.580,J EXP PSYCHOL HUMAN,127,2,10,4,2,16,3,6,4,4,7,69
10,4.026,COGNITIVE PSYCHOL,82,2,1,0,4,8,2,9,6,1,4,45
11,2.449,Q J EXP PSYCHOL-A,82,0,0,10,4,2,8,4,7,6,4,37
12, ,J VERB LEARN VERB BE,80,0,0,0,0,0,0,0,0,0,0,80
13,3.831,COGNITION,76,0,3,5,2,3,4,7,6,8,3,35
14,4.251,PSYCHOL SCI,72,3,9,3,11,3,4,3,5,5,4,22
15, ,J EXP PSYCHOL,67,0,2,0,0,0,0,1,0,0,0,64
16,10.905,PSYCHOL BULL,43,0,2,2,1,0,1,2,0,1,3,31
17,0.963,BEHAV RES METHODS,37,1,1,1,7,4,0,1,0,4,5,13
18,9.389,TRENDS COGN SCI,34,0,1,4,2,13,3,1,6,2,2,0
19, ,ATTENTION PERFORM,33,0,0,0,0,0,0,0,10,5,0,18
20,17.462,BEHAV BRAIN SCI,33,0,0,0,5,2,1,3,4,4,1,13
21,1.383,LANG COGNITIVE PROC,31,1,3,1,3,4,1,1,0,1,1,15
22,2.518,PSYCHOL AGING,31,0,2,1,3,2,1,2,3,0,0,17
23,1.847,PSYCHOL RES-PSYCH FO,29,1,2,3,0,1,3,1,8,0,1,9
24,4.505,J PERS SOC PSYCHOL,27,0,0,1,1,1,1,1,0,1,0,21
25,3.630,NEUROPSYCHOLOGIA,27,0,0,2,3,6,1,3,1,1,0,10
26,0.939,AM J PSYCHOL,26,0,2,0,0,3,0,3,0,0,1,17
27,4.997,J COGNITIVE NEUROSCI,26,0,2,2,4,2,2,3,0,2,4,5
28,2.179,COGNITIVE SCI,23,0,0,5,3,0,3,1,1,1,1,8
29,1.371,PERCEPT PSYCHOPHYS,22,0,0,0,2,0,1,4,1,2,1,11
30, ,SCIENCE,22,0,0,1,1,0,0,0,2,1,0,17
31,1.783,ACTA PSYCHOL,20,0,1,1,0,1,1,0,0,4,2,10
32,0.891,CAN J EXP PSYCHOL,20,0,1,0,2,5,2,0,2,0,0,8
33,0.500,J PSYCHOLINGUIST RES,20,0,0,0,0,1,3,2,2,1,2,9
34, ,COGNITIVE BRAIN RES,19,0,0,6,2,4,1,2,2,0,0,2
35,1.403,MEMORY,19,1,4,2,0,1,4,3,0,0,0,4
36,2.732,CONSCIOUS COGN,18,0,0,1,1,0,0,3,1,2,1,9
37,1.538,BRIT J PSYCHOL,17,0,1,0,0,0,0,1,0,1,0,14
38, ,NATURE,16,0,0,1,0,1,0,2,1,2,3,6
39, ,J NEUROSCI,15,0,4,2,1,1,0,0,3,0,1,3
40,3.349,PSYCHOPHYSIOLOGY,15,0,1,2,1,4,0,0,0,0,0,7
41,1.384,EUR J COGN PSYCHOL,14,1,3,2,1,0,0,1,0,1,0,5
42,1.282,J MATH PSYCHOL,14,0,0,1,0,1,1,0,4,0,0,7
43, ,NEUROIMAGE,14,1,1,0,2,2,3,1,1,1,0,2
44,2.714,PSYCHOL LEARN MOTIV,14,0,1,0,2,2,1,0,0,0,1,7
45,1.257,APPL COGNITIVE PSYCH,13,0,0,1,0,1,4,0,2,0,0,5
46,2.781,EXP PSYCHOL,13,0,1,5,3,3,1,0,0,0,0,0
47, ,NEUROREPORT,13,0,0,1,2,0,0,0,1,0,3,6
48,0.756,BILING-LANG COGN,12,0,2,0,0,0,6,0,1,1,2,0
49,1.511,COGNITION EMOTION,12,0,0,6,0,0,0,1,0,0,2,3
50,1.563,J EXP CHILD PSYCHOL,12,0,0,1,0,0,1,1,0,2,1,6
51,2.987,NEUROPSYCHOLOGY,12,0,0,2,1,0,1,0,0,1,1,6
52,13.400,ANNU REV PSYCHOL,11,0,1,1,1,0,3,1,0,0,1,3
53,1.925,COGN NEUROPSYCHOL,11,1,0,0,1,0,0,0,1,4,1,3
54, ,COMPUT ANAL P,11,0,0,0,0,0,0,0,0,0,0,11
55,0.757,LANG SPEECH,11,0,0,2,0,0,0,1,0,0,1,7
56,1.104,Q J EXP PSYCHOL,11,0,3,0,0,0,0,0,0,0,0,8
57,1.022,DISCOURSE PROCESS,10,0,0,0,0,0,2,0,1,0,0,7
58, ,IN PRESS MEMORY COGN,10,0,0,0,0,0,0,0,0,0,0,10
59, ,MODELS WORKING MEMOR,10,0,0,0,0,0,0,0,0,10,0,0
60,6.967,AM PSYCHOL,9,0,0,0,1,0,0,0,1,0,0,7
61, ,IN PRESS PSYCHONOMIC,9,0,0,0,0,0,0,0,0,0,0,9
62,1.097,THINK REASONING,9,0,0,1,0,0,0,1,1,2,2,2
63,2.641,BRAIN LANG,8,0,1,0,0,2,1,0,2,0,1,1
64,2.750,CURR DIR PSYCHOL SCI,8,0,0,2,0,2,2,0,0,1,0,1
65,1.778,LEARN MOTIV,8,1,0,0,0,0,0,1,1,0,1,4
66,3.600,BEHAV RES THER,7,0,0,0,0,0,1,0,0,0,0,6
67, ,BRAIN,7,0,0,0,1,0,0,1,2,0,0,3
68, ,CAN J PSYCHOL,7,0,0,0,0,0,0,0,0,0,0,7
69, ,CORTEX,7,0,5,0,0,1,0,0,0,0,0,1
70,2.058,J EXP SOC PSYCHOL,7,0,0,0,0,3,1,0,0,0,0,3
71,1.847,ORGAN BEHAV HUM DEC,7,0,0,0,0,2,0,0,0,1,0,4
72, ,OXFORD HANDB MEMORY,7,0,0,0,0,0,0,0,7,0,0,0
73, ,P NATL ACAD SCI USA,7,0,0,1,0,1,0,1,2,0,2,0
74,0.387,PERCEPT MOTOR SKILL,7,0,0,0,0,0,0,0,0,0,0,7
75, ,SIMPLE HEURISTICS MA,7,0,0,0,0,0,0,0,0,7,0,0
76, ,VARIETIES MEMORY CON,7,0,0,0,0,0,0,0,0,0,0,7
77, ,B PSYCHONOMIC SOC,6,0,0,0,0,0,0,0,0,0,0,6
78, ,BASIC PROCESSES READ,6,0,0,0,0,0,0,0,0,0,0,6
79, ,CEREB CORTEX,6,0,0,2,0,0,1,0,2,0,0,1
80,3.382,CHILD DEV,6,0,0,1,0,0,1,0,0,0,0,4
81, ,DEV PSYCHOBIOL,6,0,1,0,1,0,1,1,0,0,0,2
82, ,ELECTROEN CLIN NEURO,6,0,0,0,0,0,0,0,0,0,0,6
83,2.986,INTELLIGENCE,6,0,0,0,1,0,0,0,0,0,0,5
84,1.810,J EXP PSYCHOL-APPL,6,0,0,0,3,0,2,0,0,0,0,1
85,0.564,J GEN PSYCHOL,6,0,0,0,0,0,0,0,0,1,0,5
86, ,J NEUROPHYSIOL,6,0,0,0,1,0,1,0,0,0,0,4
87, ,NEURON,6,0,0,1,1,1,1,0,0,0,1,1
88, ,BEHAV NEUROSCI,5,0,0,0,0,0,1,1,0,0,0,3
89,2.308,BRAIN COGNITION,5,0,0,0,1,0,0,0,0,0,1,3
90, ,BRAIN RES,5,0,3,0,0,0,0,0,0,0,1,1
91, ,CONTROL COGNITIVE PR,5,0,0,0,0,0,0,0,5,0,0,0
92,3.038,DEV PSYCHOL,5,0,0,0,0,0,1,1,0,0,0,3
93, ,IN PRESS J EXPT PSYC,5,0,0,0,0,0,0,0,0,0,0,5
94,1.583,J BEHAV DECIS MAKING,5,0,0,0,1,0,1,0,0,2,0,1
95,1.738,J CONSUM RES,5,0,0,1,0,0,0,0,1,0,0,3
96,2.580,PERS SOC PSYCHOL B,5,0,1,0,1,0,0,0,1,0,0,2
97, ,ATTENTION MEMORY INT,4,0,0,0,0,0,0,0,0,0,0,4
98, ,BIOMETRIKA,4,0,0,0,0,0,0,0,0,0,0,4
99, ,BOUNDED RATIONALITY,4,0,0,0,0,0,0,4,0,0,0,0
100, ,COGN AFFECT BEHAV NE,4,0,0,0,1,0,2,1,0,0,0,0
101, ,EXP BRAIN RES,4,0,0,0,0,0,1,0,0,0,0,3
102, ,HDB IMPLICIT LEARNIN,4,0,0,0,0,0,0,0,0,0,4,0
103, ,IN PRESS PSYCHOL RES,4,0,0,0,0,0,0,0,0,0,0,4
104, ,J ACOUST SOC AM,4,0,0,0,0,1,0,0,0,0,0,3
105,1.691,J CLIN EXP NEUROPSYC,4,0,0,0,0,0,0,0,0,0,0,4
106,2.075,J EXP PSYCHOL ANIM B,4,0,0,0,0,0,1,0,1,1,0,1
107,1.318,J MOTOR BEHAV,4,0,0,1,0,0,1,0,1,0,0,1
108, ,LEARN MEMORY,4,0,0,1,1,0,0,0,0,1,0,1
109, ,NEUROSCI LETT,4,0,1,0,1,0,0,1,0,0,1,0
110, ,PSYCHON SCI,4,0,0,0,0,0,0,0,0,0,0,4
111,1.121,SOC COGNITION,4,0,0,0,1,0,1,0,0,0,1,1
112, ,SPRACHE KOGNIT,4,0,0,0,0,0,0,0,0,0,0,4
113, ,WORKING MEMORY,4,0,0,0,0,0,0,0,0,0,0,4
114,0.824,AGING NEUROPSYCHOL C,3,0,1,0,0,0,0,0,0,1,0,1
115, ,ANN M PSYCH SOC TOR,3,0,0,3,0,0,0,0,0,0,0,0
116, ,ANN NY ACAD SCI,3,0,0,0,0,0,0,0,0,0,0,3
117, ,BEHAV BRAIN RES,3,0,0,0,0,0,0,1,0,0,0,2
118,2.715,BIOL PSYCHOL,3,0,0,0,0,2,0,0,1,0,0,0
119,0.457,CAN PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
120, ,COGNITIVE MODELS SPE,3,0,0,0,0,0,0,0,0,0,0,3
121, ,COGNITIVE NEUROSCIEN,3,0,0,0,1,0,0,0,0,0,1,1
122, ,ELEMENTS EPISODIC ME,3,0,0,0,0,0,0,0,0,0,0,3
123, ,EPRIME USERS GUIDE,3,0,0,0,0,0,2,1,0,0,0,0
124, ,HANDB EVOL PSY,3,0,0,3,0,0,0,0,0,0,0,0
125, ,HDB PSYCHOLINGUISTIC,3,0,1,0,0,0,0,0,0,0,0,2
126, ,HIPPOCAMPUS,3,0,0,1,1,0,0,0,0,1,0,0
127, ,IMPLICIT COGNITION,3,0,0,0,0,0,0,0,0,0,0,3
128, ,IN PRESS BEHAV RES M,3,0,0,0,0,0,0,0,0,0,0,3
129, ,IN PRESS COGNITIVE P,3,0,0,0,0,0,0,0,0,0,0,3
130, ,IN PRESS EUROPEAN J,3,0,0,0,0,0,0,0,0,0,0,3
131, ,IN PRESS J MEMORY LA,3,0,0,0,0,0,0,0,0,0,0,3
132, ,INFORM PROCESSING CO,3,0,0,0,0,0,0,0,0,0,0,3
133, ,INTENTIONAL FORGETTI,3,0,0,0,0,0,0,0,0,0,3,0
134,4.684,J ABNORM PSYCHOL,3,0,0,0,0,2,0,0,0,0,0,1
135,0.880,J CHILD LANG,3,0,0,0,0,0,0,0,0,0,0,3
136, ,J COMP NEUROL,3,0,0,0,0,0,0,0,0,0,0,3
137,2.353,J EDUC PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
138, ,J GERONTOL B-PSYCHOL,3,0,0,0,0,1,0,2,0,0,0,0
139, ,J INT NEUROPSYCH SOC,3,0,0,0,0,1,0,2,0,0,0,0
140, ,J MEMORY LANG,3,1,0,0,0,0,0,0,0,0,0,2
141,1.231,LEARN INDIVID DIFFER,3,0,0,0,0,0,0,0,1,0,0,2
142,0.338,LINGUISTICS,3,0,0,0,0,1,0,0,0,0,0,2
143,1.931,MANAGE SCI,3,0,0,0,0,0,0,0,0,1,1,1
144, ,NAT NEUROSCI,3,0,0,0,0,2,1,0,0,0,0,0
