Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,9829,110,346,523,592,576,603,545,533,503,411,5087
2, ,ALL OTHERS (1690),1690,40,88,97,86,78,68,70,54,62,45,1002
3,4.505,J PERS SOC PSYCHOL,1960,7,48,103,82,127,127,101,111,92,107,1055
4,2.580,PERS SOC PSYCHOL B,473,9,23,27,47,41,52,33,32,28,31,150
5,10.905,PSYCHOL BULL,302,1,15,11,9,16,18,13,17,10,1,191
6,2.058,J EXP SOC PSYCHOL,237,3,12,17,26,17,21,25,6,10,4,96
7,7.803,PSYCHOL REV,236,0,3,5,5,17,6,7,13,9,2,169
8,2.331,J PERS,133,0,4,15,7,6,7,7,9,6,3,69
9,6.667,ADV EXP SOC PSYCHOL,128,0,3,2,3,6,9,5,3,6,4,87
10,6.967,AM PSYCHOL,128,0,6,4,6,2,4,7,19,14,1,65
11,4.251,PSYCHOL SCI,110,0,10,12,26,9,10,7,6,5,6,19
12,1.400,PERS INDIV DIFFER,107,2,3,8,10,14,8,6,8,8,1,39
13,1.570,EUR J SOC PSYCHOL,100,3,4,5,6,7,3,12,5,7,3,45
14,4.763,PERS SOC PSYCHOL REV,80,0,12,8,8,7,10,11,8,3,10,3
15,1.511,COGNITION EMOTION,78,0,2,3,9,8,9,6,6,10,8,17
16,1.847,ORGAN BEHAV HUM DEC,71,5,2,0,4,0,9,1,1,10,6,33
17,4.684,J ABNORM PSYCHOL,70,0,2,3,5,2,4,1,1,0,0,52
18,13.400,ANNU REV PSYCHOL,68,3,3,7,4,15,5,1,3,0,7,20
19,3.382,CHILD DEV,64,1,3,0,3,4,3,5,5,2,2,36
20,3.047,J APPL PSYCHOL,63,1,2,3,7,3,6,2,1,3,1,34
21, ,HANDB SOC PSYCHOL,55,1,0,0,0,1,0,1,0,0,45,7
22,1.857,J RES PERS,47,2,6,3,2,6,5,3,2,2,1,15
23,1.121,SOC COGNITION,47,0,1,4,6,0,1,1,5,4,2,23
24,3.038,DEV PSYCHOL,46,0,0,1,5,4,2,1,2,4,1,26
25,1.390,J SOC ISSUES,43,0,0,1,2,1,4,6,1,6,2,20
26,1.987,BRIT J SOC PSYCHOL,41,0,3,2,0,3,1,2,2,1,1,26
27,3.500,PSYCHOL METHODS,38,0,4,0,2,3,12,2,1,3,4,7
28,1.524,J CROSS CULT PSYCHOL,37,1,0,2,6,2,1,6,3,2,3,11
29,5.594,J EXP PSYCHOL GEN,37,0,2,5,3,0,5,3,2,3,2,12
30,1.048,PERS RELATIONSHIP,36,0,1,4,3,0,6,4,3,3,3,9
31,4.214,J CONSULT CLIN PSYCH,35,0,0,2,0,1,5,0,2,1,2,22
32, ,PSYCHOL INQ,35,0,0,2,2,5,1,2,7,8,0,8
33,2.750,CURR DIR PSYCHOL SCI,34,0,0,7,7,2,7,3,4,3,1,0
34, ,SCIENCE,34,1,2,1,2,3,1,1,2,0,0,21
35, ,MULTIPLE REGRESSION,33,0,0,0,0,0,0,0,0,0,0,33
36,17.462,BEHAV BRAIN SCI,32,0,1,3,0,0,2,0,7,5,1,13
37,1.492,GROUP PROCESS INTERG,32,1,1,4,4,11,0,3,4,2,1,1
