Citing Journal Data: LECTURE NOTES IN ARTIFICIAL INTELLIGENCE,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,Rest
1, ,ALL Journals,50354,1641,5345,5340,4837,4125,3806,3379,3064,2315,2089,14413
2, ,ALL OTHERS (17365),17365,810,2072,1907,1709,1382,1240,1126,955,764,629,4771
3,0.402,LECT NOTES COMPUT SC,1558,129,371,229,195,148,90,83,65,40,42,166
4,0.302,LECT NOTES ARTIF INT,1207,50,223,257,131,106,101,80,69,51,41,98
5,2.638,ARTIF INTELL,676,7,31,44,58,29,41,44,44,61,32,285
6,3.108,MACH LEARN,507,7,22,26,12,41,34,38,10,83,50,184
7,3.810,IEEE T PATTERN ANAL,392,12,12,30,43,26,40,8,39,36,28,118
8,1.039,FUZZY SET SYST,320,12,16,21,17,21,19,18,19,28,14,135
9,1.797,COMMUN ACM,296,0,4,11,15,14,33,11,2,31,14,161
10,2.153,PATTERN RECOGN,260,4,27,23,26,18,17,11,9,13,15,97
11,2.205,IEEE T NEURAL NETWOR,191,1,9,8,26,12,23,25,8,12,4,63
12,1.701,IEEE T FUZZY SYST,181,1,22,16,16,19,18,21,13,13,13,29
13, ,IEEE T SYST MAN CYB,175,2,5,1,2,2,1,2,2,2,1,155
14,1.758,IEEE T KNOWL DATA EN,168,5,21,29,17,9,12,9,11,5,21,29
15,2.676,COMPUT LINGUIST,166,2,6,7,8,6,4,2,22,8,19,82
16,2.247,J ARTIF INTELL RES,156,3,15,15,24,14,7,13,7,15,20,23
17,30.927,SCIENCE,155,0,5,6,15,10,23,22,2,6,8,58
18,6.019,BIOINFORMATICS,151,4,25,46,22,29,7,4,14,0,0,0
19,0.723,INFORM SCIENCES,145,2,25,11,10,5,10,9,28,4,2,39
20,4.027,J MACH LEARN RES,145,7,28,50,31,25,4,0,0,0,0,0
21,2.197,J ACM,144,0,1,0,3,5,3,8,2,6,7,109
22,3.887,P IEEE,135,0,9,7,5,7,8,23,12,5,2,57
23,2.591,NEURAL COMPUT,134,2,3,8,6,12,10,13,16,6,3,55
24,2.428,IEEE T IMAGE PROCESS,132,2,12,9,8,16,21,13,8,14,2,27
