Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,3646,54,168,371,402,300,344,271,227,187,157,1165
2, ,ALL OTHERS (878),878,13,33,71,84,80,65,55,56,41,29,351
3,2.562,MED EDUC,548,26,47,91,90,51,53,36,30,28,9,87
4,2.571,ACAD MED,398,2,14,50,42,27,28,39,38,21,24,113
5,9.723,BRIT MED J,164,0,9,13,30,21,20,12,6,13,6,34
6,1.229,MED TEACH,102,0,6,22,16,12,10,16,6,3,5,6
7,25.547,JAMA-J AM MED ASSOC,98,1,3,9,5,6,14,12,6,8,9,25
8,0.825,TEACH LEARN MED,63,1,2,9,9,5,9,5,2,4,1,16
9,0.885,ADV HEALTH SCI EDUC,54,0,6,5,14,6,3,4,3,1,1,11
10,15.516,ANN INTERN MED,46,0,0,7,1,5,7,3,0,0,5,18
11,2.876,J GEN INTERN MED,44,0,4,4,3,3,3,1,3,4,0,19
12, ,J MED EDUC,38,0,0,0,0,0,0,0,0,0,0,38
13, ,SOC SCI MED,33,0,3,1,0,1,1,5,6,2,2,12
14,0.626,CLIN ANAT,27,0,0,3,4,2,4,0,4,2,0,8
15,28.638,LANCET,25,0,0,0,3,1,4,7,2,2,0,6
16,52.589,NEW ENGL J MED,23,1,3,6,1,1,0,0,0,0,1,10
17,1.696,FAM PRACT,22,1,0,0,0,0,6,0,1,1,2,11
18,2.337,AM J SURG,21,1,2,0,1,2,3,2,3,2,1,4
19,1.878,FAM MED,20,0,0,3,2,2,3,0,1,0,1,8
20,2.229,BRIT J GEN PRACT,19,0,0,3,1,2,2,0,1,2,0,8
21,3.554,MED CARE,18,0,0,1,0,1,2,1,1,0,2,10
22,8.391,ARCH INTERN MED,17,0,2,1,1,1,1,0,0,0,0,11
23,7.067,CAN MED ASSOC J,16,0,0,1,2,1,0,2,0,3,2,5
24,2.242,SURG ENDOSC,15,1,0,0,1,1,7,2,1,1,0,1
25,1.990,ACAD EMERG MED,14,0,0,0,2,2,5,1,0,3,0,1
26,1.801,ANAT REC,14,0,0,1,0,0,6,0,4,0,2,1
27,2.652,EVAL HEALTH PROF,14,0,0,0,2,0,0,1,1,1,0,9
28, ,PERS INDIV DIFFER,14,0,0,3,4,0,1,0,3,0,1,2
29, ,TOM DOCT REC UND MED,13,0,0,0,0,7,3,0,0,0,0,3
30, ,COGNITIVE SCI,12,0,0,0,0,0,0,1,0,0,0,11
31,10.905,PSYCHOL BULL,12,0,0,0,0,0,0,0,0,1,0,11
32, ,BODY IMAGE HDB THEOR,11,0,0,0,0,0,11,0,0,0,0,0
33, ,HIGH EDUC,11,0,1,1,1,0,0,0,0,0,0,8
34, ,MEM COGNITION,11,0,0,0,0,0,0,0,0,0,1,10
35,1.792,PATIENT EDUC COUNS,11,0,0,1,1,0,2,1,1,1,3,1
36, ,EDUC HEALTH,10,0,0,0,5,1,0,1,0,1,0,2
37,3.500,ANN EMERG MED,9,0,2,0,0,1,1,0,0,0,0,5
38, ,J EDUC PSYCHOL,9,0,1,0,0,1,0,0,1,0,0,6
39,2.408,J EXP PSYCHOL LEARN,9,0,0,0,1,0,0,1,0,1,1,5
40, ,J PERS SOC PSYCHOL,9,0,0,0,0,0,0,0,0,1,0,8
41,2.537,MED J AUSTRALIA,9,0,0,1,0,3,4,0,0,0,0,1
42, ,COGNITION INSTRUCT,8,0,0,0,0,0,3,0,2,1,2,0
43, ,J APPL PSYCHOL,8,0,0,0,1,2,0,1,0,0,0,4
44,1.020,J R SOC MED,8,0,0,1,0,0,5,0,0,0,2,0
45,7.803,PSYCHOL REV,8,0,0,0,0,0,0,0,1,0,1,6
46,2.016,QUAL SAF HEALTH CARE,8,0,1,1,3,1,2,0,0,0,0,0
47, ,ACAD PSYCHIATR,7,0,0,1,2,2,1,1,0,0,0,0
48, ,ADV HLTH SCI ED THEO,7,3,1,0,0,0,1,0,1,0,1,0
49,9.127,AM J PSYCHIAT,7,0,0,0,0,0,0,1,0,2,0,4
50,7.446,ANN SURG,7,0,1,3,2,0,1,0,0,0,0,0
51, ,BRIT J EDUC PSYCHOL,7,0,0,0,0,0,0,1,1,0,0,5
52, ,EDUC PSYCHOL REV,7,0,0,0,3,0,0,0,0,0,0,4
53,1.113,HUM FACTORS,7,0,0,0,0,0,0,1,2,1,1,2
54,1.408,J FAM PRACTICE,7,0,0,0,0,0,0,0,2,2,0,3
55,1.863,J NERV MENT DIS,7,0,0,0,0,0,0,0,0,1,0,6
56, ,5 INT C PEER REV BIO,6,0,0,6,0,0,0,0,0,0,0,0
57, ,ARCH SEX BEHAV,6,0,0,0,0,0,0,0,0,0,2,4
58, ,BMC MED ED,6,1,1,2,1,0,1,0,0,0,0,0
59,1.018,BRIT DENT J,6,0,0,1,1,0,1,1,2,0,0,0
60,1.308,CLIN MED,6,0,1,0,1,2,1,1,0,0,0,0
61, ,INT HANDB RES MED ED,6,0,0,0,0,0,5,1,0,0,0,0
62,1.326,INT J QUAL HEALTH C,6,0,0,0,0,3,0,0,0,1,1,1
63,1.442,J ADV NURS,6,0,0,0,0,0,1,2,2,0,1,0
64,3.101,J AM COLL SURGEONS,6,0,0,2,2,0,1,0,1,0,0,0
65,1.103,J MED ETHICS,6,0,0,0,0,0,1,0,1,0,1,3
66, ,MED PROBLEM SOLVING,6,0,0,0,0,0,0,0,0,0,0,6
67,4.282,OBSTET GYNECOL,6,0,0,0,1,0,2,0,0,1,0,2
68,4.907,AM J MED,5,0,0,0,0,0,0,1,2,1,0,1
69, ,ANAL QUAL DAT,5,0,0,0,0,0,0,0,0,0,0,5
70, ,CAMBRIDGE HDB EXPERT,5,0,5,0,0,0,0,0,0,0,0,0
71, ,J AM MED WOMEN ASSOC,5,0,0,0,0,0,0,0,2,0,0,3
72, ,J CONTIN ED HLTH PRO,5,0,2,0,0,1,0,0,0,1,0,1
73,4.053,J UROLOGY,5,0,0,0,2,0,2,1,0,0,0,0
74, ,REV EDUC RES,5,0,0,0,0,0,0,0,0,1,1,3
75,2.094,ACAD RADIOL,4,0,0,0,2,0,0,0,0,1,1,0
76,3.489,AM J PREV MED,4,0,0,0,0,0,0,0,2,1,0,1
77, ,AM J PSYCHOL,4,0,0,1,0,0,2,0,0,0,0,1
78, ,AM PSYCHOL,4,0,0,0,0,0,0,0,0,1,0,3
79, ,ANN MED INTERNE,4,0,0,0,0,0,0,1,0,1,1,1
80,13.400,ANNU REV PSYCHOL,4,0,0,0,0,0,0,1,0,0,0,3
81, ,BASICS QUAL R,4,0,0,0,0,0,0,0,0,0,3,1
82, ,BMC MED,4,0,0,0,4,0,0,0,0,0,0,0
83,2.948,BRIT J ANAESTH,4,0,0,0,0,3,1,0,0,0,0,0
84,4.304,BRIT J SURG,4,0,0,0,1,0,0,1,0,0,0,2
85,4.654,COCHRANE DB SYST REV,4,0,0,1,0,0,0,3,0,0,0,0
86, ,COMMUNITIES PRACTICE,4,0,0,0,0,0,0,0,0,0,4,0
87,0.831,EDUC PSYCHOL MEAS,4,0,0,0,0,0,0,1,0,0,0,3
88, ,EDUC RESEARCHER,4,0,0,0,0,2,1,0,0,0,0,1
89, ,ETR&D-EDUC TECH RES,4,0,0,0,0,0,0,2,0,0,0,2
90,2.565,J CLIN EPIDEMIOL,4,0,0,0,0,0,1,0,0,0,0,3
91, ,J COUNS PSYCHOL,4,0,0,0,0,1,0,0,0,0,1,2
92, ,J DENT EDUC,4,0,0,0,0,1,0,0,0,0,0,3
93, ,J EXP PSYCHOL GEN,4,0,1,0,0,0,0,0,0,0,0,3
94, ,J EXP PSYCHOL-APPL,4,1,0,2,0,0,0,0,1,0,0,0
95, ,J INTERPROF CARE S1,4,0,0,4,0,0,0,0,0,0,0,0
96, ,J LEARN SCI,4,0,0,0,1,0,0,0,1,0,0,2
97, ,J SOC ADMIN PHARM,4,0,0,0,0,0,0,1,1,0,0,2
98,1.522,J WOMENS HEALTH,4,0,0,0,1,0,0,0,0,1,1,1
99, ,MED EDUC ONLINE,4,0,0,0,2,0,1,1,0,0,0,0
100,0.573,NURS EDUC TODAY,4,0,0,0,1,0,1,1,0,1,0,0
101, ,PEDAGOGIE MED,4,0,1,0,0,2,0,0,1,0,0,0
102,4.473,PEDIATRICS,4,0,1,0,1,0,0,0,0,0,0,2
103, ,RURAL REMOTE HLTH,4,0,0,1,1,0,0,2,0,0,0,0
104,26.372,SCIENCE,4,0,1,0,0,0,0,0,0,0,0,3
105,3.051,STRUCT EQU MODELING,4,0,0,0,0,0,0,1,0,1,0,2
106, ,STUD HIGH EDUC,4,0,0,0,0,0,3,0,0,1,0,0
107,3.004,SURGERY,4,0,0,0,1,0,1,0,1,0,0,1
108, ,TOM DOCT,4,0,0,0,0,2,1,0,0,0,0,1
109, ,11 INT OTT C MED ED,3,0,0,0,3,0,0,0,0,0,0,0
110,2.917,AM J OBSTET GYNECOL,3,0,0,1,0,0,1,0,0,0,1,0
111, ,AMEE EDUC GUIDE,3,0,0,0,0,0,0,3,0,0,0,0
112, ,ANN ROY COLL PHYSIC,3,0,0,0,0,0,0,0,0,0,0,3
113,3.485,ARCH SURG-CHICAGO,3,0,0,0,1,0,1,0,0,0,0,1
114,7.677,ARTH RHEUM/AR C RES,3,0,0,1,0,0,0,2,0,0,0,0
115,1.891,CLIN ORTHOP RELAT R,3,0,2,0,0,0,0,0,1,0,0,0
116,4.026,COGNITIVE PSYCHOL,3,0,0,0,0,0,0,0,0,0,0,3
117, ,COGNITIVE SCI MED,3,0,0,0,0,0,0,0,0,0,0,3
118, ,CURR SURG,3,0,1,0,0,0,0,1,0,0,0,1
119, ,DEV PROF KNO,3,0,0,0,0,0,0,0,0,0,0,3
120, ,DOING QUAL RE,3,0,0,0,0,0,0,0,0,2,0,1
121, ,DUTCH J MED ED,3,0,0,2,1,0,0,0,0,0,0,0
122, ,ED REFLECTIVE PRACTI,3,0,0,0,0,0,0,0,0,0,0,3
123, ,FOCUS GROUP KIT,3,0,0,0,0,0,0,0,0,0,3,0
