Citing Journal Data,,,,,,,,,,,,,,
,Impact Factor,Cited Journal,All Yrs,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Rest
1, ,ALL Journals,34686,2806,4736,4143,3528,2706,2361,1988,1656,1329,1187,8246
2, ,ALL OTHERS (2969),2969,302,349,234,184,158,137,87,102,94,81,1241
3,28.751,NATURE,3955,788,576,413,350,268,230,221,173,135,119,682
4,26.372,SCIENCE,2318,157,338,294,227,174,212,186,124,93,114,399
5,9.598,P NATL ACAD SCI USA,1409,87,214,203,151,126,112,80,56,74,49,257
6,29.887,CELL,1139,79,190,141,122,71,76,45,58,51,45,261
7,6.944,PHYS REV LETT,786,57,94,100,63,39,42,37,35,39,32,248
8,5.581,J BIOL CHEM,761,28,66,76,95,84,65,51,40,23,36,197
9,25.556,NAT GENET,437,57,99,57,44,27,24,31,33,23,13,29
10,2.953,J GEOPHYS RES,431,10,26,32,26,33,18,32,32,15,14,193
11,6.405,ASTROPHYS J,384,42,59,54,23,27,21,22,16,12,7,101
12,14.795,GENE DEV,356,16,56,44,40,49,24,27,23,16,18,43
13,8.662,EMBO J,337,15,39,22,27,33,34,24,27,17,25,74
14,13.410,NEURON,297,22,27,39,39,26,30,24,25,14,16,35
15,3.172,PHYS REV B,279,12,32,31,22,15,17,20,15,12,7,96
16,13.156,MOL CELL,264,24,39,42,39,29,21,23,19,12,15,1
17,7.885,J AM CHEM SOC,263,12,38,36,29,17,14,14,13,14,9,67
18,9.598,J CELL BIOL,243,5,26,22,21,17,20,20,20,11,15,66
19,6.420,MOL CELL BIOL,241,13,15,37,27,23,16,12,18,15,7,58
20,10.539,CURR BIOL,240,15,32,56,30,24,18,25,13,5,10,12
21,7.490,J NEUROSCI,234,14,39,25,28,18,18,16,10,13,9,44
22,7.293,DEVELOPMENT,231,8,24,27,21,19,21,14,16,16,15,50
23,3.873,EARTH PLANET SC LETT,225,10,27,39,23,17,14,8,6,9,6,66
24,4.472,J MOL BIOL,224,7,16,24,22,16,7,22,12,11,10,77
25,6.954,NUCLEIC ACIDS RES,208,13,38,36,27,16,5,13,8,5,6,41
26,3.368,BIOCHEMISTRY-US,206,5,14,23,14,12,17,15,12,15,10,69
27,2.744,GEOPHYS RES LETT,206,17,29,28,22,21,7,10,13,11,8,40
28,15.612,J EXP MED,181,15,31,28,13,16,13,7,15,6,7,30
29,2.869,ICARUS,166,9,15,14,22,6,9,7,10,7,7,60
30,7.672,CANCER RES,155,7,16,27,25,18,8,12,8,6,5,23
31,17.623,NAT CELL BIOL,154,6,35,30,24,15,17,13,8,6,0,0
32,26.218,NAT IMMUNOL,154,21,28,41,20,20,10,13,1,0,0,0
33,4.001,GENETICS,143,2,12,14,16,14,7,3,7,15,2,51
34,11.085,NAT STRUCT MOL BIOL,142,16,33,13,23,3,8,12,7,12,6,9
35,10.031,ANGEW CHEM INT EDIT,141,18,27,16,17,5,9,7,7,2,5,28
36,11.224,GENOME RES,141,17,23,27,23,23,14,3,4,1,5,1
37,6.068,J IMMUNOL,139,2,21,25,10,13,15,8,9,8,5,23
38,31.921,NAT REV MOL CELL BIO,136,13,30,34,21,9,11,10,8,0,0,0
39,3.665,GEOCHIM COSMOCHIM AC,135,10,16,9,7,9,7,6,6,5,4,56
40,2.893,PHYS REV A,134,11,16,6,20,6,5,10,8,5,6,41
41,4.714,DEV BIOL,132,7,16,19,10,3,16,13,8,11,6,23
42,19.266,IMMUNITY,129,12,26,20,18,5,12,12,6,5,6,7
43,2.620,ACTA CRYSTALLOGR D,125,5,2,12,5,2,5,1,5,13,30,45
44,3.596,APPL PHYS LETT,115,9,18,20,14,12,10,3,4,3,2,20
45,5.332,J VIROL,115,4,28,11,15,10,7,11,1,5,1,22
46,13.501,PLOS BIOL,114,22,30,28,29,5,0,0,0,0,0,0
47,9.653,PLANT CELL,112,2,14,15,34,6,9,10,3,3,0,16
48,4.259,ASTRON ASTROPHYS,111,11,14,11,15,8,8,2,12,6,3,21
49,16.915,J CLIN INVEST,107,9,16,15,17,14,5,5,3,5,6,12
50,12.436,DEV CELL,103,2,25,24,21,12,17,2,0,0,0,0
51,6.440,ONCOGENE,101,6,10,14,13,10,15,5,7,7,3,11
52,15.664,NAT NEUROSCI,97,3,20,18,12,9,16,4,6,8,1,0
53,26.382,NAT MED,96,7,10,15,14,15,8,2,6,4,5,10
54,2.122,METHOD ENZYMOL,95,1,4,9,6,9,2,5,5,3,3,48
55,6.383,J CELL SCI,90,5,16,9,6,8,12,9,5,2,4,14
56,31.190,ANNU REV BIOCHEM,88,1,14,11,13,9,7,2,3,3,9,16
57,11.092,AM J HUM GENET,86,4,16,11,12,6,8,9,4,6,0,10
58,22.399,NAT REV GENET,85,8,22,16,13,5,10,8,3,0,0,0
59,52.589,NEW ENGL J MED,85,8,11,12,12,7,12,7,0,5,0,11
60,4.112,P ROY SOC B-BIOL SCI,85,7,6,5,13,8,7,9,10,3,3,14
61,3.754,GEOLOGY,83,10,9,7,8,7,6,7,0,0,5,24
62,7.806,HUM MOL GENET,83,0,8,22,9,9,6,14,3,3,5,4
63,6.028,MOL BIOL CELL,82,5,5,14,16,7,11,9,4,5,1,5
64,10.896,BLOOD,81,4,10,12,9,8,7,4,4,1,1,21
65,4.543,AM NAT,80,3,4,5,7,7,4,1,5,3,3,38
66,22.848,NAT BIOTECHNOL,79,7,6,12,17,16,6,7,1,4,1,2
67,3.684,J NEUROPHYSIOL,78,5,11,3,11,4,3,8,7,2,4,20
68,38.403,REV MOD PHYS,77,2,6,0,3,14,7,16,1,4,2,22
69,5.249,MON NOT R ASTRON SOC,73,4,11,6,12,8,6,2,3,2,1,18
70,3.263,FEBS LETT,72,3,8,8,7,7,5,6,6,1,4,17
71,4.822,ECOLOGY,70,1,9,12,7,5,3,3,0,3,1,26
72,4.004,APPL ENVIRON MICROB,65,7,8,9,10,4,6,1,4,3,2,11
73,28.300,NAT REV IMMUNOL,65,4,10,15,8,15,11,2,0,0,0,0
74,14.994,TRENDS BIOCHEM SCI,65,4,11,11,9,3,3,4,4,2,2,12
75,6.751,PLANT J,64,1,4,9,13,4,7,2,2,8,7,7
76, ,PHYS REV,63,0,0,0,0,0,0,0,0,0,0,63
77,4.502,EVOLUTION,62,0,3,7,3,7,3,7,2,3,0,27
78,4.580,J PHYSIOL-LONDON,62,0,3,7,3,5,2,2,3,3,5,29
79,5.019,ASTRON J,61,5,5,3,2,7,6,5,5,1,5,17
80,22.757,CHEM REV,61,4,20,5,7,2,3,0,4,0,2,14
81,29.190,NAT REV CANCER,61,1,10,11,13,13,9,4,0,0,0,0
82,4.013,J BACTERIOL,60,4,1,11,3,4,4,2,3,1,4,23
83,13.444,CURR OPIN CELL BIOL,59,5,14,9,5,7,7,4,4,0,0,4
84,47.981,ANNU REV IMMUNOL,57,8,8,9,7,5,7,0,2,2,0,9
85,6.438,MOL BIOL EVOL,57,6,9,7,10,5,6,2,4,0,1,7
86,28.638,LANCET,56,8,6,6,5,11,2,6,0,1,0,11
87,14.797,TRENDS ECOL EVOL,55,2,6,7,11,2,1,3,4,4,4,11
88,5.039,BIOINFORMATICS,54,2,9,13,9,10,6,2,2,0,1,0
89,5.231,STRUCTURE,54,1,9,11,5,7,4,2,3,1,1,10
90,5.529,PHILOS T R SOC B,52,5,7,0,6,2,6,3,2,0,1,20
91,6.367,PLANT PHYSIOL,52,3,5,4,6,8,2,5,2,1,2,14
92,6.589,GENOME BIOL,51,5,13,4,10,6,10,1,2,0,0,0
93,8.204,ECOL LETT,50,4,12,11,8,5,3,2,1,2,1,1
94,26.077,ANNU REV NEUROSCI,49,3,9,4,1,2,6,12,1,3,3,5
95,23.858,CANCER CELL,49,5,4,11,9,10,10,0,0,0,0,0
96,24.520,NAT REV NEUROSCI,49,1,10,6,10,9,3,7,3,0,0,0
97,5.462,MOL MICROBIOL,48,3,3,7,4,9,3,4,4,2,1,8
98,8.261,DIABETES,47,2,14,2,5,8,6,1,2,2,0,5
99,2.112,GEOPHYS J INT,46,4,6,5,5,2,4,0,2,1,4,13
100,23.545,ANNU REV CELL DEV BI,45,0,7,13,8,2,1,3,2,2,0,7
101,2.749,BIOCHEM BIOPH RES CO,45,2,5,12,5,2,2,3,5,2,0,7
102,3.231,CHEM GEOL,45,3,1,2,10,3,0,1,0,5,4,16
103,4.627,BIOPHYS J,44,4,6,6,4,4,1,3,0,0,1,15
104,10.150,CURR OPIN STRUC BIOL,44,3,4,12,5,2,5,3,2,2,1,5
105,3.550,J CLIMATE,43,0,13,5,3,1,2,3,5,2,3,6
106,9.729,TRENDS GENET,42,3,3,6,6,3,2,6,3,1,2,7
107,2.354,GEOCHEM GEOPHY GEOSY,41,4,6,6,10,3,9,2,1,0,0,0
108,2.972,J EXP BIOL,41,4,2,4,4,3,3,1,2,1,0,17
109,4.829,J INVEST DERMATOL,41,0,6,3,7,2,0,5,0,3,3,12
110,10.536,IMMUNOL REV,40,0,14,8,10,1,0,2,0,0,1,4
111,5.718,CHEM BIOL,39,0,6,3,10,2,10,4,1,1,0,2
112,2.185,J PHYS OCEANOGR,39,2,3,5,2,8,4,1,3,1,3,7
113,9.627,NANO LETT,39,10,9,6,10,1,2,1,0,0,0,0
114,1.842,PLANET SPACE SCI,39,5,16,1,0,0,1,3,1,0,0,12
115,4.831,J GEN PHYSIOL,38,3,1,0,6,4,4,4,1,5,1,9
116,14.677,NAT PHYS,38,15,18,5,0,0,0,0,0,0,0,0
117,3.135,PROTEIN SCI,38,1,6,4,3,3,4,3,2,5,3,4
118,4.009,BIOCHEM J,37,3,4,4,3,1,5,2,2,1,2,10
119,3.391,PALEOCEANOGRAPHY,37,1,2,1,6,4,3,3,2,5,2,8
120,7.450,EMBO REP,36,1,13,6,4,2,2,7,1,0,0,0
121,3.996,INFECT IMMUN,36,2,6,6,4,4,2,1,3,2,1,5
122,3.677,J STRUCT BIOL,36,3,5,2,7,5,1,2,1,5,0,5
123,2.323,J THEOR BIOL,36,1,0,5,4,0,0,0,0,0,1,25
124,13.527,TRENDS CELL BIOL,36,2,5,8,4,4,4,1,2,1,3,2
